ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
206,1.4,0.9,0.8,48.9,10.7,3.5,17.23,0.9,0.2,0.2
216,1.364,1.0,0.8,48.545,10.545,3.455,17.364,0.818,0.182,0.182
254,1.25,1.0,2.3,49.917,10.833,3.417,17.358,0.833,0.167,0.167
266,1.385,1.0,2.5,50.385,10.846,3.385,17.446,0.769,0.231,0.231
289,1.357,1.0,1.4,51.0,11.143,3.286,17.307,0.714,0.214,0.214
308,1.467,1.133,1.7,51.733,11.467,3.467,17.367,0.667,0.2,0.2
334,1.562,1.062,2.0,51.938,11.625,3.562,17.425,0.688,0.188,0.188
350,1.588,1.0,0.6,52.471,12.059,3.588,17.4,0.706,0.176,0.176
368,1.556,0.944,1.8,51.389,11.667,3.5,17.583,0.667,0.167,0.167
381,1.632,0.947,1.3,52.263,11.368,3.474,17.405,0.632,0.158,0.158
401,1.55,1.0,0.2,52.85,11.9,3.5,17.485,0.65,0.15,0.15
424,1.476,1.19,1.1,51.286,11.381,3.333,16.976,0.619,0.143,0.143
446,1.455,1.136,0.4,51.409,11.455,3.318,17.145,0.636,0.136,0.136
471,1.391,1.087,0.7,51.0,11.304,3.261,17.317,0.652,0.13,0.13
498,1.417,1.042,0.4,50.375,11.208,3.333,17.292,0.625,0.125,0.125
519,1.36,1.16,1.4,49.88,10.96,3.32,17.396,0.6,0.12,0.12
529,1.385,1.231,1.0,50.115,11.192,3.462,17.362,0.615,0.115,0.115
546,1.37,1.259,3.5,50.593,11.148,3.444,17.315,0.593,0.111,0.111
551,1.464,1.25,2.5,50.536,11.5,3.75,17.293,0.571,0.107,0.107
604,1.586,1.207,1.8,51.0,11.621,3.793,17.307,0.586,0.138,0.138
645,1.567,1.167,1.0,50.7,11.633,3.733,17.303,0.567,0.133,0.133
666,1.613,1.194,1.3,50.871,11.774,3.742,17.303,0.548,0.129,0.129
678,1.594,1.156,0.8,50.938,11.719,3.719,17.372,0.531,0.125,0.125
692,1.545,1.212,1.7,51.455,11.727,3.697,17.406,0.515,0.121,0.121
698,1.5,1.206,2.0,52.147,12.059,3.765,17.432,0.529,0.118,0.118
721,1.571,1.229,0.9,51.6,12.086,3.743,17.491,0.514,0.143,0.143
738,1.583,1.222,0.5,51.361,12.111,3.833,17.542,0.5,0.139,0.139
