ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
105,1.0,1.2,0.6,50.7,9.4,3.0,0.37,0.692,16.98,0.9,0.1,0.1,0.0
116,0.909,1.273,1.6,52.364,9.545,2.909,0.353,0.66,16.964,0.909,0.091,0.091,0.0
121,0.833,1.25,0.6,53.417,10.25,3.167,0.351,0.647,17.017,0.833,0.083,0.083,0.0
130,0.846,1.231,1.4,52.077,10.154,3.231,0.358,0.648,17.423,0.769,0.077,0.077,0.0
141,0.857,1.286,2.0,52.429,10.286,3.071,0.339,0.602,17.529,0.786,0.143,0.143,0.0
153,1.0,1.267,1.1,51.6,10.533,3.267,0.345,0.595,17.553,0.8,0.2,0.2,0.067
161,1.0,1.188,3.7,51.5,10.562,3.25,0.34,0.62,17.362,0.812,0.188,0.188,0.062
170,1.176,1.118,0.4,52.059,11.176,3.706,0.351,0.643,17.235,0.765,0.176,0.176,0.059
179,1.111,1.056,2.4,52.889,11.167,3.722,0.352,0.662,17.394,0.722,0.167,0.167,0.056
189,1.211,1.0,2.2,53.579,11.632,3.842,0.349,0.68,17.353,0.737,0.158,0.158,0.053
200,1.3,1.0,0.9,53.0,11.5,3.85,0.354,0.686,17.245,0.7,0.15,0.15,0.05
206,1.238,0.952,0.8,52.524,11.762,3.81,0.345,0.701,17.414,0.81,0.143,0.143,0.048
216,1.227,1.0,0.8,52.182,11.636,3.773,0.345,0.7,17.473,0.773,0.136,0.136,0.091
232,1.174,1.0,2.3,52.739,11.739,3.739,0.339,0.707,17.465,0.783,0.13,0.13,0.087
245,1.292,1.042,0.3,52.458,11.75,3.75,0.339,0.703,17.533,0.75,0.167,0.167,0.083
254,1.24,1.04,2.3,52.16,11.56,3.64,0.331,0.701,17.612,0.72,0.16,0.16,0.08
266,1.308,1.038,2.5,52.308,11.538,3.615,0.329,0.7,17.646,0.692,0.192,0.192,0.077
284,1.296,1.037,1.7,52.556,11.667,3.556,0.322,0.704,17.567,0.667,0.185,0.185,0.074
289,1.321,1.036,1.4,52.536,11.679,3.5,0.316,0.702,17.743,0.643,0.214,0.214,0.071
294,1.379,1.103,0.1,52.862,11.828,3.586,0.318,0.692,17.759,0.621,0.207,0.207,0.069
308,1.333,1.167,1.7,52.3,11.533,3.533,0.33,0.688,17.797,0.6,0.2,0.2,0.067
314,1.387,1.129,2.7,52.387,11.613,3.581,0.331,0.698,17.813,0.613,0.194,0.194,0.065
321,1.375,1.125,0.8,52.906,11.812,3.625,0.329,0.676,17.756,0.625,0.188,0.188,0.094
334,1.333,1.121,2.0,53.091,11.879,3.606,0.325,0.656,17.773,0.606,0.182,0.182,0.091
346,1.353,1.088,0.9,53.324,12.088,3.618,0.322,0.666,17.75,0.618,0.176,0.176,0.088
