ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
200,1.2,1.1,0.9,57.1,12.3,4.2,0.377,0.617,17.26,0.5,0.1,0.1,0.1
232,1.091,1.0,2.3,55.818,12.727,4.091,0.359,0.652,17.582,0.727,0.091,0.091,0.091
245,1.333,1.083,0.3,55.0,12.667,4.083,0.357,0.647,17.708,0.667,0.167,0.167,0.083
284,1.231,1.077,1.7,54.231,12.231,3.846,0.34,0.649,17.846,0.615,0.154,0.154,0.077
294,1.286,1.071,0.1,54.071,12.214,3.714,0.328,0.65,18.179,0.571,0.214,0.214,0.071
314,1.2,1.2,2.7,52.867,11.6,3.6,0.351,0.645,18.227,0.533,0.2,0.2,0.067
321,1.188,1.188,0.8,53.875,12.0,3.688,0.346,0.604,18.088,0.562,0.188,0.188,0.125
346,1.118,1.176,0.9,54.176,12.118,3.647,0.338,0.569,18.1,0.529,0.176,0.176,0.118
375,1.222,1.167,0.8,54.778,12.278,3.833,0.345,0.537,18.189,0.556,0.167,0.167,0.111
399,1.263,1.105,0.3,54.737,12.474,3.895,0.344,0.562,18.326,0.579,0.158,0.158,0.105
415,1.2,1.15,2.7,53.75,12.15,3.85,0.352,0.564,18.345,0.55,0.15,0.15,0.1
439,1.19,1.095,1.1,53.619,13.0,3.952,0.344,0.584,18.276,0.571,0.143,0.143,0.095
460,1.273,1.091,1.7,53.273,12.955,4.091,0.355,0.592,18.25,0.545,0.136,0.136,0.091
461,1.304,1.13,2.7,53.304,13.13,4.174,0.355,0.595,18.222,0.565,0.13,0.13,0.087
489,1.375,1.125,1.6,53.292,13.458,4.333,0.356,0.602,18.183,0.583,0.125,0.167,0.083
501,1.36,1.08,2.5,53.56,13.44,4.36,0.357,0.618,18.3,0.6,0.12,0.2,0.08
533,1.385,1.038,1.8,54.038,13.846,4.423,0.353,0.632,18.281,0.615,0.115,0.192,0.077
543,1.444,1.0,2.8,54.296,13.889,4.444,0.352,0.646,18.185,0.593,0.111,0.185,0.074
564,1.464,0.964,0.8,54.321,14.107,4.536,0.352,0.659,18.236,0.643,0.107,0.214,0.071
591,1.448,1.0,1.2,53.448,13.862,4.448,0.35,0.601,18.145,0.621,0.103,0.207,0.103
618,1.4,0.967,1.7,54.167,14.067,4.467,0.347,0.615,18.167,0.667,0.1,0.2,0.1
628,1.419,0.968,3.1,54.548,14.387,4.548,0.345,0.611,18.097,0.645,0.097,0.194,0.097
660,1.438,0.969,2.4,54.594,14.75,4.562,0.34,0.607,18.019,0.656,0.094,0.188,0.094
663,1.455,0.939,0.5,54.333,14.909,4.606,0.339,0.619,17.964,0.636,0.121,0.212,0.091
683,1.412,0.971,1.9,54.176,14.735,4.529,0.336,0.611,18.097,0.618,0.118,0.206,0.088
702,1.4,1.0,2.3,54.457,14.886,4.514,0.332,0.603,18.057,0.657,0.114,0.2,0.086
729,1.444,1.0,2.0,54.444,14.833,4.556,0.335,0.608,18.092,0.667,0.139,0.222,0.111
751,1.459,1.0,4.2,54.703,14.946,4.676,0.339,0.606,17.989,0.703,0.135,0.216,0.108
772,1.553,1.0,2.7,55.184,15.211,4.763,0.338,0.603,17.963,0.684,0.158,0.237,0.105
797,1.615,1.026,2.6,55.051,15.308,4.821,0.339,0.587,17.836,0.667,0.154,0.231,0.103
807,1.625,1.025,2.4,55.45,15.475,4.9,0.34,0.589,17.778,0.675,0.15,0.225,0.1
828,1.634,1.024,2.4,55.537,15.634,4.976,0.34,0.591,17.741,0.683,0.146,0.22,0.098
845,1.667,1.024,2.7,55.738,15.786,5.071,0.342,0.589,17.762,0.69,0.143,0.214,0.119
885,1.698,1.047,2.3,55.442,15.651,5.093,0.348,0.583,17.681,0.674,0.163,0.233,0.116
913,1.773,1.023,2.1,55.75,15.841,5.182,0.349,0.593,17.643,0.682,0.159,0.227,0.114
929,1.8,1.022,1.1,55.978,15.844,5.178,0.348,0.594,17.656,0.689,0.156,0.222,0.133
958,1.761,1.0,3.1,56.196,15.87,5.152,0.345,0.603,17.641,0.674,0.152,0.217,0.13
976,1.787,1.021,1.6,56.213,16.064,5.149,0.342,0.601,17.568,0.66,0.149,0.213,0.128
981,1.771,1.021,1.6,56.479,16.208,5.188,0.342,0.599,17.61,0.646,0.146,0.208,0.125
1000,1.755,1.061,2.4,56.612,16.061,5.082,0.335,0.595,17.643,0.633,0.163,0.224,0.122
1003,1.8,1.04,2.1,56.94,16.04,5.08,0.335,0.603,17.548,0.62,0.16,0.22,0.12
1030,1.824,1.059,1.6,57.373,16.333,5.157,0.334,0.601,17.559,0.647,0.157,0.216,0.118
1033,1.865,1.058,3.8,57.462,16.308,5.154,0.334,0.605,17.537,0.635,0.154,0.212,0.115
1067,1.906,1.057,2.4,57.623,16.226,5.132,0.334,0.608,17.468,0.623,0.17,0.226,0.113
1094,1.926,1.093,1.7,57.926,16.389,5.13,0.331,0.606,17.428,0.611,0.167,0.222,0.111
1116,1.945,1.091,0.9,57.873,16.382,5.2,0.335,0.609,17.347,0.6,0.164,0.218,0.109
1131,1.911,1.125,2.8,57.571,16.339,5.143,0.332,0.607,17.33,0.589,0.161,0.214,0.107
1142,1.965,1.105,0.8,57.456,16.298,5.193,0.336,0.596,17.267,0.596,0.158,0.211,0.105
1163,1.966,1.103,3.2,57.81,16.276,5.224,0.338,0.595,17.298,0.586,0.155,0.207,0.103
1179,1.966,1.119,2.3,58.034,16.305,5.288,0.341,0.59,17.239,0.576,0.169,0.22,0.102
1198,1.983,1.117,1.8,57.983,16.317,5.283,0.34,0.589,17.202,0.567,0.167,0.217,0.1
1220,1.984,1.131,0.4,57.803,16.246,5.262,0.34,0.589,17.197,0.557,0.18,0.23,0.098
1234,1.968,1.113,2.8,57.661,16.177,5.21,0.337,0.579,17.229,0.548,0.177,0.226,0.097
1253,2.016,1.095,1.8,57.81,16.111,5.222,0.34,0.57,17.225,0.54,0.19,0.238,0.095
1273,2.031,1.094,2.8,57.891,16.109,5.234,0.341,0.574,17.172,0.531,0.188,0.234,0.094
1308,2.031,1.092,2.3,57.877,16.154,5.246,0.34,0.575,17.148,0.523,0.185,0.231,0.092
1328,2.03,1.076,2.7,57.742,16.303,5.288,0.34,0.582,17.103,0.515,0.182,0.227,0.091
1344,2.0,1.09,3.3,57.97,16.507,5.328,0.339,0.573,17.099,0.507,0.179,0.224,0.104
1367,2.044,1.074,3.5,58.0,16.574,5.353,0.339,0.579,17.093,0.5,0.176,0.221,0.103
1396,2.058,1.072,2.8,57.783,16.551,5.377,0.34,0.571,17.051,0.493,0.174,0.217,0.101
1413,2.086,1.071,1.3,57.743,16.571,5.4,0.341,0.57,17.004,0.486,0.171,0.214,0.1
