ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
28,3.0,0.0,1.3,54.0,13.0,5.0,0.385,1.0,14.1,2.0,0.0,0.0,0.0
41,2.0,1.5,0.9,44.0,8.5,4.0,0.567,0.812,14.55,1.0,0.0,0.0,0.0
65,1.333,1.333,1.0,43.333,9.333,3.667,0.469,0.808,15.833,1.333,0.0,0.0,0.0
85,1.25,1.0,0.9,44.0,8.5,3.0,0.394,0.856,18.025,1.0,0.25,0.25,0.0
105,1.0,0.8,0.6,42.0,8.6,2.8,0.359,0.885,18.34,1.2,0.2,0.2,0.0
130,0.833,1.0,1.4,46.5,9.0,2.667,0.33,0.793,18.083,1.167,0.167,0.167,0.0
153,0.857,1.143,1.1,48.0,9.429,2.429,0.294,0.68,18.2,1.143,0.286,0.286,0.0
161,0.875,1.0,3.7,48.25,9.625,2.5,0.292,0.72,17.737,1.125,0.25,0.25,0.0
189,1.222,0.889,2.2,49.667,10.889,3.444,0.318,0.751,17.456,1.0,0.222,0.222,0.0
206,1.4,0.9,0.8,48.9,10.7,3.5,0.33,0.756,17.23,0.9,0.2,0.2,0.0
216,1.364,1.0,0.8,48.545,10.545,3.455,0.331,0.748,17.364,0.818,0.182,0.182,0.091
254,1.25,1.0,2.3,49.917,10.833,3.417,0.321,0.758,17.358,0.833,0.167,0.167,0.083
266,1.385,1.0,2.5,50.385,10.846,3.385,0.317,0.751,17.446,0.769,0.231,0.231,0.077
289,1.357,1.0,1.4,51.0,11.143,3.286,0.304,0.755,17.307,0.714,0.214,0.214,0.071
308,1.467,1.133,1.7,51.733,11.467,3.467,0.309,0.731,17.367,0.667,0.2,0.2,0.067
334,1.562,1.062,2.0,51.938,11.625,3.562,0.312,0.748,17.425,0.688,0.188,0.188,0.062
350,1.588,1.0,0.6,52.471,12.059,3.588,0.306,0.763,17.4,0.706,0.176,0.176,0.059
368,1.556,0.944,1.8,51.389,11.667,3.5,0.311,0.776,17.583,0.667,0.167,0.167,0.056
401,0.0,2.0,0.2,64.0,22.0,4.0,0.182,0.333,19.0,1.0,0.0,0.0,0.0
424,0.0,3.5,1.1,42.0,11.5,2.0,0.091,0.417,12.9,0.5,0.0,0.0,0.0
446,0.333,2.333,0.4,46.0,12.0,2.333,0.138,0.611,15.5,0.667,0.0,0.0,0.0
471,0.25,1.75,0.7,45.0,11.0,2.25,0.166,0.708,16.9,0.75,0.0,0.0,0.0
498,0.6,1.4,0.4,43.2,10.6,2.8,0.244,0.767,16.86,0.6,0.0,0.0,0.0
519,0.5,1.833,1.4,42.333,9.667,2.833,0.303,0.731,17.367,0.5,0.0,0.0,0.0
529,0.714,2.0,1.0,44.286,10.714,3.429,0.319,0.722,17.243,0.571,0.0,0.0,0.143
546,0.75,2.0,3.5,46.625,10.625,3.375,0.316,0.707,17.1,0.5,0.0,0.0,0.125
551,1.111,1.889,2.5,46.889,11.778,4.333,0.345,0.628,17.056,0.444,0.0,0.0,0.222
604,1.5,1.7,1.8,48.6,12.1,4.4,0.343,0.666,17.12,0.5,0.1,0.1,0.2
645,1.455,1.545,1.0,48.0,12.091,4.182,0.327,0.696,17.127,0.455,0.091,0.091,0.182
666,1.583,1.583,1.3,48.667,12.417,4.167,0.321,0.697,17.142,0.417,0.083,0.083,0.167
678,1.538,1.462,0.8,49.0,12.231,4.077,0.319,0.721,17.323,0.385,0.077,0.077,0.154
692,1.429,1.571,1.7,50.357,12.214,4.0,0.314,0.687,17.407,0.357,0.071,0.071,0.214
698,1.333,1.533,2.0,52.0,12.933,4.133,0.311,0.686,17.467,0.4,0.067,0.067,0.2
721,1.5,1.562,0.9,50.812,12.938,4.062,0.306,0.643,17.594,0.375,0.125,0.125,0.188
738,1.529,1.529,0.5,50.353,12.941,4.235,0.319,0.644,17.694,0.353,0.118,0.118,0.176
746,1.444,1.611,0.6,49.944,12.722,4.278,0.333,0.631,18.044,0.333,0.111,0.111,0.222
786,2.0,0.0,1.3,44.0,10.0,2.0,0.2,1.0,14.6,1.0,0.0,0.0,0.0
820,2.5,0.0,1.3,50.5,12.0,4.0,0.314,1.0,14.7,0.5,0.0,0.0,0.0
826,2.0,1.0,1.5,53.667,13.333,3.667,0.272,0.833,16.0,0.667,0.0,0.0,0.0
853,2.25,0.75,0.5,56.0,13.25,4.5,0.339,0.875,16.55,0.5,0.0,0.0,0.0
874,2.0,0.6,1.0,55.4,12.4,4.4,0.36,0.9,16.56,0.6,0.0,0.0,0.2
892,1.833,0.667,2.1,56.0,12.333,4.167,0.341,0.861,16.667,0.5,0.0,0.0,0.167
904,1.714,0.571,2.1,55.857,12.571,3.857,0.313,0.881,16.357,0.429,0.0,0.0,0.143
924,1.75,0.5,2.9,56.625,12.75,3.75,0.301,0.896,16.025,0.375,0.0,0.0,0.125
947,2.0,0.667,1.8,53.889,12.889,4.111,0.323,0.863,15.489,0.333,0.0,0.0,0.111
961,2.0,0.6,0.9,53.4,13.0,4.2,0.326,0.877,15.73,0.5,0.0,0.0,0.1
982,1.818,0.636,3.2,54.909,13.182,4.0,0.309,0.865,15.9,0.455,0.0,0.0,0.091
994,2.0,0.75,0.7,55.917,13.75,4.083,0.304,0.843,15.883,0.417,0.0,0.0,0.083
1020,1.923,0.692,2.3,56.615,13.462,3.923,0.296,0.778,16.154,0.462,0.0,0.0,0.077
1056,2.0,0.643,1.4,56.5,13.571,4.143,0.308,0.794,16.086,0.5,0.0,0.0,0.071
1064,2.0,0.733,2.7,55.467,13.267,4.2,0.325,0.786,16.06,0.467,0.0,0.0,0.133
1081,2.0,0.812,0.5,56.375,13.062,4.25,0.336,0.736,15.925,0.438,0.0,0.062,0.188
1103,1.941,1.0,1.3,55.882,12.765,4.118,0.331,0.726,16.047,0.471,0.0,0.059,0.176
1124,1.944,0.944,0.6,55.278,12.611,4.222,0.345,0.741,16.078,0.444,0.0,0.056,0.167
1188,1.0,0.0,1.0,53.0,13.0,2.0,0.154,1.0,16.4,0.0,1.0,1.0,0.0
1205,1.0,0.0,3.4,63.5,13.0,3.0,0.231,1.0,16.9,0.0,0.5,0.5,0.0
1227,2.0,0.0,1.0,61.333,13.0,4.0,0.308,1.0,16.433,0.0,1.0,1.0,0.0
1247,2.0,0.5,0.6,60.0,13.0,3.75,0.288,0.875,15.9,0.0,0.75,0.75,0.25
1267,1.6,0.6,1.6,59.6,13.2,3.2,0.245,0.7,16.86,0.0,0.6,0.6,0.2
