ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
12,3.0,0.0,1.1,54.0,13.0,5.0,0.385,1.0,14.1,2.0,0.0,0.0,0.0
28,2.5,0.5,1.3,58.0,10.0,4.0,0.407,0.75,14.45,1.0,0.0,0.0,0.0
36,2.0,1.333,0.6,50.0,8.0,3.667,0.521,0.708,14.633,0.667,0.0,0.0,0.0
41,2.0,1.25,0.9,53.5,7.5,4.0,0.599,0.656,15.05,0.5,0.0,0.0,0.0
56,1.6,1.2,0.7,51.2,8.2,3.8,0.534,0.685,15.72,0.8,0.0,0.0,0.0
65,1.333,1.167,1.0,52.0,8.833,3.833,0.5,0.654,15.6,0.833,0.0,0.0,0.0
78,1.286,1.0,1.5,51.143,8.429,3.429,0.453,0.704,16.886,0.714,0.143,0.143,0.0
85,1.125,1.25,0.9,52.125,9.0,3.25,0.415,0.666,16.825,0.625,0.125,0.125,0.0
96,1.0,1.111,1.5,50.111,9.0,3.111,0.394,0.703,17.133,0.778,0.111,0.111,0.0
105,1.0,1.2,0.6,50.7,9.4,3.0,0.37,0.692,16.98,0.9,0.1,0.1,0.0
116,0.909,1.273,1.6,52.364,9.545,2.909,0.353,0.66,16.964,0.909,0.091,0.091,0.0
121,0.833,1.25,0.6,53.417,10.25,3.167,0.351,0.647,17.017,0.833,0.083,0.083,0.0
130,0.846,1.231,1.4,52.077,10.154,3.231,0.358,0.648,17.423,0.769,0.077,0.077,0.0
141,0.857,1.286,2.0,52.429,10.286,3.071,0.339,0.602,17.529,0.786,0.143,0.143,0.0
153,1.0,1.267,1.1,51.6,10.533,3.267,0.345,0.595,17.553,0.8,0.2,0.2,0.067
161,1.0,1.188,3.7,51.5,10.562,3.25,0.34,0.62,17.362,0.812,0.188,0.188,0.062
170,1.176,1.118,0.4,52.059,11.176,3.706,0.351,0.643,17.235,0.765,0.176,0.176,0.059
179,1.111,1.056,2.4,52.889,11.167,3.722,0.352,0.662,17.394,0.722,0.167,0.167,0.056
189,1.211,1.0,2.2,53.579,11.632,3.842,0.349,0.68,17.353,0.737,0.158,0.158,0.053
200,1.3,1.0,0.9,53.0,11.5,3.85,0.354,0.686,17.245,0.7,0.15,0.15,0.05
206,1.238,0.952,0.8,52.524,11.762,3.81,0.345,0.701,17.414,0.81,0.143,0.143,0.048
216,1.227,1.0,0.8,52.182,11.636,3.773,0.345,0.7,17.473,0.773,0.136,0.136,0.091
232,1.174,1.0,2.3,52.739,11.739,3.739,0.339,0.707,17.465,0.783,0.13,0.13,0.087
245,1.292,1.042,0.3,52.458,11.75,3.75,0.339,0.703,17.533,0.75,0.167,0.167,0.083
254,1.24,1.04,2.3,52.16,11.56,3.64,0.331,0.701,17.612,0.72,0.16,0.16,0.08
266,1.308,1.038,2.5,52.308,11.538,3.615,0.329,0.7,17.646,0.692,0.192,0.192,0.077
284,1.296,1.037,1.7,52.556,11.667,3.556,0.322,0.704,17.567,0.667,0.185,0.185,0.074
289,1.321,1.036,1.4,52.536,11.679,3.5,0.316,0.702,17.743,0.643,0.214,0.214,0.071
294,1.379,1.103,0.1,52.862,11.828,3.586,0.318,0.692,17.759,0.621,0.207,0.207,0.069
308,1.333,1.167,1.7,52.3,11.533,3.533,0.33,0.688,17.797,0.6,0.2,0.2,0.067
314,1.387,1.129,2.7,52.387,11.613,3.581,0.331,0.698,17.813,0.613,0.194,0.194,0.065
321,1.375,1.125,0.8,52.906,11.812,3.625,0.329,0.676,17.756,0.625,0.188,0.188,0.094
334,1.333,1.121,2.0,53.091,11.879,3.606,0.325,0.656,17.773,0.606,0.182,0.182,0.091
346,1.353,1.088,0.9,53.324,12.088,3.618,0.322,0.666,17.75,0.618,0.176,0.176,0.088
350,1.4,1.086,0.6,53.657,12.171,3.714,0.326,0.647,17.806,0.629,0.171,0.171,0.086
368,1.389,1.056,1.8,53.083,11.972,3.667,0.328,0.657,17.886,0.611,0.167,0.167,0.083
375,1.432,1.054,0.8,53.486,11.811,3.649,0.333,0.661,17.786,0.595,0.162,0.162,0.081
399,0.0,2.0,0.3,64.0,22.0,4.0,0.182,0.333,19.0,1.0,0.0,0.0,0.0
401,0.0,2.0,0.2,49.5,14.0,3.5,0.341,0.467,18.85,0.5,0.0,0.0,0.0
415,0.0,3.0,2.7,39.667,9.667,2.333,0.227,0.478,14.833,0.333,0.0,0.0,0.0
424,0.25,2.25,1.1,42.5,14.75,3.25,0.22,0.608,15.35,0.5,0.0,0.0,0.0
439,0.4,1.8,1.1,44.8,14.4,3.2,0.223,0.687,16.42,0.6,0.0,0.0,0.0
446,0.833,1.667,0.4,45.0,14.0,3.833,0.283,0.697,16.633,0.5,0.0,0.0,0.0
460,0.714,1.429,1.7,44.571,13.143,3.571,0.278,0.74,17.271,0.571,0.0,0.0,0.0
461,0.875,1.5,2.7,45.75,13.625,3.875,0.287,0.731,17.312,0.625,0.0,0.0,0.0
471,1.111,1.444,0.7,46.556,14.444,4.333,0.298,0.733,17.311,0.667,0.0,0.111,0.0
