ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
36,2.0,1.0,0.6,62.0,7.0,3.0,0.429,0.5,14.8,0.0,0.0,0.0,0.0
56,2.0,1.0,0.7,63.0,6.5,4.0,0.631,0.5,15.55,0.0,0.0,0.0,0.0
78,1.333,1.0,1.5,60.667,8.333,4.0,0.532,0.5,15.367,0.333,0.0,0.0,0.0
96,1.0,1.5,1.5,60.25,9.5,3.5,0.437,0.475,15.625,0.25,0.0,0.0,0.0
116,1.0,1.6,1.6,59.4,10.2,3.2,0.381,0.5,15.62,0.6,0.0,0.0,0.0
121,0.833,1.5,0.6,60.333,11.5,3.667,0.373,0.5,15.95,0.5,0.0,0.0,0.0
141,0.857,1.429,2.0,56.857,11.143,3.714,0.383,0.524,16.857,0.429,0.0,0.0,0.0
170,1.125,1.375,0.4,54.75,11.5,4.0,0.389,0.521,16.987,0.5,0.125,0.125,0.125
179,1.0,1.222,2.4,56.111,11.444,4.0,0.386,0.574,17.333,0.444,0.111,0.111,0.111
200,1.2,1.1,0.9,57.1,12.3,4.2,0.377,0.617,17.26,0.5,0.1,0.1,0.1
232,1.091,1.0,2.3,55.818,12.727,4.091,0.359,0.652,17.582,0.727,0.091,0.091,0.091
245,1.333,1.083,0.3,55.0,12.667,4.083,0.357,0.647,17.708,0.667,0.167,0.167,0.083
284,1.231,1.077,1.7,54.231,12.231,3.846,0.34,0.649,17.846,0.615,0.154,0.154,0.077
294,1.286,1.071,0.1,54.071,12.214,3.714,0.328,0.65,18.179,0.571,0.214,0.214,0.071
314,1.2,1.2,2.7,52.867,11.6,3.6,0.351,0.645,18.227,0.533,0.2,0.2,0.067
321,1.188,1.188,0.8,53.875,12.0,3.688,0.346,0.604,18.088,0.562,0.188,0.188,0.125
346,1.118,1.176,0.9,54.176,12.118,3.647,0.338,0.569,18.1,0.529,0.176,0.176,0.118
375,1.222,1.167,0.8,54.778,12.278,3.833,0.345,0.537,18.189,0.556,0.167,0.167,0.111
415,0.0,2.0,2.7,35.0,6.0,3.0,0.5,0.6,18.7,0.0,0.0,0.0,0.0
439,0.5,1.0,1.1,43.0,18.0,4.5,0.35,0.8,17.8,0.5,0.0,0.0,0.0
460,1.333,1.0,1.7,44.0,16.0,5.333,0.428,0.783,17.767,0.333,0.0,0.0,0.0
461,1.5,1.25,2.7,46.5,16.25,5.5,0.409,0.754,17.725,0.5,0.0,0.0,0.0
489,1.8,1.2,1.6,47.8,17.2,6.0,0.403,0.753,17.64,0.6,0.0,0.2,0.0
501,1.667,1.0,2.5,49.833,16.5,5.833,0.4,0.794,18.217,0.667,0.0,0.333,0.0
533,1.714,0.857,1.8,52.143,17.571,5.857,0.379,0.824,18.157,0.714,0.0,0.286,0.0
543,1.875,0.75,2.8,53.25,17.25,5.75,0.373,0.846,17.85,0.625,0.0,0.25,0.0
564,1.889,0.667,0.8,53.444,17.556,5.889,0.371,0.863,18.044,0.778,0.0,0.333,0.0
591,1.8,0.8,1.2,51.0,16.5,5.5,0.362,0.677,17.8,0.7,0.0,0.3,0.1
618,1.636,0.727,1.7,53.182,16.818,5.455,0.352,0.706,17.891,0.818,0.0,0.273,0.091
628,1.667,0.75,3.1,54.25,17.417,5.583,0.347,0.689,17.733,0.75,0.0,0.25,0.083
660,1.692,0.769,2.4,54.385,18.077,5.538,0.335,0.674,17.569,0.769,0.0,0.231,0.077
663,1.714,0.714,0.5,53.786,18.214,5.571,0.332,0.698,17.471,0.714,0.071,0.286,0.071
683,1.6,0.8,1.9,53.467,17.6,5.333,0.325,0.673,17.807,0.667,0.067,0.267,0.067
702,1.562,0.875,2.3,54.125,17.75,5.25,0.317,0.652,17.738,0.75,0.062,0.25,0.062
729,1.647,0.882,2.0,54.118,17.471,5.294,0.326,0.661,17.829,0.765,0.118,0.294,0.118
751,1.667,0.889,4.2,54.667,17.556,5.5,0.334,0.652,17.633,0.833,0.111,0.278,0.111
797,4.0,2.0,2.6,50.0,19.0,7.0,0.368,0.0,13.0,0.0,0.0,0.0,0.0
807,3.0,1.5,2.4,60.5,20.5,7.5,0.366,0.333,14.25,0.5,0.0,0.0,0.0
828,2.667,1.333,2.4,60.0,21.0,7.667,0.365,0.444,14.933,0.667,0.0,0.0,0.0
845,2.75,1.25,2.7,61.0,21.25,8.0,0.376,0.458,15.85,0.75,0.0,0.0,0.25
885,2.8,1.4,2.3,57.4,19.0,7.6,0.421,0.433,15.54,0.6,0.2,0.2,0.2
913,3.167,1.167,2.1,59.333,19.833,7.833,0.413,0.528,15.617,0.667,0.167,0.167,0.167
929,3.143,1.143,1.1,60.286,19.286,7.429,0.399,0.548,15.986,0.714,0.143,0.143,0.286
958,2.75,1.0,3.1,61.0,19.0,7.0,0.378,0.604,16.112,0.625,0.125,0.125,0.25
976,2.778,1.111,1.6,60.556,19.667,6.778,0.359,0.593,15.9,0.556,0.111,0.111,0.222
981,2.6,1.1,1.6,61.4,20.0,6.8,0.353,0.583,16.27,0.5,0.1,0.1,0.2
1000,2.455,1.273,2.4,61.545,19.0,6.182,0.321,0.567,16.536,0.455,0.182,0.182,0.182
1003,2.583,1.167,2.1,62.5,18.667,6.083,0.322,0.603,16.233,0.417,0.167,0.167,0.167
1030,2.615,1.231,1.6,63.769,19.615,6.308,0.32,0.595,16.377,0.538,0.154,0.154,0.154
1033,2.714,1.214,3.8,63.643,19.286,6.214,0.321,0.61,16.379,0.5,0.143,0.143,0.143
1067,2.8,1.2,2.4,63.8,18.8,6.067,0.321,0.622,16.213,0.467,0.2,0.2,0.133
1094,2.812,1.312,1.7,64.438,19.188,6.0,0.314,0.615,16.156,0.438,0.188,0.188,0.125
1116,2.824,1.294,0.9,63.882,19.0,6.176,0.329,0.623,15.971,0.412,0.176,0.176,0.118
1131,2.667,1.389,2.8,62.611,18.722,5.944,0.318,0.616,15.994,0.389,0.167,0.167,0.111
1163,2.0,1.0,3.2,78.0,15.0,7.0,0.467,0.5,19.1,0.0,0.0,0.0,0.0
1179,2.0,1.5,2.3,74.5,16.5,8.0,0.483,0.417,16.45,0.0,0.5,0.5,0.0
1198,2.333,1.333,1.8,68.0,16.667,7.0,0.42,0.444,15.967,0.0,0.333,0.333,0.0
1220,2.25,1.5,0.4,62.75,15.5,6.25,0.399,0.483,16.2,0.0,0.5,0.5,0.0
1234,2.0,1.2,2.8,60.0,14.8,5.4,0.352,0.387,16.8,0.0,0.4,0.4,0.0
1253,2.5,1.0,1.8,61.167,14.333,5.5,0.377,0.322,16.833,0.0,0.5,0.5,0.0
1273,2.571,1.0,2.8,61.429,14.571,5.571,0.377,0.39,16.4,0.0,0.429,0.429,0.0
1308,2.5,1.0,2.3,60.875,15.125,5.625,0.369,0.425,16.3,0.0,0.375,0.375,0.0
1328,2.444,0.889,2.7,59.556,16.333,5.889,0.362,0.489,16.067,0.0,0.333,0.333,0.0
1344,2.2,1.0,3.3,60.9,17.7,6.1,0.353,0.44,16.14,0.0,0.3,0.3,0.1
