ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
206,1.4,0.9,0.8,48.9,10.7,3.5,17.23,0.9,0.2,0.2
216,1.2,1.1,0.8,48.0,10.3,3.3,17.69,0.7,0.2,0.2
254,1.1,0.9,2.3,51.1,11.3,3.3,17.92,0.8,0.2,0.2
266,1.4,0.9,2.5,52.5,11.3,3.3,17.93,0.6,0.3,0.3
289,1.4,1.0,1.4,53.8,12.2,3.4,17.02,0.6,0.2,0.2
308,1.7,1.3,1.7,56.6,12.9,3.8,16.88,0.4,0.2,0.2
334,2.0,1.1,2.0,55.2,13.2,4.1,17.03,0.4,0.2,0.2
350,2.1,0.9,0.6,55.6,13.9,4.4,16.84,0.4,0.1,0.1
368,2.1,0.9,1.8,53.9,13.3,4.3,17.46,0.3,0.1,0.1
381,2.0,1.0,1.3,54.6,11.8,3.5,17.36,0.3,0.1,0.1
401,1.7,1.1,0.2,56.8,13.1,3.5,17.74,0.4,0.1,0.1
424,1.6,1.4,1.1,54.3,12.3,3.2,16.55,0.4,0.1,0.1
446,1.7,1.3,0.4,53.2,12.2,3.2,16.89,0.4,0.1,0.1
471,1.4,1.2,0.7,51.8,11.9,3.1,17.15,0.5,0.0,0.0
498,1.5,1.1,0.4,49.5,11.3,3.4,17.27,0.5,0.0,0.0
519,1.2,1.2,1.4,47.1,10.2,3.1,17.44,0.5,0.0,0.0
529,1.1,1.5,1.0,47.2,10.5,3.3,17.26,0.5,0.0,0.0
546,1.0,1.7,3.5,47.4,9.6,3.2,17.17,0.4,0.0,0.0
551,1.3,1.8,2.5,49.0,11.2,4.2,16.77,0.4,0.0,0.0
604,1.5,1.7,1.8,48.6,12.1,4.4,17.12,0.5,0.1,0.1
645,1.6,1.5,1.0,46.4,11.1,4.2,16.94,0.4,0.1,0.1
666,1.9,1.2,1.3,50.0,12.6,4.6,17.99,0.4,0.1,0.1
678,1.9,1.2,0.8,49.9,12.3,4.6,17.87,0.3,0.1,0.1
692,1.9,1.5,1.7,52.5,12.7,4.7,17.61,0.2,0.1,0.1
698,1.7,1.6,2.0,56.4,14.1,4.8,17.77,0.3,0.1,0.1
721,2.1,1.4,0.9,55.9,14.9,4.8,17.73,0.3,0.2,0.2
738,2.1,1.2,0.5,54.6,14.5,4.8,18.01,0.2,0.2,0.2
746,2.0,1.3,0.6,52.6,14.4,5.0,18.8,0.2,0.2,0.2
761,1.6,1.4,1.0,52.6,13.4,4.0,19.24,0.2,0.2,0.2
786,1.3,1.4,1.3,50.6,12.9,3.7,18.93,0.2,0.1,0.1
820,1.5,1.4,1.3,52.1,13.1,4.1,18.69,0.2,0.1,0.1
826,1.3,1.5,1.5,52.5,13.1,4.0,18.82,0.3,0.1,0.1
853,1.5,1.5,0.5,53.5,13.4,4.4,18.69,0.3,0.1,0.1
874,1.6,1.2,1.0,52.0,13.1,4.5,18.5,0.4,0.1,0.1
892,1.7,1.2,2.1,50.4,12.0,4.2,18.39,0.3,0.1,0.1
904,1.4,1.0,2.1,52.6,12.1,4.1,17.89,0.3,0.0,0.0
924,1.4,0.9,2.9,54.5,12.2,3.7,17.33,0.3,0.0,0.0
947,1.8,0.8,1.8,53.4,12.7,3.9,16.05,0.3,0.0,0.0
961,2.0,0.6,0.9,53.4,13.0,4.2,15.73,0.5,0.0,0.0
982,1.8,0.7,3.2,56.0,13.5,4.2,16.03,0.4,0.0,0.0
994,1.9,0.9,0.7,57.0,14.1,4.1,16.12,0.4,0.0,0.0
1020,1.9,0.6,2.3,57.5,13.5,4.0,16.2,0.4,0.0,0.0
1056,1.9,0.6,1.4,56.7,13.7,4.0,15.9,0.5,0.0,0.0
1064,2.0,0.8,2.7,55.5,13.7,4.1,15.81,0.4,0.0,0.0
1081,2.1,0.9,0.5,56.6,13.5,4.3,15.48,0.4,0.0,0.1
