ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
105,1.0,1.2,0.6,50.7,9.4,3.0,16.98,0.9,0.1,0.1
116,0.7,1.4,1.6,52.2,9.2,2.7,17.25,0.8,0.1,0.1
121,0.5,1.4,0.6,52.5,10.3,3.0,17.53,0.8,0.1,0.1
130,0.5,1.2,1.4,52.7,10.8,3.1,18.26,0.8,0.1,0.1
141,0.4,1.3,2.0,52.0,11.4,2.7,18.52,0.9,0.2,0.2
153,0.7,1.3,1.1,51.8,11.7,3.0,18.47,0.8,0.3,0.3
161,0.8,1.2,3.7,51.2,11.6,2.9,18.42,0.8,0.3,0.3
170,1.1,1.2,0.4,52.7,13.1,3.9,17.48,0.8,0.2,0.2
179,1.1,0.9,2.4,53.5,12.9,4.1,17.85,0.8,0.2,0.2
189,1.4,0.9,2.2,56.7,14.0,4.5,17.55,0.7,0.2,0.2
200,1.6,0.8,0.9,55.3,13.6,4.7,17.51,0.5,0.2,0.2
206,1.6,0.6,0.8,52.7,14.2,4.8,17.91,0.7,0.2,0.2
216,1.7,0.7,0.8,50.7,13.3,4.5,18.02,0.7,0.2,0.2
232,1.6,0.7,2.3,53.6,13.8,4.4,17.52,0.8,0.2,0.2
245,1.9,0.7,0.3,52.5,13.8,4.7,17.54,0.7,0.2,0.2
254,1.6,0.7,2.3,53.0,13.1,4.2,17.7,0.6,0.1,0.1
266,1.8,0.8,2.5,53.6,13.1,4.2,18.1,0.5,0.2,0.2
284,1.5,0.9,1.7,53.4,12.5,3.3,18.13,0.5,0.2,0.2
289,1.7,1.0,1.4,51.9,12.6,3.1,18.37,0.5,0.3,0.3
294,1.7,1.3,0.1,51.5,12.2,3.1,18.53,0.4,0.3,0.3
308,1.4,1.5,1.7,50.9,11.6,2.9,18.9,0.4,0.3,0.3
314,1.7,1.5,2.7,52.1,11.3,3.1,18.65,0.2,0.3,0.3
321,1.7,1.4,0.8,54.5,12.2,3.3,18.38,0.3,0.3,0.3
334,1.7,1.4,2.0,53.9,12.2,3.3,18.48,0.2,0.3,0.3
346,1.5,1.2,0.9,55.4,12.9,3.3,18.27,0.3,0.2,0.2
350,1.8,1.2,0.6,57.4,13.7,3.9,18.29,0.4,0.2,0.2
368,1.6,1.1,1.8,55.1,13.1,3.8,18.51,0.4,0.1,0.1
375,1.8,1.1,0.8,56.0,12.2,3.9,18.38,0.4,0.1,0.1
381,1.8,1.0,1.3,56.2,12.6,4.2,18.21,0.5,0.0,0.0
399,1.5,0.9,0.3,56.4,13.2,4.0,18.29,0.6,0.0,0.0
401,1.5,0.8,0.2,56.3,13.5,4.1,18.27,0.6,0.0,0.0
415,1.2,1.3,2.7,52.8,12.2,3.6,17.12,0.5,0.0,0.0
424,1.2,1.2,1.1,51.0,13.4,3.7,17.21,0.5,0.0,0.0
439,1.3,1.1,1.1,50.5,13.3,3.7,17.45,0.6,0.0,0.0
446,1.4,1.2,0.4,49.0,12.6,4.0,17.52,0.5,0.0,0.0
460,1.1,1.1,1.7,46.7,11.9,3.5,17.66,0.5,0.0,0.0
461,1.2,1.3,2.7,48.8,13.1,3.9,17.35,0.6,0.0,0.0
471,1.2,1.3,0.7,47.3,14.6,4.4,17.66,0.7,0.0,0.1
489,1.2,1.3,1.6,45.5,13.9,4.4,17.25,0.6,0.0,0.1
498,1.3,1.1,0.4,45.1,13.0,4.5,17.46,0.6,0.0,0.2
501,1.3,1.3,2.5,45.4,12.9,4.5,17.58,0.6,0.0,0.2
519,1.5,0.8,1.4,50.0,15.2,5.1,18.68,0.7,0.0,0.2
529,1.6,1.1,1.0,50.5,13.9,5.2,18.64,0.7,0.0,0.2
533,1.6,1.3,1.8,51.4,13.6,5.2,18.18,0.6,0.0,0.2
543,1.6,1.2,2.8,52.9,13.9,5.0,17.98,0.6,0.0,0.2
