ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
201,1.6,1.0,0.6,49.1,13.6,5.1,17.05,0.8,0.2,0.3
229,1.545,0.909,0.1,48.364,13.091,5.0,16.973,0.727,0.182,0.273
251,1.417,0.833,0.7,47.833,12.333,4.667,17.55,0.667,0.167,0.25
261,1.385,0.769,2.3,46.538,12.077,4.615,17.415,0.615,0.154,0.231
277,1.286,0.786,0.9,48.357,12.357,4.571,17.321,0.643,0.143,0.214
303,1.267,0.8,0.5,48.533,12.533,4.667,17.507,0.6,0.133,0.2
333,1.25,0.875,1.6,47.688,12.312,4.688,17.5,0.562,0.125,0.188
357,1.294,0.882,1.4,48.0,12.353,4.706,17.624,0.588,0.118,0.176
366,1.333,1.0,1.4,48.389,12.722,4.722,17.639,0.667,0.111,0.167
387,1.368,1.0,1.2,47.947,13.105,4.684,17.605,0.632,0.105,0.158
418,1.4,1.1,1.2,48.65,12.95,4.5,17.865,0.65,0.15,0.2
432,1.333,1.19,1.0,48.381,13.19,4.571,17.9,0.619,0.143,0.19
448,1.318,1.136,1.2,48.045,12.909,4.5,17.727,0.636,0.136,0.182
461,1.304,1.174,1.4,47.87,12.957,4.435,17.739,0.609,0.13,0.174
481,1.292,1.25,0.6,47.833,12.833,4.417,17.717,0.625,0.125,0.167
503,1.24,1.24,0.5,47.68,12.88,4.36,17.788,0.64,0.12,0.16
534,1.269,1.231,0.2,47.231,12.769,4.308,17.892,0.692,0.115,0.154
539,1.222,1.222,2.0,46.889,12.444,4.148,18.104,0.704,0.111,0.148
567,1.25,1.179,0.8,47.0,12.607,4.214,18.054,0.679,0.107,0.143
586,1.241,1.207,0.8,47.276,12.724,4.241,18.021,0.655,0.103,0.138
610,1.233,1.167,0.6,47.367,12.567,4.2,18.08,0.7,0.1,0.133
631,1.194,1.161,1.0,47.839,12.516,4.097,18.139,0.71,0.097,0.129
