ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
126,2.1,1.3,1.5,49.8,14.5,5.0,17.19,0.5,0.2,0.3
135,1.909,1.182,2.4,50.636,15.636,5.091,17.173,0.545,0.182,0.273
139,2.0,1.083,3.9,52.0,15.833,5.417,17.383,0.583,0.25,0.333
149,2.077,1.0,0.7,51.0,16.154,5.692,16.992,0.538,0.231,0.308
157,2.0,1.0,1.4,50.0,15.714,5.429,17.029,0.5,0.214,0.286
182,1.933,1.067,0.6,50.133,15.667,5.4,16.853,0.533,0.2,0.267
185,1.812,1.125,2.3,48.938,15.375,5.312,16.962,0.562,0.188,0.25
191,1.824,1.059,2.2,49.471,15.294,5.294,16.988,0.529,0.176,0.235
201,1.833,1.167,0.6,50.111,15.444,5.556,16.883,0.556,0.167,0.222
213,1.789,1.105,0.7,49.632,15.053,5.474,16.847,0.526,0.158,0.211
216,1.75,1.2,1.2,49.95,14.75,5.3,16.88,0.55,0.15,0.2
229,1.714,1.143,0.1,49.238,14.619,5.429,16.867,0.524,0.143,0.19
244,1.636,1.091,1.4,48.909,14.136,5.227,17.186,0.5,0.136,0.182
251,1.609,1.13,0.7,49.0,14.0,5.087,17.161,0.478,0.13,0.174
261,1.583,1.083,2.3,48.25,13.792,5.042,17.104,0.458,0.125,0.167
268,1.52,1.08,0.6,49.2,13.88,5.0,17.064,0.48,0.12,0.16
277,1.462,1.038,0.9,49.192,13.692,4.846,17.1,0.462,0.115,0.154
290,1.444,1.037,0.4,49.259,13.741,4.889,17.211,0.444,0.111,0.148
297,1.393,1.071,1.5,49.286,13.536,4.75,17.307,0.429,0.107,0.143
303,1.448,1.069,0.5,49.414,13.552,4.724,17.39,0.414,0.103,0.138
319,1.433,1.1,0.7,48.933,13.4,4.733,17.39,0.4,0.1,0.133
327,1.419,1.129,3.2,48.258,13.226,4.677,17.3,0.387,0.097,0.129
333,1.438,1.156,1.6,48.938,13.531,4.844,17.262,0.375,0.125,0.156
344,1.455,1.152,0.5,49.061,13.515,4.848,17.333,0.394,0.121,0.152
351,1.441,1.206,0.6,48.824,13.441,4.853,17.426,0.382,0.118,0.147
357,1.4,1.171,1.4,49.086,13.429,4.771,17.477,0.4,0.114,0.143
366,1.417,1.222,1.4,49.25,13.583,4.778,17.489,0.444,0.111,0.139
380,1.432,1.216,1.1,49.0,13.757,4.757,17.476,0.432,0.108,0.135
387,1.447,1.211,1.2,48.474,13.526,4.684,17.579,0.421,0.132,0.158
393,1.462,1.256,1.2,48.821,13.436,4.59,17.713,0.436,0.154,0.179
404,1.475,1.225,0.7,48.775,13.325,4.5,17.758,0.425,0.175,0.2
418,1.463,1.22,1.2,48.707,13.171,4.512,17.661,0.415,0.171,0.195
427,1.429,1.262,0.8,48.571,13.286,4.548,17.683,0.405,0.167,0.19
432,1.465,1.233,1.0,48.721,13.326,4.512,17.721,0.419,0.163,0.186
448,1.455,1.205,1.2,48.545,13.182,4.477,17.639,0.432,0.159,0.182
455,1.444,1.222,1.0,48.444,13.2,4.444,17.647,0.422,0.156,0.178
461,1.457,1.261,1.4,48.435,13.217,4.457,17.654,0.413,0.152,0.174
479,1.447,1.298,0.7,48.404,13.149,4.447,17.645,0.426,0.149,0.17
481,1.438,1.354,0.6,48.292,13.062,4.417,17.619,0.417,0.146,0.167
492,1.408,1.347,0.7,48.204,13.082,4.388,17.657,0.429,0.143,0.163
503,1.42,1.32,0.5,48.0,13.0,4.4,17.634,0.42,0.14,0.16
516,1.431,1.314,0.8,47.765,12.941,4.373,17.69,0.451,0.137,0.157
528,1.423,1.327,2.1,47.538,12.865,4.346,17.602,0.442,0.135,0.154
534,1.434,1.321,0.2,47.415,12.868,4.34,17.532,0.434,0.132,0.151
539,1.407,1.315,2.0,47.241,12.704,4.259,17.644,0.444,0.13,0.148
554,1.418,1.291,0.4,47.291,12.782,4.291,17.627,0.436,0.127,0.145
567,1.411,1.321,0.8,47.196,12.696,4.232,17.648,0.429,0.125,0.143
579,1.404,1.333,1.9,47.333,12.754,4.246,17.639,0.421,0.123,0.14
586,1.414,1.345,0.8,47.448,12.759,4.328,17.553,0.414,0.121,0.138
602,1.407,1.322,1.6,47.492,12.678,4.305,17.592,0.441,0.119,0.136
610,1.433,1.35,0.6,47.367,12.667,4.3,17.56,0.433,0.117,0.133
621,1.41,1.344,1.3,47.607,12.639,4.246,17.598,0.443,0.115,0.131
631,1.387,1.339,1.0,47.79,12.758,4.194,17.653,0.452,0.113,0.129
643,1.397,1.317,2.5,47.571,12.698,4.19,17.651,0.46,0.111,0.127
651,1.438,1.297,1.5,47.422,12.719,4.266,17.62,0.453,0.109,0.125
657,1.462,1.277,1.1,47.446,12.754,4.338,17.651,0.462,0.108,0.123
666,1.455,1.288,0.5,47.53,12.758,4.379,17.609,0.47,0.106,0.121
673,1.433,1.284,2.1,47.522,12.687,4.328,17.597,0.493,0.104,0.119
685,1.426,1.294,1.6,47.574,12.706,4.324,17.632,0.5,0.118,0.132
703,1.406,1.333,0.9,47.638,12.797,4.377,17.613,0.507,0.116,0.13
716,1.386,1.314,1.8,47.471,12.771,4.357,17.617,0.5,0.114,0.129
723,1.394,1.296,2.1,47.437,12.887,4.38,17.59,0.493,0.113,0.127
733,1.417,1.292,1.4,47.486,12.875,4.417,17.6,0.5,0.111,0.125
741,1.411,1.301,1.0,47.384,12.822,4.411,17.547,0.493,0.11,0.123
749,1.405,1.297,1.5,47.405,12.824,4.405,17.562,0.486,0.108,0.122
758,1.4,1.293,0.2,47.72,12.947,4.467,17.587,0.48,0.107,0.12
764,1.408,1.316,0.7,47.474,12.829,4.434,17.576,0.474,0.105,0.118
771,1.39,1.325,2.3,47.701,12.857,4.403,17.668,0.468,0.104,0.117
783,1.397,1.321,0.9,47.821,12.846,4.385,17.612,0.462,0.103,0.115
798,1.392,1.342,0.5,47.835,12.848,4.392,17.614,0.456,0.101,0.114
