ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
244,1.9,1.4,1.4,50.2,16.3,5.9,16.75,0.3,0.1,0.1
268,1.818,1.455,0.6,50.273,15.818,5.545,16.736,0.273,0.091,0.091
290,1.667,1.333,0.4,50.167,15.25,5.167,16.842,0.25,0.083,0.083
297,1.538,1.385,1.5,50.154,14.692,4.846,17.077,0.231,0.077,0.077
319,1.643,1.357,0.7,50.357,14.643,4.786,17.264,0.214,0.071,0.071
327,1.6,1.4,3.2,48.867,14.2,4.667,17.087,0.2,0.067,0.067
344,1.625,1.438,0.5,50.188,14.75,5.0,17.025,0.188,0.125,0.125
351,1.588,1.529,0.6,49.647,14.529,5.0,17.229,0.176,0.118,0.118
380,1.5,1.444,1.1,50.111,14.444,4.833,17.339,0.222,0.111,0.111
393,1.526,1.421,1.2,49.0,13.947,4.684,17.553,0.211,0.158,0.158
404,1.55,1.35,0.7,48.9,13.7,4.5,17.65,0.2,0.2,0.2
427,1.524,1.333,0.8,48.762,13.381,4.524,17.467,0.19,0.19,0.19
455,1.591,1.273,1.0,49.045,13.455,4.455,17.55,0.227,0.182,0.182
479,1.609,1.348,0.7,49.0,13.478,4.478,17.57,0.217,0.174,0.174
492,1.583,1.458,0.7,48.75,13.292,4.417,17.521,0.208,0.167,0.167
516,1.6,1.4,0.8,48.32,13.12,4.44,17.48,0.2,0.16,0.16
528,1.577,1.423,2.1,47.846,12.962,4.385,17.312,0.192,0.154,0.154
554,1.593,1.407,0.4,47.593,12.963,4.37,17.185,0.185,0.148,0.148
579,1.571,1.464,1.9,47.393,12.786,4.25,17.243,0.179,0.143,0.143
602,1.586,1.483,1.6,47.621,12.793,4.414,17.086,0.172,0.138,0.138
621,1.633,1.533,1.3,47.367,12.767,4.4,17.04,0.167,0.133,0.133
643,1.581,1.516,2.5,47.742,13.0,4.29,17.168,0.194,0.129,0.129
666,1.656,1.469,0.5,47.438,13.031,4.438,17.122,0.188,0.125,0.125
685,1.606,1.455,1.6,47.424,12.879,4.333,17.112,0.242,0.121,0.121
716,1.559,1.529,1.8,47.559,13.059,4.441,17.088,0.265,0.118,0.118
733,1.571,1.486,1.4,47.486,13.286,4.486,17.049,0.257,0.114,0.114
741,1.556,1.5,1.0,47.278,13.167,4.472,16.956,0.25,0.111,0.111
749,1.541,1.486,1.5,47.324,13.162,4.459,17.003,0.243,0.108,0.108
771,1.526,1.474,2.3,47.947,13.395,4.579,17.066,0.237,0.105,0.105
798,1.538,1.462,0.5,48.179,13.359,4.538,16.969,0.231,0.103,0.103
818,1.5,1.45,0.3,48.425,13.25,4.5,17.058,0.225,0.1,0.1
822,1.488,1.439,1.5,47.951,13.0,4.415,17.051,0.22,0.098,0.098
856,1.476,1.405,1.8,48.071,12.952,4.381,17.138,0.238,0.095,0.095
872,1.442,1.419,2.8,47.93,13.07,4.442,17.095,0.256,0.093,0.093
893,1.5,1.386,0.6,47.864,13.182,4.568,17.132,0.25,0.114,0.114
912,1.533,1.378,1.4,47.733,13.022,4.556,17.256,0.267,0.111,0.111
934,1.522,1.413,1.8,47.739,13.0,4.587,17.213,0.261,0.109,0.109
938,1.511,1.404,1.2,47.915,13.0,4.553,17.255,0.277,0.106,0.106
965,1.521,1.396,1.7,48.0,12.958,4.562,17.248,0.271,0.104,0.104
982,1.531,1.449,0.5,48.286,13.082,4.551,17.253,0.265,0.102,0.102
1004,1.54,1.5,1.2,47.98,12.96,4.56,17.374,0.28,0.1,0.1
1027,1.529,1.471,3.5,48.176,12.863,4.49,17.324,0.275,0.098,0.098
1048,1.558,1.442,1.3,48.327,13.0,4.577,17.258,0.269,0.096,0.096
1057,1.566,1.415,1.9,48.604,12.906,4.547,17.166,0.264,0.094,0.094
