ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
46,3.0,0.0,0.7,36.0,12.0,5.0,0.417,1.0,14.5,0.0,0.0,0.0,0.0
78,2.0,0.0,1.8,43.0,11.0,4.5,0.408,1.0,16.95,0.5,0.0,0.0,0.0
98,2.333,0.0,2.5,42.333,12.333,4.667,0.383,1.0,15.533,0.333,0.0,0.0,0.0
109,2.0,0.5,1.4,48.25,13.0,5.0,0.387,0.75,16.275,0.75,0.0,0.25,0.0
135,1.8,0.4,2.4,48.6,12.8,4.2,0.327,0.8,17.04,0.8,0.2,0.4,0.0
149,2.0,0.333,0.7,51.667,13.667,5.0,0.356,0.833,17.483,0.833,0.333,0.5,0.0
157,1.857,0.429,1.4,49.571,13.143,4.571,0.333,0.829,17.486,0.714,0.286,0.429,0.0
182,1.75,0.625,0.6,49.875,13.375,4.625,0.333,0.819,17.1,0.75,0.25,0.375,0.125
191,1.556,0.778,2.2,47.778,13.111,4.556,0.337,0.811,17.267,0.778,0.222,0.333,0.222
201,1.6,1.0,0.6,49.1,13.6,5.1,0.359,0.77,17.05,0.8,0.2,0.3,0.2
229,1.545,0.909,0.1,48.364,13.091,5.0,0.371,0.791,16.973,0.727,0.182,0.273,0.182
251,1.417,0.833,0.7,47.833,12.333,4.667,0.361,0.808,17.55,0.667,0.167,0.25,0.167
261,1.385,0.769,2.3,46.538,12.077,4.615,0.368,0.823,17.415,0.615,0.154,0.231,0.154
277,1.286,0.786,0.9,48.357,12.357,4.571,0.359,0.8,17.321,0.643,0.143,0.214,0.143
303,1.267,0.8,0.5,48.533,12.533,4.667,0.362,0.791,17.507,0.6,0.133,0.2,0.133
333,1.25,0.875,1.6,47.688,12.312,4.688,0.374,0.792,17.5,0.562,0.125,0.188,0.125
357,1.294,0.882,1.4,48.0,12.353,4.706,0.375,0.784,17.624,0.588,0.118,0.176,0.118
366,1.333,1.0,1.4,48.389,12.722,4.722,0.369,0.775,17.639,0.667,0.111,0.167,0.111
418,2.0,3.0,1.2,62.0,10.0,1.0,0.1,0.571,22.8,1.0,1.0,1.0,0.0
