ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
27,1.0,0.0,1.4,71.0,18.0,2.0,0.111,0.0,17.4,0.0,0.0,0.0,1.0
38,2.0,0.0,2.7,53.5,15.0,3.5,0.264,0.5,15.95,0.0,0.0,0.0,0.5
46,3.667,0.667,0.7,46.0,16.0,6.0,0.38,0.583,16.2,0.0,0.0,0.0,0.333
49,3.0,0.5,1.4,47.0,14.5,5.5,0.385,0.688,17.0,0.25,0.0,0.0,0.25
63,2.4,1.0,1.9,45.8,14.0,5.0,0.358,0.683,17.3,0.2,0.0,0.0,0.2
78,2.5,1.5,1.8,47.5,14.667,5.667,0.381,0.569,17.067,0.333,0.167,0.167,0.167
80,2.571,1.286,1.5,46.571,14.714,5.571,0.375,0.631,16.443,0.286,0.143,0.143,0.143
98,2.375,1.375,2.5,47.75,14.75,5.375,0.361,0.594,16.662,0.25,0.125,0.125,0.125
109,2.222,1.444,1.4,49.778,14.778,5.444,0.365,0.528,16.867,0.444,0.111,0.222,0.111
126,2.1,1.3,1.5,49.8,14.5,5.0,0.337,0.575,17.19,0.5,0.2,0.3,0.1
135,1.909,1.182,2.4,50.636,15.636,5.091,0.327,0.614,17.173,0.545,0.182,0.273,0.091
139,2.0,1.083,3.9,52.0,15.833,5.417,0.341,0.646,17.383,0.583,0.25,0.333,0.083
149,2.077,1.0,0.7,51.0,16.154,5.692,0.35,0.673,16.992,0.538,0.231,0.308,0.077
157,2.0,1.0,1.4,50.0,15.714,5.429,0.339,0.682,17.029,0.5,0.214,0.286,0.071
182,1.933,1.067,0.6,50.133,15.667,5.4,0.339,0.687,16.853,0.533,0.2,0.267,0.133
185,1.812,1.125,2.3,48.938,15.375,5.312,0.34,0.691,16.962,0.562,0.188,0.25,0.188
191,1.824,1.059,2.2,49.471,15.294,5.294,0.341,0.709,16.988,0.529,0.176,0.235,0.176
201,1.833,1.167,0.6,50.111,15.444,5.556,0.353,0.692,16.883,0.556,0.167,0.222,0.167
213,1.789,1.105,0.7,49.632,15.053,5.474,0.361,0.708,16.847,0.526,0.158,0.211,0.158
216,1.75,1.2,1.2,49.95,14.75,5.3,0.354,0.706,16.88,0.55,0.15,0.2,0.15
229,1.714,1.143,0.1,49.238,14.619,5.429,0.369,0.72,16.867,0.524,0.143,0.19,0.143
244,1.636,1.091,1.4,48.909,14.136,5.227,0.363,0.733,17.186,0.5,0.136,0.182,0.136
251,1.609,1.13,0.7,49.0,14.0,5.087,0.355,0.732,17.161,0.478,0.13,0.174,0.13
261,1.583,1.083,2.3,48.25,13.792,5.042,0.359,0.743,17.104,0.458,0.125,0.167,0.125
268,1.52,1.08,0.6,49.2,13.88,5.0,0.355,0.733,17.064,0.48,0.12,0.16,0.12
277,1.462,1.038,0.9,49.192,13.692,4.846,0.345,0.743,17.1,0.462,0.115,0.154,0.115
290,1.444,1.037,0.4,49.259,13.741,4.889,0.347,0.741,17.211,0.444,0.111,0.148,0.111
297,1.393,1.071,1.5,49.286,13.536,4.75,0.339,0.714,17.307,0.429,0.107,0.143,0.143
303,1.448,1.069,0.5,49.414,13.552,4.724,0.338,0.719,17.39,0.414,0.103,0.138,0.138
319,1.433,1.1,0.7,48.933,13.4,4.733,0.345,0.722,17.39,0.4,0.1,0.133,0.133
327,1.419,1.129,3.2,48.258,13.226,4.677,0.346,0.709,17.3,0.387,0.097,0.129,0.129
333,1.438,1.156,1.6,48.938,13.531,4.844,0.349,0.698,17.262,0.375,0.125,0.156,0.156
344,1.455,1.152,0.5,49.061,13.515,4.848,0.35,0.697,17.333,0.394,0.121,0.152,0.152
351,1.441,1.206,0.6,48.824,13.441,4.853,0.353,0.691,17.426,0.382,0.118,0.147,0.176
357,1.4,1.171,1.4,49.086,13.429,4.771,0.347,0.7,17.477,0.4,0.114,0.143,0.171
366,1.417,1.222,1.4,49.25,13.583,4.778,0.345,0.698,17.489,0.444,0.111,0.139,0.167
380,1.432,1.216,1.1,49.0,13.757,4.757,0.341,0.699,17.476,0.432,0.108,0.135,0.162
393,2.0,3.0,1.2,62.0,10.0,1.0,0.1,0.571,22.8,1.0,1.0,1.0,0.0
404,2.0,1.5,0.7,54.5,9.5,1.0,0.106,0.786,21.15,0.5,1.0,1.0,0.0
418,1.667,1.333,1.2,51.667,8.667,2.333,0.308,0.69,18.7,0.333,0.667,0.667,0.0
427,1.25,1.75,0.8,49.5,11.0,3.25,0.315,0.58,18.675,0.25,0.5,0.5,0.0
432,1.6,1.4,1.0,50.6,11.8,3.2,0.292,0.664,18.8,0.4,0.4,0.4,0.0
448,1.5,1.167,1.2,49.0,11.0,3.167,0.315,0.72,18.017,0.5,0.333,0.333,0.167
455,1.429,1.286,1.0,48.286,11.429,3.143,0.3,0.719,18.014,0.429,0.286,0.286,0.143
461,1.5,1.5,1.4,48.25,11.75,3.375,0.307,0.661,18.012,0.375,0.25,0.25,0.125
479,1.444,1.667,0.7,48.111,11.556,3.444,0.318,0.657,17.922,0.444,0.222,0.222,0.222
481,1.4,1.9,0.6,47.6,11.3,3.4,0.319,0.641,17.77,0.4,0.2,0.2,0.2
492,1.273,1.818,0.7,47.273,11.545,3.364,0.31,0.643,17.927,0.455,0.182,0.182,0.182
503,1.333,1.667,0.5,46.5,11.333,3.5,0.33,0.673,17.808,0.417,0.167,0.167,0.167
516,1.385,1.615,0.8,45.692,11.231,3.462,0.328,0.673,18.015,0.538,0.154,0.154,0.154
528,1.357,1.643,2.1,45.0,11.071,3.429,0.328,0.676,17.664,0.5,0.143,0.143,0.143
534,1.4,1.6,0.2,44.733,11.2,3.467,0.327,0.681,17.413,0.467,0.133,0.133,0.133
539,1.312,1.562,2.0,44.312,10.75,3.25,0.306,0.685,17.8,0.5,0.125,0.125,0.188
554,1.353,1.471,0.4,44.647,11.118,3.412,0.309,0.703,17.735,0.471,0.118,0.118,0.176
567,1.333,1.556,0.8,44.5,10.944,3.278,0.299,0.637,17.794,0.444,0.111,0.111,0.278
579,1.316,1.579,1.9,45.053,11.211,3.368,0.3,0.629,17.758,0.421,0.105,0.105,0.263
586,1.35,1.6,0.8,45.5,11.3,3.65,0.319,0.631,17.505,0.4,0.1,0.1,0.25
602,1.333,1.524,1.6,45.714,11.143,3.619,0.322,0.601,17.614,0.476,0.095,0.095,0.238
610,1.409,1.591,0.6,45.455,11.182,3.636,0.322,0.6,17.527,0.455,0.091,0.091,0.227
621,1.348,1.565,1.3,46.174,11.174,3.522,0.312,0.595,17.63,0.478,0.087,0.087,0.217
631,1.292,1.542,1.0,46.708,11.542,3.417,0.301,0.602,17.771,0.5,0.083,0.083,0.208
643,1.32,1.48,2.5,46.2,11.44,3.44,0.307,0.618,17.76,0.52,0.08,0.08,0.2
651,1.423,1.423,1.5,45.885,11.538,3.654,0.32,0.633,17.681,0.5,0.077,0.077,0.192
657,1.481,1.37,1.1,46.0,11.667,3.852,0.33,0.646,17.752,0.519,0.074,0.074,0.185
666,1.464,1.393,0.5,46.25,11.714,3.964,0.338,0.641,17.65,0.536,0.071,0.071,0.179
673,1.414,1.379,2.1,46.276,11.586,3.862,0.331,0.642,17.621,0.586,0.069,0.069,0.172
685,1.4,1.4,1.6,46.433,11.667,3.867,0.329,0.637,17.7,0.6,0.1,0.1,0.167
703,1.355,1.484,0.9,46.613,11.903,4.0,0.332,0.623,17.655,0.613,0.097,0.097,0.161
716,1.312,1.438,1.8,46.281,11.875,3.969,0.33,0.635,17.662,0.594,0.094,0.094,0.156
723,1.333,1.394,2.1,46.242,12.152,4.03,0.329,0.646,17.603,0.576,0.091,0.091,0.152
733,1.382,1.382,1.4,46.382,12.147,4.118,0.336,0.651,17.624,0.588,0.088,0.088,0.147
741,1.371,1.4,1.0,46.2,12.057,4.114,0.339,0.65,17.511,0.571,0.086,0.086,0.143
749,1.361,1.389,1.5,46.278,12.083,4.111,0.339,0.653,17.544,0.556,0.083,0.083,0.139
758,1.351,1.378,0.2,46.946,12.351,4.243,0.34,0.653,17.595,0.541,0.081,0.081,0.162
771,0.0,2.0,2.3,65.0,15.0,2.0,0.133,0.333,24.6,0.0,0.0,0.0,0.0
783,1.0,1.5,0.9,61.0,13.5,2.5,0.192,0.542,18.95,0.0,0.0,0.0,0.0
798,1.0,2.0,0.5,57.0,13.333,3.333,0.256,0.569,18.567,0.0,0.0,0.0,0.333
807,0.75,1.75,0.4,57.25,12.25,3.25,0.275,0.552,19.05,0.0,0.0,0.0,0.25
818,0.8,1.8,0.3,54.0,10.6,3.2,0.37,0.592,19.08,0.0,0.0,0.0,0.2
822,0.833,1.667,1.5,49.833,9.333,2.833,0.364,0.618,18.7,0.0,0.0,0.0,0.167
836,0.857,1.429,2.2,50.286,9.571,2.857,0.351,0.673,18.986,0.143,0.0,0.0,0.143
847,0.75,1.25,0.7,51.0,10.75,3.25,0.347,0.714,18.838,0.125,0.0,0.0,0.125
856,0.778,1.222,1.8,52.0,10.889,3.111,0.327,0.708,18.989,0.444,0.0,0.0,0.111
