ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
38,1.0,0.0,2.7,71.0,18.0,2.0,0.111,0.0,17.4,0.0,0.0,0.0,1.0
49,4.0,1.0,1.4,51.0,18.0,6.5,0.361,0.375,17.05,0.0,0.0,0.0,0.5
63,2.667,1.667,1.9,47.667,16.0,5.333,0.324,0.472,17.533,0.0,0.0,0.0,0.333
80,2.75,2.25,1.5,49.75,16.5,6.25,0.368,0.354,17.125,0.25,0.25,0.25,0.25
126,2.4,2.2,1.5,51.0,16.2,5.8,0.348,0.35,17.34,0.2,0.2,0.2,0.2
139,2.0,1.833,3.9,52.333,18.0,5.833,0.327,0.458,17.283,0.333,0.167,0.167,0.167
185,2.143,1.571,2.3,50.429,18.286,6.286,0.344,0.536,16.571,0.286,0.143,0.143,0.143
213,2.125,1.375,0.7,51.375,17.75,6.125,0.346,0.594,16.675,0.25,0.125,0.125,0.125
216,2.0,1.556,1.2,51.889,16.778,5.667,0.332,0.602,16.767,0.333,0.111,0.111,0.111
244,1.9,1.4,1.4,50.2,16.3,5.9,0.366,0.642,16.75,0.3,0.1,0.1,0.1
268,1.818,1.455,0.6,50.273,15.818,5.545,0.349,0.648,16.736,0.273,0.091,0.091,0.091
290,1.667,1.333,0.4,50.167,15.25,5.167,0.329,0.678,16.842,0.25,0.083,0.083,0.083
297,1.538,1.385,1.5,50.154,14.692,4.846,0.313,0.625,17.077,0.231,0.077,0.077,0.154
319,1.643,1.357,0.7,50.357,14.643,4.786,0.311,0.642,17.264,0.214,0.071,0.071,0.143
327,1.6,1.4,3.2,48.867,14.2,4.667,0.316,0.621,17.087,0.2,0.067,0.067,0.133
344,1.625,1.438,0.5,50.188,14.75,5.0,0.323,0.603,17.025,0.188,0.125,0.125,0.188
351,1.588,1.529,0.6,49.647,14.529,5.0,0.331,0.597,17.229,0.176,0.118,0.118,0.235
380,1.5,1.444,1.1,50.111,14.444,4.833,0.321,0.62,17.339,0.222,0.111,0.111,0.222
404,2.0,0.0,0.7,47.0,9.0,1.0,0.111,1.0,19.5,0.0,1.0,1.0,0.0
427,1.5,0.5,0.8,46.5,8.0,3.0,0.413,0.75,16.65,0.0,0.5,0.5,0.0
455,2.0,0.333,1.0,49.333,10.333,3.0,0.342,0.833,17.533,0.333,0.333,0.333,0.0
479,2.0,1.0,0.7,49.0,11.25,3.5,0.346,0.688,17.65,0.25,0.25,0.25,0.0
492,1.8,1.6,0.7,47.8,10.8,3.4,0.343,0.65,17.4,0.2,0.2,0.2,0.0
516,1.833,1.333,0.8,46.167,10.5,3.667,0.379,0.708,17.25,0.167,0.167,0.167,0.0
528,1.714,1.429,2.1,44.714,10.286,3.571,0.372,0.709,16.657,0.143,0.143,0.143,0.0
554,1.75,1.375,0.4,44.25,10.625,3.625,0.364,0.714,16.312,0.125,0.125,0.125,0.0
579,1.667,1.556,1.9,44.0,10.333,3.333,0.337,0.579,16.589,0.111,0.111,0.111,0.222
602,1.7,1.6,1.6,45.0,10.6,3.9,0.373,0.588,16.2,0.1,0.1,0.1,0.2
621,1.818,1.727,1.3,44.545,10.727,3.909,0.369,0.587,16.155,0.091,0.091,0.091,0.182
643,1.667,1.667,2.5,45.75,11.5,3.667,0.343,0.6,16.558,0.167,0.083,0.083,0.167
666,1.846,1.538,0.5,45.154,11.692,4.077,0.366,0.631,16.492,0.154,0.077,0.077,0.154
685,1.714,1.5,1.6,45.286,11.429,3.857,0.349,0.634,16.514,0.286,0.071,0.071,0.143
716,1.6,1.667,1.8,45.733,11.933,4.133,0.353,0.605,16.5,0.333,0.067,0.067,0.133
733,1.625,1.562,1.4,45.688,12.5,4.25,0.349,0.629,16.45,0.312,0.062,0.062,0.125
741,1.588,1.588,1.0,45.353,12.294,4.235,0.355,0.628,16.288,0.294,0.059,0.059,0.118
749,1.556,1.556,1.5,45.556,12.333,4.222,0.352,0.634,16.422,0.278,0.056,0.056,0.111
798,2.0,1.0,0.5,57.0,12.0,3.0,0.25,0.75,13.3,0.0,0.0,0.0,0.0
818,1.0,1.0,0.3,57.5,10.5,3.0,0.292,0.625,16.9,0.0,0.0,0.0,0.0
822,1.0,1.0,1.5,48.0,8.0,2.333,0.306,0.667,16.867,0.0,0.0,0.0,0.0
856,1.0,0.75,1.8,49.25,8.75,2.5,0.297,0.75,17.825,0.25,0.0,0.0,0.0
872,0.8,1.0,2.8,47.8,10.6,3.4,0.316,0.7,17.32,0.4,0.0,0.0,0.0
893,1.333,0.833,0.6,47.333,11.833,4.5,0.356,0.75,17.55,0.333,0.167,0.167,0.0
912,1.571,0.857,1.4,46.571,11.0,4.429,0.4,0.738,18.286,0.429,0.143,0.143,0.0
934,1.5,1.125,1.8,46.75,11.125,4.625,0.413,0.729,17.912,0.375,0.125,0.125,0.0
