ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
201,1.6,1.0,0.6,49.1,13.6,5.1,17.05,0.8,0.2,0.3
229,1.4,1.0,0.1,49.6,13.2,5.0,17.22,0.8,0.2,0.3
251,1.3,1.0,0.7,48.8,12.6,4.7,17.67,0.7,0.2,0.3
261,1.1,1.0,2.3,47.8,12.0,4.6,17.98,0.7,0.2,0.3
277,1.0,0.9,0.9,48.4,12.1,4.4,17.74,0.6,0.2,0.2
303,1.0,1.0,0.5,48.5,12.4,4.9,17.74,0.5,0.1,0.1
333,0.8,1.2,1.6,45.3,11.5,4.5,17.51,0.4,0.0,0.0
357,0.9,1.2,1.4,46.9,11.8,4.8,17.72,0.5,0.0,0.0
366,1.0,1.3,1.4,47.2,12.2,4.8,18.07,0.6,0.0,0.0
387,1.2,1.2,1.2,48.1,13.1,4.8,17.91,0.5,0.0,0.0
418,1.2,1.2,1.2,48.2,12.3,3.9,18.68,0.5,0.1,0.1
432,1.1,1.5,1.0,48.4,13.3,4.1,18.92,0.5,0.1,0.1
448,1.2,1.5,1.2,48.3,13.6,4.3,17.94,0.6,0.1,0.1
461,1.2,1.7,1.4,49.6,14.1,4.2,18.16,0.6,0.1,0.1
481,1.3,1.9,0.6,47.1,13.5,4.2,18.27,0.6,0.1,0.1
503,1.2,1.9,0.5,46.4,13.4,3.9,18.21,0.7,0.1,0.1
534,1.3,1.8,0.2,46.5,13.5,3.7,18.52,0.9,0.1,0.1
539,1.1,1.8,2.0,45.0,12.6,3.2,18.92,0.9,0.1,0.1
567,1.1,1.5,0.8,44.5,12.4,3.3,18.8,0.7,0.1,0.1
586,1.0,1.6,0.8,46.0,12.0,3.4,18.81,0.7,0.1,0.1
610,0.9,1.3,0.6,44.8,11.8,3.6,18.51,0.8,0.0,0.0
631,0.9,1.1,1.0,46.7,11.1,3.1,18.64,0.9,0.0,0.0
651,1.0,1.1,1.5,46.0,11.3,3.2,18.98,0.9,0.0,0.0
657,1.2,0.9,1.1,46.5,11.4,3.8,19.14,1.0,0.0,0.0
673,1.2,0.8,2.1,47.1,11.7,4.1,18.91,1.0,0.0,0.0
703,1.3,0.9,0.9,47.8,11.7,4.2,18.96,1.0,0.1,0.1
723,1.1,0.8,2.1,47.8,11.8,4.2,18.7,0.8,0.1,0.1
758,1.4,0.8,0.2,49.1,12.6,4.9,18.17,0.8,0.1,0.1
764,1.4,1.1,0.7,47.0,11.3,4.5,18.18,0.8,0.1,0.1
783,1.3,1.1,0.9,48.0,11.2,4.2,18.93,0.8,0.1,0.1
807,1.3,1.4,0.4,47.9,11.7,4.4,18.73,0.6,0.1,0.1
836,1.4,1.5,2.2,45.8,11.0,4.6,18.66,0.5,0.1,0.1
847,1.2,1.5,0.7,48.0,12.0,4.8,18.69,0.4,0.1,0.1
865,1.0,1.6,1.2,49.1,11.7,4.1,18.75,0.6,0.1,0.1
881,0.9,1.7,0.4,47.8,11.6,4.0,18.76,0.5,0.1,0.1
905,0.8,1.9,1.5,46.8,10.5,3.6,18.15,0.4,0.0,0.0
925,1.0,2.0,1.0,46.7,10.1,3.4,18.87,0.4,0.1,0.1
952,0.9,1.9,1.4,45.7,10.2,3.1,19.12,0.4,0.1,0.1
979,0.8,1.6,0.3,49.1,11.4,3.4,19.14,0.5,0.1,0.1
993,0.9,1.7,1.9,45.9,10.5,3.4,18.96,0.5,0.1,0.1
1019,1.0,1.4,1.5,46.3,10.0,3.3,19.39,0.6,0.2,0.2
1037,1.0,1.3,0.9,48.1,10.8,3.4,18.8,0.6,0.2,0.2
1042,1.2,1.3,1.0,45.6,9.4,3.0,19.27,0.6,0.2,0.2
