ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
126,2.1,1.3,1.5,49.8,14.5,5.0,0.337,0.575,17.19,0.5,0.2,0.3,0.1
135,2.0,1.3,2.4,48.6,15.4,5.4,0.348,0.675,17.15,0.6,0.2,0.3,0.0
139,2.0,1.3,3.9,51.7,16.0,5.8,0.357,0.675,17.67,0.7,0.3,0.4,0.0
149,1.6,1.1,0.7,52.5,16.2,5.6,0.341,0.7,17.23,0.7,0.3,0.4,0.0
157,1.6,1.2,1.4,51.2,16.2,5.4,0.321,0.68,17.04,0.6,0.3,0.4,0.0
182,1.7,1.1,0.6,52.3,16.5,5.6,0.329,0.688,16.63,0.7,0.3,0.4,0.1
185,1.4,0.9,2.3,49.8,15.8,5.1,0.315,0.763,16.9,0.7,0.2,0.3,0.2
191,1.3,0.9,2.2,51.5,15.7,5.1,0.318,0.763,17.37,0.7,0.2,0.3,0.2
201,1.4,1.0,0.6,52.0,16.0,5.7,0.347,0.77,17.06,0.8,0.2,0.3,0.2
213,1.4,0.8,0.7,49.5,15.3,5.5,0.357,0.87,16.83,0.6,0.2,0.2,0.2
216,1.4,1.1,1.2,50.1,15.0,5.6,0.37,0.837,16.57,0.6,0.1,0.1,0.2
229,1.5,1.1,0.1,47.7,13.5,5.8,0.415,0.837,16.53,0.5,0.1,0.1,0.2
244,1.2,1.1,1.4,45.2,12.1,5.0,0.39,0.837,16.95,0.4,0.0,0.0,0.2
251,1.0,1.3,0.7,46.4,11.2,4.3,0.363,0.808,17.38,0.4,0.0,0.0,0.2
261,1.0,1.2,2.3,45.8,11.1,4.5,0.387,0.828,17.21,0.4,0.0,0.0,0.2
268,0.9,1.1,0.6,47.8,11.2,4.4,0.379,0.803,17.38,0.4,0.0,0.0,0.1
277,0.9,0.9,0.9,49.6,11.0,4.1,0.354,0.828,17.32,0.3,0.0,0.0,0.0
290,0.8,1.0,0.4,48.9,11.1,4.2,0.358,0.795,17.59,0.3,0.0,0.0,0.0
297,0.6,0.9,1.5,47.8,10.1,3.3,0.315,0.755,18.07,0.2,0.0,0.0,0.1
303,0.8,1.0,0.5,49.0,10.7,3.3,0.294,0.74,18.42,0.2,0.0,0.0,0.1
319,0.8,0.9,0.7,46.9,10.7,3.6,0.327,0.754,18.41,0.1,0.0,0.0,0.1
327,0.8,1.1,3.2,46.2,10.3,3.1,0.298,0.687,18.21,0.1,0.0,0.0,0.1
333,1.0,1.3,1.6,49.0,12.2,4.0,0.316,0.62,17.43,0.1,0.1,0.1,0.2
344,1.1,1.2,0.5,49.2,12.4,4.3,0.337,0.616,17.73,0.2,0.1,0.1,0.2
351,1.1,1.5,0.6,50.2,12.6,4.4,0.338,0.566,18.2,0.2,0.1,0.1,0.3
357,1.1,1.4,1.4,48.8,12.3,4.2,0.328,0.616,18.51,0.2,0.1,0.1,0.3
366,1.3,1.7,1.4,49.4,13.3,4.6,0.343,0.578,18.5,0.4,0.1,0.1,0.3
380,1.4,1.7,1.1,48.3,13.8,4.4,0.323,0.587,18.19,0.4,0.1,0.1,0.3
387,1.6,1.6,1.2,46.2,13.5,4.5,0.351,0.672,18.34,0.4,0.2,0.2,0.2
393,1.5,1.8,1.2,47.1,13.1,4.2,0.332,0.644,18.65,0.5,0.3,0.3,0.2
404,1.6,1.6,0.7,48.3,13.1,3.8,0.288,0.664,18.86,0.5,0.4,0.4,0.2
418,1.6,1.5,1.2,50.1,13.0,4.0,0.322,0.68,18.78,0.5,0.4,0.4,0.2
427,1.4,1.6,0.8,47.4,12.5,3.6,0.311,0.672,19.03,0.5,0.3,0.3,0.1
432,1.5,1.5,1.0,47.6,12.7,3.4,0.293,0.705,19.0,0.5,0.3,0.3,0.1
448,1.5,1.2,1.2,47.6,12.3,3.2,0.29,0.755,18.36,0.6,0.3,0.3,0.1
455,1.6,1.4,1.0,46.2,12.4,3.3,0.296,0.727,18.24,0.5,0.3,0.3,0.1
461,1.6,1.4,1.4,45.5,11.9,3.3,0.306,0.689,18.25,0.3,0.3,0.3,0.1
479,1.5,1.6,0.7,46.2,10.9,3.3,0.326,0.677,18.27,0.4,0.3,0.3,0.2
481,1.4,1.9,0.6,47.6,11.3,3.4,0.319,0.641,17.77,0.4,0.2,0.2,0.2
492,1.2,1.7,0.7,45.8,11.7,3.6,0.331,0.651,17.44,0.4,0.1,0.1,0.2
503,1.2,1.7,0.5,44.9,11.7,4.0,0.375,0.651,17.14,0.4,0.0,0.0,0.2
516,1.3,1.7,0.8,43.9,12.0,3.8,0.334,0.667,17.81,0.6,0.0,0.0,0.2
528,1.4,1.6,2.1,43.2,11.1,3.5,0.334,0.714,17.26,0.6,0.0,0.0,0.2
534,1.3,1.7,0.2,41.8,10.9,3.6,0.344,0.689,16.72,0.5,0.0,0.0,0.2
539,1.2,1.8,2.0,41.5,10.6,3.3,0.302,0.664,17.67,0.5,0.0,0.0,0.2
554,1.3,1.6,0.4,42.1,10.9,3.6,0.315,0.692,17.54,0.5,0.0,0.0,0.2
567,1.2,1.6,0.8,41.5,10.3,3.2,0.292,0.617,17.62,0.5,0.0,0.0,0.4
579,1.2,1.5,1.9,42.3,10.9,3.3,0.283,0.605,17.61,0.4,0.0,0.0,0.3
586,1.3,1.3,0.8,43.4,11.3,3.9,0.319,0.621,17.24,0.4,0.0,0.0,0.3
602,1.4,1.2,1.6,44.0,10.7,3.9,0.335,0.555,17.27,0.5,0.0,0.0,0.3
610,1.5,1.5,0.6,44.2,11.0,3.8,0.313,0.512,17.19,0.5,0.0,0.0,0.3
621,1.3,1.5,1.3,46.8,11.1,3.6,0.292,0.495,17.13,0.4,0.0,0.0,0.3
631,1.2,1.4,1.0,49.1,12.2,3.4,0.264,0.499,17.92,0.5,0.0,0.0,0.3
643,1.2,1.3,2.5,48.4,11.8,3.4,0.278,0.524,18.28,0.6,0.0,0.0,0.3
651,1.6,1.2,1.5,48.4,12.8,4.3,0.342,0.549,17.49,0.5,0.0,0.0,0.2
657,1.7,1.2,1.1,48.3,12.6,4.6,0.367,0.549,17.78,0.6,0.0,0.0,0.2
666,1.7,1.1,0.5,49.4,13.1,5.2,0.408,0.649,17.39,0.7,0.0,0.0,0.0
673,1.6,1.0,2.1,48.6,12.3,4.8,0.389,0.665,17.36,0.9,0.0,0.0,0.0
685,1.5,1.0,1.6,48.3,12.4,4.3,0.349,0.649,18.09,1.0,0.1,0.1,0.0
703,1.4,1.4,0.9,48.5,13.5,4.8,0.353,0.669,17.74,0.9,0.1,0.1,0.0
716,1.1,1.1,1.8,48.1,13.4,4.7,0.347,0.712,17.96,0.9,0.1,0.1,0.0
723,1.3,1.0,2.1,46.4,14.4,5.2,0.367,0.762,17.54,0.8,0.1,0.1,0.0
733,1.6,1.0,1.4,45.6,13.6,5.8,0.42,0.77,17.27,0.8,0.1,0.1,0.0
741,1.5,1.2,1.0,46.2,13.6,5.8,0.42,0.73,16.89,0.7,0.1,0.1,0.0
749,1.2,1.3,1.5,47.3,13.5,5.3,0.386,0.705,17.19,0.7,0.1,0.1,0.0
758,1.0,1.4,0.2,49.5,14.2,5.3,0.367,0.672,17.17,0.6,0.1,0.1,0.1
764,1.1,1.5,0.7,47.1,13.3,4.8,0.363,0.662,17.36,0.5,0.1,0.1,0.1
771,1.1,1.6,2.3,48.9,14.0,4.9,0.364,0.628,18.14,0.3,0.1,0.1,0.1
783,1.2,1.5,0.9,49.5,13.8,4.8,0.361,0.653,17.47,0.2,0.0,0.0,0.1
798,1.3,1.4,0.5,49.2,13.2,4.5,0.357,0.696,17.62,0.1,0.0,0.0,0.2
807,1.3,1.5,0.4,51.4,13.0,4.5,0.363,0.646,17.88,0.1,0.0,0.0,0.2
818,1.2,1.7,0.3,51.0,11.3,4.2,0.41,0.621,18.23,0.1,0.0,0.0,0.2
822,1.0,1.7,1.5,48.8,10.4,3.6,0.385,0.612,18.08,0.0,0.0,0.0,0.2
836,1.0,1.5,2.2,50.1,10.6,3.5,0.367,0.652,18.78,0.1,0.0,0.0,0.2
847,0.9,1.4,0.7,50.8,11.2,3.7,0.368,0.678,18.69,0.1,0.0,0.0,0.2
856,0.9,1.4,1.8,49.7,10.2,3.0,0.344,0.678,18.77,0.4,0.0,0.0,0.1
865,0.7,1.3,1.2,51.0,11.6,3.5,0.333,0.688,18.62,0.5,0.0,0.0,0.1
872,0.7,1.4,2.8,48.5,11.3,3.9,0.37,0.704,17.66,0.5,0.0,0.0,0.2
881,0.9,1.3,0.4,47.3,11.9,4.6,0.4,0.729,18.2,0.5,0.1,0.1,0.2
893,0.8,1.4,0.6,46.5,10.9,4.1,0.362,0.7,17.81,0.5,0.1,0.1,0.2
905,1.1,1.4,1.5,44.9,10.6,4.2,0.395,0.717,18.03,0.6,0.1,0.1,0.2
912,1.2,1.3,1.4,44.3,10.9,4.0,0.334,0.692,18.62,0.6,0.2,0.2,0.2
925,1.2,1.5,1.0,46.2,11.8,4.5,0.351,0.683,18.47,0.6,0.2,0.2,0.2
934,1.3,1.5,1.8,45.0,12.0,4.6,0.354,0.683,18.48,0.6,0.2,0.2,0.2
938,1.4,1.6,1.2,45.0,11.4,4.3,0.346,0.65,18.62,0.7,0.2,0.2,0.2
952,1.5,1.6,1.4,44.2,11.3,4.6,0.375,0.65,18.29,0.4,0.2,0.2,0.2
965,1.6,1.4,1.7,46.3,11.1,4.4,0.367,0.7,18.46,0.4,0.2,0.2,0.2
979,1.8,1.5,0.3,48.5,11.8,4.2,0.338,0.67,18.71,0.4,0.2,0.2,0.1
982,1.5,1.8,0.5,47.3,10.6,3.4,0.316,0.627,19.12,0.4,0.1,0.1,0.2
993,1.7,1.8,1.9,46.5,11.0,3.9,0.387,0.614,20.06,0.5,0.1,0.1,0.1
1004,1.6,1.7,1.2,47.6,11.2,3.9,0.371,0.647,20.0,0.5,0.2,0.2,0.1
1019,1.5,1.6,1.5,49.9,11.3,3.9,0.369,0.597,18.97,0.5,0.1,0.1,0.1
1027,1.5,1.4,3.5,51.0,11.3,3.7,0.352,0.605,18.77,0.5,0.1,0.1,0.2
1037,1.6,1.4,0.9,52.5,12.0,4.2,0.366,0.605,18.08,0.4,0.1,0.1,0.2
1042,1.7,1.3,1.0,50.0,11.2,4.1,0.383,0.639,18.41,0.3,0.1,0.1,0.2
1048,1.7,1.3,1.3,51.2,11.6,4.1,0.371,0.647,18.75,0.4,0.1,0.1,0.2
1057,1.8,1.3,1.9,51.2,10.8,3.9,0.377,0.647,18.29,0.3,0.1,0.1,0.2
1072,1.9,0.9,1.5,50.2,10.5,4.1,0.394,0.727,18.37,0.3,0.1,0.1,0.2
1076,1.9,0.7,1.0,52.5,11.3,4.1,0.375,0.75,17.95,0.3,0.1,0.1,0.1
1090,1.8,0.3,0.6,54.3,12.0,3.9,0.325,0.73,17.26,0.2,0.1,0.1,0.1
1101,1.6,0.4,1.5,53.3,11.9,3.6,0.289,0.713,16.82,0.1,0.0,0.0,0.1
1112,1.5,0.5,1.2,53.7,12.7,3.8,0.295,0.763,16.94,0.2,0.0,0.0,0.1
