ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
244,1.9,1.4,1.4,50.2,16.3,5.9,16.75,0.3,0.1,0.1
268,1.9,1.6,0.6,48.2,15.6,5.9,16.67,0.3,0.1,0.1
290,1.2,1.4,0.4,50.0,14.7,4.9,16.8,0.3,0.1,0.1
297,1.2,1.3,1.5,50.9,14.3,4.7,16.94,0.3,0.1,0.1
319,1.2,1.0,0.7,50.6,13.9,4.2,17.32,0.2,0.0,0.0
327,1.2,1.0,3.2,47.8,13.2,4.1,16.96,0.2,0.0,0.0
344,1.4,1.2,0.5,48.9,12.8,4.5,16.87,0.1,0.1,0.1
351,1.2,1.5,0.6,49.1,11.9,4.1,17.69,0.1,0.1,0.1
380,1.0,1.5,1.1,49.1,11.8,3.8,17.87,0.2,0.1,0.1
393,1.1,1.3,1.2,46.4,11.4,3.8,18.26,0.1,0.2,0.2
404,1.2,1.3,0.7,47.6,11.1,3.1,18.55,0.1,0.3,0.3
427,1.2,1.2,0.8,47.1,10.7,3.4,18.27,0.1,0.3,0.3
455,1.5,1.2,1.0,47.7,11.3,3.6,18.4,0.2,0.3,0.3
479,1.7,1.3,0.7,47.5,11.9,4.0,18.21,0.2,0.3,0.3
492,1.5,1.6,0.7,46.5,11.4,3.9,17.88,0.2,0.3,0.3
516,1.6,1.4,0.8,47.5,11.5,4.1,18.07,0.2,0.3,0.3
528,1.5,1.4,2.1,44.1,10.1,3.4,17.77,0.2,0.2,0.2
554,1.6,1.2,0.4,44.1,10.3,3.3,17.11,0.2,0.2,0.2
579,1.7,1.5,1.9,42.5,9.8,3.2,17.07,0.1,0.2,0.2
602,1.7,1.6,1.6,45.0,10.6,3.9,16.2,0.1,0.1,0.1
621,1.8,1.9,1.3,44.3,10.9,4.2,15.82,0.1,0.0,0.0
643,1.7,1.9,2.5,45.6,12.2,3.8,16.54,0.2,0.0,0.0
