ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
963,0.9,3.1,1.1,38.8,7.3,3.3,16.82,0.3,0.0,0.0
987,0.818,2.909,1.1,37.909,7.727,3.182,16.682,0.273,0.0,0.0
1003,0.833,2.667,1.3,37.417,7.5,3.0,16.458,0.25,0.0,0.0
1027,0.923,2.692,1.3,36.154,7.231,3.077,15.815,0.231,0.0,0.0
1050,0.857,2.714,1.9,36.714,7.429,3.071,15.586,0.286,0.0,0.0
1058,0.867,2.533,1.3,37.533,8.2,3.333,15.527,0.333,0.0,0.0
1083,1.0,2.5,0.9,37.812,8.25,3.5,15.675,0.312,0.0,0.0
1110,1.0,2.353,0.3,38.118,8.706,3.412,15.788,0.294,0.0,0.0
1139,0.944,2.333,0.5,38.278,8.5,3.222,15.989,0.333,0.0,0.0
1154,0.895,2.263,1.3,39.526,8.421,3.105,15.911,0.316,0.0,0.0
1174,0.9,2.3,2.1,39.35,8.65,3.2,16.1,0.35,0.0,0.0
1197,0.952,2.286,1.1,39.381,8.81,3.286,16.052,0.333,0.0,0.0
1213,0.955,2.318,0.7,39.364,8.955,3.273,16.123,0.364,0.0,0.0
1242,0.913,2.348,0.9,39.913,9.043,3.261,16.126,0.348,0.0,0.0
1262,0.917,2.5,2.9,39.708,8.875,3.167,15.929,0.333,0.0,0.0
1283,1.0,2.44,1.8,40.28,9.44,3.48,15.92,0.32,0.0,0.0
1292,1.038,2.346,1.5,40.308,9.5,3.5,15.75,0.308,0.0,0.0
1315,1.111,2.259,1.6,40.0,9.519,3.519,15.637,0.296,0.0,0.0
1336,1.179,2.25,1.7,40.929,9.821,3.607,15.646,0.321,0.0,0.0
1357,1.172,2.276,1.2,41.241,10.31,3.621,15.7,0.345,0.0,0.0
1371,1.167,2.233,1.8,41.6,10.267,3.633,15.75,0.333,0.0,0.0
1383,1.161,2.258,2.2,41.903,10.742,3.645,15.781,0.355,0.0,0.0
1406,1.188,2.25,1.1,41.781,10.781,3.719,15.922,0.344,0.0,0.0
1445,1.212,2.182,0.4,41.303,10.758,3.697,15.897,0.364,0.0,0.0
1469,1.206,2.176,1.8,41.412,10.676,3.618,15.991,0.382,0.0,0.0
1472,1.2,2.2,1.9,41.486,10.743,3.629,16.003,0.371,0.029,0.029
1489,1.194,2.139,0.5,41.361,11.028,3.694,16.022,0.361,0.028,0.028
1512,1.162,2.162,2.2,41.459,10.919,3.649,16.141,0.378,0.027,0.027
1525,1.158,2.158,1.2,41.395,11.211,3.684,16.158,0.368,0.026,0.026
1546,1.154,2.128,2.4,41.538,11.256,3.692,16.246,0.385,0.026,0.026
1567,1.2,2.125,1.1,41.825,11.4,3.775,16.212,0.375,0.025,0.025
1584,1.171,2.146,2.1,41.829,11.585,3.829,16.273,0.39,0.024,0.024
1602,1.143,2.119,0.3,42.143,11.762,3.786,16.226,0.381,0.024,0.024
1621,1.14,2.093,2.6,42.163,11.721,3.767,16.351,0.372,0.023,0.023
1644,1.159,2.114,3.3,42.318,11.795,3.75,16.316,0.386,0.023,0.023
1666,1.222,2.111,3.2,42.267,11.733,3.778,16.429,0.378,0.089,0.089
1687,1.239,2.087,1.6,42.565,11.957,3.826,16.428,0.37,0.087,0.087
1703,1.277,2.043,2.0,42.511,11.894,3.83,16.498,0.362,0.106,0.106
1722,1.292,2.042,1.2,42.625,11.979,3.917,16.44,0.354,0.104,0.104
1730,1.306,2.041,2.0,42.633,11.857,3.878,16.484,0.347,0.122,0.122
1765,1.36,2.02,1.2,42.66,12.0,4.0,16.422,0.34,0.12,0.12
1782,1.392,2.0,1.5,42.922,12.039,4.059,16.427,0.333,0.118,0.118
1798,1.385,2.0,2.2,43.173,12.173,4.077,16.437,0.327,0.115,0.115
1823,1.396,2.0,2.1,43.094,12.264,4.151,16.391,0.34,0.113,0.113
1842,1.407,2.0,0.7,43.111,12.241,4.148,16.348,0.333,0.111,0.111
1865,1.382,1.964,0.9,43.618,12.291,4.145,16.389,0.327,0.109,0.109
1890,1.393,1.946,1.1,43.714,12.232,4.107,16.368,0.321,0.107,0.107
