ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
861,1.0,2.2,1.0,37.1,7.1,2.5,0.34,0.615,16.82,0.3,0.0,0.0,0.3
876,0.909,2.091,0.4,38.636,7.818,2.545,0.328,0.619,16.891,0.364,0.0,0.0,0.273
879,0.833,2.083,0.5,39.167,7.583,2.583,0.35,0.595,16.617,0.333,0.0,0.0,0.333
890,0.923,2.154,1.5,38.538,7.462,2.692,0.375,0.594,16.415,0.308,0.0,0.0,0.308
898,1.071,2.286,2.4,38.643,7.571,2.857,0.388,0.527,16.129,0.286,0.0,0.0,0.357
914,1.2,2.133,0.5,38.467,8.133,3.2,0.395,0.559,15.96,0.267,0.0,0.0,0.333
920,1.125,2.125,0.6,38.562,8.188,3.25,0.398,0.561,16.275,0.375,0.0,0.0,0.312
931,1.059,2.118,0.6,39.765,8.059,3.176,0.394,0.568,16.188,0.353,0.0,0.0,0.294
944,1.0,2.167,0.6,39.889,8.0,3.222,0.404,0.564,16.161,0.389,0.0,0.0,0.278
951,0.947,2.158,1.4,40.421,7.947,3.158,0.398,0.552,16.263,0.368,0.0,0.0,0.316
963,0.95,2.1,1.1,40.55,8.35,3.15,0.387,0.564,16.22,0.45,0.0,0.0,0.3
977,0.905,2.048,1.5,40.0,8.524,3.095,0.377,0.577,16.176,0.429,0.0,0.0,0.286
987,0.909,2.0,1.1,39.727,8.636,3.136,0.376,0.59,16.191,0.455,0.0,0.0,0.273
997,0.913,1.913,1.0,39.391,8.478,3.043,0.369,0.608,16.096,0.435,0.0,0.0,0.261
1003,0.917,2.0,1.3,39.208,8.667,3.0,0.36,0.591,16.017,0.417,0.0,0.0,0.25
1012,0.96,2.04,0.9,38.48,8.48,3.04,0.385,0.594,15.7,0.4,0.0,0.0,0.24
1027,0.962,1.962,1.3,38.192,8.346,3.0,0.386,0.609,15.569,0.385,0.0,0.0,0.269
1035,0.926,2.0,2.6,38.407,8.407,3.0,0.383,0.611,15.459,0.407,0.0,0.0,0.259
1041,0.964,1.964,1.7,38.571,8.536,3.107,0.387,0.607,15.354,0.393,0.0,0.0,0.25
1050,0.931,1.966,1.9,38.517,8.724,3.103,0.381,0.609,15.369,0.379,0.0,0.0,0.241
1058,0.933,1.9,1.3,38.867,9.067,3.233,0.381,0.622,15.347,0.4,0.0,0.0,0.233
1073,1.0,1.903,1.5,38.968,9.065,3.323,0.39,0.627,15.429,0.387,0.0,0.0,0.226
1083,0.969,1.969,0.9,39.75,9.312,3.375,0.387,0.626,15.491,0.375,0.0,0.0,0.219
1089,0.97,1.909,1.9,39.848,9.515,3.333,0.379,0.637,15.555,0.364,0.0,0.0,0.212
1100,1.059,1.882,1.2,39.912,9.588,3.441,0.385,0.643,15.465,0.353,0.0,0.0,0.206
1110,1.057,1.914,0.3,39.771,9.6,3.457,0.385,0.636,15.437,0.343,0.0,0.0,0.2
1120,1.028,1.917,1.0,39.806,9.472,3.361,0.375,0.635,15.547,0.361,0.0,0.0,0.194
1139,1.0,1.892,0.5,39.838,9.486,3.378,0.375,0.639,15.565,0.378,0.0,0.0,0.189
1145,0.974,1.868,1.3,40.421,9.421,3.316,0.369,0.644,15.537,0.368,0.0,0.0,0.184
1154,0.974,1.846,1.3,40.974,9.538,3.359,0.369,0.641,15.669,0.385,0.0,0.0,0.179
1161,0.975,1.875,0.7,40.85,9.625,3.4,0.369,0.641,15.77,0.4,0.0,0.0,0.2
1174,0.951,1.878,2.1,40.927,9.659,3.39,0.367,0.642,15.82,0.39,0.0,0.0,0.195
1187,0.976,1.881,1.0,40.905,9.714,3.429,0.368,0.644,15.802,0.381,0.0,0.0,0.19
1197,0.953,1.837,1.1,40.791,9.791,3.442,0.367,0.652,15.823,0.395,0.0,0.0,0.186
1205,0.955,1.864,0.6,40.75,9.841,3.432,0.364,0.643,15.864,0.409,0.0,0.0,0.182
1213,0.933,1.911,0.7,40.8,9.8,3.378,0.359,0.636,15.824,0.4,0.0,0.0,0.222
1223,0.913,1.935,0.6,41.043,9.826,3.37,0.357,0.636,15.833,0.391,0.0,0.0,0.217
1233,0.915,1.936,1.1,40.915,9.766,3.383,0.361,0.637,15.86,0.383,0.0,0.0,0.213
1242,0.938,1.917,0.9,41.0,9.833,3.438,0.363,0.638,15.935,0.417,0.0,0.0,0.208
1255,0.939,2.0,2.4,40.878,9.735,3.388,0.36,0.63,15.843,0.408,0.0,0.0,0.204
1262,0.96,1.96,2.9,41.02,9.92,3.52,0.363,0.638,15.824,0.4,0.0,0.0,0.2
1279,1.0,1.941,2.0,41.275,10.176,3.667,0.366,0.635,15.822,0.392,0.0,0.0,0.196
1283,1.019,1.942,1.8,41.212,10.269,3.731,0.368,0.629,15.779,0.385,0.0,0.0,0.192
1292,1.038,1.906,1.5,41.208,10.283,3.736,0.368,0.636,15.698,0.377,0.0,0.0,0.189
1315,1.074,1.87,1.6,41.037,10.278,3.741,0.368,0.643,15.643,0.37,0.0,0.0,0.185
