ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
977,1.0,1.1,1.5,42.3,9.4,3.0,15.62,0.6,0.0,0.0
997,1.0,1.091,1.0,41.545,9.545,3.091,15.7,0.636,0.0,0.0
1012,1.0,1.333,0.9,41.0,9.833,3.0,15.575,0.583,0.0,0.0
1035,1.0,1.231,2.6,40.231,9.462,2.923,15.323,0.538,0.0,0.0
1041,1.071,1.214,1.7,40.429,9.643,3.143,15.121,0.5,0.0,0.0
1073,1.0,1.267,1.5,40.2,9.933,3.133,15.167,0.467,0.0,0.0
1089,0.938,1.438,1.9,41.688,10.375,3.25,15.306,0.438,0.0,0.0
1100,1.118,1.412,1.2,41.706,10.471,3.471,15.141,0.412,0.0,0.0
1120,1.111,1.5,1.0,41.333,10.444,3.5,15.106,0.389,0.0,0.0
1145,1.053,1.474,1.3,41.316,10.421,3.526,15.163,0.421,0.0,0.0
1161,1.05,1.45,0.7,42.35,10.6,3.6,15.44,0.45,0.0,0.0
1187,1.0,1.476,1.0,42.429,10.619,3.571,15.552,0.429,0.0,0.0
1205,0.955,1.409,0.6,42.136,10.727,3.591,15.605,0.455,0.0,0.0
1223,0.913,1.522,0.6,42.174,10.609,3.478,15.539,0.435,0.0,0.0
1233,0.917,1.542,1.1,41.875,10.458,3.5,15.604,0.417,0.0,0.0
1255,0.96,1.52,2.4,42.0,10.56,3.6,15.76,0.48,0.0,0.0
1279,1.0,1.462,2.0,42.231,10.885,3.846,15.727,0.462,0.0,0.0
1321,1.037,1.481,1.8,42.074,11.037,3.963,15.648,0.444,0.0,0.0
1347,1.107,1.429,1.4,42.107,11.179,3.929,15.75,0.429,0.036,0.036
1365,1.069,1.517,1.3,42.034,11.172,3.828,15.89,0.414,0.034,0.034
1395,1.067,1.5,0.9,42.133,11.1,3.733,15.917,0.433,0.033,0.033
1410,1.032,1.484,3.3,42.0,11.161,3.742,15.955,0.419,0.032,0.032
1419,1.062,1.5,2.3,42.844,11.781,3.969,15.984,0.406,0.031,0.062
1428,1.152,1.545,1.3,43.333,12.152,4.121,15.97,0.394,0.03,0.061
1436,1.176,1.529,1.1,43.471,12.118,4.118,15.959,0.412,0.029,0.059
1459,1.171,1.486,1.6,43.657,12.086,4.171,16.037,0.457,0.029,0.057
1485,1.194,1.5,1.9,43.639,12.306,4.194,16.058,0.472,0.028,0.056
1501,1.243,1.459,0.7,43.297,12.378,4.243,16.014,0.486,0.027,0.054
1539,1.237,1.474,2.2,43.421,12.395,4.237,16.042,0.474,0.026,0.053
1558,1.231,1.462,1.7,43.308,12.487,4.231,16.054,0.487,0.026,0.051
1580,1.2,1.45,1.3,43.075,12.625,4.275,16.212,0.475,0.025,0.075
1597,1.244,1.439,1.8,43.0,12.659,4.317,16.276,0.463,0.024,0.073
1613,1.262,1.405,2.0,43.143,12.643,4.286,16.338,0.452,0.048,0.095
1635,1.279,1.395,1.6,42.977,12.628,4.326,16.33,0.442,0.047,0.093
1660,1.273,1.409,3.5,43.25,12.773,4.341,16.311,0.432,0.045,0.091
1679,1.267,1.378,1.9,43.067,12.956,4.422,16.256,0.422,0.044,0.089
1695,1.261,1.37,1.4,43.261,13.304,4.522,16.3,0.435,0.043,0.087
1712,1.234,1.34,1.8,43.447,13.404,4.489,16.255,0.447,0.043,0.085
1740,1.229,1.312,1.7,43.75,13.521,4.562,16.225,0.438,0.042,0.083
1753,1.306,1.286,1.6,43.878,13.571,4.673,16.227,0.449,0.041,0.082
1776,1.28,1.3,0.9,43.98,13.58,4.64,16.25,0.44,0.04,0.08
1806,1.255,1.294,1.6,44.02,13.471,4.608,16.267,0.431,0.039,0.078
1816,1.25,1.308,1.8,44.288,13.538,4.615,16.273,0.423,0.038,0.077
1839,1.245,1.321,1.4,44.642,13.736,4.642,16.33,0.415,0.038,0.075
1858,1.241,1.296,0.5,44.574,13.704,4.611,16.317,0.407,0.037,0.074
1875,1.236,1.291,0.8,44.473,13.6,4.545,16.333,0.418,0.036,0.073
1896,1.214,1.286,1.6,44.857,13.536,4.536,16.32,0.411,0.036,0.071
