ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
796,0.0,4.0,0.3,33.0,3.0,1.0,0.333,0.429,20.6,0.0,0.0,0.0,0.0
814,0.0,6.5,0.8,32.0,4.0,1.5,0.367,0.339,19.4,0.0,0.0,0.0,0.0
824,1.0,5.0,0.7,37.333,5.333,2.0,0.369,0.226,18.767,0.0,0.0,0.0,0.333
850,1.0,4.0,1.0,35.0,6.5,2.25,0.352,0.378,18.6,0.0,0.0,0.0,0.5
876,1.2,3.6,0.4,34.2,7.2,3.0,0.402,0.369,17.48,0.0,0.0,0.0,0.6
890,1.0,3.333,1.5,36.0,6.833,3.0,0.435,0.363,16.833,0.0,0.0,0.0,0.667
914,1.286,3.429,0.5,36.571,7.143,3.286,0.452,0.264,16.2,0.0,0.0,0.0,0.714
931,1.125,3.25,0.6,37.0,7.375,3.375,0.451,0.306,16.8,0.25,0.0,0.0,0.625
944,1.0,3.222,0.6,37.556,7.333,3.444,0.464,0.327,16.678,0.333,0.0,0.0,0.556
963,0.9,3.1,1.1,38.8,7.3,3.3,0.447,0.328,16.82,0.3,0.0,0.0,0.6
987,0.818,2.909,1.1,37.909,7.727,3.182,0.421,0.374,16.682,0.273,0.0,0.0,0.545
1003,0.833,2.667,1.3,37.417,7.5,3.0,0.403,0.426,16.458,0.25,0.0,0.0,0.5
1027,0.923,2.692,1.3,36.154,7.231,3.077,0.449,0.445,15.815,0.231,0.0,0.0,0.462
1050,0.857,2.714,1.9,36.714,7.429,3.071,0.438,0.46,15.586,0.286,0.0,0.0,0.429
1058,0.867,2.533,1.3,37.533,8.2,3.333,0.433,0.496,15.527,0.333,0.0,0.0,0.4
1083,1.0,2.5,0.9,37.812,8.25,3.5,0.448,0.512,15.675,0.312,0.0,0.0,0.375
1110,1.0,2.353,0.3,38.118,8.706,3.412,0.429,0.541,15.788,0.294,0.0,0.0,0.353
1139,0.944,2.333,0.5,38.278,8.5,3.222,0.405,0.544,15.989,0.333,0.0,0.0,0.333
1174,1.0,3.0,2.1,36.0,13.0,5.0,0.385,0.667,19.7,1.0,0.0,0.0,1.0
1197,1.5,2.5,1.1,38.0,12.5,5.0,0.401,0.69,17.4,0.5,0.0,0.0,0.5
1213,1.333,2.667,0.7,38.333,12.333,4.333,0.35,0.544,17.467,0.667,0.0,0.0,0.333
1242,1.0,2.75,0.9,41.75,12.0,4.0,0.331,0.564,17.15,0.5,0.0,0.0,0.25
1262,1.0,3.4,2.9,40.4,10.6,3.4,0.305,0.501,16.0,0.4,0.0,0.0,0.2
1283,1.333,3.0,1.8,42.667,12.667,4.667,0.334,0.501,15.95,0.333,0.0,0.0,0.167
1292,1.429,2.571,1.5,42.429,12.429,4.571,0.338,0.572,15.314,0.286,0.0,0.0,0.143
1315,1.625,2.25,1.6,41.125,12.125,4.5,0.346,0.626,14.988,0.25,0.0,0.0,0.125
