ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
773,2.0,0.0,0.1,35.0,7.0,3.0,0.429,1.0,15.7,0.0,0.0,0.0,0.0
786,1.0,2.0,0.3,34.0,5.0,2.0,0.381,0.714,18.15,0.0,0.0,0.0,0.0
796,0.667,2.333,0.3,37.0,5.333,1.667,0.31,0.643,18.267,0.333,0.0,0.0,0.0
805,0.5,4.0,0.4,35.5,5.25,1.75,0.332,0.545,18.25,0.25,0.0,0.0,0.0
814,0.4,3.2,0.8,35.4,5.2,1.8,0.346,0.636,17.82,0.2,0.0,0.0,0.0
824,0.833,3.0,0.7,37.5,5.667,2.0,0.351,0.53,17.767,0.167,0.0,0.0,0.167
833,0.857,2.714,0.4,36.143,6.286,2.143,0.343,0.573,17.814,0.143,0.0,0.0,0.286
840,0.75,2.375,1.1,36.875,6.375,1.875,0.3,0.626,17.525,0.25,0.0,0.0,0.25
850,0.889,2.222,1.0,37.778,6.778,2.111,0.312,0.646,17.244,0.333,0.0,0.0,0.222
861,1.0,2.2,1.0,37.1,7.1,2.5,0.34,0.615,16.82,0.3,0.0,0.0,0.3
876,0.909,2.091,0.4,38.636,7.818,2.545,0.328,0.619,16.891,0.364,0.0,0.0,0.273
879,0.833,2.083,0.5,39.167,7.583,2.583,0.35,0.595,16.617,0.333,0.0,0.0,0.333
890,0.923,2.154,1.5,38.538,7.462,2.692,0.375,0.594,16.415,0.308,0.0,0.0,0.308
898,1.071,2.286,2.4,38.643,7.571,2.857,0.388,0.527,16.129,0.286,0.0,0.0,0.357
914,1.2,2.133,0.5,38.467,8.133,3.2,0.395,0.559,15.96,0.267,0.0,0.0,0.333
920,1.125,2.125,0.6,38.562,8.188,3.25,0.398,0.561,16.275,0.375,0.0,0.0,0.312
931,1.059,2.118,0.6,39.765,8.059,3.176,0.394,0.568,16.188,0.353,0.0,0.0,0.294
944,1.0,2.167,0.6,39.889,8.0,3.222,0.404,0.564,16.161,0.389,0.0,0.0,0.278
951,0.947,2.158,1.4,40.421,7.947,3.158,0.398,0.552,16.263,0.368,0.0,0.0,0.316
963,0.95,2.1,1.1,40.55,8.35,3.15,0.387,0.564,16.22,0.45,0.0,0.0,0.3
977,0.905,2.048,1.5,40.0,8.524,3.095,0.377,0.577,16.176,0.429,0.0,0.0,0.286
987,0.909,2.0,1.1,39.727,8.636,3.136,0.376,0.59,16.191,0.455,0.0,0.0,0.273
997,0.913,1.913,1.0,39.391,8.478,3.043,0.369,0.608,16.096,0.435,0.0,0.0,0.261
1003,0.917,2.0,1.3,39.208,8.667,3.0,0.36,0.591,16.017,0.417,0.0,0.0,0.25
1012,0.96,2.04,0.9,38.48,8.48,3.04,0.385,0.594,15.7,0.4,0.0,0.0,0.24
1027,0.962,1.962,1.3,38.192,8.346,3.0,0.386,0.609,15.569,0.385,0.0,0.0,0.269
1035,0.926,2.0,2.6,38.407,8.407,3.0,0.383,0.611,15.459,0.407,0.0,0.0,0.259
1041,0.964,1.964,1.7,38.571,8.536,3.107,0.387,0.607,15.354,0.393,0.0,0.0,0.25
1050,0.931,1.966,1.9,38.517,8.724,3.103,0.381,0.609,15.369,0.379,0.0,0.0,0.241
1058,0.933,1.9,1.3,38.867,9.067,3.233,0.381,0.622,15.347,0.4,0.0,0.0,0.233
1073,1.0,1.903,1.5,38.968,9.065,3.323,0.39,0.627,15.429,0.387,0.0,0.0,0.226
1083,0.969,1.969,0.9,39.75,9.312,3.375,0.387,0.626,15.491,0.375,0.0,0.0,0.219
1089,0.97,1.909,1.9,39.848,9.515,3.333,0.379,0.637,15.555,0.364,0.0,0.0,0.212
1100,1.059,1.882,1.2,39.912,9.588,3.441,0.385,0.643,15.465,0.353,0.0,0.0,0.206
1110,1.057,1.914,0.3,39.771,9.6,3.457,0.385,0.636,15.437,0.343,0.0,0.0,0.2
1120,1.028,1.917,1.0,39.806,9.472,3.361,0.375,0.635,15.547,0.361,0.0,0.0,0.194
1139,1.0,1.892,0.5,39.838,9.486,3.378,0.375,0.639,15.565,0.378,0.0,0.0,0.189
1154,1.0,1.0,1.3,62.0,14.0,5.0,0.357,0.5,20.7,1.0,0.0,0.0,0.0
1161,1.0,2.0,0.7,49.0,13.5,5.0,0.371,0.583,20.2,1.0,0.0,0.0,0.5
1174,0.667,2.0,2.1,47.333,12.667,4.333,0.338,0.611,19.4,0.667,0.0,0.0,0.333
1187,1.0,2.0,1.0,45.5,12.5,4.5,0.358,0.637,18.325,0.5,0.0,0.0,0.25
1197,0.8,1.6,1.1,43.6,12.6,4.4,0.348,0.71,18.0,0.6,0.0,0.0,0.2
1205,0.833,1.833,0.6,42.833,12.5,4.167,0.331,0.633,17.933,0.667,0.0,0.0,0.167
1213,0.714,2.143,0.7,42.857,11.857,3.714,0.302,0.59,17.386,0.571,0.0,0.0,0.429
1223,0.625,2.25,0.6,44.0,11.75,3.625,0.298,0.594,17.237,0.5,0.0,0.0,0.375
1233,0.667,2.222,1.1,43.0,11.222,3.667,0.329,0.608,17.222,0.444,0.0,0.0,0.333
1242,0.8,2.1,0.9,43.2,11.4,3.9,0.342,0.614,17.45,0.6,0.0,0.0,0.3
1255,0.818,2.455,2.4,42.455,10.818,3.636,0.329,0.581,16.9,0.545,0.0,0.0,0.273
1262,0.917,2.25,2.9,42.917,11.5,4.167,0.345,0.616,16.733,0.5,0.0,0.0,0.25
1279,1.077,2.154,2.0,43.769,12.385,4.692,0.356,0.607,16.654,0.462,0.0,0.0,0.231
1283,1.143,2.143,1.8,43.357,12.571,4.857,0.364,0.587,16.436,0.429,0.0,0.0,0.214
1292,1.2,2.0,1.5,43.2,12.467,4.8,0.364,0.615,16.107,0.4,0.0,0.0,0.2
1315,1.312,1.875,1.6,42.5,12.312,4.75,0.366,0.639,15.894,0.375,0.0,0.0,0.188
1321,1.412,1.882,1.8,43.882,12.647,4.824,0.364,0.631,15.894,0.412,0.0,0.0,0.176
1336,1.5,1.778,1.7,43.833,12.778,4.722,0.355,0.651,16.039,0.389,0.056,0.056,0.167
1347,1.474,1.842,1.4,44.158,13.368,4.684,0.345,0.643,16.1,0.421,0.053,0.053,0.158
1357,1.4,1.95,1.2,43.95,13.25,4.5,0.332,0.632,16.285,0.4,0.05,0.05,0.15
1365,1.381,1.905,1.3,44.333,13.048,4.476,0.338,0.626,16.329,0.381,0.048,0.048,0.19
1371,1.364,1.864,1.8,44.364,12.864,4.318,0.327,0.636,16.345,0.409,0.045,0.045,0.182
1383,1.348,1.913,2.2,44.652,13.391,4.304,0.32,0.63,16.361,0.435,0.043,0.043,0.174
1395,1.375,1.917,0.9,44.375,13.333,4.375,0.328,0.624,16.525,0.417,0.042,0.042,0.208
1406,1.32,1.88,1.1,44.12,13.32,4.36,0.327,0.633,16.548,0.4,0.04,0.04,0.2
1410,1.346,1.808,3.3,43.423,13.192,4.308,0.326,0.647,16.492,0.423,0.038,0.038,0.192
1419,1.37,1.815,2.3,44.37,13.852,4.556,0.327,0.652,16.507,0.407,0.037,0.074,0.185
