ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
786,2.0,0.0,0.3,35.0,7.0,3.0,0.429,1.0,15.7,0.0,0.0,0.0,0.0
805,1.0,1.5,0.4,39.0,6.5,2.0,0.298,0.75,17.1,0.5,0.0,0.0,0.0
833,0.667,1.0,0.4,37.667,6.0,2.0,0.332,0.833,16.767,0.333,0.0,0.0,0.0
840,0.5,0.75,1.1,38.75,6.25,1.5,0.249,0.875,16.45,0.5,0.0,0.0,0.0
861,0.8,0.8,1.0,40.0,7.0,2.0,0.279,0.86,16.16,0.6,0.0,0.0,0.0
879,0.667,0.833,0.5,42.333,8.333,2.167,0.266,0.828,16.4,0.667,0.0,0.0,0.0
898,0.857,1.143,2.4,40.714,8.0,2.429,0.323,0.791,16.057,0.571,0.0,0.0,0.0
920,1.125,1.0,0.6,40.125,9.0,3.125,0.345,0.817,15.75,0.5,0.0,0.0,0.0
951,1.0,1.111,1.4,42.222,8.667,3.0,0.344,0.801,15.644,0.444,0.0,0.0,0.0
977,1.0,1.1,1.5,42.3,9.4,3.0,0.328,0.8,15.62,0.6,0.0,0.0,0.0
997,1.0,1.091,1.0,41.545,9.545,3.091,0.331,0.806,15.7,0.636,0.0,0.0,0.0
1012,1.0,1.333,0.9,41.0,9.833,3.0,0.317,0.755,15.575,0.583,0.0,0.0,0.0
1035,1.0,1.231,2.6,40.231,9.462,2.923,0.323,0.774,15.323,0.538,0.0,0.0,0.077
1041,1.071,1.214,1.7,40.429,9.643,3.143,0.336,0.754,15.121,0.5,0.0,0.0,0.071
1073,1.0,1.267,1.5,40.2,9.933,3.133,0.328,0.749,15.167,0.467,0.0,0.0,0.067
1089,0.938,1.438,1.9,41.688,10.375,3.25,0.326,0.739,15.306,0.438,0.0,0.0,0.062
1100,1.118,1.412,1.2,41.706,10.471,3.471,0.341,0.745,15.141,0.412,0.0,0.0,0.059
1120,1.111,1.5,1.0,41.333,10.444,3.5,0.344,0.726,15.106,0.389,0.0,0.0,0.056
1161,1.0,1.0,0.7,62.0,14.0,5.0,0.357,0.5,20.7,1.0,0.0,0.0,0.0
1187,0.5,1.5,1.0,53.0,12.5,4.0,0.315,0.583,19.25,0.5,0.0,0.0,0.0
1205,0.333,1.0,0.6,47.333,12.667,4.0,0.313,0.722,18.4,0.667,0.0,0.0,0.0
1223,0.25,1.75,0.6,46.25,11.5,3.25,0.266,0.625,17.325,0.5,0.0,0.0,0.5
1233,0.4,1.8,1.1,44.0,10.6,3.4,0.327,0.643,17.28,0.4,0.0,0.0,0.4
1255,0.667,1.667,2.4,44.167,11.0,3.833,0.349,0.647,17.65,0.667,0.0,0.0,0.333
1279,0.857,1.429,2.0,44.714,12.143,4.714,0.375,0.697,17.257,0.571,0.0,0.0,0.286
1321,1.0,1.5,1.8,43.875,12.5,5.0,0.386,0.652,16.8,0.5,0.0,0.0,0.25
1347,1.222,1.333,1.4,43.778,12.778,4.778,0.365,0.69,16.989,0.444,0.111,0.111,0.222
1365,1.1,1.6,1.3,43.4,12.6,4.4,0.338,0.664,17.27,0.4,0.1,0.1,0.2
1395,1.091,1.545,0.9,43.545,12.273,4.091,0.317,0.68,17.218,0.455,0.091,0.091,0.182
1410,1.0,1.5,3.3,43.083,12.333,4.083,0.317,0.692,17.208,0.417,0.083,0.083,0.167
1419,1.077,1.538,2.3,45.077,13.769,4.615,0.319,0.699,17.185,0.385,0.077,0.154,0.154
1428,1.286,1.643,1.3,46.071,14.5,4.929,0.323,0.667,17.064,0.357,0.071,0.143,0.143
1436,1.333,1.6,1.1,46.2,14.267,4.867,0.326,0.667,16.967,0.4,0.067,0.133,0.133
