ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
963,0.9,3.1,1.1,38.8,7.3,3.3,0.447,0.328,16.82,0.3,0.0,0.0,0.6
987,0.9,2.8,1.1,38.4,8.2,3.4,0.43,0.368,16.29,0.3,0.0,0.0,0.6
1003,1.0,1.9,1.3,38.5,8.2,3.3,0.41,0.443,15.87,0.3,0.0,0.0,0.6
1027,0.9,2.0,1.3,35.8,7.8,3.4,0.472,0.51,14.93,0.3,0.0,0.0,0.5
1050,0.8,2.2,1.9,37.4,7.8,3.4,0.472,0.493,14.38,0.4,0.0,0.0,0.4
1058,0.7,2.0,1.3,39.2,8.7,3.5,0.449,0.56,14.55,0.5,0.0,0.0,0.3
1083,1.0,2.0,0.9,38.9,9.1,3.8,0.456,0.602,14.98,0.5,0.0,0.0,0.2
1110,0.8,1.6,0.3,39.2,9.8,3.5,0.413,0.735,15.5,0.5,0.0,0.0,0.1
1139,0.8,1.6,0.5,39.3,9.4,3.1,0.368,0.735,15.34,0.4,0.0,0.0,0.1
1154,0.8,1.4,1.3,41.3,9.4,2.8,0.326,0.768,15.22,0.3,0.0,0.0,0.1
1174,0.9,1.5,2.1,39.9,10.0,3.1,0.335,0.802,15.38,0.4,0.0,0.0,0.1
1197,1.1,1.6,1.1,41.0,10.0,3.4,0.36,0.79,15.36,0.4,0.0,0.0,0.1
1213,1.1,1.9,0.7,41.7,10.7,3.6,0.365,0.715,15.72,0.5,0.0,0.0,0.1
1242,0.9,1.9,0.9,44.8,11.4,3.5,0.293,0.711,16.53,0.5,0.0,0.0,0.1
1262,1.0,2.2,2.9,43.9,10.9,3.3,0.283,0.669,16.41,0.4,0.0,0.0,0.1
1283,1.2,2.3,1.8,44.4,11.3,3.7,0.294,0.619,16.51,0.3,0.0,0.0,0.1
1292,1.1,2.1,1.5,44.3,11.5,3.5,0.263,0.644,15.87,0.3,0.0,0.0,0.1
1315,1.3,2.1,1.6,43.2,10.9,3.7,0.291,0.644,15.38,0.3,0.0,0.0,0.1
1336,1.6,2.1,1.7,45.7,12.2,4.3,0.324,0.634,15.03,0.3,0.0,0.0,0.1
1357,1.7,2.3,1.2,44.5,13.9,4.6,0.327,0.601,15.3,0.4,0.0,0.0,0.1
1371,1.7,2.1,1.8,46.1,13.5,4.5,0.333,0.584,15.05,0.3,0.0,0.0,0.1
1383,1.6,2.2,2.2,47.2,14.8,4.4,0.307,0.562,15.21,0.4,0.0,0.0,0.1
1406,1.7,2.1,1.1,47.1,14.8,4.7,0.332,0.588,15.48,0.3,0.0,0.0,0.2
1445,1.9,1.8,0.4,44.5,14.7,4.7,0.335,0.625,15.37,0.4,0.0,0.0,0.2
1469,1.9,1.4,1.8,45.5,15.0,4.7,0.327,0.678,16.14,0.5,0.0,0.0,0.2
1472,1.7,1.6,1.9,44.5,14.0,4.0,0.31,0.668,16.21,0.5,0.1,0.1,0.2
1489,1.6,1.6,0.5,44.1,15.0,4.2,0.302,0.668,16.73,0.5,0.1,0.1,0.2
1512,1.3,1.9,2.2,45.4,14.7,4.0,0.291,0.63,17.5,0.6,0.1,0.1,0.3
1525,1.1,1.9,1.2,42.7,15.1,3.9,0.28,0.647,17.59,0.5,0.1,0.1,0.3
1546,1.1,1.7,2.4,42.4,14.0,3.9,0.294,0.684,17.83,0.5,0.1,0.1,0.3
1567,1.3,1.8,1.1,42.5,14.8,4.2,0.291,0.709,17.6,0.5,0.1,0.1,0.2
1584,1.2,1.8,2.1,41.6,14.2,4.4,0.307,0.734,17.8,0.5,0.1,0.1,0.2
1602,1.0,1.7,0.3,43.3,14.9,4.0,0.267,0.734,17.2,0.5,0.1,0.1,0.1
1621,0.9,1.8,2.6,45.0,14.9,4.0,0.267,0.722,17.85,0.4,0.1,0.1,0.1
1644,1.0,1.9,3.3,45.4,15.6,4.2,0.275,0.694,17.42,0.4,0.1,0.1,0.1
1666,1.3,1.8,3.2,45.0,15.2,4.3,0.299,0.687,17.92,0.4,0.3,0.3,0.1
1687,1.4,1.9,1.6,46.9,15.3,4.3,0.298,0.667,17.89,0.4,0.3,0.3,0.1
1703,1.7,1.6,2.0,46.4,15.5,4.5,0.314,0.705,17.82,0.3,0.4,0.4,0.0
1722,1.8,1.6,1.2,47.3,14.9,4.8,0.341,0.705,17.51,0.3,0.4,0.4,0.0
1730,1.9,1.7,2.0,46.9,14.2,4.6,0.344,0.698,17.41,0.2,0.5,0.5,0.0
1765,2.0,1.6,1.2,46.0,14.4,4.9,0.355,0.698,17.26,0.2,0.5,0.5,0.0
1782,2.3,1.4,1.5,47.4,13.9,5.0,0.374,0.698,17.06,0.1,0.5,0.5,0.0
1798,2.4,1.5,2.2,47.5,13.9,5.3,0.39,0.681,17.32,0.1,0.5,0.5,0.1
1823,2.5,1.6,2.1,47.1,14.6,5.8,0.407,0.627,16.56,0.2,0.5,0.5,0.2
1842,2.5,1.5,0.7,46.6,14.2,5.9,0.423,0.61,16.49,0.1,0.5,0.5,0.2
1865,2.1,1.3,0.9,49.7,14.8,5.8,0.394,0.577,16.21,0.1,0.2,0.2,0.2
1890,2.1,1.3,1.1,49.0,13.5,5.4,0.389,0.572,16.09,0.1,0.2,0.2,0.2
