ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
861,1.0,2.2,1.0,37.1,7.1,2.5,0.34,0.615,16.82,0.3,0.0,0.0,0.3
876,0.8,2.3,0.4,39.0,7.9,2.5,0.318,0.581,17.01,0.4,0.0,0.0,0.3
879,0.8,2.1,0.5,40.2,8.1,2.7,0.344,0.572,16.31,0.4,0.0,0.0,0.4
890,1.0,2.1,1.5,39.0,8.1,3.0,0.394,0.579,15.86,0.3,0.0,0.0,0.4
898,1.3,1.6,2.4,39.9,8.5,3.3,0.41,0.52,15.28,0.3,0.0,0.0,0.5
914,1.6,1.6,0.5,40.0,9.6,3.9,0.42,0.52,15.03,0.3,0.0,0.0,0.5
920,1.3,1.6,0.6,39.2,9.7,4.0,0.427,0.58,15.38,0.5,0.0,0.0,0.4
931,1.2,1.7,0.6,42.3,9.3,3.9,0.43,0.564,15.05,0.5,0.0,0.0,0.3
944,1.2,2.0,0.6,42.3,9.3,4.3,0.487,0.514,15.07,0.5,0.0,0.0,0.3
951,1.0,2.1,1.4,42.8,9.0,4.1,0.476,0.467,15.38,0.4,0.0,0.0,0.4
963,0.9,2.0,1.1,44.0,9.6,3.8,0.434,0.514,15.62,0.6,0.0,0.0,0.3
977,0.9,2.0,1.5,41.5,9.3,3.7,0.431,0.53,15.39,0.5,0.0,0.0,0.3
987,1.0,1.9,1.1,40.4,9.9,3.8,0.407,0.583,15.68,0.6,0.0,0.0,0.2
997,0.9,1.6,1.0,40.5,9.8,3.5,0.361,0.626,15.68,0.6,0.0,0.0,0.2
1003,0.7,1.6,1.3,40.0,10.2,3.2,0.321,0.679,15.86,0.6,0.0,0.0,0.1
1012,0.6,1.9,0.9,38.5,9.0,2.8,0.371,0.646,15.31,0.6,0.0,0.0,0.1
1027,0.7,1.7,1.3,37.6,8.6,2.6,0.366,0.686,14.44,0.4,0.0,0.0,0.2
1035,0.7,1.8,2.6,36.1,9.0,2.7,0.363,0.686,14.22,0.5,0.0,0.0,0.2
1041,0.9,1.6,1.7,36.2,9.5,2.9,0.356,0.686,13.9,0.4,0.0,0.0,0.2
1050,0.9,1.6,1.9,34.9,10.2,3.0,0.349,0.719,13.67,0.4,0.0,0.0,0.1
1058,0.9,1.5,1.3,35.5,10.5,3.4,0.367,0.739,13.6,0.3,0.0,0.0,0.1
1073,1.2,1.6,1.5,36.8,10.2,3.8,0.417,0.731,13.86,0.3,0.0,0.0,0.1
1083,1.1,1.9,0.9,39.8,10.8,3.9,0.41,0.705,13.95,0.2,0.0,0.0,0.1
1089,1.1,1.9,1.9,40.9,11.9,4.0,0.402,0.705,14.31,0.2,0.0,0.0,0.1
1100,1.4,1.6,1.2,41.6,11.8,4.5,0.445,0.768,14.14,0.2,0.0,0.0,0.1
1110,1.3,1.6,0.3,43.0,12.4,4.5,0.385,0.742,14.78,0.2,0.0,0.0,0.1
1120,1.2,1.8,1.0,44.0,12.4,4.3,0.345,0.702,15.49,0.3,0.0,0.0,0.0
1139,1.2,1.6,0.5,43.7,12.4,4.4,0.355,0.715,15.85,0.3,0.0,0.0,0.0
1145,1.0,1.6,1.3,45.6,11.9,3.9,0.319,0.748,16.05,0.3,0.0,0.0,0.0
1154,1.1,1.5,1.3,48.1,11.9,4.1,0.334,0.732,16.54,0.4,0.0,0.0,0.0
1161,1.1,1.8,0.7,46.8,11.3,3.9,0.335,0.698,17.04,0.4,0.0,0.0,0.1
1174,0.8,1.8,2.1,47.0,11.5,3.6,0.296,0.69,17.03,0.4,0.0,0.0,0.1
1187,1.0,1.6,1.0,44.6,11.0,3.6,0.308,0.701,16.8,0.4,0.0,0.0,0.1
1197,0.9,1.6,1.1,43.9,10.7,3.8,0.327,0.701,16.71,0.5,0.0,0.0,0.1
1205,0.6,1.8,0.6,43.6,10.7,3.4,0.293,0.643,17.22,0.6,0.0,0.0,0.1
1213,0.5,1.9,0.7,44.4,10.5,3.1,0.266,0.636,17.18,0.6,0.0,0.0,0.3
1223,0.5,2.0,0.6,45.5,11.1,3.4,0.293,0.639,16.86,0.5,0.0,0.0,0.3
1233,0.6,2.1,1.1,44.9,10.8,3.4,0.31,0.63,16.95,0.4,0.0,0.0,0.3
1242,0.8,2.1,0.9,43.2,11.4,3.9,0.342,0.614,17.45,0.6,0.0,0.0,0.3
1255,0.8,2.6,2.4,40.5,10.5,3.5,0.326,0.589,16.52,0.5,0.0,0.0,0.3
1262,0.9,2.3,2.9,41.7,11.1,4.0,0.34,0.622,16.04,0.4,0.0,0.0,0.2
1279,1.2,2.2,2.0,42.7,12.3,4.8,0.361,0.605,15.83,0.4,0.0,0.0,0.2
1283,1.2,2.2,1.8,42.5,12.6,5.0,0.366,0.567,15.68,0.4,0.0,0.0,0.2
1292,1.4,2.2,1.5,43.0,12.4,5.0,0.372,0.567,15.16,0.3,0.0,0.0,0.2
1315,1.6,1.9,1.6,42.3,12.2,5.1,0.387,0.642,14.67,0.2,0.0,0.0,0.2
1321,1.9,1.7,1.8,44.6,13.2,5.6,0.407,0.659,14.85,0.3,0.0,0.0,0.0
1336,2.2,1.4,1.7,43.7,13.6,5.6,0.4,0.696,15.08,0.3,0.1,0.1,0.0
1347,2.2,1.5,1.4,45.2,15.3,5.6,0.36,0.675,15.09,0.4,0.1,0.1,0.0
1357,2.0,1.8,1.2,44.7,15.1,5.1,0.323,0.651,15.12,0.2,0.1,0.1,0.0
1365,2.0,1.3,1.3,46.4,15.5,5.4,0.347,0.676,15.7,0.2,0.1,0.1,0.1
1371,1.9,1.4,1.8,46.1,14.5,4.5,0.306,0.66,15.88,0.3,0.1,0.1,0.1
1383,1.7,1.6,2.2,45.8,14.7,3.8,0.274,0.66,15.98,0.4,0.1,0.1,0.1
1395,1.7,1.6,0.9,45.8,14.4,3.7,0.277,0.676,16.65,0.4,0.1,0.1,0.2
1406,1.5,1.7,1.1,45.5,14.6,3.7,0.271,0.66,17.21,0.4,0.1,0.1,0.2
1410,1.4,1.7,3.3,44.9,14.6,3.6,0.261,0.66,17.45,0.5,0.1,0.1,0.2
1419,1.3,1.7,2.3,45.2,15.9,4.1,0.264,0.687,17.55,0.4,0.1,0.2,0.2
1428,1.4,2.0,1.3,46.8,16.8,4.7,0.281,0.612,17.25,0.4,0.0,0.1,0.2
1436,1.5,1.8,1.1,46.6,15.5,4.7,0.301,0.629,17.09,0.4,0.0,0.1,0.2
1445,1.6,1.4,0.4,47.6,15.5,5.2,0.346,0.686,16.98,0.6,0.0,0.1,0.2
1459,1.6,1.5,1.6,46.9,15.4,4.9,0.314,0.714,17.17,0.7,0.0,0.1,0.1
1469,1.7,1.6,1.8,46.7,16.5,5.3,0.328,0.531,17.18,0.7,0.0,0.1,0.2
1472,1.7,1.6,1.9,46.0,15.3,5.3,0.343,0.521,17.15,0.6,0.1,0.2,0.2
1485,1.6,1.4,1.9,45.9,16.2,5.3,0.322,0.571,16.79,0.6,0.1,0.2,0.1
1489,1.9,1.3,0.5,45.2,16.4,5.5,0.331,0.587,16.52,0.7,0.1,0.2,0.1
1501,1.7,1.6,0.7,47.1,16.1,5.4,0.329,0.55,17.05,0.7,0.1,0.2,0.2
1512,1.6,1.6,2.2,45.0,14.3,4.7,0.325,0.522,17.07,0.7,0.1,0.1,0.2
1525,1.3,1.5,1.2,43.0,14.1,4.3,0.31,0.564,17.2,0.7,0.1,0.1,0.2
1539,1.2,1.5,2.2,42.9,14.3,4.3,0.304,0.584,17.6,0.7,0.1,0.1,0.2
1546,1.2,1.6,2.4,41.8,14.8,4.1,0.275,0.564,17.38,0.6,0.1,0.1,0.2
1558,1.4,1.6,1.7,42.6,15.7,4.7,0.303,0.562,16.96,0.5,0.1,0.1,0.2
1567,1.2,1.5,1.1,41.7,15.5,4.8,0.312,0.728,17.52,0.4,0.1,0.2,0.1
1580,1.1,1.5,1.3,41.5,16.1,5.0,0.312,0.763,17.75,0.5,0.0,0.1,0.1
1584,1.3,1.6,2.1,41.8,15.4,5.0,0.327,0.73,17.96,0.5,0.0,0.1,0.1
1597,1.0,1.7,1.8,44.2,15.8,4.6,0.297,0.68,17.95,0.4,0.0,0.1,0.1
1602,1.2,1.4,0.3,44.6,16.3,4.7,0.294,0.718,17.8,0.3,0.1,0.2,0.0
1613,1.2,1.3,2.0,44.1,16.0,4.6,0.293,0.755,18.25,0.3,0.1,0.2,0.0
1621,1.3,1.2,2.6,43.8,15.0,4.7,0.32,0.763,18.17,0.3,0.1,0.2,0.0
1635,1.4,1.4,1.6,44.0,15.2,4.6,0.309,0.726,17.69,0.3,0.1,0.2,0.0
1644,1.4,1.5,3.3,45.6,15.5,4.7,0.311,0.696,17.59,0.2,0.1,0.2,0.0
1660,1.5,1.5,3.5,44.3,14.7,4.5,0.325,0.654,18.24,0.2,0.4,0.5,0.0
1666,1.6,1.4,3.2,44.4,15.0,4.7,0.33,0.688,17.38,0.2,0.4,0.4,0.0
1679,1.8,1.2,1.9,45.8,15.3,4.7,0.326,0.693,17.15,0.1,0.4,0.4,0.0
1687,1.6,1.2,1.6,47.0,16.8,5.0,0.314,0.676,17.1,0.2,0.4,0.4,0.1
