ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
977,1.0,1.1,1.5,42.3,9.4,3.0,0.328,0.8,15.62,0.6,0.0,0.0,0.0
997,0.9,1.2,1.0,42.2,9.8,3.1,0.322,0.786,15.7,0.7,0.0,0.0,0.0
1012,1.0,1.3,0.9,41.4,10.5,3.2,0.32,0.756,15.27,0.6,0.0,0.0,0.0
1035,1.1,1.3,2.6,41.0,10.5,3.2,0.32,0.756,14.89,0.6,0.0,0.0,0.1
1041,1.3,1.4,1.7,41.1,11.0,3.8,0.37,0.706,14.59,0.5,0.0,0.0,0.1
1073,1.1,1.5,1.5,40.3,11.4,3.7,0.352,0.693,14.67,0.4,0.0,0.0,0.1
1089,1.1,1.8,1.9,41.3,11.6,3.9,0.361,0.686,14.65,0.3,0.0,0.0,0.1
1100,1.3,1.6,1.2,42.4,12.2,4.2,0.353,0.712,14.5,0.3,0.0,0.0,0.1
1120,1.1,1.9,1.0,42.3,11.6,3.8,0.343,0.652,14.59,0.3,0.0,0.0,0.1
1145,1.1,1.8,1.3,40.5,12.0,4.0,0.35,0.666,14.73,0.4,0.0,0.0,0.1
1161,1.1,1.8,0.7,42.4,11.8,4.2,0.367,0.636,15.26,0.3,0.0,0.0,0.1
1187,1.0,1.9,1.0,43.4,11.8,4.1,0.358,0.617,15.39,0.2,0.0,0.0,0.1
1205,0.9,1.5,0.6,43.5,11.8,4.3,0.373,0.697,15.64,0.3,0.0,0.0,0.1
1223,0.8,1.9,0.6,44.7,12.1,4.2,0.345,0.63,15.82,0.3,0.0,0.0,0.2
1233,0.7,2.0,1.1,43.9,11.6,4.0,0.353,0.651,16.28,0.3,0.0,0.0,0.2
1255,0.9,1.9,2.4,44.7,11.5,4.3,0.377,0.651,16.65,0.5,0.0,0.0,0.2
1279,1.1,1.5,2.0,43.1,11.7,4.8,0.401,0.691,16.4,0.5,0.0,0.0,0.2
1321,0.9,1.6,1.8,42.7,12.0,4.8,0.389,0.641,16.51,0.5,0.0,0.0,0.2
1347,1.1,1.3,1.4,43.5,12.5,4.7,0.369,0.701,16.91,0.5,0.1,0.1,0.2
1365,1.1,1.6,1.3,43.4,12.6,4.4,0.338,0.664,17.27,0.4,0.1,0.1,0.2
1395,1.1,1.6,0.9,41.7,12.1,4.0,0.313,0.698,16.87,0.4,0.1,0.1,0.2
1410,1.1,1.5,3.3,41.1,12.3,4.1,0.317,0.714,16.8,0.4,0.1,0.1,0.2
1419,1.3,1.7,2.3,44.4,14.1,4.8,0.322,0.692,16.82,0.3,0.1,0.2,0.2
1428,1.7,1.6,1.3,46.0,15.7,5.6,0.347,0.684,16.96,0.3,0.1,0.2,0.0
1436,1.8,1.5,1.1,47.3,16.1,5.6,0.326,0.679,16.81,0.4,0.1,0.2,0.0
1459,1.7,1.4,1.6,47.8,15.9,5.6,0.334,0.712,16.73,0.4,0.1,0.2,0.0
1485,1.7,1.6,1.9,47.3,16.0,5.1,0.307,0.512,16.92,0.5,0.1,0.2,0.1
1501,1.8,1.4,0.7,46.6,16.0,5.0,0.3,0.579,17.0,0.6,0.1,0.2,0.1
1539,1.6,1.6,2.2,47.1,15.8,5.1,0.311,0.529,16.86,0.6,0.0,0.1,0.1
1558,1.7,1.3,1.7,47.0,16.3,5.4,0.327,0.566,16.53,0.7,0.0,0.1,0.1
1580,1.6,1.3,1.3,45.9,17.2,5.9,0.349,0.549,17.1,0.6,0.0,0.2,0.1
1597,1.9,1.3,1.8,46.1,17.3,6.1,0.361,0.533,17.27,0.6,0.0,0.2,0.1
1613,1.9,1.1,2.0,44.1,15.4,5.3,0.35,0.555,17.47,0.6,0.1,0.2,0.1
1635,1.7,0.9,1.6,41.8,14.2,5.0,0.363,0.605,17.52,0.6,0.1,0.2,0.1
1660,1.6,1.0,3.5,42.5,15.0,5.1,0.353,0.588,17.51,0.5,0.1,0.2,0.1
1679,1.6,1.0,1.9,41.0,16.0,5.3,0.336,0.588,17.02,0.3,0.1,0.2,0.1
1695,1.5,0.9,1.4,41.9,16.9,5.7,0.342,0.738,17.17,0.3,0.1,0.2,0.1
1712,1.2,0.9,1.8,44.0,17.2,5.4,0.319,0.738,17.15,0.3,0.1,0.2,0.1
1740,1.2,0.7,1.7,45.0,17.8,5.8,0.33,0.688,16.92,0.3,0.1,0.2,0.1
1753,1.6,0.6,1.6,46.1,17.8,6.4,0.368,0.708,16.9,0.3,0.1,0.2,0.1
1776,1.6,0.7,0.9,47.6,17.4,6.1,0.356,0.708,16.4,0.3,0.1,0.1,0.2
1806,1.3,0.7,1.6,48.2,16.8,5.8,0.351,0.722,16.23,0.3,0.1,0.1,0.2
1816,1.2,0.9,1.8,49.1,17.3,6.0,0.355,0.672,16.0,0.3,0.0,0.0,0.2
1839,1.1,1.0,1.4,51.8,18.5,6.0,0.33,0.597,16.33,0.3,0.0,0.0,0.2
1858,1.1,0.8,0.5,50.4,17.8,5.8,0.329,0.647,16.34,0.3,0.0,0.0,0.2
1875,1.1,0.9,0.8,50.8,16.5,5.1,0.303,0.63,16.68,0.4,0.0,0.0,0.2
1896,1.0,0.9,1.6,52.2,14.6,4.6,0.312,0.647,16.41,0.3,0.0,0.0,0.1
