ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
395,2022,2,Crystal Palace,Brentford,0,0,1,0,0,0.5,0.9,53,47,James McArthur,4-3-3,7,2,15.9,0,0,0,Pontus Jansson,3-5-2,14,3,18.0,1,0,0,Martin Atkinson,2021-08-21,Sat,15:00
404,2022,3,Aston Villa,Brentford,0,0,1,1,1,0.7,0.9,46,54,Ezri Konsa,4-1-4-1,7,5,13.8,0,0,0,Pontus Jansson,3-4-1-2,9,2,15.6,0,0,0,Peter Bankes,2021-08-28,Sat,15:00
422,2022,5,Wolverhampton Wanderers,Brentford,0,1,0,0,2,0.6,2.5,62,38,Conor Coady,3-4-3,11,0,22.8,1,0,0,Pontus Jansson,3-5-2,8,2,18.7,0,1,1,Darren England,2021-09-18,Sat,12:30
449,2022,7,West Ham United,Brentford,0,1,0,1,2,1.5,1.2,59,41,Declan Rice,4-2-3-1,18,5,16.7,1,0,0,Pontus Jansson,3-5-2,13,6,13.9,1,0,0,Peter Bankes,2021-10-03,Sun,14:00
473,2022,10,Burnley,Brentford,1,0,0,3,1,2.3,0.8,41,59,Ben Mee,4-4-2,15,5,16.6,1,0,0,Pontus Jansson,3-5-2,12,4,18.2,1,0,0,Jonathan Moss,2021-10-30,Sat,15:00
496,2022,12,Newcastle United,Brentford,0,0,1,3,3,1.5,0.9,53,47,Jamaal Lascelles,3-4-3,23,8,16.1,0,0,0,Pontus Jansson,3-5-2,10,3,18.5,1,0,0,Robert Jones,2021-11-20,Sat,15:00
518,2022,14,Tottenham Hotspur,Brentford,1,0,0,2,0,1.9,0.3,47,53,Hugo Lloris,3-4-3,11,6,9.8,0,0,0,Pontus Jansson,3-5-2,6,2,17.1,0,0,0,Jonathan Moss,2021-12-02,Thu,19:30
526,2022,15,Leeds United,Brentford,0,0,1,2,2,1.2,1.0,63,37,Liam Cooper,3-4-3,13,6,17.3,0,0,0,Pontus Jansson,3-5-2,9,3,16.7,1,0,0,David Coote,2021-12-05,Sun,14:00
555,2022,19,Brighton And Hove Albion,Brentford,1,0,0,2,0,0.8,0.7,50,50,Adam Lallana,4-1-2-1-2◆,15,5,21.7,3,0,0,Pontus Jansson,3-5-2,16,5,17.1,0,0,0,Darren England,2021-12-26,Sun,20:00
572,2022,18,Southampton,Brentford,1,0,0,4,1,1.4,0.5,48,52,James Ward-Prowse,3-5-2,12,6,17.9,0,0,0,Pontus Jansson,3-5-2,5,4,12.8,0,0,0,Stuart Attwell,2022-01-11,Tue,19:45
580,2022,22,Liverpool,Brentford,1,0,0,3,0,2.7,0.7,68,32,Jordan Henderson,4-3-3,27,13,16.7,0,0,0,Pontus Jansson,3-5-2,6,1,21.2,0,0,0,Jonathan Moss,2022-01-16,Sun,14:00
599,2022,24,Manchester City,Brentford,1,0,0,2,0,1.9,0.4,74,26,Rúben Dias,4-3-3,14,6,19.8,0,1,1,Pontus Jansson,3-5-2,6,2,18.3,0,0,0,Darren England,2022-02-09,Wed,19:45
618,2022,26,Arsenal,Brentford,1,0,0,2,1,1.7,0.6,66,34,Alexandre Lacazette,4-2-3-1,24,7,16.0,0,0,0,Pontus Jansson,3-5-2,6,2,20.7,0,0,0,Jonathan Moss,2022-02-19,Sat,15:00
641,2022,28,Norwich City,Brentford,0,1,0,1,3,1.0,2.0,60,40,Grant Hanley,4-2-3-1,15,7,18.6,0,0,0,Pontus Jansson,4-5-1,8,4,21.4,0,2,2,Anthony Taylor,2022-03-05,Sat,15:00
667,2022,30,Leicester City,Brentford,1,0,0,2,1,1.0,1.3,52,48,Kasper Schmeichel,4-2-3-1,12,4,19.2,1,0,0,Pontus Jansson,4-5-1,15,6,14.9,0,0,0,Darren England,2022-03-20,Sun,14:00
670,2022,31,Chelsea,Brentford,0,1,0,1,4,1.3,1.8,70,30,César Azpilicueta,4-3-3,21,8,20.1,0,0,0,Pontus Jansson,5-3-2,17,6,13.5,1,0,0,Andy Madley,2022-04-02,Sat,15:00
693,2022,33,Watford,Brentford,0,1,0,1,2,1.7,1.9,50,50,Moussa Sissoko,4-3-3,18,4,16.3,2,0,0,Pontus Jansson,4-3-3,16,5,19.7,0,0,0,Simon Hooper,2022-04-16,Sat,15:00
722,2022,35,Manchester United,Brentford,1,0,0,3,0,2.0,0.6,63,37,Bruno Fernandes,4-2-3-1,8,4,20.3,1,1,1,Pontus Jansson,5-3-2,12,4,18.9,1,0,0,Chris Kavanagh,2022-05-02,Mon,20:00
745,2022,37,Everton,Brentford,0,1,0,2,3,2.1,1.4,28,72,Séamus Coleman,3-4-3,9,4,17.4,0,1,1,Pontus Jansson,4-3-3,18,6,18.1,1,0,0,Michael Oliver,2022-05-15,Sun,16:30
768,2023,1,Leicester City,Brentford,0,0,1,2,2,0.6,0.8,56,44,Jonny Evans,3-5-1-1,14,5,23.1,0,0,0,Pontus Jansson,4-3-3,8,3,17.0,0,0,0,Jarred Gillett,2022-08-07,Sun,14:00
785,2023,3,Fulham,Brentford,1,0,0,3,2,2.4,1.8,43,57,Tim Ream,4-2-3-1,18,9,15.5,1,0,0,Pontus Jansson,4-3-3,13,5,14.1,0,0,0,Peter Bankes,2022-08-20,Sat,15:00
801,2023,5,Crystal Palace,Brentford,0,0,1,1,1,1.0,1.4,49,51,Joel Ward,4-1-4-1,13,4,19.2,0,0,0,Ivan Toney,4-3-3,9,3,10.7,0,0,0,Simon Hooper,2022-08-30,Tue,19:30
833,2023,9,Bournemouth,Brentford,0,0,1,0,0,0.4,0.9,42,58,Adam Smith,4-4-2,7,0,15.5,1,0,0,Pontus Jansson,4-3-3,13,4,15.2,1,0,0,Thomas Bramall,2022-10-01,Sat,15:00
839,2023,10,Newcastle United,Brentford,1,0,0,5,1,1.5,1.2,54,46,Kieran Trippier,4-3-3,16,6,18.6,0,0,0,Ivan Toney,3-5-2,5,2,18.2,0,1,1,John Brooks,2022-10-08,Sat,15:00
872,2023,13,Aston Villa,Brentford,1,0,0,4,0,2.8,0.9,45,55,Emiliano Martínez,4-2-3-1,18,10,18.7,0,1,1,Ivan Toney,3-5-2,12,3,16.8,0,0,0,Darren England,2022-10-23,Sun,14:00
887,2023,15,Nottingham Forest,Brentford,0,0,1,2,2,1.5,1.5,48,52,Ryan Yates,4-3-1-2,15,6,17.8,0,0,0,David Raya,4-3-3,5,1,20.3,0,1,1,Andre Marriner,2022-11-05,Sat,15:00
897,2023,16,Manchester City,Brentford,0,1,0,1,2,1.6,1.3,74,26,İlkay Gündoğan,4-3-3,29,6,20.9,0,0,0,Ivan Toney,3-5-2,10,7,15.2,0,0,0,Peter Bankes,2022-11-12,Sat,12:30
917,2023,18,West Ham United,Brentford,0,1,0,0,2,1.3,1.6,63,37,Declan Rice,3-4-3,20,5,18.2,2,0,0,Christian Nørgaard,3-5-2,9,6,13.4,1,0,0,Darren England,2022-12-30,Fri,19:45
957,2023,21,Leeds United,Brentford,0,0,1,0,0,0.5,0.4,58,42,Luke Ayling,4-2-3-1,9,5,23.2,1,0,0,Christian Nørgaard,3-5-2,6,0,24.2,1,0,0,Peter Bankes,2023-01-22,Sun,14:00
976,2023,23,Arsenal,Brentford,0,0,1,1,1,1.6,2.0,69,31,Martin Ødegaard,4-3-3,23,7,19.6,0,0,0,Christian Nørgaard,3-5-2,9,2,12.9,0,0,0,Peter Bankes,2023-02-11,Sat,15:00
1016,2023,27,Everton,Brentford,1,0,0,1,0,1.0,2.0,33,67,Séamus Coleman,4-5-1,13,6,17.0,1,0,0,Christian Nørgaard,4-3-3,12,3,13.0,1,0,0,Simon Hooper,2023-03-11,Sat,15:00
1022,2023,7,Southampton,Brentford,0,1,0,0,2,0.5,1.9,66,34,James Ward-Prowse,4-2-3-1,7,0,19.2,1,0,0,Christian Nørgaard,4-3-3,11,4,18.3,0,0,0,Michael Salisbury,2023-03-15,Wed,19:30
