ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
580,1.2,1.8,0.7,47.8,10.2,3.4,0.356,0.589,16.66,0.5,0.1,0.1,0.0
599,1.091,1.909,0.4,46.364,9.818,3.182,0.339,0.606,17.073,0.455,0.091,0.091,0.0
618,1.0,1.917,0.6,44.667,9.5,3.083,0.338,0.611,17.175,0.417,0.083,0.083,0.083
641,1.0,1.923,2.0,43.846,9.231,3.0,0.338,0.619,17.446,0.385,0.077,0.077,0.077
667,1.143,1.857,1.3,43.571,9.143,3.071,0.35,0.636,17.729,0.357,0.214,0.214,0.071
670,1.133,1.867,1.8,43.867,9.533,3.267,0.353,0.627,17.54,0.333,0.2,0.2,0.067
693,1.312,1.812,1.9,43.0,10.0,3.438,0.353,0.642,17.287,0.375,0.188,0.188,0.062
722,1.353,1.765,0.6,43.412,10.353,3.529,0.351,0.648,17.429,0.353,0.176,0.176,0.059
745,1.278,1.833,1.4,43.056,10.444,3.556,0.35,0.626,17.511,0.389,0.167,0.167,0.111
768,1.368,1.842,0.8,44.579,10.842,3.684,0.349,0.62,17.542,0.421,0.158,0.158,0.158
785,1.4,1.85,1.8,44.55,10.7,3.65,0.35,0.619,17.515,0.4,0.15,0.15,0.15
801,1.429,1.905,1.4,45.143,10.81,3.714,0.352,0.621,17.352,0.381,0.143,0.143,0.143
833,1.409,1.864,0.9,45.409,10.727,3.682,0.351,0.627,17.05,0.364,0.136,0.136,0.136
839,1.348,1.783,1.2,45.957,10.826,3.696,0.349,0.6,16.97,0.391,0.13,0.13,0.13
872,1.333,1.917,0.9,45.958,10.583,3.625,0.351,0.582,17.021,0.375,0.167,0.167,0.125
887,1.28,2.0,1.5,46.32,10.64,3.6,0.347,0.582,17.012,0.36,0.16,0.16,0.16
897,1.308,2.0,1.3,46.538,10.423,3.5,0.341,0.586,17.138,0.346,0.192,0.192,0.154
917,1.333,1.963,1.6,45.778,10.407,3.63,0.355,0.595,17.067,0.333,0.185,0.185,0.148
957,1.357,1.893,0.4,45.464,10.357,3.714,0.366,0.609,16.936,0.357,0.179,0.179,0.143
976,1.31,1.828,2.0,45.345,10.207,3.586,0.353,0.623,17.186,0.379,0.172,0.172,0.138
1016,1.3,1.8,2.0,44.867,10.167,3.533,0.349,0.63,17.043,0.367,0.167,0.167,0.133
1022,1.258,1.774,1.9,45.581,10.226,3.516,0.346,0.637,16.913,0.387,0.161,0.161,0.129
1034,1.281,1.719,1.6,45.219,10.25,3.531,0.346,0.617,16.956,0.375,0.156,0.156,0.125
1046,1.333,1.758,0.7,44.697,10.152,3.576,0.357,0.622,16.915,0.394,0.152,0.152,0.152
1061,1.294,1.735,1.1,44.441,10.029,3.5,0.352,0.623,16.903,0.382,0.147,0.147,0.147
1079,1.257,1.743,1.1,44.6,10.029,3.486,0.35,0.627,16.866,0.371,0.143,0.143,0.143
