ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
485,1.2,1.2,2.5,44.8,11.5,3.5,15.96,0.3,0.1,0.1
496,1.182,1.273,0.9,46.545,12.182,3.818,15.491,0.273,0.091,0.091
507,1.333,1.417,1.2,46.583,12.0,3.75,15.742,0.333,0.083,0.083
518,1.308,1.308,0.3,46.077,11.462,3.692,15.985,0.308,0.154,0.154
526,1.214,1.357,1.0,46.571,11.071,3.571,16.064,0.286,0.143,0.143
530,1.267,1.4,1.6,45.933,10.933,3.533,16.107,0.333,0.133,0.133
555,1.312,1.375,0.7,47.0,11.062,3.562,16.069,0.312,0.188,0.188
562,1.235,1.412,0.4,47.176,11.353,3.647,16.129,0.294,0.176,0.176
567,1.167,1.389,0.6,45.889,11.056,3.556,16.6,0.278,0.167,0.167
572,1.211,1.368,0.5,45.842,11.0,3.579,16.658,0.263,0.158,0.158
580,1.2,1.5,0.7,46.15,10.7,3.6,16.465,0.25,0.15,0.15
584,1.143,1.571,2.3,45.476,10.476,3.476,16.69,0.238,0.143,0.143
589,1.136,1.636,1.1,45.409,10.818,3.727,16.691,0.227,0.136,0.136
599,1.13,1.652,0.4,45.609,10.826,3.609,16.557,0.261,0.13,0.13
608,1.083,1.667,1.6,44.792,10.625,3.542,16.629,0.25,0.125,0.125
618,1.04,1.6,0.6,44.68,10.56,3.48,16.48,0.24,0.12,0.12
634,1.038,1.615,0.4,44.269,10.385,3.423,16.642,0.231,0.115,0.115
641,1.0,1.63,2.0,44.0,10.222,3.333,16.637,0.222,0.111,0.111
653,1.071,1.607,1.9,43.857,10.143,3.357,16.807,0.214,0.179,0.179
667,1.103,1.552,1.3,44.241,10.207,3.31,16.969,0.207,0.207,0.207
670,1.1,1.567,1.8,44.367,10.367,3.4,16.9,0.2,0.2,0.2
686,1.194,1.548,1.4,43.903,10.581,3.484,16.79,0.226,0.194,0.194
693,1.219,1.5,1.9,44.0,10.719,3.594,16.759,0.219,0.188,0.188
706,1.242,1.485,0.9,44.182,10.879,3.636,16.848,0.212,0.182,0.182
722,1.206,1.441,0.6,44.176,11.0,3.559,16.803,0.235,0.176,0.176
725,1.171,1.486,2.6,43.971,11.029,3.571,16.863,0.257,0.171,0.171
745,1.222,1.444,1.4,43.889,11.222,3.611,16.781,0.278,0.167,0.167
760,1.27,1.459,0.8,44.649,11.405,3.676,16.816,0.297,0.162,0.162
768,1.263,1.474,0.8,44.763,11.474,3.711,16.734,0.289,0.158,0.158
777,1.282,1.487,1.6,44.744,11.385,3.692,16.741,0.282,0.154,0.154
785,1.35,1.45,1.8,44.475,11.425,3.775,16.788,0.3,0.15,0.15
793,1.366,1.488,2.1,44.78,11.463,3.805,16.722,0.293,0.146,0.146
801,1.357,1.476,1.4,45.095,11.667,3.833,16.676,0.286,0.143,0.143
816,1.349,1.465,2.3,45.233,11.605,3.814,16.537,0.279,0.14,0.14
826,1.432,1.477,0.5,44.932,11.636,3.886,16.589,0.318,0.159,0.159
833,1.4,1.511,0.9,44.756,11.489,3.844,16.529,0.333,0.156,0.156
839,1.37,1.478,1.2,45.043,11.522,3.848,16.5,0.348,0.152,0.152
848,1.362,1.553,1.5,45.064,11.383,3.809,16.536,0.34,0.17,0.17
860,1.375,1.521,1.3,44.708,11.271,3.75,16.531,0.333,0.188,0.188
872,1.347,1.49,0.9,44.49,11.204,3.776,16.49,0.327,0.184,0.184
882,1.32,1.54,1.4,44.7,11.22,3.76,16.496,0.32,0.18,0.18
887,1.314,1.529,1.5,44.961,11.235,3.745,16.475,0.314,0.176,0.176
897,1.327,1.538,1.3,45.096,11.115,3.692,16.548,0.308,0.192,0.192
907,1.34,1.528,2.0,44.736,11.094,3.755,16.523,0.302,0.189,0.189
917,1.352,1.537,1.6,44.63,11.056,3.759,16.406,0.296,0.185,0.185
927,1.364,1.509,1.6,44.491,11.018,3.8,16.351,0.309,0.182,0.182
944,1.393,1.5,1.4,44.196,11.0,3.857,16.246,0.304,0.179,0.179
957,1.404,1.474,0.4,44.298,11.0,3.842,16.37,0.298,0.193,0.193
964,1.379,1.448,2.0,44.259,10.914,3.776,16.505,0.31,0.19,0.19
976,1.407,1.424,2.0,44.339,10.966,3.763,16.431,0.305,0.186,0.186
988,1.4,1.417,0.9,44.117,10.933,3.733,16.372,0.3,0.183,0.183
1011,1.393,1.41,2.1,44.361,10.951,3.754,16.415,0.295,0.18,0.18
1016,1.419,1.419,2.0,44.242,10.984,3.774,16.469,0.323,0.194,0.194
1022,1.397,1.413,1.9,44.603,11.0,3.762,16.414,0.333,0.19,0.19
1025,1.406,1.391,0.6,44.438,11.0,3.766,16.444,0.328,0.188,0.188
1034,1.4,1.385,1.6,44.569,11.0,3.738,16.46,0.323,0.185,0.185
1046,1.424,1.409,0.7,44.318,10.939,3.758,16.447,0.333,0.182,0.182
1049,1.403,1.403,2.6,44.194,10.866,3.716,16.448,0.328,0.179,0.179
1061,1.397,1.412,1.1,44.162,10.853,3.721,16.434,0.324,0.191,0.206
1072,1.377,1.42,2.7,44.246,10.841,3.71,16.422,0.319,0.188,0.203
1079,1.371,1.414,1.1,44.243,10.914,3.729,16.416,0.329,0.186,0.2
1087,1.38,1.394,1.6,44.028,10.859,3.69,16.346,0.324,0.183,0.197
1102,1.389,1.389,0.2,44.361,10.903,3.75,16.353,0.333,0.181,0.194
1115,1.37,1.384,3.4,44.384,10.822,3.712,16.396,0.342,0.178,0.192
1119,1.378,1.365,1.2,44.5,11.0,3.784,16.347,0.338,0.176,0.189
1136,1.4,1.36,1.3,44.427,11.0,3.787,16.371,0.333,0.173,0.187
1148,1.395,1.342,2.2,44.303,11.0,3.789,16.339,0.329,0.171,0.184
1153,1.403,1.351,3.7,44.13,10.987,3.805,16.361,0.325,0.182,0.195
1164,1.423,1.333,1.0,44.141,11.051,3.846,16.328,0.333,0.192,0.205
1174,1.418,1.329,2.9,44.342,11.063,3.81,16.295,0.329,0.19,0.203
1186,1.425,1.338,0.5,44.538,11.188,3.85,16.275,0.338,0.188,0.2
1193,1.407,1.333,1.0,44.531,11.185,3.827,16.268,0.333,0.185,0.198
1208,1.402,1.354,1.6,44.683,11.195,3.805,16.239,0.341,0.183,0.195
1212,1.398,1.349,0.9,44.855,11.277,3.795,16.213,0.337,0.181,0.193
1222,1.393,1.357,3.1,44.75,11.274,3.786,16.226,0.333,0.179,0.19
1232,1.412,1.341,2.2,44.812,11.412,3.847,16.212,0.341,0.176,0.188
1245,1.419,1.326,1.5,44.663,11.36,3.86,16.171,0.337,0.174,0.186
1258,1.437,1.333,1.6,44.816,11.414,3.862,16.166,0.345,0.172,0.184
1267,1.42,1.352,1.1,44.784,11.466,3.852,16.175,0.364,0.17,0.182
1271,1.404,1.348,3.1,44.697,11.438,3.82,16.149,0.36,0.169,0.18
1285,1.422,1.344,1.5,44.956,11.611,3.844,16.141,0.356,0.167,0.178
1295,1.418,1.352,0.6,44.89,11.56,3.802,16.157,0.352,0.176,0.187
1307,1.402,1.348,0.5,45.043,11.543,3.804,16.163,0.348,0.174,0.185
1324,1.398,1.355,2.2,44.925,11.462,3.796,16.132,0.344,0.172,0.183
1331,1.394,1.383,1.4,45.085,11.489,3.798,16.107,0.34,0.17,0.181
1345,1.389,1.4,1.2,45.179,11.463,3.8,16.106,0.337,0.168,0.179
1354,1.406,1.406,1.6,45.208,11.458,3.812,16.093,0.344,0.167,0.177
1368,1.412,1.423,1.0,45.082,11.433,3.825,16.06,0.34,0.165,0.175
1373,1.408,1.439,1.9,44.908,11.408,3.806,16.052,0.337,0.163,0.173
1379,1.414,1.424,1.6,44.747,11.384,3.828,16.031,0.333,0.162,0.172
1389,1.41,1.45,0.4,44.68,11.42,3.85,16.069,0.36,0.16,0.17
1398,1.396,1.446,0.9,44.535,11.366,3.832,16.102,0.366,0.158,0.168
1400,1.402,1.471,1.8,44.676,11.392,3.863,16.108,0.363,0.157,0.167
1413,1.408,1.476,1.0,44.563,11.417,3.874,16.092,0.359,0.155,0.165
1420,1.404,1.481,1.1,44.413,11.394,3.875,16.102,0.356,0.154,0.163
1431,1.4,1.486,3.2,44.371,11.371,3.886,16.089,0.352,0.152,0.162
1439,1.396,1.481,0.6,44.396,11.557,3.896,16.078,0.358,0.151,0.16
1447,1.383,1.467,1.5,44.299,11.495,3.879,16.088,0.364,0.15,0.159
1457,1.398,1.481,1.0,44.176,11.463,3.87,16.092,0.38,0.148,0.157
1465,1.404,1.468,3.1,44.257,11.44,3.881,16.116,0.376,0.147,0.156
1482,1.436,1.464,0.9,44.282,11.527,3.927,16.133,0.373,0.145,0.155
1492,1.423,1.459,0.6,44.351,11.514,3.928,16.137,0.369,0.144,0.153
1501,1.411,1.446,1.1,44.438,11.473,3.911,16.108,0.366,0.143,0.152
1520,1.416,1.442,1.1,44.504,11.469,3.912,16.104,0.363,0.142,0.15
1528,1.421,1.465,1.6,44.588,11.456,3.921,16.103,0.368,0.14,0.149
1540,1.426,1.461,0.5,44.6,11.435,3.93,16.071,0.365,0.139,0.148
1543,1.414,1.466,2.8,44.543,11.405,3.914,16.089,0.362,0.138,0.147
1552,1.427,1.462,1.0,44.479,11.479,3.94,16.075,0.359,0.137,0.145
1563,1.424,1.466,0.8,44.492,11.449,3.949,16.048,0.356,0.136,0.144
1576,1.42,1.479,0.4,44.555,11.403,3.966,16.034,0.353,0.134,0.143
1582,1.417,1.475,4.2,44.658,11.375,3.958,16.073,0.358,0.133,0.142
1596,1.446,1.488,0.9,44.653,11.43,4.017,16.048,0.364,0.14,0.149
1603,1.443,1.492,4.0,44.697,11.402,4.0,16.063,0.369,0.139,0.148
1620,1.463,1.504,0.6,44.862,11.463,4.033,16.063,0.374,0.146,0.154
1621,1.46,1.508,1.5,44.758,11.411,4.016,16.078,0.371,0.145,0.153
1632,1.472,1.512,1.1,44.808,11.416,4.032,16.066,0.368,0.144,0.152
1643,1.46,1.5,2.4,44.778,11.397,4.016,16.085,0.365,0.143,0.151
1657,1.48,1.496,0.9,44.898,11.409,4.031,16.084,0.37,0.142,0.15
1663,1.477,1.508,1.2,44.945,11.391,4.008,16.068,0.367,0.141,0.148
1678,1.496,1.512,1.6,44.93,11.388,4.031,16.08,0.364,0.14,0.147
1681,1.492,1.515,0.7,44.877,11.369,4.031,16.048,0.362,0.138,0.146
1698,1.481,1.519,1.1,45.023,11.336,4.023,16.008,0.359,0.137,0.145
1709,1.47,1.508,0.3,45.008,11.311,4.015,15.993,0.356,0.136,0.144
1714,1.466,1.519,4.4,45.045,11.263,4.0,16.083,0.353,0.135,0.143
1720,1.493,1.507,2.5,45.082,11.321,4.037,16.064,0.351,0.142,0.149
1731,1.496,1.511,0.7,45.081,11.37,4.044,16.05,0.348,0.141,0.148
1747,1.485,1.515,1.3,45.044,11.368,4.059,16.04,0.346,0.14,0.147
1756,1.489,1.511,2.1,45.102,11.365,4.066,16.072,0.35,0.146,0.153
1764,1.478,1.514,1.6,45.167,11.428,4.058,16.069,0.355,0.145,0.152
1772,1.475,1.504,1.5,45.144,11.446,4.065,16.071,0.36,0.144,0.151
1789,1.493,1.493,1.4,45.193,11.464,4.079,16.042,0.357,0.143,0.15
1796,1.489,1.489,0.8,45.241,11.468,4.071,16.033,0.355,0.142,0.149
1806,1.479,1.486,0.8,45.338,11.479,4.063,16.04,0.352,0.141,0.148
1815,1.483,1.483,1.5,45.315,11.469,4.063,16.028,0.357,0.14,0.147
1826,1.479,1.486,1.1,45.354,11.465,4.049,16.04,0.354,0.146,0.153
1834,1.469,1.476,0.2,45.331,11.448,4.034,16.027,0.359,0.145,0.152
1844,1.466,1.473,2.1,45.274,11.39,4.021,15.996,0.356,0.144,0.151
1860,1.483,1.476,1.3,45.286,11.422,4.048,15.971,0.354,0.143,0.15
1866,1.486,1.466,2.8,45.284,11.419,4.041,15.957,0.351,0.142,0.149
1873,1.503,1.477,1.4,45.295,11.423,4.054,15.919,0.349,0.141,0.148
1886,1.5,1.467,2.5,45.333,11.447,4.06,15.911,0.347,0.14,0.147
1893,1.503,1.477,1.4,45.371,11.437,4.06,15.879,0.344,0.139,0.152
