ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
584,1.2,1.2,2.3,44.5,11.2,3.8,16.27,0.0,0.2,0.2
589,1.182,1.364,1.1,44.455,11.818,4.273,16.309,0.0,0.182,0.182
608,1.167,1.417,1.6,44.917,11.75,4.0,16.083,0.083,0.167,0.167
634,1.077,1.308,0.4,44.692,11.538,3.846,15.838,0.077,0.154,0.154
653,1.0,1.357,1.9,44.143,11.143,3.643,15.886,0.071,0.143,0.143
686,1.067,1.267,1.4,44.867,11.2,3.533,16.26,0.067,0.2,0.2
706,1.125,1.188,0.9,45.0,11.438,3.75,16.231,0.062,0.188,0.188
725,1.059,1.118,2.6,44.941,11.647,3.588,16.176,0.118,0.176,0.176
760,1.167,1.056,0.8,44.722,12.0,3.667,16.05,0.167,0.167,0.167
777,1.158,1.105,1.6,44.947,12.105,3.737,15.926,0.158,0.158,0.158
793,1.3,1.05,2.1,44.4,12.15,3.9,16.06,0.2,0.15,0.15
816,1.286,1.048,2.3,45.048,12.524,3.952,16.0,0.19,0.143,0.143
826,1.455,1.091,0.5,44.455,12.545,4.091,16.127,0.273,0.182,0.182
848,1.391,1.174,1.5,44.13,12.217,4.0,16.03,0.304,0.174,0.174
860,1.417,1.125,1.3,43.458,11.958,3.875,16.042,0.292,0.208,0.208
882,1.36,1.08,1.4,43.08,11.8,3.92,15.98,0.28,0.2,0.2
907,1.346,1.077,2.0,43.654,11.808,3.885,15.958,0.269,0.192,0.192
927,1.37,1.111,1.6,43.481,11.704,3.889,15.744,0.259,0.185,0.185
944,1.429,1.107,1.4,42.929,11.643,4.0,15.557,0.25,0.179,0.179
964,1.448,1.069,2.0,43.172,11.621,3.966,15.824,0.241,0.207,0.207
988,1.5,1.033,0.9,43.367,11.7,3.933,15.7,0.233,0.2,0.2
1011,1.484,1.032,2.1,43.871,11.71,3.968,15.806,0.226,0.194,0.194
1025,1.531,1.062,0.6,43.656,11.75,4.0,15.931,0.281,0.219,0.219
1049,1.515,1.061,2.6,43.939,11.727,3.939,15.979,0.273,0.212,0.212
1072,1.5,1.088,2.7,43.882,11.676,3.941,15.965,0.265,0.235,0.265
1087,1.486,1.086,1.6,43.886,11.8,3.971,15.966,0.286,0.229,0.257
1115,1.5,1.083,3.4,44.556,11.861,4.083,15.989,0.306,0.222,0.25
1136,1.514,1.054,1.3,44.784,12.189,4.216,15.903,0.297,0.216,0.243
1148,1.5,1.026,2.2,44.526,12.158,4.211,15.853,0.289,0.211,0.237
1164,1.513,1.051,1.0,44.179,12.103,4.231,15.908,0.282,0.231,0.256
1174,1.5,1.05,2.9,44.575,12.1,4.15,15.852,0.275,0.225,0.25
1193,1.512,1.073,1.0,44.951,12.317,4.22,15.824,0.293,0.22,0.244
1222,1.5,1.119,3.1,45.238,12.31,4.167,15.779,0.31,0.214,0.238
1245,1.535,1.093,1.5,45.349,12.558,4.279,15.76,0.326,0.209,0.233
1267,1.568,1.114,1.1,45.636,12.636,4.273,15.759,0.341,0.205,0.227
1271,1.533,1.111,3.1,45.444,12.556,4.2,15.718,0.333,0.2,0.222
1307,1.565,1.109,0.5,45.935,12.87,4.239,15.711,0.326,0.196,0.217
1324,1.553,1.128,2.2,45.681,12.681,4.213,15.66,0.319,0.191,0.213
1345,1.542,1.188,1.2,45.979,12.708,4.208,15.621,0.312,0.188,0.208
