ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
414,2.0,0.0,0.4,36.0,8.0,3.0,0.375,1.0,12.1,0.0,0.0,0.0,0.0
437,1.0,0.5,2.1,38.5,7.5,2.0,0.259,0.75,16.2,0.0,0.0,0.0,0.0
457,1.667,1.333,1.4,36.667,9.0,2.333,0.256,0.633,14.8,0.0,0.0,0.0,0.0
469,1.25,1.25,1.0,38.75,11.0,3.25,0.28,0.475,14.725,0.0,0.0,0.0,0.0
485,1.2,1.4,2.5,41.8,11.8,3.6,0.291,0.513,15.04,0.0,0.0,0.0,0.0
507,1.167,1.5,1.2,45.5,13.0,4.167,0.304,0.511,14.333,0.0,0.0,0.0,0.167
530,1.143,1.286,1.6,44.714,11.857,4.0,0.346,0.581,14.986,0.0,0.143,0.143,0.143
562,1.25,1.25,0.4,47.0,12.0,4.0,0.341,0.571,15.05,0.0,0.25,0.25,0.125
567,1.111,1.222,0.6,44.444,11.333,3.778,0.34,0.581,16.111,0.0,0.222,0.222,0.111
584,1.2,1.2,2.3,44.5,11.2,3.8,0.346,0.603,16.27,0.0,0.2,0.2,0.1
589,1.182,1.364,1.1,44.455,11.818,4.273,0.36,0.585,16.309,0.0,0.182,0.182,0.091
608,1.167,1.417,1.6,44.917,11.75,4.0,0.338,0.536,16.083,0.083,0.167,0.167,0.083
634,1.077,1.308,0.4,44.692,11.538,3.846,0.329,0.572,15.838,0.077,0.154,0.154,0.077
653,1.0,1.357,1.9,44.143,11.143,3.643,0.317,0.589,15.886,0.071,0.143,0.143,0.071
686,1.067,1.267,1.4,44.867,11.2,3.533,0.307,0.617,16.26,0.067,0.2,0.2,0.067
706,1.125,1.188,0.9,45.0,11.438,3.75,0.317,0.641,16.231,0.062,0.188,0.188,0.062
725,1.059,1.118,2.6,44.941,11.647,3.588,0.303,0.603,16.176,0.118,0.176,0.176,0.059
760,1.167,1.056,0.8,44.722,12.0,3.667,0.301,0.625,16.05,0.167,0.167,0.167,0.056
793,4.0,0.0,2.1,34.0,13.0,7.0,0.538,1.0,18.6,1.0,0.0,0.0,0.0
816,2.5,0.5,2.3,46.0,16.5,6.0,0.394,0.929,16.7,0.5,0.0,0.0,0.0
826,3.333,1.0,0.5,41.333,15.333,6.333,0.442,0.841,17.4,1.0,0.333,0.333,0.0
848,2.5,1.5,1.5,40.25,12.75,5.25,0.432,0.774,16.525,1.0,0.25,0.25,0.0
860,2.4,1.2,1.3,37.8,11.4,4.4,0.379,0.819,16.48,0.8,0.4,0.4,0.0
882,2.0,1.0,1.4,37.167,10.833,4.5,0.42,0.849,16.15,0.667,0.333,0.333,0.0
907,1.857,1.0,2.0,40.143,11.0,4.286,0.396,0.835,16.043,0.571,0.286,0.286,0.0
927,1.875,1.125,1.6,40.0,10.75,4.25,0.402,0.824,15.313,0.5,0.25,0.25,0.0
944,2.0,1.111,1.4,38.667,10.667,4.556,0.435,0.822,14.778,0.444,0.222,0.222,0.0
964,2.0,1.0,2.0,39.8,10.7,4.4,0.419,0.84,15.63,0.4,0.3,0.3,0.0
988,2.091,0.909,0.9,40.636,11.0,4.273,0.4,0.854,15.309,0.364,0.273,0.273,0.0
1011,2.0,0.917,2.1,42.167,11.083,4.333,0.401,0.845,15.617,0.333,0.25,0.25,0.0
1025,2.077,1.0,0.6,41.769,11.231,4.385,0.4,0.827,15.938,0.462,0.308,0.308,0.0
1049,2.0,1.0,2.6,42.571,11.214,4.214,0.385,0.768,16.05,0.429,0.286,0.286,0.0
1072,1.933,1.067,2.7,42.533,11.133,4.2,0.386,0.75,16.013,0.4,0.333,0.4,0.0
1087,1.875,1.062,1.6,42.625,11.438,4.25,0.381,0.734,16.013,0.438,0.312,0.375,0.0
1115,1.882,1.059,3.4,44.118,11.588,4.471,0.392,0.73,16.059,0.471,0.294,0.353,0.0
1136,1.889,1.0,1.3,44.611,12.278,4.722,0.391,0.745,15.878,0.444,0.278,0.333,0.0
1164,2.0,2.0,1.0,31.0,10.0,5.0,0.5,0.667,18.0,0.0,1.0,1.0,0.0
1174,1.5,1.5,2.9,45.5,11.0,3.0,0.292,0.733,15.85,0.0,0.5,0.5,0.0
1193,1.667,1.667,1.0,50.333,14.333,4.333,0.306,0.689,15.467,0.333,0.333,0.333,0.0
1222,1.5,2.0,3.1,52.0,13.75,3.75,0.271,0.642,15.075,0.5,0.25,0.25,0.0
1245,1.8,1.6,1.5,51.6,15.6,4.8,0.295,0.713,15.06,0.6,0.2,0.2,0.0
1267,2.0,1.667,1.1,52.667,15.667,4.667,0.287,0.594,15.167,0.667,0.167,0.167,0.0
1271,1.714,1.571,3.1,50.429,14.714,4.143,0.262,0.617,14.986,0.571,0.143,0.143,0.0
1307,1.875,1.5,0.5,52.625,16.25,4.375,0.257,0.54,15.038,0.5,0.125,0.125,0.0
1324,1.778,1.556,2.2,50.556,14.889,4.222,0.312,0.546,14.844,0.444,0.111,0.111,0.0
1345,1.7,1.8,1.2,51.5,14.8,4.2,0.309,0.512,14.74,0.4,0.1,0.1,0.0
1368,1.818,1.818,1.0,51.182,14.455,4.273,0.323,0.495,14.745,0.455,0.091,0.091,0.0
1379,1.75,1.917,1.6,49.25,14.0,4.083,0.314,0.521,14.792,0.417,0.083,0.083,0.0
1400,1.692,2.077,1.8,48.385,14.077,4.231,0.321,0.519,15.177,0.615,0.077,0.077,0.0
1431,1.714,2.071,3.2,47.286,14.071,4.286,0.323,0.525,15.129,0.571,0.071,0.071,0.0
1439,1.667,2.0,0.6,47.267,15.2,4.333,0.313,0.543,15.12,0.6,0.067,0.067,0.0
1457,1.562,1.875,1.0,46.438,14.562,4.188,0.318,0.572,15.244,0.625,0.062,0.062,0.0
1492,1.588,1.765,0.6,46.824,14.235,4.235,0.332,0.597,15.447,0.588,0.059,0.059,0.0
1520,1.5,1.667,1.1,47.222,13.833,4.111,0.329,0.619,15.306,0.556,0.056,0.056,0.0
1543,2.0,1.0,2.8,46.0,9.0,5.0,0.556,0.833,12.5,0.0,0.0,0.0,0.0
1576,2.5,1.0,0.4,41.5,14.5,6.0,0.453,0.833,13.5,0.0,0.0,0.0,0.0
