ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
485,1.2,1.2,2.5,44.8,11.5,3.5,0.294,0.557,15.96,0.3,0.1,0.1,0.0
496,1.1,1.4,0.9,47.6,12.6,3.9,0.293,0.507,15.83,0.3,0.1,0.1,0.1
507,1.4,1.7,1.2,47.6,12.2,3.9,0.301,0.469,15.88,0.3,0.1,0.1,0.1
518,1.4,1.6,0.3,46.2,11.8,4.0,0.339,0.489,16.21,0.3,0.2,0.2,0.1
526,1.4,1.7,1.0,47.4,11.7,4.1,0.358,0.506,15.89,0.3,0.2,0.2,0.1
530,1.4,1.9,1.6,47.3,11.8,4.2,0.367,0.572,15.69,0.4,0.1,0.1,0.1
555,1.3,1.7,0.7,50.3,11.9,4.3,0.372,0.582,16.04,0.4,0.2,0.2,0.1
562,1.1,1.8,0.4,51.2,12.2,4.2,0.357,0.562,16.36,0.3,0.2,0.2,0.1
567,1.1,1.8,0.6,49.1,11.1,3.8,0.356,0.629,17.37,0.3,0.2,0.2,0.1
572,1.2,1.7,0.5,48.2,10.6,3.7,0.362,0.642,17.51,0.3,0.2,0.2,0.1
580,1.2,1.8,0.7,47.5,9.9,3.7,0.409,0.636,16.97,0.2,0.2,0.2,0.1
584,1.1,1.9,2.3,44.3,8.6,3.1,0.389,0.663,18.01,0.2,0.2,0.2,0.0
589,0.9,1.9,1.1,44.0,9.4,3.7,0.409,0.64,17.83,0.1,0.2,0.2,0.0
599,0.9,2.1,0.4,45.0,10.0,3.5,0.358,0.54,17.3,0.2,0.1,0.1,0.0
608,0.9,2.1,1.6,42.3,10.0,3.5,0.358,0.54,17.42,0.2,0.1,0.1,0.1
618,0.7,1.9,0.6,42.8,10.0,3.4,0.347,0.574,17.04,0.1,0.1,0.1,0.1
634,0.6,2.0,0.4,39.9,9.3,3.2,0.349,0.595,17.56,0.1,0.0,0.0,0.1
641,0.6,2.0,2.0,38.6,8.3,2.8,0.335,0.617,17.5,0.1,0.0,0.0,0.1
653,0.9,2.0,1.9,40.2,8.5,3.0,0.351,0.636,17.18,0.1,0.2,0.2,0.1
667,0.9,1.9,1.3,41.2,8.7,2.8,0.328,0.656,17.56,0.1,0.3,0.3,0.1
670,0.9,1.7,1.8,40.8,9.7,3.0,0.288,0.673,17.77,0.1,0.3,0.3,0.1
686,1.3,1.5,1.4,40.6,10.8,3.5,0.307,0.683,17.0,0.2,0.3,0.3,0.1
693,1.4,1.2,1.9,40.9,10.5,3.3,0.303,0.743,16.91,0.2,0.3,0.3,0.1
706,1.5,1.1,0.9,40.9,11.0,3.7,0.325,0.818,17.52,0.1,0.3,0.3,0.1
722,1.5,0.9,0.6,42.7,11.9,3.6,0.299,0.751,17.22,0.2,0.3,0.3,0.0
725,1.5,1.2,2.6,42.2,12.2,3.8,0.31,0.676,17.82,0.3,0.3,0.3,0.1
745,1.7,1.0,1.4,42.9,13.4,4.1,0.304,0.705,17.14,0.4,0.3,0.3,0.1
760,2.0,1.0,0.8,46.4,14.6,4.6,0.321,0.673,17.3,0.5,0.3,0.3,0.2
768,1.8,1.1,0.8,47.3,15.2,4.7,0.307,0.648,16.53,0.5,0.1,0.1,0.3
777,1.8,1.3,1.6,46.2,14.8,4.8,0.328,0.608,16.08,0.5,0.0,0.0,0.3
785,2.1,1.1,1.8,44.8,14.6,4.9,0.341,0.658,16.45,0.6,0.0,0.0,0.3
793,1.9,1.3,2.1,47.5,14.2,4.8,0.345,0.637,16.51,0.5,0.0,0.0,0.3
801,1.8,1.4,1.4,48.6,14.7,4.6,0.323,0.622,16.41,0.5,0.0,0.0,0.3
816,1.7,1.4,2.3,48.7,14.0,4.4,0.325,0.622,15.51,0.5,0.0,0.0,0.3
826,2.2,1.6,0.5,47.5,13.8,5.0,0.372,0.689,15.86,0.6,0.1,0.1,0.3
833,2.2,1.6,0.9,47.5,13.1,4.8,0.379,0.721,15.36,0.6,0.1,0.1,0.2
839,1.9,1.6,1.2,49.2,12.6,4.7,0.382,0.621,15.49,0.6,0.1,0.1,0.2
848,1.7,1.9,1.5,46.6,11.3,4.3,0.388,0.588,15.5,0.5,0.2,0.2,0.1
860,1.8,1.7,1.3,44.5,10.5,3.9,0.369,0.628,15.76,0.5,0.3,0.3,0.0
872,1.6,1.5,0.9,43.5,10.5,4.1,0.394,0.668,15.51,0.5,0.3,0.3,0.0
882,1.2,1.9,1.4,45.6,10.4,3.7,0.366,0.628,15.33,0.4,0.3,0.3,0.1
887,1.1,1.7,1.5,45.7,10.3,3.5,0.352,0.636,15.46,0.4,0.3,0.3,0.1
897,1.2,1.8,1.3,45.1,8.8,3.1,0.347,0.617,16.01,0.4,0.4,0.4,0.1
907,1.3,1.8,2.0,42.6,8.9,3.5,0.384,0.625,16.46,0.4,0.4,0.4,0.1
917,1.0,1.8,1.6,43.3,8.5,3.2,0.374,0.634,15.6,0.2,0.3,0.3,0.1
927,1.2,1.5,1.6,43.3,8.9,3.6,0.401,0.677,15.55,0.2,0.3,0.3,0.1
944,1.5,1.6,1.4,40.3,8.6,3.9,0.44,0.757,15.08,0.1,0.3,0.3,0.1
957,1.6,1.1,0.4,40.7,9.2,4.0,0.428,0.84,15.59,0.1,0.3,0.3,0.1
964,1.4,1.1,2.0,42.1,9.2,3.9,0.411,0.84,16.38,0.2,0.2,0.2,0.1
976,1.7,1.1,2.0,43.6,9.8,3.7,0.37,0.84,16.14,0.2,0.2,0.2,0.1
988,1.8,0.8,0.9,41.2,9.5,3.6,0.367,0.866,15.75,0.2,0.2,0.2,0.0
1011,1.8,0.8,2.1,41.3,9.5,3.8,0.384,0.866,16.11,0.2,0.2,0.2,0.0
1016,1.9,0.8,2.0,39.8,10.3,4.2,0.402,0.859,16.06,0.4,0.2,0.2,0.0
1022,1.7,0.8,1.9,43.9,10.5,3.8,0.357,0.859,15.84,0.5,0.2,0.2,0.0
1025,1.7,0.6,0.6,43.4,10.7,3.8,0.349,0.784,16.65,0.5,0.2,0.2,0.0
