ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
584,1.2,1.2,2.3,44.5,11.2,3.8,16.27,0.0,0.2,0.2
589,1.1,1.5,1.1,45.3,12.2,4.4,16.73,0.0,0.2,0.2
608,1.2,1.6,1.6,46.2,12.6,4.4,16.06,0.1,0.2,0.2
634,0.9,1.3,0.4,47.1,12.3,4.3,16.15,0.1,0.2,0.2
653,0.9,1.4,1.9,46.3,11.2,3.8,16.35,0.1,0.2,0.2
686,1.0,1.2,1.4,46.4,10.9,3.5,16.87,0.1,0.3,0.3
706,1.1,1.0,0.9,44.7,10.5,3.5,17.37,0.1,0.3,0.3
725,1.0,1.0,2.6,45.1,11.5,3.3,17.01,0.2,0.2,0.2
760,1.1,0.9,0.8,42.9,12.0,3.4,16.85,0.3,0.1,0.1
777,1.2,1.0,1.6,45.4,12.8,3.7,15.76,0.3,0.1,0.1
793,1.4,0.9,2.1,44.3,13.1,4.0,15.85,0.4,0.1,0.1
816,1.4,0.7,2.3,45.7,13.3,3.6,15.66,0.4,0.1,0.1
826,1.8,0.7,0.5,43.9,13.5,4.2,16.18,0.5,0.2,0.2
848,1.8,1.0,1.5,43.4,13.1,4.2,16.28,0.6,0.2,0.2
860,2.0,0.8,1.3,42.5,13.1,4.2,16.26,0.6,0.3,0.3
882,1.8,0.8,1.4,40.4,12.7,4.5,15.56,0.6,0.2,0.2
907,1.7,0.9,2.0,41.5,12.4,4.1,15.52,0.6,0.2,0.2
927,1.9,1.1,1.6,41.0,11.8,4.4,15.01,0.5,0.2,0.2
944,1.9,1.2,1.4,39.7,11.0,4.6,14.67,0.4,0.2,0.2
964,2.0,1.0,2.0,39.8,10.7,4.4,15.63,0.4,0.3,0.3
988,1.9,1.0,0.9,41.3,10.8,4.0,14.98,0.3,0.3,0.3
1011,1.9,1.0,2.1,41.4,10.0,4.0,15.4,0.3,0.3,0.3
1025,1.7,1.0,0.6,41.9,10.0,3.8,15.5,0.3,0.3,0.3
1049,1.8,0.8,2.6,43.5,10.6,3.8,15.86,0.2,0.3,0.3
1072,1.7,1.0,2.7,44.9,11.0,4.1,15.78,0.2,0.3,0.4
1087,1.8,1.1,1.6,45.9,11.8,4.1,15.93,0.3,0.3,0.4
1115,1.9,1.1,3.4,46.9,12.0,4.6,16.07,0.4,0.3,0.4
1136,1.9,0.9,1.3,48.3,13.5,5.1,16.33,0.4,0.3,0.4
1148,1.7,0.8,2.2,49.0,13.6,4.8,16.68,0.4,0.3,0.4
1164,1.7,1.0,1.0,47.1,13.5,5.0,16.15,0.4,0.3,0.4
1174,1.5,1.1,2.9,48.2,13.3,4.8,16.31,0.4,0.3,0.4
1193,1.6,1.2,1.0,48.3,14.2,5.0,15.88,0.5,0.3,0.4
1222,1.4,1.3,3.1,50.3,14.1,4.7,15.29,0.4,0.2,0.3
1245,1.6,1.2,1.5,50.0,15.3,5.4,15.04,0.5,0.2,0.3
1267,1.8,1.2,1.1,51.6,15.9,5.4,15.06,0.6,0.1,0.1
1271,1.7,1.2,3.1,50.9,15.2,5.0,14.85,0.5,0.1,0.1
1307,1.8,1.2,0.5,50.9,16.5,4.8,14.71,0.4,0.1,0.1
1324,1.7,1.4,2.2,49.0,14.5,4.2,14.76,0.4,0.1,0.1
1345,1.7,1.8,1.2,51.5,14.8,4.2,14.74,0.4,0.1,0.1
1368,1.8,1.8,1.0,53.2,14.9,4.2,14.42,0.5,0.0,0.0
1379,1.8,2.0,1.6,50.0,14.6,4.3,14.58,0.5,0.0,0.0
1400,1.7,2.2,1.8,47.8,14.0,4.2,15.09,0.7,0.0,0.0
1431,1.8,2.1,3.2,45.4,14.2,4.5,15.15,0.6,0.0,0.0
1439,1.6,2.2,0.6,45.1,15.0,4.1,15.15,0.6,0.0,0.0
1457,1.3,2.0,1.0,42.7,13.9,3.9,15.29,0.6,0.0,0.0
1492,1.5,1.9,0.6,44.3,13.9,4.3,15.77,0.6,0.0,0.0
1520,1.2,1.8,1.1,42.9,11.9,3.9,15.52,0.6,0.0,0.0
1528,1.3,2.0,1.6,44.9,12.5,4.1,15.78,0.7,0.0,0.0
1543,1.4,1.7,2.8,43.5,12.0,4.2,15.65,0.7,0.0,0.0
1576,1.4,1.6,0.4,42.4,12.9,4.4,15.62,0.6,0.0,0.0
1582,1.4,1.4,4.2,45.3,12.8,4.5,16.16,0.7,0.0,0.0
1603,1.8,1.3,4.0,45.9,13.1,5.0,15.48,0.5,0.1,0.1
1621,2.0,1.4,1.5,49.1,13.6,5.3,15.63,0.6,0.2,0.2
1643,2.2,1.5,2.4,49.5,11.7,5.4,15.59,0.5,0.2,0.2
1663,2.6,1.6,1.2,52.1,12.5,5.8,15.48,0.5,0.2,0.2
1681,2.8,1.8,0.7,51.1,12.7,6.0,15.37,0.5,0.2,0.2
1709,2.8,2.0,0.3,52.1,12.7,6.1,15.16,0.5,0.2,0.2
1720,2.7,1.9,2.5,51.7,12.2,5.8,16.36,0.4,0.2,0.2
1731,2.7,2.0,0.7,51.6,13.1,5.8,16.53,0.4,0.2,0.2
1756,2.4,2.1,2.1,51.9,12.2,5.7,16.55,0.4,0.2,0.2
1789,2.3,2.2,1.4,51.6,13.4,5.7,16.04,0.4,0.2,0.2
1796,1.9,2.0,0.8,52.4,12.8,4.9,16.22,0.3,0.1,0.1
1826,1.5,1.8,1.1,51.8,12.2,4.4,16.32,0.2,0.0,0.0
1844,1.2,1.6,2.1,50.9,11.9,4.0,16.28,0.3,0.0,0.0
1866,1.2,1.7,2.8,49.6,12.2,4.2,15.91,0.2,0.0,0.0
1886,1.2,1.8,2.5,50.0,12.3,4.1,15.18,0.2,0.0,0.0
