ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
107,1.4,1.6,1.9,53.0,11.9,3.1,0.305,0.3,17.71,0.3,0.3,0.4,0.4
117,1.364,1.636,0.9,52.545,11.818,3.091,0.302,0.273,17.536,0.273,0.364,0.455,0.455
125,1.25,1.75,0.5,52.0,11.833,3.167,0.304,0.292,17.767,0.25,0.333,0.417,0.417
132,1.154,1.615,2.8,52.154,11.615,3.231,0.315,0.346,18.208,0.308,0.308,0.385,0.385
145,1.143,1.571,1.1,53.643,12.286,3.286,0.306,0.369,17.907,0.286,0.286,0.357,0.357
153,1.2,1.6,0.8,53.8,12.333,3.333,0.306,0.378,17.793,0.267,0.267,0.333,0.333
160,1.125,1.562,2.2,53.562,12.375,3.25,0.297,0.396,17.55,0.25,0.25,0.312,0.312
168,1.235,1.647,0.2,53.588,12.353,3.235,0.294,0.373,17.5,0.235,0.294,0.353,0.353
173,1.167,1.611,1.4,52.556,11.944,3.111,0.289,0.398,17.694,0.222,0.278,0.333,0.389
192,1.158,1.526,1.8,51.579,11.684,3.053,0.289,0.43,17.558,0.211,0.263,0.316,0.368
205,1.1,1.45,1.6,51.5,11.9,3.15,0.29,0.458,17.48,0.25,0.25,0.3,0.35
214,1.095,1.381,1.3,51.095,12.095,3.143,0.285,0.484,17.386,0.238,0.238,0.286,0.333
217,1.091,1.318,0.5,50.455,12.136,3.182,0.286,0.508,17.218,0.227,0.227,0.273,0.318
229,1.087,1.304,2.2,50.217,12.043,3.13,0.282,0.523,17.3,0.261,0.217,0.261,0.304
247,1.042,1.25,2.4,50.542,12.625,3.375,0.285,0.543,17.342,0.375,0.208,0.25,0.292
250,1.04,1.28,2.9,51.48,13.12,3.44,0.282,0.521,17.228,0.36,0.2,0.24,0.28
269,1.0,1.269,0.8,52.115,13.115,3.538,0.289,0.52,17.3,0.385,0.192,0.308,0.269
282,1.0,1.296,0.8,51.556,12.889,3.481,0.288,0.519,17.215,0.37,0.185,0.296,0.259
288,1.036,1.286,0.9,51.179,12.714,3.571,0.305,0.528,17.271,0.393,0.179,0.286,0.25
298,1.103,1.241,1.2,51.655,12.655,3.655,0.313,0.544,17.217,0.379,0.172,0.276,0.241
310,1.1,1.267,1.2,51.367,12.4,3.633,0.323,0.55,16.987,0.367,0.167,0.267,0.233
317,1.065,1.226,0.5,51.484,12.742,3.613,0.317,0.564,17.052,0.419,0.161,0.258,0.226
324,1.031,1.188,2.0,51.0,12.688,3.562,0.312,0.578,17.256,0.438,0.156,0.25,0.219
331,1.0,1.182,2.3,51.515,12.818,3.576,0.31,0.58,17.239,0.424,0.152,0.242,0.212
343,1.029,1.147,0.3,51.235,12.912,3.588,0.308,0.593,17.274,0.412,0.176,0.265,0.206
356,1.029,1.171,0.8,50.886,12.686,3.571,0.317,0.595,17.146,0.4,0.171,0.257,0.2
363,1.028,1.167,1.1,50.889,12.611,3.528,0.313,0.592,17.331,0.389,0.167,0.25,0.194
375,1.081,1.189,0.2,51.216,12.784,3.595,0.313,0.59,17.395,0.405,0.162,0.243,0.189
385,1.053,1.211,1.0,51.079,12.579,3.526,0.31,0.59,17.532,0.395,0.158,0.237,0.184
396,1.077,1.205,1.3,51.385,12.615,3.59,0.313,0.592,17.464,0.41,0.154,0.231,0.179
402,1.1,1.175,0.7,51.5,12.625,3.575,0.311,0.602,17.45,0.4,0.15,0.225,0.175
414,1.073,1.195,0.3,51.829,12.659,3.561,0.309,0.6,17.568,0.439,0.146,0.22,0.195
429,1.071,1.167,1.7,52.0,12.452,3.524,0.314,0.609,17.602,0.429,0.143,0.214,0.19
440,1.093,1.163,0.8,51.651,12.419,3.535,0.315,0.611,17.586,0.465,0.163,0.233,0.186
446,1.091,1.159,1.1,51.682,12.318,3.545,0.319,0.608,17.545,0.455,0.159,0.227,0.205
456,1.067,1.133,0.8,51.822,12.511,3.511,0.314,0.617,17.549,0.444,0.156,0.222,0.2
467,1.043,1.109,1.3,52.087,12.478,3.5,0.313,0.625,17.517,0.435,0.152,0.217,0.196
474,1.043,1.17,1.0,52.0,12.404,3.511,0.316,0.626,17.547,0.426,0.17,0.234,0.191
486,1.062,1.188,1.5,51.792,12.333,3.562,0.323,0.62,17.535,0.417,0.167,0.229,0.188
492,1.061,1.184,0.4,52.061,12.347,3.571,0.323,0.607,17.543,0.408,0.184,0.245,0.184
505,1.04,1.2,2.1,52.26,12.22,3.54,0.323,0.607,17.546,0.4,0.18,0.24,0.18
512,1.02,1.176,1.3,52.353,12.373,3.549,0.321,0.615,17.527,0.392,0.176,0.235,0.176
521,1.019,1.173,1.6,52.596,12.308,3.538,0.321,0.618,17.498,0.404,0.173,0.231,0.173
542,1.019,1.17,1.2,52.66,12.34,3.547,0.32,0.621,17.521,0.415,0.17,0.226,0.17
555,1.0,1.167,0.8,52.778,12.333,3.519,0.317,0.624,17.526,0.444,0.167,0.222,0.167
561,1.018,1.145,0.9,52.727,12.382,3.545,0.318,0.631,17.602,0.491,0.164,0.218,0.164
568,1.018,1.143,1.7,52.732,12.482,3.589,0.318,0.634,17.648,0.5,0.161,0.214,0.161
574,1.053,1.158,2.0,52.684,12.474,3.614,0.32,0.635,17.674,0.491,0.158,0.211,0.175
582,1.052,1.155,0.7,52.862,12.569,3.603,0.317,0.624,17.683,0.483,0.155,0.224,0.172
593,1.051,1.153,1.1,52.712,12.525,3.576,0.315,0.624,17.658,0.475,0.153,0.22,0.169
607,1.05,1.15,1.6,52.767,12.55,3.583,0.315,0.627,17.662,0.467,0.15,0.217,0.167
614,1.066,1.131,0.7,52.951,12.525,3.607,0.317,0.633,17.574,0.459,0.148,0.213,0.164
619,1.048,1.145,0.6,52.903,12.484,3.597,0.317,0.635,17.595,0.452,0.145,0.21,0.161
631,1.032,1.175,0.7,53.143,12.46,3.556,0.313,0.629,17.625,0.444,0.143,0.206,0.159
642,1.016,1.188,1.5,53.344,12.453,3.516,0.309,0.627,17.653,0.438,0.141,0.203,0.156
652,1.015,1.2,0.5,53.569,12.492,3.523,0.309,0.625,17.6,0.431,0.138,0.2,0.154
662,1.0,1.212,0.7,53.545,12.424,3.515,0.31,0.627,17.612,0.424,0.136,0.197,0.167
674,0.985,1.224,2.8,53.463,12.463,3.463,0.305,0.628,17.622,0.418,0.134,0.194,0.164
683,0.971,1.206,0.6,53.603,12.721,3.471,0.303,0.619,17.638,0.426,0.132,0.206,0.162
690,0.986,1.203,0.6,53.348,12.652,3.464,0.304,0.621,17.717,0.42,0.13,0.203,0.159
700,0.986,1.186,0.2,53.314,12.643,3.471,0.304,0.612,17.707,0.414,0.129,0.2,0.157
709,0.972,1.211,1.7,53.056,12.493,3.437,0.307,0.609,17.725,0.423,0.127,0.197,0.155
717,0.986,1.222,2.6,52.986,12.431,3.458,0.311,0.609,17.638,0.417,0.125,0.194,0.153
727,1.014,1.205,2.3,52.959,12.466,3.521,0.314,0.614,17.689,0.411,0.137,0.219,0.151
743,1.054,1.189,2.2,52.811,12.527,3.541,0.314,0.619,17.665,0.405,0.135,0.216,0.149
756,1.053,1.187,1.6,52.773,12.56,3.573,0.315,0.621,17.62,0.4,0.133,0.213,0.147
769,1.079,1.184,1.5,52.737,12.632,3.618,0.316,0.619,17.604,0.395,0.132,0.211,0.145
774,1.091,1.182,1.5,52.545,12.662,3.623,0.316,0.622,17.601,0.39,0.13,0.208,0.143
787,1.077,1.167,1.7,52.564,12.667,3.641,0.316,0.626,17.597,0.385,0.128,0.205,0.141
794,1.089,1.152,2.0,52.532,12.633,3.608,0.314,0.631,17.613,0.38,0.139,0.215,0.139
802,1.088,1.138,1.4,52.425,12.638,3.612,0.314,0.636,17.562,0.375,0.138,0.212,0.138
819,1.086,1.148,2.6,52.531,12.556,3.593,0.314,0.632,17.535,0.37,0.148,0.222,0.136
830,1.134,1.159,1.4,52.537,12.671,3.671,0.316,0.63,17.56,0.39,0.159,0.232,0.134
842,1.157,1.181,0.7,52.458,12.59,3.699,0.324,0.63,17.469,0.386,0.157,0.229,0.133
848,1.143,1.179,1.9,52.536,12.607,3.702,0.323,0.63,17.481,0.381,0.155,0.226,0.131
858,1.129,1.188,1.7,52.765,12.706,3.741,0.323,0.611,17.478,0.376,0.153,0.224,0.141
868,1.116,1.174,0.5,52.965,12.779,3.779,0.324,0.604,17.457,0.372,0.151,0.221,0.14
878,1.115,1.195,2.4,52.954,12.724,3.759,0.323,0.597,17.484,0.368,0.149,0.218,0.149
889,1.148,1.193,1.5,52.818,12.795,3.795,0.324,0.6,17.466,0.364,0.148,0.216,0.148
905,1.169,1.202,0.6,53.022,12.865,3.843,0.325,0.599,17.463,0.393,0.146,0.213,0.157
911,1.167,1.211,0.6,53.156,12.8,3.822,0.324,0.581,17.471,0.389,0.144,0.211,0.167
924,1.187,1.209,1.2,53.297,12.736,3.824,0.327,0.582,17.43,0.385,0.143,0.209,0.176
928,1.196,1.239,2.2,53.457,12.696,3.837,0.33,0.58,17.387,0.38,0.141,0.207,0.174
940,1.226,1.237,1.9,53.43,12.763,3.882,0.33,0.581,17.403,0.387,0.14,0.204,0.183
954,1.245,1.223,1.7,53.511,12.798,3.926,0.332,0.586,17.391,0.383,0.138,0.202,0.181
963,1.253,1.232,2.2,53.611,12.8,3.926,0.332,0.58,17.387,0.379,0.137,0.2,0.179
974,1.25,1.219,2.5,53.792,12.875,3.948,0.332,0.584,17.376,0.375,0.135,0.198,0.177
984,1.247,1.216,2.2,53.99,12.918,3.979,0.333,0.578,17.337,0.381,0.134,0.196,0.175
1006,1.235,1.214,3.5,54.102,13.0,4.01,0.333,0.577,17.319,0.388,0.133,0.194,0.173
1015,1.263,1.202,2.7,54.212,13.061,4.051,0.333,0.581,17.309,0.384,0.141,0.202,0.172
1023,1.27,1.21,0.6,54.29,13.08,4.04,0.332,0.581,17.296,0.38,0.14,0.2,0.17
1034,1.267,1.198,4.2,54.317,13.059,4.05,0.333,0.585,17.328,0.386,0.139,0.198,0.168
1041,1.284,1.216,2.7,54.49,13.245,4.137,0.334,0.583,17.322,0.392,0.147,0.206,0.167
1053,1.291,1.204,1.4,54.573,13.272,4.155,0.334,0.587,17.317,0.388,0.146,0.204,0.165
1062,1.288,1.212,2.9,54.673,13.308,4.154,0.333,0.585,17.309,0.385,0.144,0.202,0.163
1078,1.295,1.21,2.3,54.695,13.429,4.21,0.334,0.584,17.308,0.381,0.143,0.2,0.162
1086,1.292,1.226,3.3,54.877,13.462,4.236,0.335,0.578,17.307,0.377,0.142,0.198,0.179
1097,1.336,1.215,2.3,54.897,13.542,4.271,0.335,0.582,17.299,0.374,0.14,0.196,0.178
1106,1.333,1.204,3.2,54.935,13.611,4.278,0.334,0.586,17.318,0.37,0.148,0.204,0.176
1116,1.33,1.239,1.7,55.147,13.697,4.284,0.333,0.581,17.281,0.367,0.147,0.202,0.174
1118,1.345,1.227,0.5,55.182,13.682,4.3,0.335,0.584,17.29,0.364,0.145,0.2,0.173
1126,1.342,1.252,2.5,55.27,13.631,4.279,0.334,0.584,17.289,0.36,0.144,0.198,0.171
1129,1.357,1.25,2.2,55.339,13.741,4.312,0.334,0.578,17.29,0.357,0.143,0.196,0.17
1134,1.354,1.248,1.4,55.204,13.796,4.336,0.334,0.58,17.291,0.372,0.142,0.195,0.168
1143,1.351,1.254,4.0,55.237,13.746,4.333,0.335,0.58,17.299,0.368,0.14,0.193,0.167
1152,1.374,1.252,2.2,55.365,13.852,4.391,0.336,0.579,17.297,0.365,0.148,0.2,0.174
1166,1.397,1.25,1.5,55.345,13.871,4.422,0.337,0.581,17.282,0.362,0.147,0.198,0.172
1176,1.393,1.265,1.3,55.538,13.966,4.47,0.338,0.581,17.301,0.368,0.145,0.197,0.171
1183,1.407,1.263,1.7,55.542,13.975,4.483,0.338,0.581,17.301,0.364,0.144,0.195,0.169
1197,1.42,1.261,1.9,55.546,13.941,4.513,0.342,0.582,17.299,0.361,0.143,0.193,0.168
1200,1.433,1.258,1.7,55.592,13.933,4.508,0.342,0.583,17.298,0.358,0.142,0.192,0.167
1217,1.43,1.298,2.3,55.636,13.909,4.496,0.341,0.581,17.282,0.355,0.14,0.19,0.165
1224,1.434,1.303,0.8,55.557,13.91,4.484,0.34,0.579,17.279,0.369,0.139,0.189,0.172
1239,1.431,1.309,1.4,55.472,13.837,4.472,0.342,0.579,17.237,0.366,0.138,0.187,0.171
1246,1.427,1.306,0.5,55.597,13.871,4.484,0.342,0.581,17.244,0.371,0.137,0.185,0.169
1256,1.424,1.304,1.5,55.784,13.816,4.464,0.342,0.582,17.23,0.376,0.136,0.184,0.168
1263,1.421,1.302,1.3,55.825,13.794,4.476,0.344,0.577,17.225,0.373,0.135,0.183,0.167
1276,1.433,1.307,1.1,55.803,13.756,4.472,0.344,0.577,17.246,0.378,0.142,0.189,0.173
1285,1.438,1.32,1.5,55.898,13.789,4.508,0.346,0.572,17.256,0.383,0.141,0.188,0.18
1294,1.442,1.318,2.6,55.938,13.822,4.527,0.346,0.568,17.247,0.38,0.14,0.186,0.186
1308,1.438,1.315,0.7,56.062,13.938,4.577,0.346,0.569,17.224,0.392,0.138,0.185,0.185
1310,1.427,1.321,1.2,56.023,13.878,4.55,0.345,0.57,17.221,0.389,0.137,0.183,0.183
1327,1.424,1.318,3.2,56.091,13.909,4.561,0.345,0.571,17.224,0.386,0.136,0.182,0.182
1338,1.444,1.323,2.3,56.008,13.902,4.579,0.346,0.569,17.209,0.383,0.15,0.195,0.18
1348,1.433,1.313,1.0,56.097,13.963,4.604,0.346,0.572,17.188,0.381,0.149,0.194,0.179
1350,1.422,1.304,0.9,56.215,13.941,4.593,0.346,0.575,17.166,0.378,0.148,0.193,0.178
1361,1.412,1.324,1.4,56.235,13.904,4.574,0.345,0.575,17.142,0.375,0.147,0.191,0.176
1372,1.431,1.321,1.2,56.321,13.898,4.584,0.346,0.576,17.139,0.372,0.146,0.19,0.175
1386,1.428,1.326,2.9,56.261,13.833,4.565,0.346,0.577,17.143,0.37,0.152,0.196,0.174
1394,1.453,1.317,1.4,56.424,13.906,4.597,0.346,0.58,17.129,0.367,0.151,0.194,0.173
1403,1.45,1.314,1.3,56.479,13.971,4.614,0.346,0.579,17.123,0.371,0.15,0.193,0.171
1416,1.44,1.326,0.4,56.574,13.979,4.617,0.346,0.578,17.126,0.369,0.149,0.191,0.17
1432,1.437,1.317,0.5,56.62,13.951,4.606,0.346,0.581,17.129,0.366,0.148,0.19,0.169
1439,1.434,1.322,1.1,56.538,13.916,4.594,0.345,0.582,17.129,0.364,0.147,0.189,0.168
1450,1.424,1.312,0.5,56.604,13.986,4.604,0.345,0.585,17.15,0.361,0.146,0.188,0.167
1458,1.414,1.324,0.9,56.586,13.959,4.586,0.344,0.585,17.164,0.359,0.145,0.186,0.172
1476,1.411,1.322,0.6,56.582,14.0,4.61,0.344,0.585,17.173,0.363,0.144,0.185,0.171
1485,1.401,1.34,0.9,56.442,13.952,4.599,0.345,0.584,17.165,0.361,0.143,0.184,0.17
1495,1.392,1.351,2.5,56.527,13.946,4.574,0.343,0.583,17.16,0.358,0.142,0.182,0.169
1499,1.389,1.342,1.4,56.497,13.946,4.591,0.344,0.586,17.154,0.356,0.141,0.188,0.168
1509,1.387,1.34,1.3,56.407,13.953,4.587,0.344,0.588,17.148,0.353,0.14,0.187,0.167
1514,1.384,1.344,1.7,56.397,13.94,4.57,0.342,0.588,17.136,0.351,0.139,0.185,0.166
1526,1.375,1.349,1.4,56.388,13.961,4.553,0.341,0.588,17.116,0.349,0.138,0.184,0.164
1531,1.386,1.34,2.1,56.412,13.935,4.556,0.342,0.59,17.095,0.346,0.137,0.183,0.163
1541,1.39,1.338,1.7,56.357,13.935,4.552,0.342,0.591,17.076,0.351,0.136,0.182,0.162
1554,1.387,1.335,1.6,56.406,13.987,4.548,0.34,0.592,17.09,0.348,0.135,0.181,0.161
1569,1.378,1.327,1.0,56.481,14.032,4.558,0.34,0.595,17.099,0.359,0.135,0.179,0.16
1574,1.382,1.331,1.1,56.567,14.032,4.548,0.339,0.591,17.101,0.363,0.134,0.178,0.166
1590,1.386,1.348,1.8,56.582,14.038,4.551,0.339,0.589,17.12,0.373,0.133,0.177,0.171
1595,1.396,1.352,1.1,56.484,14.019,4.547,0.339,0.587,17.106,0.371,0.132,0.176,0.17
