ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
205,1.0,1.5,1.6,52.9,13.6,3.2,0.263,0.425,16.69,0.3,0.4,0.5,0.4
229,1.0,1.364,2.2,52.0,13.818,3.182,0.256,0.477,16.582,0.273,0.364,0.455,0.364
247,0.917,1.25,2.4,52.5,14.833,3.667,0.263,0.521,16.725,0.5,0.333,0.417,0.333
269,0.923,1.308,0.8,54.154,15.615,3.769,0.258,0.481,16.554,0.462,0.308,0.385,0.308
288,0.929,1.357,0.9,52.929,15.0,3.643,0.26,0.482,16.443,0.429,0.286,0.357,0.286
310,1.067,1.267,1.2,53.733,14.733,3.8,0.279,0.517,16.393,0.4,0.267,0.333,0.267
331,1.0,1.188,2.3,53.812,15.25,3.75,0.27,0.547,16.556,0.5,0.25,0.312,0.25
356,1.059,1.118,0.8,53.118,15.294,3.765,0.269,0.574,16.665,0.471,0.294,0.353,0.235
363,1.056,1.111,1.1,53.0,15.0,3.667,0.265,0.569,17.061,0.444,0.278,0.333,0.222
396,1.158,1.158,1.3,53.526,15.211,3.789,0.268,0.566,17.2,0.474,0.263,0.316,0.211
402,1.2,1.1,0.7,53.65,15.1,3.75,0.266,0.588,17.185,0.45,0.25,0.3,0.2
429,1.143,1.143,1.7,54.19,15.048,3.714,0.263,0.583,17.429,0.524,0.238,0.286,0.238
446,1.182,1.136,1.1,53.409,14.864,3.727,0.268,0.587,17.405,0.591,0.273,0.318,0.227
467,1.13,1.087,1.3,53.609,15.13,3.652,0.26,0.605,17.417,0.565,0.261,0.304,0.217
486,1.125,1.208,1.5,53.375,14.875,3.667,0.268,0.608,17.479,0.542,0.292,0.333,0.208
505,1.12,1.2,2.1,53.84,14.8,3.68,0.27,0.583,17.496,0.52,0.32,0.36,0.2
542,1.077,1.154,1.2,53.962,15.0,3.692,0.267,0.599,17.462,0.5,0.308,0.346,0.192
555,1.037,1.148,0.8,54.148,14.889,3.63,0.263,0.607,17.474,0.556,0.296,0.333,0.185
574,1.071,1.107,2.0,54.0,14.893,3.679,0.266,0.621,17.625,0.643,0.286,0.321,0.179
582,1.069,1.103,0.7,54.31,15.0,3.655,0.262,0.599,17.645,0.621,0.276,0.345,0.172
619,1.067,1.1,0.6,53.967,14.833,3.6,0.26,0.602,17.597,0.6,0.267,0.333,0.167
631,1.032,1.161,0.7,54.419,14.71,3.516,0.255,0.59,17.658,0.581,0.258,0.323,0.161
652,1.0,1.188,0.5,54.781,14.625,3.438,0.249,0.588,17.712,0.562,0.25,0.312,0.156
662,0.97,1.212,0.7,54.697,14.424,3.424,0.253,0.592,17.733,0.545,0.242,0.303,0.182
674,0.941,1.235,2.8,54.5,14.441,3.324,0.246,0.596,17.75,0.529,0.235,0.294,0.176
709,0.914,1.2,1.7,54.743,14.886,3.343,0.243,0.579,17.777,0.543,0.229,0.314,0.171
727,0.944,1.222,2.3,54.556,14.694,3.389,0.253,0.58,17.6,0.528,0.222,0.306,0.167
756,1.027,1.189,1.6,54.216,14.757,3.432,0.254,0.591,17.554,0.514,0.216,0.297,0.162
774,1.079,1.184,1.5,54.105,14.842,3.526,0.258,0.589,17.524,0.5,0.211,0.289,0.158
794,1.051,1.154,2.0,54.103,14.795,3.564,0.261,0.599,17.518,0.487,0.205,0.282,0.154
819,1.05,1.125,2.6,53.85,14.75,3.575,0.262,0.609,17.42,0.475,0.2,0.275,0.15
842,1.146,1.146,0.7,53.829,14.927,3.732,0.267,0.606,17.473,0.512,0.22,0.293,0.146
858,1.119,1.143,1.7,53.952,14.905,3.738,0.267,0.608,17.498,0.5,0.214,0.286,0.143
878,1.093,1.116,2.4,54.326,15.0,3.814,0.27,0.594,17.456,0.488,0.209,0.279,0.14
905,1.159,1.114,0.6,54.023,15.091,3.886,0.272,0.6,17.42,0.477,0.205,0.273,0.136
924,1.156,1.133,1.2,54.267,14.911,3.844,0.272,0.564,17.438,0.467,0.2,0.267,0.156
940,1.174,1.196,1.9,54.565,14.783,3.87,0.278,0.561,17.352,0.457,0.196,0.261,0.152
963,1.213,1.17,2.2,54.702,14.809,3.957,0.283,0.571,17.33,0.447,0.191,0.255,0.149
984,1.208,1.146,2.2,55.042,14.917,4.0,0.284,0.58,17.308,0.438,0.188,0.25,0.146
1006,1.184,1.143,3.5,55.245,15.041,4.061,0.285,0.578,17.273,0.449,0.184,0.245,0.143
1023,1.24,1.12,0.6,55.44,15.12,4.14,0.287,0.586,17.254,0.44,0.2,0.26,0.14
1034,1.235,1.098,4.2,55.471,15.039,4.157,0.291,0.594,17.318,0.451,0.196,0.255,0.137
1086,1.269,1.135,3.3,55.788,15.365,4.327,0.293,0.591,17.306,0.462,0.212,0.269,0.135
1097,1.358,1.113,2.3,55.811,15.491,4.396,0.294,0.598,17.291,0.453,0.208,0.264,0.132
1106,1.352,1.093,3.2,55.87,15.593,4.407,0.293,0.606,17.328,0.444,0.222,0.278,0.13
1126,1.345,1.164,2.5,56.273,15.727,4.418,0.292,0.595,17.255,0.436,0.218,0.273,0.127
1129,1.375,1.161,2.2,56.393,15.911,4.482,0.292,0.584,17.257,0.429,0.214,0.268,0.125
1143,1.368,1.158,4.0,56.105,15.982,4.526,0.293,0.587,17.26,0.456,0.211,0.263,0.123
1166,1.414,1.155,1.5,56.345,16.155,4.638,0.295,0.586,17.255,0.448,0.224,0.276,0.138
1176,1.407,1.186,1.3,56.712,16.305,4.729,0.297,0.585,17.293,0.458,0.22,0.271,0.136
1197,1.433,1.183,1.9,56.7,16.283,4.75,0.299,0.584,17.293,0.45,0.217,0.267,0.133
1217,1.459,1.18,2.3,56.77,16.23,4.738,0.299,0.585,17.29,0.443,0.213,0.262,0.131
1239,1.468,1.194,1.4,56.597,16.194,4.71,0.298,0.581,17.284,0.468,0.21,0.258,0.145
1256,1.46,1.19,1.5,56.825,16.222,4.73,0.298,0.585,17.297,0.476,0.206,0.254,0.143
1285,1.453,1.188,1.5,56.891,16.141,4.75,0.302,0.576,17.284,0.469,0.203,0.25,0.141
1294,1.462,1.185,2.6,56.954,16.169,4.785,0.303,0.567,17.266,0.462,0.2,0.246,0.154
1327,1.455,1.182,3.2,57.182,16.364,4.879,0.304,0.568,17.22,0.485,0.197,0.242,0.152
1348,1.493,1.194,1.0,57.0,16.313,4.91,0.308,0.565,17.19,0.478,0.224,0.269,0.149
1361,1.471,1.176,1.4,57.221,16.235,4.882,0.307,0.571,17.146,0.471,0.221,0.265,0.147
1394,1.507,1.174,1.4,57.377,16.188,4.899,0.31,0.574,17.139,0.464,0.217,0.261,0.145
1416,1.5,1.171,0.4,57.471,16.286,4.929,0.31,0.573,17.127,0.471,0.214,0.257,0.143
1450,1.493,1.155,0.5,57.549,16.197,4.901,0.309,0.579,17.132,0.465,0.211,0.254,0.141
