ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
30,3.0,0.0,1.3,53.0,12.0,5.0,0.417,0.0,22.5,0.0,1.0,1.0,0.0
44,2.5,2.0,1.7,55.0,11.5,4.0,0.345,0.167,20.6,0.5,0.5,0.5,0.0
66,2.0,1.667,0.3,58.667,14.333,3.667,0.28,0.111,19.067,0.333,0.333,0.333,0.333
80,1.75,1.75,1.4,58.0,12.25,3.25,0.293,0.083,18.325,0.25,0.25,0.25,0.5
117,1.8,1.6,0.9,55.2,11.2,3.2,0.32,0.217,17.32,0.2,0.2,0.2,0.4
125,1.5,1.833,0.5,53.667,11.333,3.333,0.322,0.264,17.817,0.167,0.167,0.167,0.333
145,1.286,1.571,1.1,53.714,11.0,3.429,0.34,0.369,18.629,0.286,0.143,0.143,0.286
168,1.375,1.625,0.2,54.0,11.25,3.5,0.336,0.385,18.325,0.25,0.125,0.125,0.25
173,1.222,1.556,1.4,51.889,10.556,3.222,0.321,0.435,18.622,0.222,0.111,0.111,0.333
214,1.2,1.4,1.3,50.1,10.2,3.1,0.317,0.492,18.27,0.2,0.1,0.1,0.3
217,1.182,1.273,0.5,48.909,10.455,3.182,0.316,0.538,17.855,0.182,0.091,0.091,0.273
250,1.167,1.25,2.9,48.583,10.417,3.083,0.307,0.564,17.958,0.25,0.083,0.083,0.25
282,1.077,1.231,0.8,50.077,10.615,3.308,0.319,0.56,18.046,0.308,0.077,0.231,0.231
298,1.143,1.214,1.2,49.429,10.429,3.5,0.349,0.573,18.1,0.357,0.071,0.214,0.214
317,1.133,1.267,0.5,49.0,10.067,3.467,0.366,0.583,17.58,0.333,0.067,0.2,0.2
324,1.062,1.188,2.0,48.188,10.125,3.375,0.355,0.609,17.956,0.375,0.062,0.188,0.188
343,1.0,1.176,0.3,49.353,10.529,3.412,0.348,0.612,17.882,0.353,0.059,0.176,0.176
375,1.0,1.222,0.2,48.778,10.222,3.389,0.362,0.615,17.6,0.333,0.056,0.167,0.167
414,2.0,1.0,0.3,63.0,14.0,6.0,0.429,0.667,14.9,1.0,0.0,0.0,0.0
440,1.5,0.5,0.8,61.0,9.0,4.0,0.464,0.833,16.95,0.5,0.0,0.0,0.0
456,1.333,0.667,0.8,58.333,8.667,4.0,0.476,0.722,16.567,0.333,0.0,0.0,0.333
474,1.0,0.5,1.0,59.75,9.25,3.75,0.425,0.792,16.45,0.25,0.0,0.0,0.25
492,1.2,0.8,0.4,56.2,9.2,4.2,0.474,0.7,16.56,0.2,0.0,0.0,0.2
512,1.0,1.0,1.3,57.167,8.667,3.833,0.45,0.683,16.75,0.167,0.0,0.0,0.167
521,1.0,1.0,1.6,58.286,8.714,3.714,0.434,0.7,16.643,0.286,0.0,0.0,0.143
561,1.0,1.0,0.9,58.0,9.375,3.75,0.415,0.706,16.9,0.375,0.0,0.0,0.125
568,1.0,1.0,1.7,57.444,10.333,4.0,0.406,0.717,17.267,0.444,0.0,0.0,0.111
593,1.2,1.1,1.1,56.7,10.5,4.1,0.407,0.712,17.45,0.4,0.0,0.0,0.2
607,1.182,1.091,1.6,56.636,10.818,4.091,0.396,0.72,17.491,0.364,0.0,0.0,0.182
614,1.25,1.0,0.7,57.25,10.833,4.167,0.401,0.743,17.058,0.333,0.0,0.0,0.167
642,1.154,1.077,1.5,56.692,10.769,4.077,0.393,0.741,17.2,0.308,0.0,0.0,0.154
683,1.143,1.143,0.6,57.5,11.071,4.071,0.384,0.724,16.986,0.286,0.0,0.0,0.143
