ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
14,1.0,3.0,1.8,52.0,13.0,3.0,0.231,0.25,17.6,0.0,0.0,0.0,1.0
19,2.0,1.5,2.5,52.5,12.5,4.0,0.324,0.125,20.05,0.0,0.5,0.5,0.5
30,2.0,2.0,1.3,52.667,14.0,4.0,0.294,-0.083,18.867,0.0,0.667,0.667,0.667
44,2.0,2.5,1.7,53.75,13.25,3.75,0.289,0.021,18.825,0.25,0.5,0.5,0.5
57,1.8,2.2,0.5,56.2,14.6,3.6,0.261,0.017,18.26,0.2,0.4,0.4,0.6
66,1.667,2.0,0.3,55.167,13.0,3.5,0.318,0.125,18.283,0.167,0.333,0.333,0.5
69,1.571,2.0,1.5,55.286,12.0,3.286,0.32,0.107,17.971,0.143,0.286,0.286,0.571
80,1.375,1.75,1.4,55.75,12.875,3.25,0.3,0.219,17.862,0.25,0.25,0.25,0.5
90,1.444,1.667,2.3,54.444,12.222,3.222,0.314,0.278,17.356,0.222,0.222,0.222,0.444
107,1.4,1.6,1.9,53.0,11.9,3.1,0.305,0.3,17.71,0.3,0.3,0.4,0.4
117,1.364,1.636,0.9,52.545,11.818,3.091,0.302,0.273,17.536,0.273,0.364,0.455,0.455
125,1.25,1.75,0.5,52.0,11.833,3.167,0.304,0.292,17.767,0.25,0.333,0.417,0.417
132,1.154,1.615,2.8,52.154,11.615,3.231,0.315,0.346,18.208,0.308,0.308,0.385,0.385
145,1.143,1.571,1.1,53.643,12.286,3.286,0.306,0.369,17.907,0.286,0.286,0.357,0.357
153,1.2,1.6,0.8,53.8,12.333,3.333,0.306,0.378,17.793,0.267,0.267,0.333,0.333
160,1.125,1.562,2.2,53.562,12.375,3.25,0.297,0.396,17.55,0.25,0.25,0.312,0.312
168,1.235,1.647,0.2,53.588,12.353,3.235,0.294,0.373,17.5,0.235,0.294,0.353,0.353
173,1.167,1.611,1.4,52.556,11.944,3.111,0.289,0.398,17.694,0.222,0.278,0.333,0.389
192,1.158,1.526,1.8,51.579,11.684,3.053,0.289,0.43,17.558,0.211,0.263,0.316,0.368
205,1.1,1.45,1.6,51.5,11.9,3.15,0.29,0.458,17.48,0.25,0.25,0.3,0.35
214,1.095,1.381,1.3,51.095,12.095,3.143,0.285,0.484,17.386,0.238,0.238,0.286,0.333
217,1.091,1.318,0.5,50.455,12.136,3.182,0.286,0.508,17.218,0.227,0.227,0.273,0.318
229,1.087,1.304,2.2,50.217,12.043,3.13,0.282,0.523,17.3,0.261,0.217,0.261,0.304
247,1.042,1.25,2.4,50.542,12.625,3.375,0.285,0.543,17.342,0.375,0.208,0.25,0.292
250,1.04,1.28,2.9,51.48,13.12,3.44,0.282,0.521,17.228,0.36,0.2,0.24,0.28
269,1.0,1.269,0.8,52.115,13.115,3.538,0.289,0.52,17.3,0.385,0.192,0.308,0.269
282,1.0,1.296,0.8,51.556,12.889,3.481,0.288,0.519,17.215,0.37,0.185,0.296,0.259
288,1.036,1.286,0.9,51.179,12.714,3.571,0.305,0.528,17.271,0.393,0.179,0.286,0.25
298,1.103,1.241,1.2,51.655,12.655,3.655,0.313,0.544,17.217,0.379,0.172,0.276,0.241
310,1.1,1.267,1.2,51.367,12.4,3.633,0.323,0.55,16.987,0.367,0.167,0.267,0.233
317,1.065,1.226,0.5,51.484,12.742,3.613,0.317,0.564,17.052,0.419,0.161,0.258,0.226
324,1.031,1.188,2.0,51.0,12.688,3.562,0.312,0.578,17.256,0.438,0.156,0.25,0.219
331,1.0,1.182,2.3,51.515,12.818,3.576,0.31,0.58,17.239,0.424,0.152,0.242,0.212
343,1.029,1.147,0.3,51.235,12.912,3.588,0.308,0.593,17.274,0.412,0.176,0.265,0.206
356,1.029,1.171,0.8,50.886,12.686,3.571,0.317,0.595,17.146,0.4,0.171,0.257,0.2
363,1.028,1.167,1.1,50.889,12.611,3.528,0.313,0.592,17.331,0.389,0.167,0.25,0.194
375,1.081,1.189,0.2,51.216,12.784,3.595,0.313,0.59,17.395,0.405,0.162,0.243,0.189
396,2.0,1.0,1.3,63.0,14.0,6.0,0.429,0.667,14.9,1.0,0.0,0.0,0.0
402,2.0,0.5,0.7,59.5,13.5,4.5,0.33,0.833,15.9,0.5,0.0,0.0,0.0
414,1.333,1.0,0.3,61.333,13.667,4.0,0.291,0.722,18.033,1.0,0.0,0.0,0.333
429,1.25,0.75,1.7,60.75,11.25,3.5,0.343,0.792,18.275,0.75,0.0,0.0,0.25
440,1.4,0.8,0.8,56.0,11.2,3.6,0.347,0.767,18.0,1.0,0.2,0.2,0.2
446,1.333,0.833,1.1,55.5,10.667,3.667,0.373,0.722,17.633,0.833,0.167,0.167,0.333
456,1.143,0.714,0.8,55.857,12.143,3.429,0.333,0.762,17.643,0.714,0.143,0.143,0.286
467,1.0,0.625,1.3,56.875,12.0,3.375,0.326,0.792,17.45,0.625,0.125,0.125,0.25
474,1.0,1.0,1.0,55.889,11.667,3.444,0.339,0.778,17.611,0.556,0.222,0.222,0.222
486,1.1,1.1,1.5,54.5,11.4,3.7,0.372,0.733,17.55,0.5,0.2,0.2,0.2
492,1.091,1.091,0.4,55.455,11.545,3.727,0.366,0.667,17.582,0.455,0.273,0.273,0.182
505,1.0,1.167,2.1,56.0,11.083,3.583,0.363,0.661,17.592,0.417,0.25,0.25,0.167
512,0.923,1.077,1.3,56.077,11.769,3.615,0.351,0.687,17.515,0.385,0.231,0.231,0.154
