ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
107,1.4,1.6,1.9,53.0,11.9,3.1,0.305,0.3,17.71,0.3,0.3,0.4,0.4
117,1.4,1.5,0.9,52.6,11.7,3.1,0.309,0.275,17.53,0.3,0.4,0.5,0.4
125,1.1,1.8,0.5,51.9,11.7,3.0,0.301,0.325,17.31,0.3,0.3,0.4,0.4
132,0.9,1.5,2.8,52.0,10.9,3.0,0.322,0.475,18.01,0.4,0.2,0.3,0.3
145,0.8,1.2,1.1,53.6,11.9,3.1,0.313,0.508,17.54,0.3,0.2,0.3,0.3
153,0.9,1.3,0.8,52.6,11.2,3.2,0.329,0.558,17.56,0.3,0.2,0.3,0.2
160,0.8,1.3,2.2,52.6,12.0,3.1,0.284,0.558,17.11,0.3,0.2,0.3,0.2
168,1.0,1.4,0.2,52.4,12.6,3.2,0.276,0.558,17.17,0.3,0.3,0.4,0.2
173,1.0,1.5,1.4,50.0,11.2,3.0,0.28,0.542,17.56,0.2,0.3,0.4,0.3
192,0.9,1.4,1.8,49.0,11.2,2.9,0.266,0.567,17.74,0.2,0.3,0.4,0.3
205,0.8,1.3,1.6,50.0,11.9,3.2,0.275,0.617,17.25,0.2,0.2,0.2,0.3
214,0.8,1.1,1.3,49.5,12.4,3.2,0.267,0.717,17.22,0.2,0.1,0.1,0.2
217,0.9,0.8,0.5,48.6,12.5,3.2,0.264,0.767,16.56,0.2,0.1,0.1,0.2
229,1.0,0.9,2.2,47.7,12.6,3.0,0.24,0.752,16.12,0.2,0.1,0.1,0.2
247,0.9,0.8,2.4,46.2,13.1,3.5,0.255,0.786,16.55,0.5,0.1,0.1,0.2
250,0.8,0.8,2.9,48.0,14.3,3.6,0.244,0.736,16.38,0.5,0.1,0.1,0.2
269,0.8,0.8,0.8,49.8,14.3,4.0,0.275,0.719,16.9,0.6,0.1,0.3,0.2
282,0.6,0.7,0.8,48.1,13.8,3.9,0.279,0.769,16.73,0.6,0.0,0.2,0.1
288,0.8,0.7,0.9,48.7,14.1,4.4,0.334,0.761,16.51,0.7,0.0,0.2,0.0
298,1.0,0.7,1.2,51.8,14.5,4.8,0.36,0.761,16.57,0.7,0.0,0.2,0.0
310,1.1,0.9,1.2,51.1,13.4,4.6,0.388,0.732,16.0,0.6,0.0,0.2,0.0
317,1.0,0.9,0.5,52.3,14.1,4.6,0.383,0.732,16.35,0.8,0.0,0.2,0.0
324,0.9,0.9,2.0,52.2,13.9,4.4,0.37,0.732,17.34,0.9,0.0,0.2,0.0
331,0.8,0.9,2.3,54.5,14.6,4.6,0.374,0.713,17.1,0.8,0.0,0.2,0.0
343,1.0,0.9,0.3,52.9,13.6,4.1,0.364,0.713,17.11,0.5,0.1,0.3,0.0
356,1.0,0.9,0.8,49.4,11.6,3.9,0.404,0.78,16.94,0.5,0.1,0.3,0.0
363,1.1,0.9,1.1,47.7,11.3,3.5,0.378,0.78,17.41,0.4,0.1,0.1,0.0
375,1.3,0.9,0.2,50.3,12.5,3.9,0.381,0.78,17.88,0.5,0.1,0.1,0.0
385,1.1,1.0,1.0,50.8,12.2,3.4,0.326,0.765,18.26,0.4,0.1,0.1,0.0
396,1.0,1.1,1.3,50.6,12.5,3.4,0.314,0.731,18.18,0.5,0.1,0.1,0.0
402,1.1,0.9,0.7,51.9,13.3,3.4,0.277,0.76,18.84,0.5,0.1,0.1,0.0
414,1.1,1.1,0.3,52.9,12.4,3.4,0.286,0.71,19.17,0.5,0.1,0.1,0.1
429,1.2,1.1,1.7,55.2,11.7,3.4,0.317,0.71,18.71,0.4,0.1,0.1,0.1
440,1.4,1.1,0.8,52.1,11.1,3.4,0.33,0.71,18.73,0.6,0.2,0.2,0.1
446,1.3,1.2,1.1,53.2,10.3,3.4,0.355,0.66,18.47,0.6,0.1,0.1,0.2
456,1.2,1.0,0.8,55.1,11.9,3.3,0.305,0.693,18.96,0.6,0.1,0.1,0.2
467,1.1,0.9,1.3,56.4,12.0,3.4,0.312,0.743,18.19,0.6,0.1,0.1,0.2
474,0.9,1.1,1.0,54.9,11.0,3.2,0.325,0.76,18.11,0.5,0.2,0.2,0.2
486,1.1,1.1,1.5,54.5,11.4,3.7,0.372,0.733,17.55,0.5,0.2,0.2,0.2
492,1.0,1.1,0.4,54.7,11.3,3.5,0.36,0.667,17.85,0.4,0.3,0.3,0.2
505,0.8,1.3,2.1,55.3,10.6,3.4,0.37,0.627,17.93,0.4,0.3,0.3,0.2
512,0.8,1.1,1.3,54.5,11.2,3.5,0.368,0.677,17.36,0.2,0.3,0.3,0.1
521,0.8,1.2,1.6,55.1,11.7,3.6,0.352,0.657,17.06,0.3,0.3,0.3,0.1
542,0.7,1.2,1.2,57.0,12.0,3.6,0.344,0.665,17.24,0.2,0.2,0.2,0.1
555,0.6,1.2,0.8,57.6,12.4,3.4,0.311,0.695,17.44,0.4,0.2,0.2,0.0
561,0.8,1.2,0.9,56.8,11.8,3.7,0.334,0.695,17.84,0.7,0.2,0.2,0.0
568,0.9,1.3,1.7,55.7,12.5,4.0,0.34,0.675,18.25,0.8,0.2,0.2,0.0
574,1.1,1.1,2.0,55.9,12.8,4.1,0.338,0.675,18.27,0.8,0.1,0.1,0.1
582,1.0,1.0,0.7,58.0,13.7,3.8,0.288,0.642,18.39,0.8,0.1,0.2,0.1
593,1.0,1.0,1.1,55.9,13.4,3.6,0.277,0.708,18.22,0.8,0.0,0.1,0.1
607,1.1,0.9,1.6,55.3,14.2,3.8,0.272,0.728,18.24,0.8,0.0,0.1,0.1
614,1.3,0.9,0.7,56.0,13.3,3.9,0.298,0.728,17.81,0.8,0.0,0.1,0.1
619,1.2,1.0,0.6,54.5,13.4,3.9,0.294,0.72,18.1,0.7,0.0,0.1,0.1
631,1.1,1.2,0.7,55.7,13.1,3.6,0.275,0.67,18.18,0.6,0.0,0.1,0.1
642,1.1,1.3,1.5,56.4,13.1,3.5,0.266,0.64,18.34,0.4,0.0,0.1,0.1
652,1.0,1.5,0.5,58.2,13.1,3.4,0.26,0.59,17.59,0.1,0.0,0.1,0.1
662,0.9,1.6,0.7,58.1,12.1,3.1,0.264,0.585,17.41,0.0,0.0,0.1,0.2
674,0.6,1.6,2.8,57.9,12.4,2.6,0.222,0.59,17.33,0.0,0.0,0.1,0.1
683,0.5,1.5,0.6,57.9,13.6,2.7,0.219,0.59,17.38,0.1,0.0,0.1,0.1
690,0.6,1.5,0.6,57.1,13.4,2.8,0.236,0.598,18.07,0.1,0.0,0.1,0.1
700,0.6,1.4,0.2,56.6,13.2,2.8,0.241,0.518,17.98,0.1,0.0,0.1,0.1
709,0.4,1.7,1.7,53.7,12.3,2.4,0.246,0.458,18.65,0.2,0.0,0.1,0.1
717,0.6,1.7,2.6,53.5,12.1,2.6,0.278,0.446,17.9,0.2,0.0,0.1,0.1
727,0.9,1.4,2.3,51.8,12.5,3.3,0.322,0.521,18.09,0.2,0.1,0.3,0.1
743,1.3,1.2,2.2,49.4,13.0,3.7,0.344,0.571,17.74,0.2,0.1,0.3,0.1
756,1.3,1.1,1.6,47.6,13.0,3.9,0.357,0.596,17.75,0.2,0.1,0.3,0.1
769,1.6,1.0,1.5,47.4,14.0,4.3,0.358,0.571,17.55,0.2,0.1,0.3,0.0
774,1.8,0.9,1.5,46.4,14.0,4.7,0.385,0.58,17.46,0.2,0.1,0.3,0.0
787,1.8,0.9,1.7,45.5,12.3,4.8,0.41,0.68,17.32,0.1,0.1,0.2,0.0
794,1.8,0.8,2.0,46.9,12.5,4.6,0.383,0.705,16.89,0.1,0.2,0.3,0.0
802,1.8,0.8,1.4,46.2,12.6,4.6,0.38,0.805,16.55,0.1,0.2,0.3,0.0
819,1.9,0.7,2.6,48.8,13.0,4.7,0.363,0.798,16.18,0.0,0.3,0.4,0.0
830,2.2,0.7,1.4,49.3,14.4,5.2,0.346,0.788,17.0,0.2,0.4,0.5,0.0
842,2.2,1.0,0.7,48.8,13.5,5.0,0.393,0.745,15.86,0.2,0.3,0.3,0.0
848,1.8,1.1,1.9,50.5,13.2,4.9,0.392,0.712,16.12,0.2,0.3,0.3,0.0
858,1.7,1.2,1.7,52.7,13.8,5.0,0.385,0.537,16.41,0.2,0.3,0.3,0.1
868,1.4,1.1,0.5,54.7,13.9,5.0,0.383,0.487,16.34,0.2,0.3,0.3,0.1
878,1.3,1.3,2.4,56.1,13.2,4.8,0.382,0.407,16.58,0.2,0.3,0.3,0.2
889,1.7,1.4,1.5,54.8,13.8,5.0,0.38,0.393,16.44,0.2,0.3,0.3,0.2
905,1.8,1.6,0.6,56.9,14.7,5.7,0.412,0.343,16.28,0.5,0.2,0.2,0.3
911,1.8,1.8,0.6,59.0,14.1,5.5,0.41,0.143,16.74,0.5,0.2,0.2,0.4
924,2.0,1.7,1.2,59.5,14.2,5.7,0.434,0.176,16.58,0.5,0.1,0.1,0.5
928,1.7,1.9,2.2,61.0,12.9,5.2,0.444,0.169,15.97,0.3,0.0,0.0,0.5
940,1.8,1.7,1.9,61.5,14.2,5.4,0.386,0.179,16.86,0.4,0.0,0.0,0.6
954,2.1,1.6,1.7,61.7,14.4,5.8,0.407,0.212,16.64,0.4,0.0,0.0,0.6
963,2.3,1.6,2.2,60.8,13.6,5.5,0.405,0.312,16.62,0.4,0.0,0.0,0.5
974,2.4,1.6,2.5,60.9,13.7,5.4,0.398,0.412,16.68,0.4,0.0,0.0,0.5
984,2.4,1.4,2.2,63.0,14.6,5.9,0.414,0.412,16.06,0.5,0.0,0.0,0.4
1006,2.0,1.4,3.5,65.4,14.8,5.9,0.411,0.376,16.03,0.6,0.0,0.0,0.4
1015,2.1,1.2,2.7,64.8,14.8,5.9,0.411,0.426,15.94,0.3,0.1,0.1,0.3
1023,2.2,1.2,0.6,64.5,15.6,6.0,0.402,0.576,15.72,0.3,0.1,0.1,0.2
1034,2.0,1.1,4.2,63.6,16.0,6.1,0.39,0.61,16.4,0.4,0.1,0.1,0.1
1041,2.1,1.0,2.7,64.0,18.3,6.9,0.376,0.607,16.72,0.5,0.2,0.2,0.1
1053,1.9,0.9,1.4,65.2,18.0,6.7,0.371,0.64,16.52,0.4,0.2,0.2,0.0
1062,1.7,1.1,2.9,65.6,18.1,6.3,0.344,0.573,16.53,0.4,0.2,0.2,0.0
1078,1.7,1.0,2.3,65.0,19.4,6.9,0.352,0.623,16.55,0.4,0.2,0.2,0.0
1086,1.7,1.3,3.3,65.3,19.1,7.0,0.363,0.523,16.64,0.4,0.2,0.2,0.2
1097,2.2,1.2,2.3,63.7,19.6,7.1,0.359,0.623,16.93,0.3,0.2,0.2,0.2
1106,2.3,1.1,3.2,63.1,19.6,6.9,0.349,0.673,17.3,0.2,0.3,0.3,0.2
1116,2.0,1.6,1.7,64.4,20.0,6.6,0.329,0.573,17.0,0.2,0.2,0.2,0.2
1118,2.1,1.4,0.5,64.1,19.7,6.9,0.359,0.623,17.23,0.2,0.2,0.2,0.2
1126,2.1,1.8,2.5,64.9,19.4,6.6,0.338,0.573,16.9,0.1,0.2,0.2,0.2
1129,2.1,1.6,2.2,64.0,18.8,6.1,0.328,0.533,16.97,0.0,0.1,0.1,0.2
