ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
16,2021,2,Leicester City,Burnley,1,0,0,4,2,1.2,1.4,67,33,Kasper Schmeichel,4-1-4-1,14,6,14.5,0,0,0,Ashley Westwood,4-4-2,16,5,16.4,1,0,0,Lee Mason,2020-09-20,Sun,19:00
22,2021,3,Burnley,Southampton,0,1,0,0,1,0.5,0.6,53,47,Ashley Westwood,4-4-2,10,2,18.3,1,0,0,James Ward-Prowse,4-4-2,5,1,15.9,0,0,0,Andre Marriner,2020-09-26,Sat,20:00
32,2021,4,Newcastle United,Burnley,1,0,0,3,1,1.8,0.4,48,52,Jonjo Shelvey,4-4-2,9,4,19.8,0,1,1,Ashley Westwood,4-4-2,7,3,13.4,0,0,0,David Coote,2020-10-03,Sat,20:00
47,2021,5,West Bromwich Albion,Burnley,0,0,1,0,0,0.8,1.1,57,43,Jake Livermore,4-1-4-1,13,6,17.3,0,0,0,Ashley Westwood,4-4-2,9,4,16.1,1,0,0,Anthony Taylor,2020-10-19,Mon,17:30
58,2021,6,Burnley,Tottenham Hotspur,0,1,0,0,1,1.0,0.6,39,61,Ashley Westwood,4-4-2,13,3,21.1,1,0,0,Hugo Lloris,4-2-3-1,9,3,14.5,0,0,0,Michael Oliver,2020-10-26,Mon,20:00
61,2021,7,Burnley,Chelsea,0,1,0,0,3,0.5,0.9,37,63,Ashley Westwood,4-4-2,5,0,24.4,0,0,0,Thiago Silva,4-3-3,14,9,18.9,1,0,0,David Coote,2020-10-31,Sat,15:00
69,2021,8,Brighton And Hove Albion,Burnley,0,0,1,0,0,1.5,0.5,59,41,Adam Webster,5-3-2,19,3,17.1,1,0,0,Ben Mee,4-4-2,4,1,11.7,0,0,0,Mike Dean,2020-11-06,Fri,17:30
87,2021,9,Burnley,Crystal Palace,1,0,0,1,0,1.5,1.5,46,54,Ben Mee,4-4-2,10,4,18.6,0,0,0,Scott Dann,4-4-2,15,5,19.5,0,0,0,Kevin Friend,2020-11-23,Mon,17:30
91,2021,10,Manchester City,Burnley,1,0,0,5,0,1.7,0.5,68,32,Kevin De Bruyne,4-2-3-1,19,6,16.4,0,0,0,Ben Mee,4-4-1-1,9,1,19.9,1,0,0,Lee Mason,2020-11-28,Sat,15:00
99,2021,11,Burnley,Everton,0,0,1,1,1,0.8,2.2,42,58,Ben Mee,4-4-2,8,3,18.6,0,0,0,Michael Keane,3-4-3,13,6,17.8,0,0,0,Anthony Taylor,2020-12-05,Sat,12:30
116,2021,12,Arsenal,Burnley,0,1,0,0,1,1.6,1.4,65,35,Pierre-Emerick Aubameyang,4-2-3-1,18,6,17.6,0,0,0,Ben Mee,4-4-1-1,10,2,15.9,0,0,0,Graham Scott,2020-12-13,Sun,19:15
126,2021,13,Aston Villa,Burnley,0,0,1,0,0,1.5,0.3,59,41,Jack Grealish,4-2-3-1,27,6,17.0,1,0,0,Ben Mee,4-4-2,6,4,19.7,1,0,0,Craig Pawson,2020-12-17,Thu,18:00
136,2021,14,Burnley,Wolverhampton Wanderers,1,0,0,2,1,1.7,1.5,37,63,Ben Mee,4-4-2,10,4,15.8,1,0,0,Conor Coady,3-4-1-2,14,2,20.5,2,1,1,Lee Mason,2020-12-21,Mon,17:30
144,2021,15,Leeds United,Burnley,1,0,0,1,0,1.9,1.5,51,49,Luke Ayling,3-3-3-1,10,3,21.1,0,1,1,Ben Mee,4-4-2,14,6,16.1,0,0,0,Robert Jones,2020-12-27,Sun,12:00
151,2021,16,Burnley,Sheffield United,1,0,0,1,0,1.0,0.7,37,63,Ben Mee,4-4-2,5,3,11.8,1,0,0,John Egan,3-4-3,7,2,16.6,0,0,0,Chris Kavanagh,2020-12-29,Tue,18:00
166,2021,1,Burnley,Manchester United,0,1,0,0,1,0.9,1.2,38,62,Ben Mee,4-4-2,11,0,20.0,0,0,0,Harry Maguire,4-2-3-1,13,7,17.6,0,0,0,Kevin Friend,2021-01-12,Tue,20:15
172,2021,19,West Ham United,Burnley,1,0,0,1,0,1.7,0.5,45,55,Declan Rice,4-2-3-1,15,3,12.9,1,0,0,Ben Mee,4-4-2,10,2,24.2,1,0,0,Chris Kavanagh,2021-01-16,Sat,15:00
