ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
116,0.5,1.8,1.4,41.8,9.1,2.6,0.275,0.592,17.85,0.5,0.0,0.0,0.1
126,0.545,1.636,0.3,41.182,9.182,2.545,0.268,0.629,17.673,0.455,0.0,0.0,0.091
136,0.5,1.5,1.7,41.167,8.917,2.667,0.302,0.66,17.842,0.5,0.0,0.0,0.083
144,0.615,1.462,1.5,40.846,9.0,2.769,0.309,0.647,17.685,0.538,0.0,0.0,0.154
151,0.571,1.429,1.0,41.429,9.357,3.0,0.318,0.649,17.571,0.5,0.0,0.0,0.214
166,0.6,1.333,0.9,41.133,9.067,3.0,0.337,0.672,17.187,0.533,0.0,0.0,0.2
172,0.562,1.312,0.5,40.938,9.188,2.812,0.315,0.684,17.362,0.5,0.0,0.0,0.188
184,0.529,1.294,1.1,41.765,9.235,2.765,0.309,0.683,17.765,0.529,0.0,0.0,0.176
191,0.556,1.222,0.5,41.0,9.0,2.778,0.325,0.7,17.789,0.5,0.056,0.056,0.167
202,0.684,1.263,0.2,40.895,9.053,2.895,0.334,0.706,17.905,0.474,0.053,0.053,0.158
210,0.65,1.3,0.1,40.35,8.65,2.75,0.317,0.708,17.275,0.45,0.05,0.05,0.15
217,0.619,1.333,1.8,39.667,8.333,2.619,0.302,0.706,17.543,0.429,0.048,0.048,0.143
227,0.636,1.318,1.4,40.364,8.864,2.818,0.304,0.697,17.555,0.455,0.045,0.045,0.136
236,0.739,1.261,0.9,40.609,9.174,2.87,0.302,0.71,17.561,0.435,0.043,0.043,0.13
240,0.75,1.25,0.5,40.875,9.125,2.875,0.305,0.708,17.354,0.417,0.042,0.042,0.125
255,0.72,1.2,0.7,41.72,9.0,2.8,0.3,0.72,17.416,0.44,0.04,0.04,0.12
260,0.692,1.308,1.8,41.731,9.038,2.808,0.3,0.708,17.488,0.423,0.038,0.038,0.115
266,0.704,1.296,1.1,41.63,9.148,2.963,0.31,0.71,17.507,0.444,0.037,0.037,0.111
280,0.714,1.286,0.8,41.607,9.143,3.036,0.319,0.702,17.532,0.429,0.036,0.036,0.107
295,0.759,1.276,1.5,41.379,9.31,3.103,0.32,0.704,17.586,0.448,0.034,0.034,0.103
305,0.8,1.333,2.0,41.567,9.2,3.133,0.332,0.701,17.557,0.433,0.067,0.067,0.1
315,0.806,1.355,0.9,42.032,9.677,3.161,0.326,0.695,17.484,0.452,0.065,0.065,0.097
325,0.812,1.406,2.0,41.688,9.688,3.156,0.326,0.693,17.531,0.438,0.062,0.062,0.094
337,0.909,1.364,2.0,41.697,9.818,3.273,0.331,0.702,17.57,0.424,0.061,0.061,0.091
347,0.912,1.382,1.5,41.794,9.735,3.206,0.325,0.696,17.415,0.412,0.088,0.088,0.088
354,0.943,1.343,1.3,41.514,9.857,3.257,0.326,0.705,17.334,0.4,0.086,0.086,0.086
369,0.917,1.417,0.8,41.694,10.028,3.278,0.324,0.695,17.35,0.417,0.083,0.083,0.083
376,0.892,1.459,1.1,41.676,10.027,3.27,0.323,0.676,17.295,0.405,0.081,0.081,0.081
385,0.868,1.447,1.5,42.079,10.026,3.263,0.323,0.676,17.192,0.395,0.079,0.079,0.079
391,0.872,1.462,0.9,41.949,10.128,3.256,0.32,0.675,17.167,0.41,0.077,0.077,0.077
409,0.85,1.475,1.0,41.775,10.1,3.25,0.32,0.677,17.12,0.4,0.075,0.075,0.075
420,0.854,1.463,1.0,41.634,10.146,3.244,0.319,0.673,17.105,0.39,0.073,0.073,0.073
424,0.857,1.5,1.0,41.786,10.167,3.31,0.324,0.669,17.098,0.381,0.071,0.071,0.071
433,0.837,1.488,0.5,41.884,10.349,3.302,0.32,0.669,17.058,0.372,0.07,0.07,0.07
443,0.864,1.5,1.2,41.705,10.318,3.295,0.321,0.665,17.186,0.386,0.068,0.068,0.068
454,0.844,1.467,0.9,42.022,10.4,3.311,0.32,0.672,17.173,0.4,0.067,0.067,0.067
463,0.826,1.478,0.7,41.761,10.326,3.283,0.319,0.672,17.115,0.391,0.065,0.065,0.065
473,0.851,1.489,2.3,41.702,10.298,3.319,0.324,0.668,17.196,0.383,0.064,0.064,0.064
483,0.896,1.479,0.7,41.688,10.396,3.354,0.324,0.67,17.183,0.396,0.062,0.062,0.062
497,0.898,1.469,1.5,41.449,10.286,3.327,0.326,0.672,17.157,0.388,0.061,0.061,0.061
514,0.94,1.5,0.2,41.42,10.38,3.44,0.331,0.671,17.136,0.4,0.06,0.06,0.06
523,0.922,1.471,0.6,41.294,10.294,3.392,0.328,0.677,17.218,0.392,0.059,0.059,0.059
536,0.904,1.462,0.8,41.5,10.288,3.346,0.324,0.679,17.248,0.423,0.058,0.058,0.058
563,0.887,1.434,1.1,41.472,10.264,3.302,0.32,0.685,17.209,0.415,0.057,0.057,0.057
569,0.889,1.463,1.0,41.5,10.259,3.296,0.319,0.681,17.137,0.407,0.056,0.056,0.056
591,0.891,1.491,0.4,41.564,10.218,3.273,0.318,0.679,17.149,0.418,0.055,0.055,0.055
595,0.875,1.464,0.6,41.268,10.214,3.232,0.314,0.685,17.221,0.411,0.054,0.054,0.054
598,0.86,1.439,0.4,41.474,10.263,3.211,0.311,0.691,17.261,0.421,0.053,0.053,0.053
612,0.862,1.431,1.5,41.397,10.241,3.207,0.312,0.693,17.317,0.414,0.052,0.052,0.052
619,0.847,1.424,0.7,41.271,10.203,3.237,0.317,0.693,17.351,0.407,0.051,0.051,0.051
626,0.883,1.4,0.9,41.117,10.2,3.25,0.319,0.699,17.39,0.4,0.05,0.05,0.05
632,0.885,1.377,0.2,41.0,10.279,3.262,0.318,0.704,17.389,0.393,0.049,0.049,0.049
637,0.887,1.371,0.9,41.0,10.194,3.226,0.316,0.704,17.418,0.387,0.048,0.048,0.048
639,0.873,1.381,0.7,41.063,10.175,3.206,0.314,0.704,17.405,0.381,0.048,0.048,0.048
653,0.859,1.422,0.7,40.859,10.109,3.156,0.309,0.696,17.402,0.391,0.047,0.047,0.047
672,0.846,1.431,0.1,40.923,10.062,3.123,0.307,0.685,17.463,0.4,0.046,0.046,0.062
679,0.833,1.439,2.0,40.667,9.955,3.091,0.307,0.685,17.476,0.394,0.045,0.045,0.061
687,0.866,1.448,1.7,40.836,10.0,3.104,0.307,0.675,17.448,0.388,0.045,0.045,0.09
695,0.853,1.456,1.8,41.044,10.118,3.103,0.305,0.674,17.447,0.397,0.044,0.044,0.088
701,0.855,1.449,1.5,41.014,10.087,3.072,0.303,0.677,17.432,0.391,0.043,0.058,0.087
707,0.871,1.429,1.4,41.057,10.171,3.114,0.304,0.681,17.386,0.386,0.043,0.057,0.086
714,0.873,1.408,1.6,40.986,10.225,3.141,0.304,0.686,17.406,0.38,0.042,0.056,0.085
723,0.889,1.403,1.9,41.153,10.319,3.181,0.305,0.676,17.385,0.389,0.042,0.056,0.083
739,0.89,1.425,0.7,41.26,10.37,3.219,0.307,0.675,17.371,0.384,0.041,0.055,0.082
749,0.878,1.419,1.6,41.135,10.338,3.189,0.304,0.677,17.345,0.378,0.041,0.054,0.095
754,0.88,1.413,1.6,40.973,10.32,3.187,0.305,0.68,17.343,0.373,0.053,0.067,0.093
1141,0.882,1.421,0.3,41.118,10.342,3.197,0.305,0.679,17.321,0.382,0.053,0.066,0.105
1168,0.87,1.442,0.7,41.039,10.286,3.169,0.303,0.678,17.29,0.377,0.052,0.065,0.104
1172,0.872,1.462,1.3,41.244,10.269,3.154,0.302,0.676,17.295,0.372,0.051,0.064,0.103
1189,0.886,1.506,0.5,41.316,10.342,3.165,0.302,0.674,17.303,0.38,0.051,0.063,0.101
1194,0.888,1.5,1.1,41.475,10.338,3.162,0.302,0.675,17.322,0.375,0.05,0.062,0.1
1206,0.877,1.494,0.6,41.716,10.358,3.173,0.302,0.676,17.301,0.37,0.049,0.062,0.099
1210,0.866,1.5,1.1,41.78,10.329,3.159,0.301,0.676,17.289,0.366,0.049,0.061,0.11
1215,0.88,1.494,0.7,41.892,10.373,3.169,0.301,0.674,17.324,0.361,0.048,0.06,0.108
1222,0.881,1.524,1.1,41.845,10.369,3.167,0.301,0.666,17.335,0.369,0.048,0.06,0.119
1233,0.871,1.541,0.8,41.941,10.318,3.141,0.299,0.666,17.368,0.365,0.047,0.059,0.118
1243,0.872,1.547,1.1,42.093,10.267,3.14,0.302,0.666,17.376,0.36,0.047,0.058,0.116
1253,0.862,1.552,0.3,42.379,10.345,3.161,0.302,0.662,17.329,0.356,0.046,0.057,0.115
1265,0.864,1.568,1.3,42.318,10.318,3.182,0.305,0.66,17.351,0.352,0.045,0.057,0.114
1272,0.865,1.573,1.8,42.404,10.315,3.191,0.306,0.657,17.349,0.348,0.056,0.067,0.112
1281,0.911,1.556,0.9,42.633,10.411,3.233,0.307,0.66,17.333,0.344,0.056,0.067,0.111
1294,0.901,1.549,0.6,42.703,10.429,3.231,0.307,0.661,17.384,0.363,0.055,0.066,0.11
1305,0.902,1.543,0.7,42.543,10.38,3.228,0.309,0.664,17.335,0.359,0.054,0.065,0.109
1314,0.892,1.548,0.4,42.742,10.419,3.215,0.307,0.664,17.351,0.366,0.054,0.065,0.108
1322,0.904,1.532,0.8,42.649,10.383,3.202,0.307,0.668,17.373,0.362,0.053,0.064,0.106
1332,0.895,1.537,1.2,42.537,10.368,3.168,0.303,0.669,17.366,0.358,0.053,0.063,0.105
1339,0.906,1.552,1.1,42.469,10.354,3.188,0.306,0.667,17.346,0.354,0.052,0.062,0.115
1355,0.907,1.546,1.4,42.433,10.381,3.227,0.308,0.669,17.361,0.361,0.052,0.062,0.113
1360,0.908,1.561,1.8,42.265,10.357,3.224,0.309,0.664,17.334,0.357,0.051,0.061,0.112
1374,0.919,1.566,1.3,42.283,10.374,3.232,0.309,0.665,17.314,0.354,0.051,0.061,0.111
1381,0.92,1.58,0.3,42.16,10.36,3.24,0.311,0.665,17.317,0.35,0.05,0.06,0.11
1391,0.911,1.614,0.1,42.099,10.337,3.208,0.308,0.66,17.33,0.347,0.05,0.059,0.119
1406,0.902,1.627,1.5,42.118,10.255,3.176,0.305,0.658,17.277,0.343,0.049,0.059,0.127
1415,0.893,1.631,0.7,42.427,10.35,3.194,0.304,0.655,17.293,0.35,0.049,0.058,0.126
1420,0.904,1.635,2.8,42.481,10.356,3.202,0.305,0.653,17.365,0.356,0.048,0.058,0.125
1426,0.914,1.629,1.6,42.648,10.41,3.219,0.305,0.654,17.383,0.352,0.057,0.067,0.124
1437,0.925,1.632,1.3,42.538,10.481,3.245,0.305,0.656,17.355,0.368,0.057,0.066,0.132
1446,0.925,1.626,0.5,42.617,10.505,3.271,0.306,0.655,17.364,0.364,0.056,0.065,0.131
1458,0.917,1.62,1.7,42.796,10.463,3.25,0.305,0.655,17.356,0.37,0.056,0.065,0.13
1464,0.917,1.615,2.2,42.807,10.468,3.248,0.305,0.657,17.354,0.367,0.055,0.064,0.128
1479,0.945,1.609,2.1,42.882,10.518,3.3,0.307,0.659,17.342,0.364,0.055,0.064,0.127
1490,0.946,1.604,1.0,42.964,10.559,3.324,0.308,0.661,17.359,0.369,0.063,0.072,0.126
1500,0.946,1.625,0.7,43.0,10.616,3.339,0.308,0.661,17.367,0.366,0.062,0.071,0.134
1516,0.947,1.628,1.2,42.947,10.584,3.336,0.309,0.662,17.318,0.363,0.062,0.071,0.133
