ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
217,0.8,1.2,1.8,39.4,8.4,2.4,19.15,0.4,0.0,0.0
236,0.818,1.182,0.9,40.818,9.455,2.818,19.027,0.455,0.0,0.0
240,0.833,1.167,0.5,41.333,9.333,2.833,18.492,0.417,0.0,0.0
260,0.769,1.077,1.8,42.923,9.077,2.692,18.523,0.462,0.0,0.0
266,0.786,1.071,1.1,42.643,9.286,3.0,18.486,0.5,0.0,0.0
305,0.8,1.067,2.0,42.533,9.267,3.133,18.467,0.467,0.0,0.0
337,0.812,1.125,2.0,43.375,10.188,3.188,18.269,0.5,0.0,0.0
354,0.824,1.176,1.3,43.471,10.0,3.059,17.918,0.471,0.059,0.059
369,0.778,1.333,0.8,43.722,10.333,3.111,17.917,0.5,0.056,0.056
385,0.737,1.421,1.5,43.579,10.316,3.105,17.779,0.474,0.053,0.053
409,0.75,1.45,1.0,43.25,10.5,3.1,17.7,0.5,0.05,0.05
424,0.762,1.429,1.0,42.905,10.571,3.095,17.643,0.476,0.048,0.048
443,0.727,1.409,1.2,43.045,10.909,3.091,17.541,0.455,0.045,0.045
473,0.696,1.348,2.3,43.609,11.043,3.13,17.5,0.478,0.043,0.043
497,0.792,1.333,1.5,43.5,11.208,3.208,17.463,0.5,0.042,0.042
536,0.88,1.4,0.8,43.36,11.36,3.44,17.408,0.52,0.04,0.04
595,0.846,1.346,0.6,43.231,11.269,3.346,17.323,0.5,0.038,0.038
598,0.815,1.296,0.4,43.593,11.333,3.296,17.404,0.519,0.037,0.037
612,0.821,1.286,1.5,43.357,11.25,3.286,17.514,0.5,0.036,0.036
626,0.793,1.276,0.9,43.034,11.138,3.345,17.576,0.483,0.034,0.034
637,0.8,1.233,0.9,42.733,11.267,3.367,17.567,0.467,0.033,0.033
639,0.774,1.258,0.7,42.806,11.194,3.323,17.535,0.452,0.032,0.032
672,0.75,1.344,0.1,42.344,11.031,3.219,17.525,0.469,0.031,0.031
679,0.727,1.364,2.0,41.788,10.788,3.152,17.548,0.455,0.03,0.03
701,0.794,1.382,1.5,42.088,10.853,3.176,17.491,0.441,0.029,0.029
707,0.829,1.343,1.4,42.143,11.0,3.257,17.397,0.429,0.029,0.029
723,0.833,1.306,1.9,41.972,11.083,3.306,17.436,0.417,0.028,0.028
754,0.838,1.351,1.6,42.162,11.162,3.378,17.408,0.405,0.027,0.027
1141,0.842,1.368,0.3,42.421,11.184,3.395,17.363,0.421,0.026,0.026
1168,0.821,1.41,0.7,42.231,11.051,3.333,17.3,0.41,0.026,0.026
1172,0.825,1.45,1.3,42.6,11.0,3.3,17.31,0.4,0.025,0.025
1194,0.854,1.537,1.1,42.707,11.122,3.317,17.324,0.415,0.024,0.024
1215,0.833,1.524,0.7,43.143,11.143,3.333,17.283,0.405,0.024,0.024
1243,0.837,1.581,1.1,43.023,11.116,3.326,17.305,0.419,0.023,0.023
1265,0.818,1.591,1.3,43.568,11.25,3.364,17.214,0.409,0.023,0.023
1272,0.822,1.6,1.8,43.711,11.222,3.378,17.213,0.4,0.044,0.044
1305,0.913,1.565,0.7,44.13,11.391,3.457,17.185,0.391,0.043,0.043
1322,0.894,1.574,0.8,44.489,11.447,3.426,17.219,0.404,0.043,0.043
1339,0.875,1.583,1.1,44.229,11.396,3.354,17.208,0.396,0.042,0.042
1360,0.878,1.571,1.8,44.122,11.429,3.429,17.241,0.408,0.041,0.041
1381,0.9,1.58,0.3,44.12,11.44,3.44,17.204,0.4,0.04,0.04
1406,0.882,1.647,1.5,43.961,11.373,3.373,17.231,0.392,0.039,0.039
1420,0.865,1.654,2.8,44.538,11.538,3.404,17.263,0.404,0.038,0.038
1437,0.887,1.642,1.3,44.83,11.623,3.434,17.3,0.396,0.057,0.057
1458,0.889,1.63,1.7,44.944,11.648,3.481,17.32,0.389,0.056,0.056
1490,0.891,1.618,1.0,44.927,11.636,3.473,17.316,0.382,0.055,0.055
1516,0.893,1.661,1.2,44.964,11.732,3.5,17.332,0.375,0.054,0.054
