ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
32,2.0,4.0,0.4,33.0,16.0,5.0,0.312,0.333,16.4,1.0,0.0,0.0,0.0
47,1.5,3.5,1.1,42.5,11.5,4.0,0.371,0.292,14.9,0.5,0.0,0.0,0.5
69,1.0,2.333,0.5,42.667,10.667,4.0,0.395,0.528,15.3,0.667,0.0,0.0,0.333
91,0.75,1.75,0.5,42.25,9.0,3.25,0.359,0.646,14.4,0.5,0.0,0.0,0.25
116,0.6,2.4,1.4,40.2,9.0,2.8,0.309,0.55,15.5,0.6,0.0,0.0,0.2
126,0.667,2.0,0.3,39.333,9.167,2.667,0.291,0.625,15.567,0.5,0.0,0.0,0.167
144,0.571,1.714,1.5,39.571,8.714,2.857,0.345,0.679,16.157,0.571,0.0,0.0,0.143
172,0.5,1.625,0.5,40.75,9.375,3.25,0.355,0.677,16.15,0.5,0.0,0.0,0.25
184,0.444,1.556,1.1,42.333,9.444,3.111,0.338,0.676,17.044,0.556,0.0,0.0,0.222
202,0.5,1.4,0.2,40.9,9.0,3.1,0.364,0.708,17.16,0.5,0.1,0.1,0.2
227,0.455,1.455,1.4,39.909,8.273,2.818,0.331,0.712,16.082,0.455,0.091,0.091,0.182
255,0.667,1.333,0.7,40.417,8.917,2.917,0.324,0.736,16.217,0.417,0.083,0.083,0.167
280,0.615,1.538,0.8,40.538,9.0,2.923,0.322,0.712,16.454,0.385,0.077,0.077,0.154
295,0.714,1.5,1.5,40.143,9.357,3.071,0.325,0.715,16.643,0.429,0.071,0.071,0.143
315,0.8,1.6,0.9,40.6,9.133,3.133,0.348,0.709,16.647,0.4,0.133,0.133,0.133
325,0.812,1.688,2.0,40.0,9.188,3.125,0.345,0.704,16.794,0.375,0.125,0.125,0.125
347,1.0,1.588,1.5,40.118,9.471,3.353,0.354,0.721,16.912,0.353,0.118,0.118,0.118
376,1.056,1.5,1.1,39.667,9.722,3.444,0.354,0.737,16.783,0.333,0.111,0.111,0.111
420,0.0,2.0,1.0,35.0,9.0,3.0,0.333,0.75,15.3,0.0,0.0,0.0,0.0
433,0.5,2.5,0.5,41.5,10.0,4.5,0.439,0.625,16.05,0.0,0.0,0.0,0.0
454,1.0,2.333,0.9,39.0,9.667,4.0,0.404,0.583,18.267,0.333,0.0,0.0,0.0
463,0.75,2.25,0.7,36.75,9.0,3.5,0.374,0.604,17.325,0.25,0.0,0.0,0.0
483,1.0,2.2,0.7,37.2,9.0,3.8,0.411,0.583,18.04,0.2,0.0,0.0,0.0
514,1.0,2.0,0.2,36.0,8.333,3.5,0.409,0.611,17.683,0.167,0.0,0.0,0.0
523,0.857,1.714,0.6,35.857,8.0,3.143,0.374,0.667,18.2,0.143,0.0,0.0,0.0
563,0.75,1.625,1.1,37.875,8.25,2.875,0.34,0.677,18.275,0.375,0.0,0.0,0.0
569,0.778,1.778,1.0,38.444,8.444,2.889,0.336,0.657,17.722,0.333,0.0,0.0,0.0
591,0.8,1.9,0.4,39.1,8.4,2.8,0.327,0.649,17.73,0.4,0.0,0.0,0.0
619,0.727,1.727,0.7,37.818,8.545,2.636,0.306,0.681,18.045,0.364,0.0,0.0,0.0
632,0.917,1.583,0.2,37.333,8.667,2.75,0.314,0.707,18.183,0.333,0.0,0.0,0.0
653,0.923,1.538,0.7,37.615,8.385,2.615,0.305,0.711,18.262,0.308,0.0,0.0,0.0
687,0.857,1.571,1.7,38.143,8.286,2.5,0.294,0.66,18.486,0.357,0.0,0.0,0.071
695,0.8,1.6,1.8,39.267,8.933,2.533,0.285,0.66,18.413,0.4,0.0,0.0,0.067
714,0.812,1.562,1.6,39.25,8.875,2.438,0.275,0.671,18.287,0.375,0.0,0.062,0.062
739,0.882,1.529,0.7,40.059,9.353,2.647,0.28,0.632,18.147,0.412,0.0,0.059,0.059
749,0.833,1.5,1.6,39.611,9.278,2.556,0.271,0.643,17.994,0.389,0.0,0.056,0.111
1206,1.0,1.0,0.6,54.0,10.0,3.0,0.3,0.75,18.9,0.0,0.0,0.0,0.0
1210,0.5,1.5,1.1,50.5,9.0,2.5,0.275,0.708,17.6,0.0,0.0,0.0,0.5
1222,1.0,1.333,1.1,50.667,10.667,3.0,0.279,0.639,18.467,0.0,0.0,0.0,0.333
