ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
22,2.0,4.0,0.5,33.0,16.0,5.0,0.312,0.333,16.4,1.0,0.0,0.0,0.0
32,1.0,2.5,0.4,43.0,13.0,3.5,0.256,0.167,17.35,1.0,0.0,0.0,0.0
47,1.0,2.667,1.1,46.0,11.0,3.333,0.314,0.194,16.033,0.667,0.0,0.0,0.333
58,0.75,2.0,1.0,45.25,10.5,3.5,0.346,0.396,16.05,0.75,0.0,0.0,0.25
61,0.6,1.8,0.5,44.0,11.0,3.4,0.323,0.45,17.06,0.8,0.0,0.0,0.2
69,0.5,2.0,0.5,42.833,10.0,2.833,0.269,0.486,18.283,0.667,0.0,0.0,0.167
87,0.429,1.714,1.5,42.571,9.143,2.571,0.267,0.56,17.343,0.571,0.0,0.0,0.143
91,0.5,1.5,0.5,43.0,9.25,2.75,0.283,0.615,17.5,0.5,0.0,0.0,0.125
99,0.444,1.889,0.8,41.778,9.222,2.556,0.264,0.565,17.767,0.556,0.0,0.0,0.111
116,0.5,1.8,1.4,41.8,9.1,2.6,0.275,0.592,17.85,0.5,0.0,0.0,0.1
126,0.545,1.636,0.3,41.182,9.182,2.545,0.268,0.629,17.673,0.455,0.0,0.0,0.091
136,0.5,1.5,1.7,41.167,8.917,2.667,0.302,0.66,17.842,0.5,0.0,0.0,0.083
144,0.615,1.462,1.5,40.846,9.0,2.769,0.309,0.647,17.685,0.538,0.0,0.0,0.154
151,0.571,1.429,1.0,41.429,9.357,3.0,0.318,0.649,17.571,0.5,0.0,0.0,0.214
166,0.6,1.333,0.9,41.133,9.067,3.0,0.337,0.672,17.187,0.533,0.0,0.0,0.2
172,0.562,1.312,0.5,40.938,9.188,2.812,0.315,0.684,17.362,0.5,0.0,0.0,0.188
184,0.529,1.294,1.1,41.765,9.235,2.765,0.309,0.683,17.765,0.529,0.0,0.0,0.176
191,0.556,1.222,0.5,41.0,9.0,2.778,0.325,0.7,17.789,0.5,0.056,0.056,0.167
202,0.684,1.263,0.2,40.895,9.053,2.895,0.334,0.706,17.905,0.474,0.053,0.053,0.158
210,0.65,1.3,0.1,40.35,8.65,2.75,0.317,0.708,17.275,0.45,0.05,0.05,0.15
217,0.619,1.333,1.8,39.667,8.333,2.619,0.302,0.706,17.543,0.429,0.048,0.048,0.143
227,0.636,1.318,1.4,40.364,8.864,2.818,0.304,0.697,17.555,0.455,0.045,0.045,0.136
236,0.739,1.261,0.9,40.609,9.174,2.87,0.302,0.71,17.561,0.435,0.043,0.043,0.13
