ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
58,0.0,1.0,1.0,53.0,10.0,2.0,0.2,0.0,18.3,1.0,0.0,0.0,0.0
61,0.0,1.0,0.5,46.0,11.5,2.5,0.215,0.333,19.7,1.0,0.0,0.0,0.0
87,0.0,1.667,1.5,43.0,9.333,1.667,0.144,0.444,21.267,0.667,0.0,0.0,0.0
99,0.25,1.25,0.8,43.75,9.5,2.25,0.208,0.583,20.6,0.5,0.0,0.0,0.0
136,0.4,1.2,1.7,43.4,9.2,2.4,0.241,0.633,20.2,0.4,0.0,0.0,0.0
151,0.667,1.167,1.0,42.333,9.333,2.667,0.268,0.611,19.467,0.5,0.0,0.0,0.167
166,0.714,1.0,0.9,41.571,8.714,2.714,0.315,0.667,18.371,0.571,0.0,0.0,0.143
191,0.625,1.0,0.5,41.125,9.0,2.375,0.276,0.69,18.575,0.5,0.0,0.0,0.125
210,0.889,1.111,0.1,40.889,9.111,2.667,0.301,0.703,18.733,0.444,0.0,0.0,0.111
217,0.8,1.2,1.8,39.4,8.4,2.4,0.271,0.699,19.15,0.4,0.0,0.0,0.1
236,0.818,1.182,0.9,40.818,9.455,2.818,0.278,0.681,19.027,0.455,0.0,0.0,0.091
240,0.833,1.167,0.5,41.333,9.333,2.833,0.286,0.68,18.492,0.417,0.0,0.0,0.083
260,0.769,1.077,1.8,42.923,9.077,2.692,0.277,0.704,18.523,0.462,0.0,0.0,0.077
266,0.786,1.071,1.1,42.643,9.286,3.0,0.299,0.708,18.486,0.5,0.0,0.0,0.071
305,0.8,1.067,2.0,42.533,9.267,3.133,0.316,0.694,18.467,0.467,0.0,0.0,0.067
337,0.812,1.125,2.0,43.375,10.188,3.188,0.306,0.682,18.269,0.5,0.0,0.0,0.062
354,0.824,1.176,1.3,43.471,10.0,3.059,0.297,0.671,17.918,0.471,0.059,0.059,0.059
369,0.778,1.333,0.8,43.722,10.333,3.111,0.294,0.652,17.917,0.5,0.056,0.056,0.056
409,1.0,2.0,1.0,37.0,14.0,3.0,0.214,0.667,16.2,1.0,0.0,0.0,0.0
424,1.0,1.5,1.0,36.5,13.0,3.0,0.232,0.583,16.35,0.5,0.0,0.0,0.0
443,0.667,1.333,1.2,39.667,14.667,3.0,0.21,0.611,16.033,0.333,0.0,0.0,0.0
473,0.5,1.0,2.3,43.75,14.5,3.25,0.229,0.708,16.175,0.5,0.0,0.0,0.0
497,1.0,1.0,1.5,43.2,14.6,3.6,0.25,0.717,16.26,0.6,0.0,0.0,0.0
536,1.333,1.333,0.8,42.667,14.667,4.5,0.308,0.701,16.233,0.667,0.0,0.0,0.0
595,1.143,1.143,0.6,42.286,13.857,4.0,0.28,0.744,16.086,0.571,0.0,0.0,0.0
598,1.0,1.0,0.4,43.625,13.75,3.75,0.264,0.776,16.513,0.625,0.0,0.0,0.0
612,1.0,1.0,1.5,42.889,13.222,3.667,0.272,0.779,16.956,0.556,0.0,0.0,0.0
626,0.9,1.0,0.9,42.0,12.7,3.8,0.307,0.776,17.19,0.5,0.0,0.0,0.0
637,0.909,0.909,0.9,41.273,12.909,3.818,0.304,0.796,17.2,0.455,0.0,0.0,0.0
639,0.833,1.0,0.7,41.583,12.583,3.667,0.297,0.785,17.15,0.417,0.0,0.0,0.0
672,0.769,1.231,0.1,40.538,12.077,3.385,0.274,0.74,17.154,0.462,0.0,0.0,0.0
679,0.714,1.286,2.0,39.357,11.429,3.214,0.278,0.735,17.236,0.429,0.0,0.0,0.0
701,0.867,1.333,1.5,40.2,11.533,3.267,0.28,0.686,17.127,0.4,0.0,0.0,0.133
707,0.938,1.25,1.4,40.438,11.812,3.438,0.286,0.706,16.944,0.375,0.0,0.0,0.125
723,0.941,1.176,1.9,40.176,11.941,3.529,0.29,0.723,17.053,0.353,0.0,0.0,0.118
754,0.944,1.278,1.6,40.667,12.056,3.667,0.298,0.715,17.017,0.333,0.0,0.0,0.111
1168,0.0,3.0,0.7,35.0,6.0,1.0,0.167,0.625,14.9,0.0,0.0,0.0,0.0
1172,0.5,3.0,1.3,46.0,7.5,1.5,0.194,0.562,16.3,0.0,0.0,0.0,0.0
1194,1.0,3.667,1.1,46.333,10.333,2.333,0.213,0.557,16.833,0.333,0.0,0.0,0.0
1215,0.75,3.0,0.7,50.0,10.75,2.75,0.243,0.605,16.525,0.25,0.0,0.0,0.0
1243,0.8,3.2,1.1,47.6,10.6,2.8,0.254,0.484,16.86,0.4,0.0,0.0,0.2
1265,0.667,3.0,1.3,50.833,11.667,3.167,0.261,0.459,16.267,0.333,0.0,0.0,0.167
1272,0.714,2.857,1.8,50.714,11.429,3.286,0.281,0.441,16.4,0.286,0.143,0.143,0.143
1305,1.25,2.5,0.7,52.25,12.375,3.75,0.292,0.511,16.337,0.25,0.125,0.125,0.125
1322,1.111,2.444,0.8,53.222,12.556,3.556,0.275,0.528,16.611,0.333,0.111,0.111,0.111
1339,1.0,2.4,1.1,51.1,12.2,3.2,0.248,0.555,16.62,0.3,0.1,0.1,0.1
1360,1.0,2.273,1.8,50.0,12.273,3.545,0.274,0.578,16.818,0.364,0.091,0.091,0.091
1381,1.083,2.25,0.3,49.5,12.25,3.583,0.279,0.589,16.7,0.333,0.083,0.083,0.083
1406,1.0,2.462,1.5,48.462,11.923,3.308,0.258,0.557,16.846,0.308,0.077,0.077,0.154
1420,0.929,2.429,2.8,50.286,12.5,3.429,0.257,0.541,16.993,0.357,0.071,0.071,0.143
1437,1.0,2.333,1.3,50.933,12.733,3.533,0.261,0.558,17.14,0.333,0.133,0.133,0.133
1458,1.0,2.25,1.7,50.938,12.75,3.688,0.273,0.554,17.219,0.312,0.125,0.125,0.125
1490,1.0,2.176,1.0,50.529,12.647,3.647,0.273,0.573,17.212,0.294,0.118,0.118,0.118
1516,1.0,2.278,1.2,50.333,12.889,3.722,0.274,0.575,17.267,0.278,0.111,0.111,0.167
