ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
202,0.5,1.4,0.2,40.9,9.0,3.1,0.364,0.708,17.16,0.5,0.1,0.1,0.2
227,0.3,1.2,1.4,40.6,7.5,2.6,0.333,0.75,16.05,0.4,0.1,0.1,0.2
255,0.5,0.9,0.7,40.0,8.4,2.7,0.315,0.825,16.48,0.4,0.1,0.1,0.1
280,0.5,1.3,0.8,39.9,8.5,2.6,0.301,0.768,16.8,0.3,0.1,0.1,0.1
295,0.7,1.4,1.5,39.3,9.5,3.0,0.311,0.743,17.54,0.4,0.1,0.1,0.1
315,0.9,1.2,0.9,40.8,9.2,3.3,0.367,0.789,17.22,0.3,0.2,0.2,0.1
325,0.9,1.5,2.0,40.4,9.2,3.4,0.377,0.751,17.53,0.3,0.2,0.2,0.1
347,1.3,1.5,1.5,40.5,10.0,3.7,0.36,0.751,17.44,0.2,0.2,0.2,0.1
376,1.5,1.4,1.1,38.8,10.0,3.6,0.353,0.785,17.29,0.2,0.2,0.2,0.0
391,1.5,1.4,0.9,39.0,10.0,3.7,0.363,0.785,16.21,0.1,0.2,0.2,0.0
420,1.4,1.6,1.0,39.7,10.4,3.7,0.336,0.76,15.92,0.1,0.1,0.1,0.0
433,1.5,1.7,0.5,41.5,11.4,4.3,0.391,0.735,17.07,0.1,0.1,0.1,0.0
454,1.4,1.9,0.9,40.3,10.7,4.2,0.399,0.685,17.57,0.2,0.1,0.1,0.0
463,1.4,1.7,0.7,39.1,10.4,4.1,0.398,0.708,17.09,0.2,0.1,0.1,0.0
483,1.4,1.8,0.7,39.5,9.9,4.1,0.418,0.683,17.27,0.1,0.1,0.1,0.0
514,1.3,1.6,0.2,37.8,9.8,3.9,0.391,0.696,17.19,0.1,0.0,0.0,0.0
523,1.2,1.3,0.6,38.2,9.4,3.7,0.378,0.733,17.42,0.1,0.0,0.0,0.0
563,0.8,1.4,1.1,39.2,9.0,3.1,0.338,0.708,17.42,0.3,0.0,0.0,0.0
569,0.7,1.7,1.0,40.3,8.6,2.9,0.332,0.658,17.29,0.3,0.0,0.0,0.0
591,0.8,1.9,0.4,39.1,8.4,2.8,0.327,0.649,17.73,0.4,0.0,0.0,0.0
619,0.8,1.7,0.7,38.1,8.5,2.6,0.304,0.674,18.32,0.4,0.0,0.0,0.0
632,1.0,1.4,0.2,36.5,8.4,2.4,0.289,0.724,18.61,0.4,0.0,0.0,0.0
653,0.9,1.3,0.7,37.2,8.0,2.2,0.276,0.749,18.26,0.3,0.0,0.0,0.0
687,0.9,1.3,1.7,38.7,8.0,2.1,0.262,0.682,18.95,0.4,0.0,0.0,0.1
695,0.7,1.3,1.8,40.3,8.9,1.9,0.223,0.699,18.6,0.5,0.0,0.0,0.1
714,0.7,1.3,1.6,41.2,9.2,1.8,0.195,0.707,18.65,0.5,0.0,0.1,0.1
739,0.9,1.4,0.7,43.0,10.3,2.3,0.214,0.607,18.11,0.6,0.0,0.1,0.1
749,0.9,1.4,1.6,41.0,10.1,2.3,0.216,0.615,17.77,0.4,0.0,0.1,0.2
1189,0.9,1.2,0.5,39.6,10.0,2.3,0.22,0.654,18.16,0.4,0.1,0.2,0.2
1206,0.9,1.0,0.6,40.5,10.2,2.4,0.225,0.672,18.27,0.3,0.1,0.2,0.2
1210,0.9,1.2,1.1,42.7,10.0,2.5,0.24,0.639,17.78,0.3,0.1,0.2,0.3
1222,0.8,1.3,1.1,44.6,10.4,2.5,0.228,0.589,17.83,0.3,0.1,0.2,0.3
1233,0.7,1.5,0.8,45.5,10.5,2.5,0.225,0.581,17.93,0.3,0.1,0.2,0.3
1253,0.8,1.5,0.3,46.5,10.4,2.7,0.261,0.647,17.59,0.2,0.1,0.2,0.2
1281,0.9,1.6,0.9,44.7,9.4,2.9,0.306,0.631,17.78,0.1,0.1,0.2,0.2
1294,0.8,1.6,0.6,45.7,9.8,3.1,0.319,0.622,18.33,0.3,0.1,0.1,0.2
1314,0.7,1.6,0.4,43.2,8.7,2.8,0.334,0.713,18.03,0.2,0.1,0.1,0.2
1332,0.9,1.5,1.2,43.4,8.6,2.9,0.35,0.73,18.44,0.2,0.1,0.1,0.1
1355,1.0,1.7,1.4,44.1,8.6,3.1,0.372,0.691,18.26,0.2,0.0,0.0,0.2
1374,1.0,1.9,1.3,41.3,8.4,3.1,0.379,0.641,17.84,0.2,0.0,0.0,0.2
1391,1.1,2.0,0.1,39.6,8.5,3.3,0.399,0.644,17.97,0.2,0.0,0.0,0.1
1415,0.9,2.2,0.7,38.9,7.3,2.9,0.37,0.634,17.15,0.2,0.0,0.0,0.2
1426,1.1,2.1,1.6,38.7,7.8,3.2,0.39,0.618,17.61,0.3,0.0,0.0,0.2
1446,1.2,2.1,0.5,36.3,9.0,3.5,0.373,0.634,17.25,0.5,0.0,0.0,0.3
1464,1.1,1.9,2.2,38.8,8.8,3.1,0.327,0.651,16.97,0.6,0.0,0.0,0.3
1479,1.5,1.9,2.1,39.0,9.2,3.7,0.359,0.667,16.38,0.4,0.0,0.0,0.3
1500,1.5,1.9,0.7,41.4,10.1,4.0,0.349,0.666,17.02,0.5,0.1,0.1,0.3
