ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
217,0.8,1.2,1.8,39.4,8.4,2.4,19.15,0.4,0.0,0.0
236,0.9,1.2,0.9,39.6,9.4,2.9,19.1,0.4,0.0,0.0
240,1.0,1.2,0.5,40.4,8.9,2.9,18.25,0.3,0.0,0.0
260,1.0,0.9,1.8,42.9,9.0,3.0,17.7,0.4,0.0,0.0
266,1.0,1.0,1.1,42.2,9.2,3.3,17.64,0.5,0.0,0.0
305,1.0,1.0,2.0,42.1,9.3,3.5,17.6,0.5,0.0,0.0
337,0.9,1.1,2.0,44.0,10.7,3.5,17.55,0.5,0.0,0.0
354,0.9,1.3,1.3,44.8,10.9,3.3,17.6,0.4,0.1,0.1
369,0.9,1.6,0.8,45.8,11.4,3.7,17.39,0.5,0.1,0.1
385,0.6,1.7,1.5,46.0,11.4,3.5,16.92,0.5,0.1,0.1
409,0.7,1.7,1.0,47.1,12.6,3.8,16.25,0.6,0.1,0.1
424,0.7,1.7,1.0,45.2,11.8,3.4,16.12,0.5,0.1,0.1
443,0.6,1.7,1.2,45.1,12.8,3.4,16.4,0.5,0.1,0.1
473,0.6,1.7,2.3,44.5,13.6,3.7,16.17,0.5,0.1,0.1
497,0.8,1.7,1.5,44.7,13.9,3.5,16.03,0.5,0.1,0.1
536,1.0,1.9,0.8,44.6,14.5,3.9,15.82,0.6,0.1,0.1
595,0.9,1.7,0.6,43.0,13.0,3.6,15.81,0.5,0.1,0.1
598,0.8,1.5,0.4,43.8,13.6,3.7,16.53,0.6,0.0,0.0
612,0.9,1.2,1.5,42.7,12.9,3.6,16.79,0.5,0.0,0.0
626,0.9,1.0,0.9,42.0,12.7,3.8,17.19,0.5,0.0,0.0
637,0.9,0.8,0.9,41.7,12.8,3.9,17.3,0.4,0.0,0.0
639,0.8,0.9,0.7,42.6,12.5,3.8,17.31,0.4,0.0,0.0
672,0.8,1.2,0.1,40.8,11.3,3.5,17.49,0.5,0.0,0.0
679,0.8,1.4,2.0,37.6,10.2,3.2,17.66,0.4,0.0,0.0
701,0.8,1.5,1.5,38.7,10.0,3.1,17.56,0.3,0.0,0.0
707,0.7,1.2,1.4,39.1,10.1,2.8,17.37,0.2,0.0,0.0
723,0.8,1.2,1.9,38.7,10.6,3.2,17.73,0.2,0.0,0.0
754,0.9,1.5,1.6,38.3,10.7,3.6,17.42,0.1,0.0,0.0
1141,0.9,1.6,0.3,39.8,11.0,3.7,16.94,0.2,0.0,0.0
1168,0.9,1.8,0.7,39.9,10.8,3.3,16.5,0.2,0.0,0.0
1172,0.9,2.1,1.3,42.2,10.2,3.1,16.54,0.2,0.0,0.0
1194,1.1,2.4,1.1,42.4,10.9,3.3,16.67,0.3,0.0,0.0
1215,1.1,2.1,0.7,45.7,11.5,3.7,16.51,0.2,0.0,0.0
1243,1.2,2.3,1.1,47.1,12.2,3.9,16.5,0.3,0.0,0.0
1265,0.9,2.3,1.3,48.6,12.6,4.0,16.27,0.3,0.0,0.0
1272,0.8,2.5,1.8,49.2,12.0,3.8,16.57,0.3,0.1,0.1
1305,1.2,2.5,0.7,51.9,12.5,4.0,16.28,0.3,0.1,0.1
1322,1.1,2.4,0.8,53.1,12.5,3.6,16.52,0.4,0.1,0.1
1339,1.0,2.4,1.1,51.1,12.2,3.2,16.62,0.3,0.1,0.1
1360,1.1,2.2,1.8,51.5,12.9,3.8,17.01,0.4,0.1,0.1
1381,1.2,2.1,0.3,50.2,13.2,4.0,16.78,0.4,0.1,0.1
1406,1.0,2.1,1.5,49.1,12.4,3.6,16.85,0.3,0.1,0.1
1420,1.0,2.2,2.8,50.4,13.2,3.7,17.18,0.4,0.1,0.1
1437,1.1,1.9,1.3,52.6,13.8,3.9,17.28,0.3,0.2,0.2
1458,1.2,1.8,1.7,51.0,13.4,4.0,17.79,0.3,0.2,0.2
1490,1.2,1.7,1.0,50.4,13.5,3.9,17.78,0.3,0.1,0.1
1516,0.8,2.1,1.2,48.8,13.3,3.7,18.01,0.3,0.1,0.1
