ID,Season,Round,Home,Away,HomeWin,AwayWin,Draw,HomeGoal,AwayGoal,HomeXG,AwayXG,HomePoss,AwayPoss,HomeCaptain,HomeFormation,HomeSH,HomeSOT,HomeAcc,HomeDef,HomeDist,HomeFK,HomePK,HomePKAtt,AwayCaptain,AwayFormation,AwaySH,AwaySOT,AwayAcc,AwayDef,AwayDist,AwayFK,AwayPK,AwayPKAtt,Referee,Date,Day,Time
8,2021,1,Brighton And Hove Albion,Chelsea,0,1,0,1,3,1.1,1.2,52,48,Lewis Dunk,3-5-2,13,3,0.2307692307692307,0.25,17.6,0,0,0,Jorginho,4-2-2-2,9,4,0.4444444444444444,0.6666666666666666,21.3,0,1,1,Craig Pawson,2020-09-14,Mon,20:15
21,2021,3,West Bromwich Albion,Chelsea,0,0,1,3,3,0.6,2.0,25,75,Jake Livermore,5-4-1,9,3,0.3333333333333333,0.7,20.7,0,0,0,Thiago Silva,4-2-3-1,22,10,0.4545454545454545,0.0,19.4,1,0,0,Jonathan Moss,2020-09-26,Sat,17:30
52,2021,6,Manchester United,Chelsea,0,0,1,0,0,0.6,0.2,51,49,Harry Maguire,4-2-3-1,14,4,0.2857142857142857,1.0,17.9,0,0,0,César Azpilicueta,3-4-3,6,1,0.1666666666666666,1.0,20.3,0,0,0,Martin Atkinson,2020-10-24,Sat,17:30
61,2021,7,Burnley,Chelsea,0,1,0,0,3,0.5,0.9,37,63,Ashley Westwood,4-4-2,5,0,0.0,0.6666666666666666,24.4,0,0,0,Thiago Silva,4-3-3,14,9,0.6428571428571429,0.0,18.9,1,0,0,David Coote,2020-10-31,Sat,15:00
79,2021,9,Newcastle United,Chelsea,0,1,0,0,2,0.3,1.5,30,70,Jamaal Lascelles,5-4-1,8,1,0.125,0.3333333333333333,23.7,0,0,0,N'Golo Kanté,4-3-3,14,3,0.2142857142857142,1.0,18.5,0,0,0,Craig Pawson,2020-11-21,Sat,12:30
112,2021,12,Everton,Chelsea,1,0,0,1,0,1.2,0.7,29,71,Gylfi Sigurðsson,4-3-3,8,3,0.375,1.0,17.1,1,1,1,Thiago Silva,4-3-3,10,3,0.3,0.6666666666666666,20.3,2,0,0,Jonathan Moss,2020-12-12,Sat,20:00
118,2021,13,Wolverhampton Wanderers,Chelsea,1,0,0,2,1,0.5,1.0,45,55,Conor Coady,3-4-1-2,12,4,0.3333333333333333,0.6666666666666666,21.9,0,0,0,Thiago Silva,4-3-3,13,3,0.2307692307692307,0.5,18.5,1,0,0,Stuart Attwell,2020-12-15,Tue,18:00
141,2021,15,Arsenal,Chelsea,1,0,0,3,1,2.0,2.6,40,60,Héctor Bellerín,4-2-3-1,14,6,0.4285714285714285,0.5,17.9,1,1,1,Thiago Silva,4-3-3,18,2,0.1111111111111111,0.5,16.8,1,0,1,Michael Oliver,2020-12-26,Sat,17:30
174,2021,19,Fulham,Chelsea,0,1,0,0,1,0.7,1.6,31,69,Joachim Andersen,5-4-1,10,2,0.2,0.8333333333333334,20.1,1,0,0,César Azpilicueta,4-3-3,21,6,0.2857142857142857,1.0,18.6,0,0,0,Peter Bankes,2021-01-16,Sat,17:30
181,2021,18,Leicester City,Chelsea,1,0,0,2,0,1.4,0.7,36,64,Kasper Schmeichel,4-1-4-1,8,6,0.75,1.0,17.1,0,0,0,Thiago Silva,4-2-3-1,9,5,0.5555555555555556,0.6666666666666666,12.7,1,0,0,Craig Pawson,2021-01-19,Tue,20:15
215,2021,22,Tottenham Hotspur,Chelsea,0,1,0,0,1,0.6,1.6,43,58,Hugo Lloris,4-2-2-2,7,2,0.2857142857142857,0.0,20.9,1,0,0,César Azpilicueta,3-4-1-2,15,1,0.0666666666666666,1.0,18.0,0,1,1,Andre Marriner,2021-02-04,Thu,20:00
224,2021,23,Sheffield United,Chelsea,0,1,0,1,2,0.6,1.6,32,68,John Egan,3-5-2,8,3,0.375,-1.0,20.8,0,0,0,César Azpilicueta,3-4-3,8,1,0.125,0.6666666666666666,20.3,0,1,1,Kevin Friend,2021-02-07,Sun,19:15
239,2021,25,Southampton,Chelsea,0,0,1,1,1,0.6,1.2,30,70,James Ward-Prowse,4-4-2,4,1,0.25,0.5,9.6,0,0,0,César Azpilicueta,3-4-3,8,2,0.25,0.0,19.6,1,1,1,Anthony Taylor,2021-02-20,Sat,12:30
