ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
215,1.4,1.2,1.6,62.4,13.6,4.6,0.341,0.6,18.53,0.7,0.1,0.2,0.2
224,1.364,1.091,1.6,62.0,13.727,4.273,0.316,0.636,18.482,0.636,0.182,0.273,0.182
239,1.417,1.083,1.2,62.5,13.25,4.0,0.3,0.639,18.633,0.583,0.25,0.333,0.167
265,1.385,1.077,1.0,63.077,12.846,3.846,0.296,0.59,18.708,0.615,0.308,0.385,0.154
278,1.357,1.0,1.0,61.857,12.714,3.857,0.301,0.619,18.636,0.571,0.286,0.357,0.143
304,1.267,0.933,3.1,61.867,12.867,4.133,0.316,0.644,18.567,0.533,0.267,0.333,0.133
323,1.438,0.938,2.5,62.0,13.5,4.438,0.321,0.604,18.256,0.5,0.25,0.312,0.125
341,1.412,0.882,0.7,61.588,13.706,4.529,0.323,0.627,18.288,0.529,0.235,0.294,0.118
380,1.444,0.889,3.3,61.056,13.611,4.556,0.328,0.63,18.511,0.556,0.222,0.278,0.167
399,1.421,0.947,3.1,61.579,14.105,4.684,0.327,0.596,18.374,0.526,0.211,0.263,0.211
407,1.45,0.9,0.6,61.75,14.5,4.7,0.322,0.617,18.255,0.5,0.2,0.25,0.2
430,1.429,0.905,2.1,60.476,14.095,4.619,0.33,0.627,17.981,0.476,0.19,0.238,0.238
457,1.5,0.864,0.3,60.136,14.364,4.818,0.336,0.644,17.823,0.455,0.182,0.227,0.227
475,1.478,0.826,2.2,59.913,13.957,4.652,0.33,0.659,18.122,0.522,0.174,0.217,0.217
491,1.542,0.792,2.0,60.708,14.125,4.667,0.328,0.674,18.221,0.542,0.208,0.25,0.208
513,1.6,0.76,0.9,60.72,14.2,4.76,0.332,0.687,18.16,0.6,0.2,0.24,0.2
520,1.615,0.769,1.1,60.269,13.962,4.731,0.339,0.692,18.042,0.577,0.192,0.231,0.192
547,1.63,0.852,0.9,60.37,14.148,4.815,0.34,0.667,18.022,0.556,0.185,0.222,0.222
554,1.571,0.821,2.6,60.464,13.929,4.679,0.332,0.679,17.911,0.536,0.179,0.214,0.214
575,1.621,0.828,0.3,60.379,13.724,4.586,0.329,0.655,17.9,0.552,0.241,0.276,0.207
582,1.567,0.833,0.7,59.833,13.4,4.467,0.327,0.661,17.94,0.533,0.233,0.267,0.2
617,1.548,0.839,0.9,59.71,13.452,4.419,0.322,0.656,18.042,0.548,0.226,0.258,0.194
639,1.531,0.812,2.3,59.656,13.312,4.375,0.323,0.635,18.009,0.562,0.219,0.25,0.188
650,1.606,0.788,1.8,60.03,13.242,4.394,0.327,0.616,18.012,0.545,0.212,0.242,0.182
684,1.647,0.794,4.2,60.206,13.294,4.471,0.331,0.613,17.856,0.559,0.206,0.235,0.206
712,1.771,0.771,1.9,60.486,13.6,4.743,0.338,0.624,17.783,0.543,0.2,0.229,0.2
