ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
202,1.9,1.1,1.2,58.5,13.6,5.2,0.386,0.443,16.18,0.2,0.2,0.3,0.0
235,1.909,1.0,2.2,59.545,14.091,5.455,0.39,0.403,16.227,0.182,0.182,0.273,0.0
256,1.917,0.917,1.1,59.917,14.417,5.417,0.38,0.453,16.058,0.167,0.167,0.25,0.0
274,1.769,0.846,2.4,59.692,14.692,5.462,0.377,0.495,16.508,0.154,0.154,0.231,0.0
291,1.786,0.786,2.1,60.071,14.929,5.643,0.382,0.531,16.771,0.214,0.214,0.286,0.0
317,1.8,1.067,0.7,60.4,15.133,5.733,0.382,0.515,16.727,0.333,0.2,0.267,0.0
332,1.688,1.0,1.7,60.625,14.625,5.625,0.394,0.545,16.737,0.312,0.188,0.25,0.0
350,1.706,0.941,1.8,59.941,14.294,5.588,0.403,0.572,16.6,0.353,0.176,0.235,0.0
364,1.611,0.944,3.1,60.333,14.556,5.5,0.393,0.568,16.511,0.333,0.167,0.222,0.0
386,1.632,0.947,0.7,60.211,14.632,5.474,0.388,0.573,16.368,0.316,0.211,0.263,0.0
418,1.7,0.9,1.3,60.3,14.55,5.5,0.392,0.594,16.6,0.5,0.2,0.25,0.0
431,1.762,0.857,0.2,60.143,14.429,5.429,0.389,0.614,16.886,0.476,0.19,0.238,0.0
444,1.682,0.864,3.3,59.273,14.0,5.182,0.372,0.616,17.386,0.5,0.182,0.227,0.0
462,1.739,0.87,3.1,59.391,14.261,5.348,0.375,0.589,17.187,0.478,0.174,0.217,0.043
483,1.958,0.833,1.8,59.5,14.583,5.625,0.382,0.606,17.296,0.458,0.208,0.25,0.042
509,1.92,0.84,2.7,59.92,15.0,5.56,0.373,0.602,17.244,0.44,0.2,0.24,0.04
532,1.885,0.846,2.5,60.115,15.308,5.538,0.367,0.598,17.227,0.423,0.231,0.269,0.038
544,1.926,0.889,2.9,60.0,15.259,5.481,0.364,0.595,17.33,0.481,0.296,0.333,0.074
561,1.893,0.893,0.7,60.714,15.536,5.643,0.367,0.597,17.236,0.536,0.286,0.321,0.071
570,1.862,0.897,1.2,60.241,15.379,5.621,0.37,0.605,17.11,0.517,0.276,0.31,0.069
594,1.867,0.933,1.2,60.033,15.367,5.633,0.371,0.607,17.14,0.6,0.267,0.3,0.067
655,1.871,0.903,1.1,60.161,15.355,5.677,0.374,0.62,17.1,0.581,0.258,0.29,0.065
670,1.844,0.875,1.3,60.5,15.125,5.594,0.374,0.632,17.078,0.594,0.25,0.281,0.062
698,1.818,0.97,0.7,60.788,15.303,5.667,0.374,0.623,17.17,0.576,0.242,0.273,0.061
708,1.824,1.059,3.0,60.971,15.176,5.559,0.368,0.595,17.132,0.559,0.235,0.265,0.088
726,1.8,1.029,1.7,61.114,15.457,5.514,0.363,0.606,17.186,0.543,0.229,0.286,0.086
750,1.806,1.056,1.6,61.056,15.528,5.5,0.36,0.603,17.214,0.583,0.25,0.306,0.083
759,1.784,1.054,2.2,61.216,15.649,5.541,0.36,0.587,17.289,0.622,0.243,0.297,0.081
779,1.789,1.053,1.6,61.474,15.737,5.605,0.361,0.589,17.279,0.605,0.237,0.289,0.079
795,1.795,1.077,1.8,61.513,15.744,5.538,0.357,0.589,17.277,0.59,0.231,0.282,0.077
