ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
21,3.0,1.0,2.0,48.0,9.0,4.0,0.444,0.667,21.3,0.0,1.0,1.0,0.0
52,3.0,2.0,0.2,61.5,15.5,7.0,0.449,0.333,20.35,0.5,0.5,0.5,0.0
61,2.0,1.333,0.9,57.333,12.333,5.0,0.355,0.556,20.333,0.333,0.333,0.333,0.0
79,2.25,1.0,1.5,58.75,12.75,6.0,0.427,0.417,19.975,0.5,0.25,0.25,0.0
112,2.2,0.8,0.7,61.0,13.0,5.4,0.385,0.533,19.68,0.4,0.2,0.2,0.0
118,1.833,0.833,1.0,62.667,12.5,5.0,0.37,0.556,19.783,0.667,0.167,0.167,0.167
141,1.714,1.0,2.6,61.571,12.571,4.714,0.351,0.548,19.6,0.714,0.143,0.143,0.143
174,1.625,1.25,1.6,61.375,13.25,4.375,0.321,0.542,19.25,0.75,0.125,0.25,0.25
181,1.556,1.111,0.7,62.222,14.111,4.556,0.317,0.593,19.178,0.667,0.111,0.222,0.222
215,1.4,1.2,1.6,62.4,13.6,4.6,0.341,0.6,18.53,0.7,0.1,0.2,0.2
224,1.364,1.091,1.6,62.0,13.727,4.273,0.316,0.636,18.482,0.636,0.182,0.273,0.182
239,1.417,1.083,1.2,62.5,13.25,4.0,0.3,0.639,18.633,0.583,0.25,0.333,0.167
265,1.385,1.077,1.0,63.077,12.846,3.846,0.296,0.59,18.708,0.615,0.308,0.385,0.154
278,1.357,1.0,1.0,61.857,12.714,3.857,0.301,0.619,18.636,0.571,0.286,0.357,0.143
304,1.267,0.933,3.1,61.867,12.867,4.133,0.316,0.644,18.567,0.533,0.267,0.333,0.133
323,1.438,0.938,2.5,62.0,13.5,4.438,0.321,0.604,18.256,0.5,0.25,0.312,0.125
341,1.412,0.882,0.7,61.588,13.706,4.529,0.323,0.627,18.288,0.529,0.235,0.294,0.118
380,1.444,0.889,3.3,61.056,13.611,4.556,0.328,0.63,18.511,0.556,0.222,0.278,0.167
407,2.0,0.0,0.6,65.0,22.0,5.0,0.227,1.0,16.0,0.0,0.0,0.0,0.0
430,1.5,0.5,2.1,50.0,14.0,4.0,0.364,0.917,14.25,0.0,0.0,0.0,0.5
457,2.0,0.333,0.3,51.0,16.0,5.667,0.392,0.944,14.333,0.0,0.0,0.0,0.333
475,1.75,0.25,2.2,52.0,13.25,4.5,0.344,0.958,16.925,0.5,0.0,0.0,0.25
491,2.0,0.2,2.0,57.4,14.2,4.6,0.331,0.967,17.64,0.6,0.2,0.2,0.2
513,2.167,0.167,0.9,58.0,14.5,5.0,0.349,0.972,17.483,0.833,0.167,0.167,0.167
520,2.143,0.286,1.1,56.714,13.571,4.857,0.37,0.952,17.143,0.714,0.143,0.143,0.143
547,2.125,0.625,0.9,57.5,14.25,5.125,0.37,0.833,17.188,0.625,0.125,0.125,0.25
554,1.889,0.556,2.6,58.111,13.556,4.667,0.343,0.852,16.933,0.556,0.111,0.111,0.222
575,2.0,0.6,0.3,58.1,13.0,4.4,0.334,0.767,17.0,0.6,0.3,0.3,0.2
582,1.818,0.636,0.7,56.818,12.182,4.091,0.326,0.773,17.191,0.545,0.273,0.273,0.182
617,1.75,0.667,0.9,56.75,12.417,4.0,0.315,0.75,17.517,0.583,0.25,0.25,0.167
639,1.692,0.615,2.3,56.846,12.154,3.923,0.317,0.692,17.477,0.615,0.231,0.231,0.154
650,1.857,0.571,1.8,57.929,12.071,4.0,0.327,0.643,17.521,0.571,0.214,0.214,0.143
684,1.933,0.6,4.2,58.467,12.267,4.2,0.336,0.633,17.2,0.6,0.2,0.2,0.2
712,2.188,0.562,1.9,59.188,13.0,4.812,0.351,0.656,17.081,0.562,0.188,0.188,0.188
720,2.118,0.588,0.8,59.471,13.471,4.882,0.348,0.657,17.1,0.529,0.176,0.176,0.176
734,2.0,0.611,1.3,60.444,13.667,4.889,0.345,0.662,17.144,0.5,0.167,0.167,0.167
788,1.0,0.0,0.9,62.0,14.0,5.0,0.357,1.0,16.1,1.0,1.0,1.0,0.0
803,0.5,1.5,1.1,61.5,14.0,4.0,0.286,0.75,17.95,0.5,0.5,0.5,0.0
831,0.667,1.667,1.1,63.333,12.667,4.0,0.324,0.7,16.8,0.333,0.333,0.333,0.0
856,1.0,1.5,0.9,63.5,12.75,3.75,0.301,0.692,16.3,0.25,0.25,0.25,0.0
860,1.2,1.2,0.9,62.4,11.8,3.8,0.34,0.753,16.64,0.4,0.2,0.2,0.0
878,1.0,1.0,1.4,63.0,12.167,4.0,0.343,0.794,17.433,0.333,0.167,0.167,0.0
903,1.0,1.429,0.3,62.429,12.571,4.429,0.361,0.742,17.557,0.286,0.143,0.143,0.0
926,0.875,1.375,0.9,61.0,11.625,4.125,0.366,0.733,17.112,0.25,0.125,0.125,0.0
937,0.889,1.333,2.1,62.111,11.111,3.889,0.357,0.74,16.5,0.222,0.111,0.111,0.0
950,0.9,1.4,1.6,61.1,12.0,4.5,0.371,0.7,16.51,0.3,0.1,0.1,0.0
971,0.818,1.273,1.1,60.273,11.909,4.273,0.354,0.727,16.264,0.273,0.091,0.091,0.0
999,0.833,1.25,0.4,61.167,11.917,4.25,0.352,0.708,16.408,0.417,0.083,0.083,0.0
1013,0.769,1.308,1.6,61.0,11.769,4.077,0.341,0.679,16.977,0.385,0.077,0.077,0.0
1052,0.929,1.286,1.1,60.357,11.786,4.214,0.352,0.69,16.843,0.357,0.071,0.071,0.0
1094,0.867,1.267,0.8,60.467,11.867,4.0,0.334,0.694,16.833,0.333,0.067,0.067,0.0
1100,0.875,1.375,1.3,59.5,11.562,4.0,0.348,0.692,16.856,0.312,0.062,0.062,0.0
1127,1.0,1.353,1.2,59.824,11.529,4.059,0.355,0.696,16.859,0.294,0.059,0.059,0.0
1130,0.944,1.333,1.9,58.5,11.611,4.167,0.361,0.685,16.794,0.333,0.056,0.056,0.0
1187,1.0,3.0,1.8,75.0,16.0,3.0,0.188,0.4,17.1,0.0,0.0,1.0,1.0
1209,0.5,1.5,1.7,69.5,15.0,4.5,0.308,0.7,16.05,0.5,0.0,0.5,0.5
1215,1.0,1.0,1.9,61.0,13.667,4.333,0.327,0.8,17.3,0.667,0.0,0.333,0.333
1250,1.75,1.0,4.1,61.25,12.25,4.25,0.37,0.767,17.5,0.5,0.25,0.5,0.25
