ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
15,3.0,1.0,0.9,48.0,9.0,4.0,0.444,0.667,21.3,0.0,1.0,1.0,0.0
21,1.5,1.5,2.0,43.5,6.5,3.0,0.472,0.633,22.0,0.0,0.5,1.0,0.0
29,2.0,2.0,2.7,54.0,11.667,5.333,0.466,0.422,21.133,0.333,0.333,0.667,0.0
40,2.5,1.5,1.8,58.0,12.5,5.0,0.416,0.317,20.15,0.25,0.75,1.0,0.0
52,2.6,1.8,0.2,57.0,12.2,5.0,0.424,0.353,18.38,0.2,0.6,0.8,0.0
61,2.167,1.5,0.9,55.667,11.167,4.333,0.381,0.461,18.7,0.167,0.5,0.667,0.0
73,2.286,1.286,2.2,56.714,11.571,5.0,0.419,0.395,18.729,0.286,0.429,0.571,0.0
79,2.5,1.25,1.5,58.25,12.625,5.5,0.422,0.429,18.513,0.375,0.375,0.5,0.0
95,2.444,1.111,0.8,59.556,12.778,5.222,0.399,0.493,18.511,0.333,0.333,0.444,0.0
102,2.2,1.0,4.1,59.6,12.8,5.0,0.382,0.543,18.39,0.3,0.3,0.4,0.0
112,2.273,1.0,0.7,58.364,13.727,5.455,0.387,0.555,17.773,0.273,0.273,0.364,0.0
118,2.083,1.0,1.0,59.417,13.417,5.25,0.38,0.564,17.983,0.417,0.25,0.333,0.083
137,2.0,1.077,2.0,59.077,13.385,5.077,0.368,0.559,18.023,0.462,0.231,0.308,0.077
141,2.071,1.0,2.6,58.643,13.214,5.214,0.388,0.519,17.743,0.429,0.214,0.286,0.071
149,2.0,1.133,1.7,58.733,13.533,5.0,0.369,0.518,17.68,0.467,0.2,0.333,0.133
163,1.938,1.125,0.8,59.0,13.688,5.0,0.366,0.517,17.644,0.438,0.188,0.312,0.125
174,1.882,1.235,1.6,58.706,13.412,4.824,0.357,0.516,17.606,0.471,0.176,0.294,0.118
181,1.833,1.167,0.7,59.278,13.833,4.889,0.353,0.543,17.661,0.444,0.167,0.278,0.111
190,1.737,1.211,0.7,59.526,13.579,4.895,0.364,0.549,17.4,0.474,0.158,0.263,0.105
202,1.65,1.15,1.2,60.45,13.6,4.9,0.364,0.522,17.355,0.45,0.15,0.25,0.1
215,1.667,1.095,1.6,60.905,13.857,5.048,0.366,0.497,17.324,0.429,0.143,0.238,0.095
224,1.636,1.045,1.6,60.773,13.909,4.864,0.353,0.52,17.355,0.409,0.182,0.273,0.091
235,1.652,1.043,2.2,61.087,13.652,4.696,0.343,0.526,17.483,0.391,0.217,0.304,0.087
239,1.667,1.0,1.2,61.208,13.833,4.708,0.34,0.546,17.346,0.375,0.208,0.292,0.083
256,1.64,1.0,1.1,61.56,13.6,4.6,0.336,0.524,17.436,0.4,0.24,0.32,0.08
265,1.577,0.962,1.0,61.385,13.769,4.654,0.336,0.542,17.608,0.385,0.231,0.308,0.077
274,1.556,0.926,2.4,60.815,13.667,4.63,0.337,0.559,17.611,0.37,0.222,0.296,0.074
278,1.571,0.893,1.0,60.964,13.821,4.75,0.341,0.575,17.704,0.393,0.25,0.321,0.071
291,1.517,0.862,2.1,61.0,13.862,4.862,0.348,0.59,17.7,0.379,0.241,0.31,0.069
304,1.533,1.0,3.1,61.133,14.0,4.933,0.349,0.58,17.647,0.433,0.233,0.3,0.067
317,1.613,1.0,0.7,61.226,14.29,5.065,0.351,0.561,17.516,0.419,0.226,0.29,0.065
323,1.562,0.969,2.5,61.312,14.062,5.031,0.357,0.575,17.497,0.406,0.219,0.281,0.062
332,1.545,0.939,1.7,61.121,14.152,5.061,0.357,0.587,17.536,0.424,0.212,0.273,0.061
