ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
29,0.0,2.0,2.7,39.0,4.0,2.0,0.5,0.6,22.7,0.0,0.0,1.0,0.0
40,2.0,1.0,1.8,54.5,9.5,3.0,0.383,0.3,19.95,0.0,1.0,1.5,0.0
73,2.333,1.667,2.2,54.0,10.0,3.667,0.407,0.367,17.067,0.0,0.667,1.0,0.0
95,2.75,1.5,0.8,57.75,12.5,5.0,0.418,0.442,17.05,0.25,0.5,0.75,0.0
102,2.2,1.2,4.1,58.2,12.6,4.6,0.38,0.553,17.1,0.2,0.4,0.6,0.0
137,2.333,1.167,2.0,56.167,14.333,5.5,0.389,0.572,16.183,0.167,0.333,0.5,0.0
149,2.429,1.0,1.7,55.714,13.857,5.714,0.425,0.49,15.886,0.143,0.286,0.429,0.0
163,2.25,1.0,0.8,56.625,14.125,5.625,0.411,0.492,16.037,0.125,0.25,0.375,0.0
190,2.111,1.222,0.7,56.333,13.556,5.222,0.39,0.493,16.144,0.222,0.222,0.333,0.0
202,1.9,1.1,1.2,58.5,13.6,5.2,0.386,0.443,16.18,0.2,0.2,0.3,0.0
235,1.909,1.0,2.2,59.545,14.091,5.455,0.39,0.403,16.227,0.182,0.182,0.273,0.0
256,1.917,0.917,1.1,59.917,14.417,5.417,0.38,0.453,16.058,0.167,0.167,0.25,0.0
274,1.769,0.846,2.4,59.692,14.692,5.462,0.377,0.495,16.508,0.154,0.154,0.231,0.0
291,1.786,0.786,2.1,60.071,14.929,5.643,0.382,0.531,16.771,0.214,0.214,0.286,0.0
317,1.8,1.067,0.7,60.4,15.133,5.733,0.382,0.515,16.727,0.333,0.2,0.267,0.0
332,1.688,1.0,1.7,60.625,14.625,5.625,0.394,0.545,16.737,0.312,0.188,0.25,0.0
350,1.706,0.941,1.8,59.941,14.294,5.588,0.403,0.572,16.6,0.353,0.176,0.235,0.0
364,1.611,0.944,3.1,60.333,14.556,5.5,0.393,0.568,16.511,0.333,0.167,0.222,0.0
418,3.0,0.0,1.3,62.0,13.0,6.0,0.462,1.0,21.0,4.0,0.0,0.0,0.0
431,3.0,0.0,0.2,59.5,12.5,5.0,0.397,1.0,21.8,2.0,0.0,0.0,0.0
444,2.0,0.333,3.3,53.333,10.0,3.333,0.265,0.889,23.833,1.667,0.0,0.0,0.0
462,2.25,0.5,3.1,55.5,12.5,4.75,0.311,0.667,21.075,1.25,0.0,0.0,0.25
483,3.2,0.4,1.8,56.8,14.4,6.2,0.358,0.733,20.82,1.0,0.2,0.2,0.2
509,2.833,0.5,2.7,59.0,16.167,5.833,0.325,0.694,20.017,0.833,0.167,0.167,0.167
532,2.571,0.571,2.5,59.857,17.143,5.714,0.31,0.667,19.557,0.714,0.286,0.286,0.143
544,2.625,0.75,2.9,59.5,16.75,5.5,0.307,0.646,19.612,0.875,0.5,0.5,0.25
561,2.444,0.778,0.7,61.778,17.444,6.0,0.321,0.648,19.067,1.0,0.444,0.444,0.222
570,2.3,0.8,1.2,60.3,16.8,5.9,0.334,0.667,18.52,0.9,0.4,0.4,0.2
594,2.273,0.909,1.2,59.727,16.636,5.909,0.34,0.667,18.473,1.091,0.364,0.364,0.182
655,2.25,0.833,1.1,60.083,16.5,6.0,0.351,0.694,18.258,1.0,0.333,0.333,0.167
670,2.154,0.769,1.3,60.923,15.846,5.769,0.353,0.718,18.115,1.0,0.308,0.308,0.154
698,2.071,1.0,0.7,61.571,16.214,5.929,0.355,0.69,18.257,0.929,0.286,0.286,0.143
708,2.067,1.2,3.0,61.933,15.867,5.667,0.343,0.622,18.1,0.867,0.267,0.267,0.2
726,2.0,1.125,1.7,62.188,16.438,5.562,0.332,0.646,18.156,0.812,0.25,0.312,0.188
750,2.0,1.176,1.6,62.0,16.529,5.529,0.329,0.637,18.159,0.882,0.294,0.353,0.176
759,1.944,1.167,2.2,62.278,16.722,5.611,0.33,0.602,18.261,0.944,0.278,0.333,0.167
795,2.0,2.0,1.8,63.0,16.0,3.0,0.188,0.6,17.2,0.0,0.0,0.0,0.0
812,2.0,1.5,0.9,54.0,11.5,3.5,0.379,0.7,15.9,0.0,0.0,0.0,0.0
841,2.0,1.333,1.9,58.333,10.333,3.333,0.378,0.689,16.333,0.0,0.0,0.0,0.0
870,2.25,1.0,1.1,58.0,12.75,4.25,0.371,0.767,15.925,0.0,0.0,0.0,0.0
892,2.0,1.0,0.3,56.0,11.2,3.6,0.337,0.78,16.68,0.0,0.2,0.2,0.0
914,1.667,1.0,1.8,54.167,10.167,3.167,0.314,0.733,16.567,0.0,0.167,0.167,0.0
936,1.714,0.857,0.4,55.0,10.857,3.429,0.317,0.771,16.443,0.0,0.143,0.143,0.0
945,1.5,0.875,1.5,54.125,10.5,3.25,0.308,0.758,16.538,0.0,0.125,0.125,0.0
960,1.444,0.778,1.3,54.889,11.0,3.444,0.311,0.785,16.344,0.0,0.111,0.111,0.0
985,1.3,0.7,1.6,56.0,11.1,3.3,0.297,0.807,16.41,0.0,0.1,0.1,0.0
1005,1.182,0.727,1.5,56.545,11.636,3.364,0.291,0.802,16.464,0.091,0.091,0.091,0.0
1029,1.167,0.667,2.3,56.583,11.75,3.333,0.286,0.818,16.408,0.167,0.083,0.083,0.0
1037,1.231,0.769,2.1,57.462,12.308,3.538,0.288,0.781,16.462,0.154,0.154,0.154,0.0
1044,1.143,0.857,2.2,58.286,13.357,3.786,0.286,0.725,16.45,0.143,0.143,0.143,0.0
1062,1.067,0.8,0.5,57.667,13.267,3.667,0.278,0.743,16.427,0.133,0.133,0.133,0.0
1079,1.062,0.875,1.3,56.75,12.938,3.562,0.277,0.747,16.581,0.125,0.125,0.125,0.0
1111,1.0,0.941,1.2,57.588,13.059,3.588,0.276,0.644,16.576,0.118,0.118,0.118,0.0
1135,1.056,1.0,2.2,58.556,13.111,3.722,0.284,0.608,16.622,0.167,0.111,0.111,0.0
1160,1.0,1.0,2.2,65.0,10.0,4.0,0.4,0.0,13.2,1.0,0.0,0.0,0.0
1175,2.0,0.5,2.3,66.0,14.5,6.0,0.411,0.5,13.7,1.0,0.0,0.0,0.0
1196,1.333,0.667,1.3,69.0,16.667,4.667,0.305,0.556,15.033,1.333,0.0,0.0,0.0
1227,1.0,0.75,1.3,65.0,15.0,4.5,0.329,0.631,15.725,1.0,0.0,0.0,0.0
1232,1.2,1.0,1.9,60.8,14.0,4.4,0.343,0.571,16.66,0.8,0.2,0.2,0.0
1260,1.0,1.167,2.9,62.0,14.5,4.0,0.306,0.576,16.567,0.833,0.167,0.167,0.0
1276,1.429,1.571,2.1,59.571,14.714,4.571,0.333,0.573,16.929,0.857,0.286,0.286,0.143
1302,1.625,1.625,3.1,56.125,13.75,4.375,0.345,0.599,17.262,0.75,0.375,0.375,0.125
1325,1.667,1.444,2.6,58.556,13.889,4.556,0.351,0.643,17.256,0.778,0.333,0.333,0.111
1340,1.7,1.4,2.2,59.0,13.3,4.3,0.341,0.659,17.06,0.7,0.4,0.4,0.1
1366,1.636,1.273,1.7,58.636,13.545,4.091,0.322,0.69,17.1,0.636,0.455,0.455,0.091
1418,1.667,1.5,1.6,59.083,13.667,4.083,0.317,0.66,16.883,0.583,0.417,0.417,0.167
1426,1.769,1.538,4.2,57.923,13.538,4.308,0.338,0.635,17.1,0.538,0.385,0.385,0.154
1443,1.786,1.571,3.0,58.714,14.857,4.857,0.34,0.637,17.15,0.5,0.429,0.429,0.143
1463,1.933,1.667,3.1,58.6,15.6,5.067,0.338,0.622,17.273,0.533,0.533,0.533,0.133
1487,2.188,1.562,2.2,58.562,15.438,5.312,0.36,0.645,17.369,0.5,0.562,0.562,0.125
1494,2.176,1.471,4.1,57.294,15.471,5.235,0.354,0.666,17.294,0.588,0.529,0.529,0.118
1512,2.333,1.389,1.1,57.944,16.0,5.722,0.365,0.685,17.206,0.611,0.5,0.5,0.111
1548,0.0,2.0,2.4,48.0,10.0,3.0,0.3,0.6,17.1,0.0,0.0,0.0,0.0
1574,0.5,1.5,4.2,55.0,11.5,5.0,0.419,0.633,16.5,0.5,0.0,0.0,0.0
1588,1.667,1.667,2.3,50.333,12.333,5.0,0.399,0.622,16.233,0.667,0.333,0.333,0.0
1609,1.5,1.5,1.6,54.0,14.75,5.75,0.39,0.689,16.475,0.5,0.25,0.25,0.0
1630,1.6,1.4,1.5,53.2,15.2,6.0,0.394,0.651,16.52,0.4,0.2,0.2,0.0
1649,1.5,1.333,1.6,52.5,15.5,5.5,0.358,0.654,17.233,0.833,0.167,0.167,0.0
1678,1.714,1.143,2.2,54.143,15.714,5.857,0.374,0.703,17.029,0.714,0.143,0.143,0.0
1694,1.75,1.125,1.1,55.125,17.0,6.125,0.366,0.709,16.925,0.625,0.125,0.125,0.0
1722,1.667,1.222,2.5,54.222,16.444,6.333,0.399,0.71,17.122,0.667,0.111,0.111,0.0
1739,1.7,1.3,3.1,54.5,17.4,6.7,0.398,0.639,17.07,0.8,0.1,0.1,0.1
1759,1.818,1.273,1.6,55.273,17.545,6.636,0.39,0.649,16.791,0.727,0.091,0.091,0.091
1785,1.833,1.25,2.4,56.333,17.917,6.333,0.369,0.661,16.808,0.75,0.083,0.083,0.083
1799,2.0,1.154,1.7,56.615,18.0,6.615,0.381,0.687,16.715,0.769,0.077,0.077,0.077
1819,1.929,1.071,1.0,56.571,18.071,6.571,0.377,0.71,16.95,0.714,0.071,0.143,0.071
1837,1.867,1.0,2.2,56.2,17.6,6.467,0.382,0.729,16.973,0.667,0.067,0.133,0.067
1853,1.875,1.062,0.8,57.25,18.625,6.625,0.374,0.715,17.038,0.625,0.062,0.125,0.062
1869,1.824,1.0,3.1,57.118,18.118,6.647,0.394,0.732,17.112,0.588,0.059,0.118,0.059
1882,1.889,1.0,0.8,55.944,18.0,6.556,0.389,0.719,16.956,0.556,0.111,0.167,0.056
