ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
215,1.4,1.2,1.6,62.4,13.6,4.6,0.341,0.6,18.53,0.7,0.1,0.2,0.2
224,1.2,1.1,1.6,63.4,14.2,4.3,0.303,0.633,18.2,0.7,0.1,0.2,0.2
239,1.1,0.9,1.2,62.7,12.8,3.4,0.27,0.7,18.29,0.6,0.2,0.3,0.2
265,1.2,1.0,1.0,64.8,13.0,3.5,0.278,0.6,18.22,0.7,0.3,0.4,0.2
278,1.0,1.0,1.0,63.1,12.7,3.0,0.25,0.7,18.1,0.6,0.3,0.4,0.2
304,0.8,1.0,3.1,62.3,12.8,3.5,0.282,0.7,18.01,0.6,0.3,0.4,0.2
323,1.2,1.0,2.5,61.6,14.1,4.1,0.291,0.633,17.34,0.4,0.3,0.4,0.1
341,1.2,0.8,0.7,61.6,14.5,4.4,0.304,0.683,17.37,0.4,0.3,0.4,0.1
380,1.3,0.6,3.3,60.8,13.9,4.7,0.334,0.7,17.92,0.4,0.3,0.3,0.1
399,1.3,0.8,3.1,61.0,14.1,4.8,0.336,0.6,17.65,0.4,0.3,0.3,0.2
407,1.5,0.6,0.6,61.1,15.4,4.8,0.303,0.633,17.98,0.3,0.3,0.3,0.2
430,1.5,0.7,2.1,58.8,14.5,5.0,0.346,0.617,17.43,0.3,0.2,0.2,0.3
457,1.6,0.6,0.3,57.3,15.7,5.8,0.379,0.65,16.85,0.3,0.1,0.1,0.3
475,1.6,0.5,2.2,55.8,15.4,5.7,0.374,0.75,17.36,0.4,0.0,0.0,0.3
491,1.8,0.5,2.0,59.1,16.1,5.8,0.365,0.75,17.64,0.5,0.1,0.1,0.3
513,2.1,0.5,0.9,59.0,16.2,5.7,0.356,0.75,17.55,0.7,0.1,0.1,0.3
520,1.9,0.5,1.1,57.5,14.7,5.2,0.367,0.833,17.7,0.7,0.1,0.1,0.3
547,2.0,0.8,0.9,58.3,14.9,5.3,0.368,0.733,17.57,0.6,0.1,0.1,0.4
554,1.8,0.7,2.6,59.4,14.5,4.9,0.339,0.767,16.83,0.5,0.1,0.1,0.3
575,2.0,0.6,0.3,58.1,13.0,4.4,0.334,0.767,17.0,0.6,0.3,0.3,0.2
582,1.8,0.7,0.7,56.0,11.2,4.0,0.336,0.75,17.31,0.6,0.3,0.3,0.2
617,1.8,0.7,0.9,58.1,12.1,4.0,0.306,0.717,18.17,0.7,0.3,0.3,0.1
639,1.6,0.7,2.3,58.6,11.0,3.4,0.294,0.617,18.42,0.8,0.3,0.3,0.1
650,1.9,0.7,1.8,60.3,11.6,3.8,0.32,0.517,17.76,0.6,0.3,0.3,0.1
684,1.9,0.8,4.2,59.0,11.3,4.0,0.339,0.467,16.98,0.6,0.2,0.2,0.2
712,2.2,0.8,1.9,59.9,12.1,4.7,0.353,0.467,16.84,0.4,0.2,0.2,0.2
720,2.1,0.8,0.8,61.4,13.4,4.9,0.332,0.45,17.07,0.4,0.2,0.2,0.2
734,1.9,0.6,1.3,62.8,13.2,4.7,0.324,0.525,17.11,0.4,0.2,0.2,0.1
767,2.2,0.6,1.5,63.2,14.1,4.9,0.329,0.425,17.31,0.4,0.2,0.2,0.1
788,2.0,0.5,0.9,63.6,14.7,5.2,0.34,0.525,17.16,0.4,0.1,0.1,0.1
803,2.0,0.7,1.1,65.3,15.7,5.4,0.337,0.492,17.23,0.4,0.1,0.1,0.1
831,2.0,0.8,1.1,66.4,15.2,5.5,0.357,0.502,16.57,0.3,0.1,0.1,0.1
856,2.1,0.9,0.9,67.0,15.6,5.5,0.346,0.568,16.35,0.2,0.1,0.1,0.1
