ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
102,2.2,1.0,4.1,59.6,12.8,5.0,18.39,0.3,0.3,0.4
112,2.2,1.0,0.7,59.4,14.2,5.6,17.42,0.3,0.2,0.3
118,2.2,0.9,1.0,62.6,14.8,5.7,17.18,0.5,0.2,0.2
137,2.0,0.8,2.0,60.6,13.9,5.0,17.09,0.5,0.2,0.2
141,1.9,0.8,2.6,58.9,13.5,5.3,16.78,0.5,0.0,0.0
149,1.7,0.8,1.7,59.6,14.2,5.0,17.33,0.6,0.0,0.1
163,1.8,0.9,0.8,61.0,15.2,5.4,17.01,0.6,0.0,0.1
174,1.6,1.2,1.6,60.1,14.7,4.7,16.82,0.6,0.0,0.1
181,1.3,1.1,0.7,60.1,14.8,4.4,16.98,0.5,0.0,0.1
190,1.1,1.3,0.7,59.5,14.3,4.6,16.4,0.6,0.0,0.1
202,1.1,1.3,1.2,61.3,14.4,4.8,16.32,0.6,0.0,0.1
215,1.0,1.2,1.6,63.7,14.0,4.6,16.83,0.6,0.0,0.1
224,1.1,1.1,1.6,62.4,14.5,4.4,16.6,0.4,0.1,0.2
235,1.2,1.0,2.2,63.7,14.0,4.2,16.78,0.3,0.2,0.3
239,1.1,1.0,1.2,64.8,14.7,4.0,16.79,0.3,0.2,0.3
256,1.1,0.8,1.1,65.8,13.7,4.0,17.07,0.3,0.3,0.3
265,1.0,0.7,1.0,65.2,13.9,4.1,17.55,0.3,0.3,0.3
274,1.0,0.4,2.4,64.4,14.1,4.3,17.62,0.2,0.3,0.3
278,1.1,0.4,1.0,64.0,13.8,4.5,17.78,0.3,0.4,0.4
291,1.1,0.2,2.1,63.8,14.4,4.8,18.27,0.2,0.4,0.4
304,1.3,0.7,3.1,62.5,14.8,5.0,18.23,0.4,0.4,0.4
317,1.5,0.8,0.7,61.9,15.2,5.1,17.92,0.4,0.4,0.4
323,1.4,0.8,2.5,62.5,14.4,5.4,17.81,0.4,0.3,0.3
332,1.3,0.7,1.7,61.2,15.3,5.9,17.66,0.5,0.2,0.2
341,1.3,0.7,0.7,59.7,14.4,5.9,17.68,0.6,0.2,0.2
350,1.4,0.7,1.8,57.9,14.8,6.2,17.95,0.6,0.1,0.1
364,1.4,0.8,3.1,58.9,14.9,6.0,17.26,0.6,0.1,0.1
380,1.5,0.9,3.3,60.1,15.4,6.1,16.87,0.6,0.2,0.2
386,1.4,1.1,0.7,60.7,15.9,6.0,16.44,0.5,0.1,0.1
399,1.7,1.1,3.1,60.7,15.7,5.8,16.78,0.9,0.1,0.1
407,1.7,0.6,0.6,60.7,16.1,5.6,16.77,0.7,0.1,0.1
418,1.4,0.6,1.3,57.8,14.4,5.0,16.66,0.7,0.1,0.1
430,1.7,0.6,2.1,57.1,14.9,5.0,17.23,0.7,0.1,0.1
431,1.9,0.6,0.2,56.9,15.2,5.3,16.8,0.6,0.1,0.1
444,1.7,0.7,3.3,56.1,14.8,4.8,18.15,0.6,0.1,0.1
457,1.8,0.7,0.3,57.1,15.6,5.2,17.2,0.5,0.1,0.1
462,1.9,0.6,3.1,55.9,14.2,4.9,18.17,0.7,0.1,0.1
475,2.4,0.5,2.2,56.3,14.8,5.6,18.77,0.7,0.1,0.1
483,2.6,0.3,1.8,57.1,14.3,5.4,19.23,0.8,0.2,0.2
491,2.4,0.4,2.0,57.9,15.5,5.2,18.73,0.4,0.2,0.2
509,2.5,0.4,2.7,57.5,14.9,5.4,18.8,0.6,0.2,0.2
513,2.5,0.4,0.9,60.5,16.6,5.6,19.23,0.6,0.3,0.3
520,2.4,0.5,1.1,59.7,16.2,5.6,18.48,0.6,0.3,0.3
532,2.3,0.8,2.5,60.7,16.1,5.4,18.78,0.6,0.3,0.3
544,2.6,0.9,2.9,62.3,17.0,5.8,17.99,0.7,0.5,0.5
547,2.4,0.9,0.9,64.1,17.3,5.9,18.18,0.9,0.5,0.5
554,2.3,0.9,2.6,64.9,17.6,5.9,17.2,0.7,0.5,0.5
561,1.9,1.0,0.7,64.5,16.2,4.9,16.98,0.8,0.6,0.6
570,1.7,1.1,1.2,61.3,15.5,4.9,16.29,0.7,0.5,0.5
575,1.8,1.2,0.3,59.7,14.5,5.1,16.49,1.0,0.5,0.5
582,1.5,1.3,0.7,58.0,13.3,4.5,16.73,0.8,0.5,0.5
594,1.5,1.3,1.2,57.1,12.5,4.3,17.16,0.9,0.4,0.4
617,1.5,1.2,0.9,58.6,13.2,4.6,17.24,0.9,0.4,0.4
639,1.4,0.9,2.3,58.1,12.2,4.2,17.19,1.0,0.4,0.4
650,1.5,0.7,1.8,59.6,11.9,4.3,17.0,0.8,0.2,0.2
655,1.7,0.7,1.1,58.2,11.1,4.0,16.8,0.7,0.2,0.2
670,1.8,0.7,1.3,59.0,11.1,4.2,16.95,0.8,0.2,0.2
684,1.6,1.0,4.2,60.2,12.4,4.8,17.2,0.7,0.0,0.0
698,2.1,0.9,0.7,62.5,13.7,5.7,17.37,0.7,0.0,0.0
708,2.1,1.1,3.0,63.8,13.3,5.3,17.16,0.4,0.0,0.0
712,2.2,1.0,1.9,66.0,15.4,5.6,17.15,0.4,0.0,0.1
720,2.2,1.0,0.8,66.8,16.0,5.9,16.78,0.3,0.0,0.1
726,2.0,1.1,1.7,68.1,16.2,5.7,16.98,0.3,0.0,0.1
734,2.1,1.3,1.3,68.2,17.1,5.9,17.1,0.4,0.1,0.2
750,2.0,1.3,1.6,67.7,17.7,5.7,16.98,0.4,0.1,0.2
759,1.8,1.3,2.2,67.8,18.2,5.7,17.71,0.5,0.1,0.2
767,1.9,1.4,1.5,67.8,19.3,6.2,17.76,0.4,0.1,0.2
779,1.9,1.0,1.6,67.0,18.6,5.9,17.36,0.5,0.2,0.3
788,1.5,1.2,0.9,66.3,17.8,4.8,17.55,0.5,0.2,0.3
795,1.3,1.1,1.8,65.7,18.1,4.9,17.94,0.5,0.2,0.3
803,1.4,1.2,1.1,63.6,16.3,4.9,17.5,0.5,0.2,0.2
812,1.4,1.3,0.9,63.9,15.2,4.7,17.21,0.5,0.2,0.2
831,1.6,1.3,1.1,62.9,14.3,4.5,17.14,0.5,0.2,0.2
841,1.6,1.2,1.9,63.4,13.8,4.3,16.8,0.3,0.1,0.1
856,1.6,1.2,0.9,62.4,14.1,4.7,16.58,0.3,0.1,0.1
860,1.7,1.1,0.9,61.5,12.9,4.4,16.38,0.2,0.1,0.1
870,1.5,1.0,1.1,61.0,12.4,4.1,16.83,0.2,0.1,0.1
878,1.5,1.1,1.4,59.6,11.5,3.7,17.19,0.1,0.1,0.1
892,1.4,1.3,0.3,59.2,11.4,4.1,17.3,0.1,0.1,0.1
903,1.4,1.1,0.3,57.6,10.5,3.9,16.92,0.1,0.1,0.1
914,1.2,1.1,1.8,58.2,10.3,3.7,16.86,0.1,0.1,0.1
926,1.3,0.9,0.9,57.5,10.8,3.8,16.98,0.1,0.1,0.1
936,1.2,0.9,0.4,57.9,10.7,3.7,16.42,0.1,0.1,0.1
937,1.0,0.9,2.1,56.3,10.2,3.6,16.66,0.1,0.1,0.1
945,0.8,1.1,1.5,55.8,10.2,3.9,16.85,0.2,0.1,0.1
950,0.7,1.1,1.6,56.1,10.9,4.0,16.53,0.1,0.1,0.1
960,0.7,1.1,1.3,54.7,10.6,3.7,15.77,0.1,0.1,0.1
971,0.6,1.0,1.1,56.5,11.3,3.8,15.5,0.1,0.0,0.0
985,0.6,0.7,1.6,57.7,11.0,3.5,15.47,0.3,0.0,0.0
999,0.6,0.7,0.4,59.4,12.2,3.8,15.57,0.4,0.0,0.0
1005,0.6,0.8,1.5,60.2,12.7,3.8,16.55,0.4,0.0,0.0
1013,0.5,0.8,1.6,59.9,12.5,3.6,16.56,0.5,0.0,0.0
1029,0.7,0.8,2.3,58.0,13.0,4.0,16.91,0.5,0.0,0.0
1037,0.9,0.9,2.1,60.0,14.1,4.4,16.9,0.5,0.1,0.1
1044,0.8,0.9,2.2,61.7,14.8,4.1,16.87,0.4,0.1,0.1
1052,0.7,0.9,1.1,60.5,14.5,3.8,17.0,0.4,0.1,0.1
1062,0.7,1.0,0.5,61.5,14.7,3.7,17.29,0.4,0.1,0.1
1079,0.8,1.2,1.3,59.2,14.3,3.7,17.48,0.4,0.1,0.1
1094,0.7,1.3,0.8,59.2,14.6,3.7,17.33,0.2,0.1,0.1
1100,0.8,1.5,1.3,57.5,13.6,3.7,17.35,0.1,0.1,0.1
1111,1.1,1.4,1.2,58.1,13.7,4.0,16.66,0.1,0.1,0.1
1127,1.2,1.6,1.2,59.9,13.8,4.3,16.82,0.1,0.1,0.1
