ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
208,1.1,1.8,0.7,42.1,11.0,3.7,0.275,0.602,18.76,0.6,0.1,0.1,0.2
225,1.182,1.727,0.4,41.818,10.545,3.636,0.295,0.62,18.745,0.545,0.091,0.091,0.182
247,1.083,1.75,0.2,41.083,10.333,3.583,0.302,0.628,18.792,0.5,0.083,0.083,0.167
273,1.154,1.692,0.5,39.923,9.769,3.462,0.33,0.641,18.5,0.462,0.077,0.077,0.154
299,1.143,1.857,0.7,39.714,9.429,3.286,0.321,0.609,18.243,0.429,0.071,0.071,0.143
328,1.133,1.8,0.7,40.533,9.667,3.467,0.33,0.626,18.367,0.4,0.067,0.067,0.133
340,1.125,1.812,2.0,40.125,9.312,3.375,0.341,0.624,18.131,0.375,0.062,0.062,0.125
349,1.176,1.706,1.5,40.706,10.0,3.647,0.343,0.588,18.012,0.412,0.059,0.059,0.118
373,1.167,1.778,0.6,40.556,10.0,3.611,0.341,0.583,18.061,0.444,0.056,0.111,0.111
386,1.105,1.789,0.2,40.053,9.737,3.632,0.365,0.584,18.132,0.474,0.053,0.105,0.105
406,1.05,1.85,1.1,39.95,9.45,3.5,0.359,0.579,17.765,0.45,0.05,0.1,0.1
423,1.095,1.857,0.6,40.571,9.429,3.429,0.353,0.576,17.643,0.429,0.048,0.095,0.095
460,1.045,1.909,0.7,40.591,9.591,3.364,0.344,0.581,17.705,0.455,0.045,0.091,0.091
472,1.087,1.913,0.7,40.826,9.565,3.478,0.358,0.585,17.865,0.435,0.043,0.087,0.087
497,1.125,1.833,1.9,40.458,9.5,3.458,0.358,0.602,17.758,0.417,0.042,0.083,0.083
511,1.2,1.88,1.1,41.24,9.84,3.64,0.362,0.605,17.704,0.44,0.04,0.08,0.08
525,1.154,1.846,0.5,41.154,9.808,3.538,0.352,0.601,17.719,0.462,0.038,0.077,0.115
552,1.111,1.815,0.2,41.074,9.741,3.481,0.348,0.603,17.774,0.444,0.037,0.074,0.111
574,1.071,1.857,0.2,41.036,9.536,3.357,0.336,0.6,17.771,0.429,0.036,0.071,0.107
601,1.069,1.828,1.3,40.897,9.31,3.276,0.336,0.602,17.924,0.414,0.034,0.069,0.138
608,1.067,1.8,0.3,41.867,9.4,3.333,0.339,0.582,18.07,0.433,0.033,0.1,0.133
625,1.032,1.742,1.1,42.387,9.29,3.323,0.344,0.595,18.184,0.419,0.032,0.097,0.129
640,1.125,1.719,2.7,42.75,9.219,3.375,0.355,0.577,18.088,0.406,0.031,0.094,0.125
688,1.152,1.667,1.4,42.576,9.273,3.485,0.364,0.59,17.997,0.394,0.061,0.121,0.121
699,1.147,1.676,0.5,42.765,9.294,3.441,0.359,0.582,17.879,0.382,0.059,0.147,0.118
715,1.114,1.657,1.1,43.343,9.314,3.4,0.354,0.587,17.809,0.371,0.057,0.143,0.114
741,1.139,1.639,1.4,43.861,9.444,3.444,0.355,0.589,17.7,0.361,0.056,0.139,0.111
748,1.135,1.622,1.1,44.054,9.622,3.459,0.352,0.593,17.697,0.351,0.054,0.135,0.108
780,1.158,1.658,1.0,44.395,9.553,3.5,0.361,0.591,17.605,0.342,0.053,0.132,0.105
792,1.154,1.641,0.1,43.974,9.487,3.487,0.363,0.595,17.531,0.333,0.051,0.128,0.103
815,1.175,1.7,1.0,43.525,9.3,3.45,0.379,0.585,17.608,0.325,0.05,0.125,0.1
849,1.146,1.659,0.4,43.634,9.537,3.585,0.381,0.595,17.666,0.317,0.049,0.122,0.098
869,1.119,1.619,0.9,43.69,9.5,3.524,0.375,0.605,17.75,0.31,0.048,0.119,0.095
894,1.093,1.651,1.0,43.93,9.488,3.488,0.372,0.602,17.735,0.349,0.047,0.116,0.093
900,1.114,1.636,1.2,44.25,9.614,3.545,0.372,0.6,17.798,0.386,0.045,0.114,0.091
920,1.089,1.622,1.6,44.778,9.556,3.467,0.364,0.598,17.778,0.378,0.044,0.133,0.089
945,1.109,1.587,0.7,44.696,9.674,3.522,0.365,0.607,17.802,0.391,0.043,0.13,0.087
962,1.085,1.574,1.3,44.574,9.681,3.553,0.368,0.611,17.804,0.383,0.043,0.128,0.085
988,1.083,1.583,1.1,44.646,9.688,3.542,0.366,0.608,17.7,0.375,0.042,0.125,0.104
1004,1.082,1.571,0.2,44.571,9.694,3.551,0.367,0.612,17.633,0.367,0.041,0.122,0.102
1023,1.06,1.56,1.1,44.52,9.56,3.48,0.36,0.6,17.618,0.36,0.04,0.12,0.1
1030,1.039,1.549,0.8,44.49,9.588,3.471,0.358,0.604,17.612,0.373,0.039,0.118,0.098
1055,1.038,1.596,3.0,44.365,9.577,3.5,0.362,0.596,17.554,0.385,0.038,0.115,0.096
1060,1.113,1.585,0.9,44.509,9.698,3.566,0.363,0.601,17.455,0.396,0.038,0.113,0.094
1075,1.13,1.556,0.8,44.463,9.704,3.537,0.36,0.609,17.57,0.426,0.037,0.111,0.093
1099,1.109,1.564,0.4,44.727,9.782,3.545,0.359,0.597,17.584,0.418,0.036,0.109,0.109
1123,1.089,1.554,1.6,44.714,9.732,3.518,0.357,0.599,17.584,0.429,0.036,0.107,0.107
1144,1.105,1.561,1.9,44.825,9.754,3.544,0.359,0.594,17.572,0.439,0.035,0.105,0.123
1164,1.103,1.534,0.8,45.224,10.0,3.621,0.359,0.601,17.588,0.448,0.034,0.103,0.121
1182,1.102,1.525,1.2,45.136,10.085,3.644,0.358,0.591,17.576,0.458,0.034,0.102,0.119
1202,1.1,1.55,0.9,44.95,10.017,3.633,0.361,0.585,17.552,0.45,0.033,0.1,0.133
1226,1.098,1.525,1.2,44.59,9.984,3.607,0.359,0.592,17.485,0.443,0.033,0.098,0.131
1243,1.081,1.565,1.3,44.532,10.097,3.597,0.356,0.589,17.49,0.452,0.032,0.097,0.129
