ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
199,1.3,1.8,1.4,41.2,7.5,2.9,14.97,0.4,0.1,0.1
227,1.273,1.636,0.5,41.818,7.818,2.818,15.427,0.545,0.091,0.091
253,1.167,1.75,0.1,42.833,8.25,2.833,15.692,0.5,0.083,0.083
262,1.077,1.615,0.9,42.615,7.846,2.615,15.7,0.462,0.077,0.077
279,1.0,1.5,1.2,42.214,7.857,2.571,15.886,0.5,0.071,0.071
304,1.0,1.4,0.4,42.4,7.667,2.6,16.36,0.467,0.133,0.133
330,1.0,1.562,0.9,42.0,7.25,2.5,15.706,0.438,0.125,0.125
357,0.941,1.588,1.9,41.412,7.353,2.588,15.935,0.412,0.118,0.118
368,1.056,1.611,1.0,41.611,8.222,2.889,16.05,0.5,0.111,0.111
395,1.053,1.684,0.5,41.105,8.421,3.053,15.921,0.474,0.105,0.105
411,1.0,1.6,2.1,41.7,8.35,3.0,15.92,0.45,0.1,0.1
440,1.095,1.524,1.4,42.667,8.762,3.0,15.995,0.476,0.143,0.143
447,1.091,1.5,1.5,42.864,8.682,2.955,16.364,0.5,0.182,0.182
464,1.13,1.522,1.9,43.609,9.087,3.0,16.317,0.478,0.174,0.174
484,1.125,1.5,1.9,44.875,9.333,3.0,16.288,0.458,0.167,0.167
503,1.16,1.44,1.0,45.48,9.48,3.12,16.164,0.44,0.16,0.16
538,1.154,1.462,1.8,46.192,9.423,3.115,16.077,0.423,0.154,0.154
541,1.222,1.444,1.2,46.741,9.704,3.222,16.104,0.444,0.148,0.148
559,1.25,1.464,1.9,47.179,9.679,3.321,15.918,0.429,0.143,0.143
566,1.31,1.414,2.4,47.31,9.966,3.379,15.828,0.414,0.172,0.172
592,1.333,1.467,2.2,47.8,10.367,3.467,15.827,0.467,0.167,0.167
617,1.323,1.516,0.5,47.645,10.29,3.516,15.71,0.452,0.161,0.161
632,1.281,1.5,1.0,47.469,10.188,3.406,15.675,0.438,0.156,0.156
661,1.273,1.485,0.6,47.818,10.212,3.424,15.767,0.485,0.152,0.152
678,1.235,1.441,1.5,47.206,10.118,3.353,15.735,0.471,0.147,0.147
711,1.286,1.4,1.9,46.771,9.971,3.371,15.886,0.486,0.171,0.171
724,1.25,1.361,2.2,46.944,10.167,3.472,15.822,0.472,0.167,0.167
757,1.243,1.324,0.6,47.486,10.27,3.541,15.822,0.486,0.189,0.189
761,1.237,1.289,1.2,47.263,10.158,3.526,15.776,0.474,0.184,0.184
783,1.205,1.308,2.6,47.487,10.154,3.487,15.736,0.462,0.179,0.179
801,1.25,1.3,1.0,47.575,10.3,3.6,15.733,0.475,0.175,0.2
831,1.244,1.293,0.4,47.61,10.366,3.61,15.817,0.463,0.171,0.195
844,1.238,1.31,1.1,47.333,10.286,3.595,15.919,0.452,0.167,0.19
859,1.256,1.302,1.2,47.488,10.349,3.628,15.96,0.488,0.163,0.186
880,1.273,1.295,0.9,47.568,10.432,3.636,15.991,0.5,0.159,0.182
908,1.267,1.267,0.4,47.489,10.467,3.622,16.08,0.511,0.156,0.178
935,1.239,1.304,0.8,47.239,10.326,3.543,16.013,0.5,0.152,0.174
948,1.213,1.362,0.5,47.234,10.511,3.553,16.1,0.489,0.149,0.17
955,1.208,1.354,0.3,47.083,10.5,3.583,16.144,0.521,0.146,0.167
974,1.184,1.327,1.1,46.939,10.408,3.531,16.22,0.51,0.143,0.163
998,1.18,1.32,0.7,46.54,10.32,3.48,16.144,0.5,0.14,0.16
1017,1.157,1.294,0.2,46.353,10.235,3.412,16.122,0.49,0.137,0.157
1036,1.135,1.288,2.3,46.096,10.115,3.346,16.148,0.481,0.135,0.154
1070,1.151,1.283,0.5,46.208,10.509,3.453,16.202,0.509,0.132,0.151
1085,1.13,1.259,2.1,46.389,10.537,3.426,16.269,0.5,0.13,0.148
1110,1.182,1.291,1.5,46.618,10.618,3.455,16.302,0.509,0.145,0.164
1140,1.196,1.268,1.4,46.839,10.732,3.482,16.282,0.5,0.143,0.161
1159,1.193,1.263,1.0,47.175,10.807,3.474,16.3,0.509,0.14,0.158
1177,1.172,1.259,2.1,47.172,10.862,3.448,16.302,0.517,0.138,0.155
1192,1.203,1.271,0.3,47.102,10.949,3.559,16.259,0.525,0.136,0.153
1216,1.183,1.25,0.8,47.167,10.883,3.55,16.303,0.533,0.133,0.15
1231,1.164,1.23,0.6,47.246,10.836,3.525,16.285,0.525,0.131,0.148
1254,1.161,1.242,2.2,46.887,10.871,3.516,16.3,0.516,0.129,0.145
1283,1.175,1.27,1.0,47.206,10.889,3.508,16.325,0.508,0.143,0.159
1291,1.156,1.281,1.7,47.391,10.969,3.5,16.366,0.516,0.141,0.156
1310,1.154,1.292,1.3,47.031,10.908,3.492,16.382,0.508,0.154,0.169
1331,1.152,1.288,1.0,46.848,10.909,3.485,16.336,0.5,0.152,0.167
1352,1.179,1.284,1.1,46.836,10.94,3.522,16.334,0.493,0.149,0.164
1378,1.206,1.294,0.6,46.926,10.956,3.529,16.346,0.485,0.147,0.162
1391,1.203,1.319,2.4,46.58,10.986,3.536,16.38,0.478,0.145,0.159
1411,1.229,1.3,2.7,46.714,11.029,3.557,16.364,0.486,0.157,0.171
1444,1.225,1.296,1.1,46.746,11.169,3.563,16.366,0.479,0.155,0.169
1468,1.236,1.333,2.4,46.444,11.111,3.569,16.372,0.472,0.153,0.167
1475,1.288,1.342,0.9,46.63,11.205,3.616,16.375,0.479,0.151,0.164
1497,1.297,1.324,1.7,46.635,11.324,3.662,16.441,0.514,0.149,0.162
1515,1.333,1.307,2.5,46.587,11.413,3.747,16.445,0.507,0.147,0.16
1534,1.382,1.289,1.3,46.684,11.461,3.816,16.45,0.5,0.145,0.158
1556,1.364,1.299,2.5,46.831,11.494,3.792,16.49,0.494,0.143,0.156
1568,1.372,1.308,1.0,47.077,11.59,3.782,16.476,0.5,0.154,0.167
1581,1.354,1.291,0.6,46.899,11.557,3.785,16.452,0.494,0.152,0.165
1607,1.338,1.288,0.8,46.712,11.525,3.8,16.52,0.488,0.15,0.162
1622,1.333,1.272,1.5,46.556,11.556,3.827,16.558,0.494,0.148,0.16
1642,1.317,1.28,1.7,46.427,11.573,3.829,16.565,0.488,0.146,0.159
1662,1.313,1.277,1.3,46.458,11.627,3.819,16.529,0.482,0.145,0.157
1684,1.321,1.286,1.6,46.286,11.631,3.81,16.56,0.476,0.143,0.155
1702,1.318,1.329,2.0,46.235,11.671,3.835,16.556,0.471,0.141,0.153
1715,1.326,1.326,1.1,46.244,11.756,3.895,16.566,0.488,0.14,0.151
1747,1.322,1.322,1.1,46.161,11.77,3.92,16.571,0.494,0.138,0.149
1768,1.318,1.33,1.6,46.17,11.818,3.932,16.605,0.511,0.136,0.148
1784,1.315,1.337,4.3,46.303,11.876,3.955,16.62,0.506,0.135,0.146
1795,1.344,1.333,3.2,46.189,11.956,3.978,16.598,0.511,0.133,0.144
1821,1.341,1.319,0.6,46.286,12.033,3.978,16.576,0.516,0.132,0.143
1842,1.348,1.315,0.4,46.196,11.989,3.967,16.597,0.522,0.13,0.141
1870,1.333,1.301,2.3,46.011,11.914,3.925,16.609,0.527,0.129,0.14
1889,1.33,1.298,1.7,46.053,11.989,3.904,16.594,0.521,0.138,0.149
