ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
29,3.0,1.0,0.2,25.0,13.0,4.0,0.308,0.75,18.6,0.0,1.0,1.0,0.0
51,1.5,2.5,2.5,27.5,8.5,2.0,0.154,0.375,20.55,0.0,0.5,0.5,1.0
59,1.667,2.0,0.7,30.333,10.333,4.667,0.341,0.472,17.667,0.333,0.333,0.333,0.667
87,1.25,2.0,1.5,36.5,10.5,4.0,0.301,0.504,18.075,0.75,0.25,0.25,0.5
103,1.0,1.8,1.6,40.0,11.4,4.2,0.307,0.553,18.36,0.6,0.2,0.2,0.4
124,1.667,1.667,1.1,41.667,12.5,4.5,0.312,0.586,17.967,0.5,0.167,0.167,0.333
139,1.571,1.571,0.9,42.571,11.857,4.143,0.303,0.574,17.286,0.429,0.143,0.143,0.286
170,1.375,1.75,0.8,44.875,12.0,4.375,0.323,0.585,17.65,0.625,0.125,0.125,0.25
178,1.222,1.556,0.1,43.556,12.0,4.111,0.305,0.631,17.711,0.667,0.111,0.111,0.222
208,1.1,1.8,0.7,42.1,11.0,3.7,0.275,0.602,18.76,0.6,0.1,0.1,0.2
225,1.182,1.727,0.4,41.818,10.545,3.636,0.295,0.62,18.745,0.545,0.091,0.091,0.182
247,1.083,1.75,0.2,41.083,10.333,3.583,0.302,0.628,18.792,0.5,0.083,0.083,0.167
273,1.154,1.692,0.5,39.923,9.769,3.462,0.33,0.641,18.5,0.462,0.077,0.077,0.154
299,1.143,1.857,0.7,39.714,9.429,3.286,0.321,0.609,18.243,0.429,0.071,0.071,0.143
328,1.133,1.8,0.7,40.533,9.667,3.467,0.33,0.626,18.367,0.4,0.067,0.067,0.133
340,1.125,1.812,2.0,40.125,9.312,3.375,0.341,0.624,18.131,0.375,0.062,0.062,0.125
349,1.176,1.706,1.5,40.706,10.0,3.647,0.343,0.588,18.012,0.412,0.059,0.059,0.118
373,1.167,1.778,0.6,40.556,10.0,3.611,0.341,0.583,18.061,0.444,0.056,0.111,0.111
406,0.0,3.0,1.1,38.0,4.0,1.0,0.25,0.5,10.8,0.0,0.0,0.0,0.0
423,1.0,2.5,0.6,45.5,6.5,1.5,0.236,0.5,13.0,0.0,0.0,0.0,0.0
460,0.667,2.667,0.7,44.0,8.667,1.667,0.209,0.567,15.0,0.333,0.0,0.0,0.0
472,1.0,2.5,0.7,44.5,8.75,2.75,0.323,0.592,16.6,0.25,0.0,0.0,0.0
497,1.2,2.0,1.9,42.0,8.6,2.8,0.334,0.673,16.34,0.2,0.0,0.0,0.0
511,1.5,2.167,1.1,45.0,10.167,3.667,0.352,0.672,16.35,0.333,0.0,0.0,0.0
525,1.286,2.0,0.5,44.143,10.0,3.286,0.318,0.648,16.6,0.429,0.0,0.0,0.143
552,1.125,1.875,0.2,43.5,9.75,3.125,0.309,0.65,16.925,0.375,0.0,0.0,0.125
574,1.0,2.0,0.2,43.111,9.111,2.778,0.275,0.633,17.011,0.333,0.0,0.0,0.111
601,1.0,1.9,1.3,42.5,8.5,2.6,0.281,0.637,17.53,0.3,0.0,0.0,0.2
608,1.0,1.818,0.3,45.0,8.818,2.818,0.293,0.579,17.964,0.364,0.0,0.091,0.182
625,0.917,1.667,1.1,46.083,8.583,2.833,0.31,0.614,18.267,0.333,0.0,0.083,0.167
640,1.154,1.615,2.7,46.692,8.462,3.0,0.341,0.567,18.023,0.308,0.0,0.077,0.154
688,1.214,1.5,1.4,46.0,8.643,3.286,0.362,0.598,17.814,0.286,0.071,0.143,0.143
699,1.2,1.533,0.5,46.2,8.733,3.2,0.352,0.58,17.56,0.267,0.067,0.2,0.133
715,1.125,1.5,1.1,47.25,8.812,3.125,0.342,0.591,17.425,0.25,0.062,0.188,0.125
741,1.176,1.471,1.4,48.118,9.118,3.235,0.343,0.595,17.218,0.235,0.059,0.176,0.118
748,1.167,1.444,1.1,48.278,9.5,3.278,0.338,0.604,17.239,0.222,0.056,0.167,0.111
792,1.0,1.0,0.1,28.0,7.0,3.0,0.429,0.75,14.7,0.0,0.0,0.0,0.0
815,1.5,2.5,1.0,27.0,4.5,2.5,0.714,0.475,17.65,0.0,0.0,0.0,0.0
849,1.0,1.667,0.4,34.0,9.333,4.667,0.634,0.65,18.433,0.0,0.0,0.0,0.0
869,0.75,1.25,0.9,37.0,9.0,3.75,0.507,0.738,19.125,0.0,0.0,0.0,0.0
894,0.6,1.6,1.0,40.4,9.0,3.4,0.45,0.69,18.72,0.4,0.0,0.0,0.0
900,0.833,1.5,1.2,43.333,10.0,3.833,0.442,0.658,19.017,0.667,0.0,0.0,0.0
920,0.714,1.429,1.6,46.857,9.571,3.286,0.378,0.636,18.714,0.571,0.0,0.143,0.0
945,0.875,1.25,0.7,46.125,10.25,3.625,0.381,0.681,18.738,0.625,0.0,0.125,0.0
