ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
20,1.0,0.0,0.4,31.0,5.0,3.0,0.6,1.0,10.6,0.0,0.0,0.0,0.0
44,1.0,1.0,0.8,36.5,6.5,2.0,0.362,0.75,14.45,0.0,0.0,0.0,0.5
72,1.0,1.0,0.9,35.667,4.333,1.333,0.242,0.722,9.633,0.0,0.333,0.333,0.333
89,1.75,1.0,0.6,35.75,5.75,2.5,0.331,0.708,11.525,0.25,0.25,0.25,0.25
114,1.4,1.2,1.6,40.0,7.0,2.6,0.315,0.71,12.62,0.4,0.2,0.2,0.2
128,1.333,1.167,0.3,40.667,8.5,3.0,0.315,0.73,13.183,0.667,0.167,0.167,0.167
148,1.143,2.0,0.5,40.0,8.0,3.0,0.355,0.626,14.271,0.571,0.143,0.143,0.143
159,1.125,1.875,0.6,39.25,7.5,2.75,0.342,0.61,13.75,0.5,0.125,0.125,0.25
187,1.222,1.667,0.7,39.778,7.667,2.889,0.354,0.653,14.211,0.444,0.111,0.111,0.222
199,1.3,1.8,1.4,41.2,7.5,2.9,0.368,0.645,14.97,0.4,0.1,0.1,0.2
227,1.273,1.636,0.5,41.818,7.818,2.818,0.351,0.677,15.427,0.545,0.091,0.091,0.182
253,1.167,1.75,0.1,42.833,8.25,2.833,0.341,0.642,15.692,0.5,0.083,0.083,0.167
262,1.077,1.615,0.9,42.615,7.846,2.615,0.315,0.669,15.7,0.462,0.077,0.077,0.154
279,1.0,1.5,1.2,42.214,7.857,2.571,0.31,0.693,15.886,0.5,0.071,0.071,0.143
304,1.0,1.4,0.4,42.4,7.667,2.6,0.33,0.713,16.36,0.467,0.133,0.133,0.133
330,1.0,1.562,0.9,42.0,7.25,2.5,0.372,0.704,15.706,0.438,0.125,0.125,0.125
357,0.941,1.588,1.9,41.412,7.353,2.588,0.376,0.682,15.935,0.412,0.118,0.118,0.118
368,1.056,1.611,1.0,41.611,8.222,2.889,0.374,0.677,16.05,0.5,0.111,0.111,0.111
411,0.0,0.0,2.1,53.0,7.0,2.0,0.286,1.0,15.9,0.0,0.0,0.0,0.0
440,1.5,0.0,1.4,57.5,12.0,2.5,0.231,1.0,16.7,0.5,0.5,0.5,0.0
