ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgDist,AvgFK,AvgPK,AvgPKAtt
208,1.1,1.8,0.7,42.1,11.0,3.7,18.76,0.6,0.1,0.1
225,1.0,1.8,0.4,43.5,10.3,3.6,18.76,0.6,0.0,0.0
247,1.0,1.6,0.2,43.8,10.7,3.9,18.44,0.6,0.0,0.0
273,1.0,1.6,0.5,42.8,9.6,3.1,18.75,0.5,0.0,0.0
299,1.1,1.8,0.7,41.0,9.0,3.0,18.31,0.3,0.0,0.0
328,1.2,1.8,0.7,40.8,8.8,3.1,18.37,0.3,0.0,0.0
340,0.8,1.9,2.0,39.2,7.4,2.7,18.23,0.3,0.0,0.0
349,0.9,1.8,1.5,39.4,8.7,3.3,18.52,0.4,0.0,0.0
373,1.0,1.8,0.6,37.1,8.4,3.0,18.39,0.3,0.0,0.1
386,1.0,2.0,0.2,36.9,7.7,3.2,18.51,0.3,0.0,0.1
406,1.0,1.9,1.1,37.8,7.9,3.3,16.77,0.3,0.0,0.1
423,1.0,2.0,0.6,39.2,8.2,3.2,16.43,0.3,0.0,0.1
460,1.0,2.1,0.7,40.0,8.7,3.1,16.4,0.4,0.0,0.1
472,1.0,2.2,0.7,42.0,9.3,3.5,17.04,0.4,0.0,0.1
497,1.1,1.8,1.9,41.5,9.6,3.7,17.08,0.4,0.0,0.1
511,1.3,2.0,1.1,42.3,10.1,3.9,16.71,0.5,0.0,0.1
525,1.2,1.9,0.5,42.8,10.6,3.8,17.06,0.6,0.0,0.1
552,1.0,2.0,0.2,41.7,9.3,3.2,17.37,0.5,0.0,0.1
574,0.9,2.0,0.2,41.9,8.7,2.9,17.25,0.4,0.0,0.0
601,1.0,1.9,1.3,42.5,8.5,2.6,17.53,0.3,0.0,0.0
608,1.1,1.7,0.3,45.7,9.3,3.0,18.68,0.4,0.0,0.1
625,0.9,1.5,1.1,46.2,9.0,3.1,19.32,0.4,0.0,0.1
640,1.3,1.3,2.7,47.5,8.4,3.4,18.93,0.3,0.0,0.1
688,1.3,1.1,1.4,46.6,8.6,3.5,18.3,0.3,0.1,0.2
699,1.2,1.3,0.5,48.3,8.8,3.4,18.17,0.3,0.1,0.3
715,0.9,1.1,1.1,48.6,8.0,2.8,18.07,0.2,0.1,0.3
741,1.1,1.1,1.4,50.9,8.5,3.2,17.65,0.1,0.1,0.3
748,1.2,1.1,1.1,52.1,9.3,3.4,17.49,0.1,0.1,0.3
780,1.4,1.1,1.0,53.8,9.6,3.9,17.14,0.1,0.1,0.3
792,1.4,1.1,0.1,52.9,10.0,4.1,16.39,0.1,0.1,0.3
815,1.5,1.4,1.0,48.5,9.0,3.8,16.22,0.0,0.1,0.2
849,1.5,1.4,0.4,47.5,10.3,4.4,16.06,0.0,0.1,0.2
869,1.1,1.3,0.9,46.7,10.4,4.0,16.67,0.0,0.1,0.2
894,0.9,1.6,1.0,48.4,10.2,3.5,16.87,0.2,0.0,0.1
900,1.0,1.5,1.2,49.3,10.7,3.9,17.52,0.4,0.0,0.0
920,1.0,1.5,1.6,49.8,10.4,3.7,17.67,0.4,0.0,0.1
945,1.0,1.4,0.7,47.7,10.5,3.8,18.17,0.5,0.0,0.1
962,0.9,1.4,1.3,46.5,9.9,3.9,18.2,0.5,0.0,0.1
988,0.8,1.3,1.1,45.6,10.2,3.7,18.06,0.5,0.0,0.1
1004,0.8,1.3,0.2,46.9,10.5,3.8,18.03,0.5,0.0,0.1
1023,0.6,1.0,1.1,48.5,10.6,3.6,17.66,0.5,0.0,0.1
1030,0.6,1.1,0.8,48.0,9.8,3.0,17.39,0.6,0.0,0.1
1055,0.7,1.5,3.0,47.2,9.9,3.4,16.73,0.7,0.0,0.1
1060,1.2,1.3,0.9,47.0,10.6,3.9,16.25,0.6,0.0,0.1
1075,1.2,1.2,0.8,45.4,10.1,3.5,16.57,0.6,0.0,0.1
1099,1.2,1.3,0.4,44.5,10.8,3.9,16.71,0.6,0.0,0.0
1123,1.0,1.4,1.6,44.8,10.0,3.5,16.58,0.6,0.0,0.0
1144,1.2,1.5,1.9,46.0,10.1,3.5,16.48,0.7,0.0,0.0
1164,1.2,1.3,0.8,48.0,11.5,4.0,17.05,0.8,0.0,0.0
1182,1.2,1.3,1.2,47.9,12.0,4.1,17.3,0.9,0.0,0.0
1202,1.3,1.5,0.9,47.1,12.3,4.4,17.22,0.9,0.0,0.0
1226,1.4,1.4,1.2,45.1,12.0,4.3,16.84,0.8,0.0,0.0
1243,1.3,1.4,1.3,45.4,12.8,4.1,17.16,0.8,0.0,0.0
1264,1.0,1.3,1.6,43.5,11.6,3.7,17.32,0.7,0.0,0.0
1277,0.9,1.5,0.9,45.4,12.2,4.3,16.58,0.6,0.0,0.0
1303,1.0,1.4,1.8,44.0,11.7,4.1,16.49,0.7,0.0,0.0
1325,1.2,1.5,1.1,42.2,11.4,4.0,16.84,0.7,0.1,0.1
1344,1.1,1.5,0.3,40.8,11.6,4.0,17.11,0.8,0.1,0.1
1361,1.0,2.0,0.3,38.0,10.4,3.7,17.7,0.9,0.1,0.1
1388,1.0,2.3,0.7,37.2,9.6,3.7,18.07,0.8,0.1,0.1
1401,1.0,2.1,0.3,37.7,10.0,3.7,17.76,0.8,0.1,0.1
1425,1.0,2.4,1.2,37.6,9.6,3.6,18.27,0.9,0.1,0.1
1436,1.1,2.1,0.2,37.6,8.9,3.6,18.33,0.8,0.1,0.1
1460,0.9,2.2,2.0,39.3,8.8,3.5,18.44,0.8,0.1,0.1
1480,0.9,2.0,1.0,36.3,8.0,3.1,18.22,0.7,0.1,0.1
1504,0.9,2.0,2.6,36.5,8.5,3.3,18.45,0.6,0.1,0.1
1528,1.0,1.9,1.2,37.7,9.4,3.5,17.7,0.5,0.0,0.0
1548,1.0,1.9,0.5,39.4,9.5,3.6,17.66,0.4,0.0,0.0
1572,1.1,1.5,0.9,39.2,9.2,3.4,17.28,0.3,0.0,0.0
1600,1.1,1.3,1.0,41.9,10.2,3.3,16.95,0.4,0.0,0.0
1617,1.0,1.3,2.4,42.9,11.2,3.7,17.76,0.4,0.0,0.0
1636,1.1,1.2,1.3,45.0,12.7,4.2,17.23,0.3,0.0,0.0
1651,1.2,1.3,1.6,44.0,13.0,4.5,17.22,0.4,0.0,0.0
1675,1.3,1.2,2.2,43.6,14.0,4.6,17.24,0.4,0.0,0.0
1695,1.5,1.3,0.4,44.1,14.5,4.7,17.09,0.4,0.0,0.0
1724,1.4,1.2,1.8,44.2,14.1,4.7,17.06,0.4,0.0,0.0
1733,1.3,1.1,1.3,44.7,13.7,4.8,17.03,0.4,0.0,0.0
