ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
103,1.2,1.5,1.6,40.0,9.2,3.4,0.311,0.631,15.49,0.5,0.2,0.2,0.3
114,1.6,1.6,1.6,41.9,10.5,3.7,0.285,0.606,16.03,0.5,0.2,0.2,0.3
124,1.4,1.6,1.1,43.8,10.8,3.8,0.285,0.615,15.77,0.7,0.1,0.1,0.3
128,1.4,1.5,0.3,44.4,10.8,3.9,0.298,0.615,15.26,0.7,0.1,0.1,0.2
139,1.4,1.8,0.9,45.0,10.9,4.2,0.358,0.615,15.09,0.7,0.1,0.1,0.0
148,1.3,2.0,0.5,47.7,12.2,4.8,0.404,0.615,17.11,0.9,0.0,0.0,0.0
159,1.2,2.0,0.6,47.5,11.2,3.9,0.357,0.598,16.93,0.8,0.0,0.0,0.1
170,1.4,1.8,0.8,46.4,11.0,4.1,0.384,0.638,16.79,0.6,0.0,0.0,0.1
178,1.0,1.7,0.1,46.1,11.2,3.7,0.34,0.671,16.89,0.6,0.0,0.0,0.1
187,1.0,2.0,0.7,43.6,9.9,3.2,0.307,0.63,17.76,0.6,0.0,0.0,0.1
199,1.2,2.1,1.4,43.3,9.3,3.2,0.332,0.615,18.24,0.5,0.0,0.0,0.1
208,0.8,2.0,0.7,43.1,8.6,2.8,0.317,0.64,18.64,0.7,0.0,0.0,0.1
225,0.9,2.0,0.4,42.6,7.6,2.6,0.335,0.637,18.9,0.5,0.0,0.0,0.1
227,0.8,2.1,0.5,41.1,7.6,2.7,0.348,0.659,19.51,0.5,0.0,0.0,0.1
247,0.8,1.7,0.2,42.9,8.4,2.7,0.311,0.684,19.29,0.5,0.0,0.0,0.1
253,1.0,1.5,0.1,39.4,7.4,2.3,0.332,0.697,18.77,0.3,0.0,0.0,0.1
262,0.9,1.4,0.9,40.0,7.3,2.2,0.307,0.747,19.34,0.3,0.0,0.0,0.0
273,0.7,1.4,0.5,39.3,7.2,2.0,0.287,0.747,19.38,0.4,0.0,0.0,0.0
279,0.8,1.8,1.2,39.7,6.5,1.9,0.29,0.667,19.05,0.3,0.0,0.0,0.0
299,0.9,1.4,0.7,41.3,6.8,2.2,0.35,0.734,18.53,0.3,0.1,0.1,0.0
304,0.8,1.2,0.4,41.1,7.5,2.5,0.347,0.762,18.36,0.3,0.1,0.1,0.0
328,0.8,1.6,0.7,39.9,6.5,2.4,0.428,0.718,16.95,0.1,0.1,0.1,0.0
330,0.7,1.7,0.9,39.4,6.3,2.3,0.428,0.698,16.55,0.1,0.1,0.1,0.0
340,0.7,1.7,2.0,39.3,6.4,2.4,0.435,0.66,16.58,0.1,0.1,0.1,0.0
349,0.9,1.4,1.5,38.9,7.2,2.9,0.45,0.635,16.33,0.2,0.1,0.1,0.0
357,0.8,1.6,1.9,40.1,7.9,3.0,0.414,0.605,16.72,0.3,0.1,0.2,0.0
368,1.1,1.8,1.0,40.6,9.9,3.8,0.448,0.565,16.94,0.5,0.1,0.2,0.0
373,1.2,2.1,0.6,40.1,10.3,4.2,0.473,0.465,16.47,0.4,0.1,0.2,0.0
386,1.1,1.9,0.2,39.5,10.3,4.5,0.533,0.505,16.92,0.5,0.1,0.2,0.0
395,1.0,2.2,0.5,38.8,10.2,4.3,0.498,0.455,15.7,0.5,0.0,0.1,0.0
406,0.9,2.1,1.1,38.9,9.6,3.9,0.481,0.469,15.28,0.5,0.0,0.1,0.0
411,1.0,1.9,2.1,40.6,10.4,4.0,0.403,0.463,16.21,0.5,0.0,0.1,0.0
423,1.2,1.7,0.6,43.4,11.7,4.1,0.371,0.503,16.5,0.6,0.1,0.2,0.0
440,1.2,1.8,1.4,44.3,12.1,3.9,0.342,0.54,16.44,0.7,0.1,0.2,0.0
447,1.1,1.9,1.5,44.0,10.7,3.3,0.332,0.615,17.24,0.7,0.2,0.3,0.0
460,1.2,1.8,0.7,46.2,11.5,3.4,0.324,0.625,16.88,0.6,0.2,0.2,0.0
464,1.1,1.8,1.9,46.3,10.1,3.2,0.356,0.632,17.22,0.4,0.2,0.2,0.0
472,1.1,1.6,0.7,50.5,10.4,2.9,0.326,0.632,17.42,0.4,0.2,0.2,0.0
484,1.3,1.4,1.9,50.6,10.7,2.8,0.284,0.672,17.01,0.3,0.2,0.2,0.0
497,1.5,1.1,1.9,52.8,11.6,3.3,0.305,0.722,17.25,0.3,0.2,0.2,0.0
503,1.8,1.4,1.0,53.5,12.7,3.9,0.321,0.688,17.3,0.4,0.2,0.2,0.0
511,1.7,1.4,1.1,54.6,12.6,4.0,0.336,0.672,17.17,0.4,0.2,0.2,0.0
525,1.4,1.5,0.5,52.3,11.8,3.8,0.33,0.622,17.23,0.4,0.1,0.1,0.1
538,1.4,1.3,1.8,52.1,11.3,3.8,0.339,0.618,17.25,0.3,0.1,0.1,0.1
541,1.6,1.3,1.2,53.5,12.3,4.2,0.346,0.627,16.52,0.3,0.0,0.0,0.1
552,1.6,1.3,0.2,53.4,11.4,4.4,0.39,0.617,16.08,0.3,0.0,0.0,0.1
559,1.4,1.4,1.9,52.8,10.9,3.8,0.324,0.6,15.71,0.3,0.0,0.0,0.1
566,1.6,1.3,2.4,50.5,11.2,4.0,0.331,0.7,15.48,0.3,0.1,0.1,0.1
574,1.6,1.6,0.2,53.5,12.6,4.3,0.321,0.625,15.53,0.5,0.1,0.1,0.2
592,1.5,1.7,2.2,51.2,11.6,3.8,0.308,0.592,16.43,0.5,0.1,0.1,0.3
601,1.3,1.7,1.3,49.5,10.6,3.5,0.326,0.575,16.01,0.4,0.1,0.1,0.4
608,1.3,1.6,0.3,50.1,11.0,3.7,0.331,0.542,16.85,0.5,0.1,0.2,0.4
