ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
233,1.6,1.5,0.3,47.9,10.7,3.9,0.341,0.578,16.99,0.3,0.1,0.1,0.1
237,1.455,1.545,1.0,48.091,10.364,3.727,0.336,0.556,17.145,0.273,0.091,0.091,0.091
258,1.417,1.667,1.2,46.5,9.75,3.583,0.363,0.557,16.5,0.25,0.083,0.083,0.083
280,1.385,1.538,1.5,46.538,9.538,3.385,0.346,0.591,16.292,0.308,0.077,0.077,0.077
299,1.357,1.571,2.5,47.857,9.857,3.429,0.342,0.592,16.314,0.286,0.071,0.071,0.071
311,1.333,1.533,1.8,47.867,10.2,3.667,0.35,0.608,16.233,0.333,0.067,0.067,0.067
333,1.375,1.562,1.0,48.188,10.625,3.812,0.351,0.591,16.375,0.375,0.125,0.125,0.062
360,1.353,1.588,1.4,48.118,10.941,3.765,0.341,0.591,16.565,0.353,0.118,0.118,0.059
365,1.278,1.556,0.7,48.889,11.222,3.889,0.343,0.596,16.528,0.333,0.111,0.111,0.056
383,1.263,1.474,2.4,48.474,11.368,3.895,0.34,0.617,16.495,0.316,0.105,0.105,0.053
420,1.35,1.45,1.4,48.45,11.5,4.0,0.344,0.619,16.295,0.35,0.1,0.1,0.05
434,1.429,1.429,1.9,48.619,11.619,4.095,0.348,0.63,16.448,0.381,0.095,0.095,0.048
458,1.455,1.364,0.9,48.545,11.545,4.045,0.346,0.646,16.555,0.364,0.136,0.136,0.045
465,1.391,1.348,1.5,48.13,11.696,3.957,0.337,0.651,16.474,0.348,0.13,0.13,0.043
487,1.417,1.5,0.6,48.167,11.833,3.958,0.334,0.639,16.442,0.333,0.125,0.125,0.042
517,1.36,1.44,0.7,48.04,11.84,3.88,0.327,0.614,16.516,0.32,0.12,0.12,0.04
529,1.346,1.538,0.9,47.462,11.692,3.808,0.324,0.607,16.681,0.346,0.115,0.115,0.038
568,1.37,1.519,1.6,47.074,11.667,3.852,0.329,0.609,16.696,0.333,0.111,0.111,0.037
586,1.393,1.571,1.6,47.179,11.821,3.929,0.331,0.601,16.739,0.321,0.107,0.143,0.036
606,1.345,1.552,2.7,47.276,11.931,3.793,0.319,0.604,16.648,0.379,0.103,0.138,0.034
635,1.4,1.5,0.5,47.1,12.233,4.0,0.325,0.584,16.7,0.367,0.1,0.133,0.033
658,1.355,1.484,0.4,46.645,12.032,3.935,0.325,0.593,16.777,0.387,0.097,0.129,0.032
664,1.312,1.469,0.7,46.406,11.875,3.875,0.324,0.595,16.894,0.406,0.094,0.125,0.031
681,1.303,1.424,0.4,46.182,11.788,3.848,0.324,0.608,16.903,0.424,0.091,0.121,0.03
697,1.294,1.382,1.8,45.794,11.647,3.824,0.327,0.619,16.944,0.412,0.088,0.118,0.029
720,1.286,1.371,0.8,45.543,11.686,3.8,0.324,0.62,16.88,0.4,0.086,0.114,0.029
745,1.278,1.333,2.1,44.917,11.611,3.806,0.328,0.631,16.906,0.417,0.083,0.111,0.028
748,1.297,1.378,0.8,44.459,11.541,3.811,0.331,0.627,16.919,0.405,0.108,0.135,0.027
767,1.342,1.395,0.7,44.421,11.553,3.868,0.335,0.627,16.961,0.421,0.105,0.132,0.026
