ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
20,1.0,0.0,1.9,48.0,15.0,4.0,0.267,1.0,17.8,0.0,0.0,0.0,0.0
54,1.5,0.5,0.4,53.0,12.0,4.0,0.356,0.5,17.5,0.5,0.5,0.5,0.0
64,1.0,1.0,1.5,50.667,10.0,3.333,0.348,0.556,18.433,0.667,0.333,0.333,0.0
83,1.0,1.25,2.0,53.25,11.25,3.5,0.328,0.5,18.6,0.5,0.25,0.25,0.25
99,1.4,1.4,2.2,51.8,10.8,4.2,0.418,0.533,17.9,0.4,0.2,0.2,0.4
120,1.333,1.333,1.4,52.833,11.167,4.5,0.425,0.556,17.883,0.333,0.167,0.167,0.333
143,1.429,1.143,0.7,50.857,11.143,4.714,0.442,0.619,17.186,0.286,0.143,0.143,0.286
167,1.375,1.0,0.6,51.5,10.625,4.5,0.441,0.667,17.525,0.25,0.125,0.125,0.25
212,1.444,1.0,1.6,51.111,10.0,4.333,0.458,0.667,16.878,0.222,0.111,0.111,0.222
220,1.5,1.0,1.5,49.7,10.0,4.5,0.472,0.686,16.78,0.2,0.1,0.1,0.2
241,1.636,1.182,1.6,48.727,9.636,4.364,0.475,0.66,16.5,0.182,0.091,0.091,0.182
263,1.667,1.083,1.0,47.083,9.5,4.417,0.487,0.688,17.025,0.25,0.167,0.167,0.167
274,1.615,1.0,0.3,47.385,9.615,4.308,0.471,0.712,17.315,0.231,0.154,0.154,0.154
310,1.5,1.071,0.4,46.5,9.429,4.071,0.448,0.715,17.793,0.286,0.143,0.143,0.214
321,1.4,1.0,0.5,46.4,9.333,3.867,0.426,0.734,18.073,0.333,0.133,0.133,0.2
345,1.375,0.938,1.5,46.062,9.25,3.688,0.407,0.75,18.244,0.438,0.125,0.125,0.188
351,1.353,0.882,1.0,45.235,9.235,3.647,0.403,0.706,17.906,0.471,0.118,0.118,0.176
378,1.278,0.833,1.1,45.056,9.556,3.722,0.399,0.723,17.722,0.5,0.111,0.111,0.167
402,2.0,2.0,1.4,31.0,16.0,7.0,0.438,0.5,20.9,0.0,1.0,1.0,0.0
427,2.0,1.0,0.7,33.0,14.5,5.5,0.373,0.75,21.05,0.0,1.0,1.0,0.0
441,1.333,1.667,1.3,37.0,13.333,4.0,0.279,0.5,19.433,0.333,0.667,0.667,0.0
480,1.25,1.5,1.5,34.75,13.0,3.5,0.251,0.583,18.2,0.25,0.5,0.5,0.0
499,1.2,1.6,0.2,35.6,13.2,3.8,0.272,0.567,17.7,0.2,0.4,0.4,0.0
507,1.0,1.833,1.0,33.5,11.667,3.333,0.268,0.567,17.333,0.333,0.333,0.333,0.0
538,0.857,1.714,1.0,37.286,12.0,3.571,0.281,0.582,17.229,0.429,0.286,0.286,0.143
544,0.875,1.875,0.6,37.5,12.0,3.875,0.308,0.571,17.638,0.5,0.25,0.25,0.125
576,0.889,1.778,0.6,35.556,11.222,3.778,0.341,0.608,18.022,0.444,0.222,0.222,0.111
596,0.9,1.8,0.7,37.9,11.3,3.9,0.348,0.58,17.92,0.5,0.2,0.2,0.1
616,0.909,1.909,0.3,39.909,11.273,3.727,0.333,0.588,18.027,0.545,0.182,0.182,0.091
647,0.833,1.917,0.2,40.333,11.083,3.417,0.305,0.607,18.475,0.5,0.167,0.167,0.083
676,0.769,2.154,0.7,40.692,10.692,3.154,0.282,0.583,18.785,0.538,0.154,0.154,0.077
679,0.786,2.143,2.4,41.0,10.857,3.071,0.273,0.584,18.779,0.5,0.143,0.143,0.071
710,0.867,2.2,0.4,41.467,11.067,3.0,0.264,0.562,18.827,0.467,0.267,0.267,0.067
730,0.812,2.188,1.1,40.0,10.938,2.875,0.255,0.558,18.844,0.5,0.25,0.25,0.062
735,0.882,2.118,0.7,39.647,10.882,2.941,0.263,0.576,18.547,0.471,0.235,0.235,0.059
751,0.833,2.0,1.1,40.333,11.167,3.056,0.266,0.544,18.45,0.444,0.222,0.222,0.056
793,1.0,2.0,1.1,43.0,15.0,4.0,0.267,0.333,14.8,0.0,0.0,0.0,0.0
804,1.0,1.5,1.0,42.5,14.5,5.5,0.383,0.567,15.75,0.0,0.0,0.0,0.0
829,1.0,1.333,2.0,38.667,12.0,4.333,0.351,0.644,16.867,0.333,0.0,0.0,0.0
852,1.25,1.25,0.4,40.25,12.0,4.5,0.367,0.692,17.0,0.5,0.0,0.0,0.0
863,1.0,1.4,0.2,39.8,10.4,3.6,0.294,0.687,16.3,0.4,0.0,0.0,0.2
883,0.833,1.333,0.9,41.667,8.833,3.0,0.245,0.697,14.833,0.333,0.0,0.0,0.167
898,0.714,1.143,0.8,42.0,8.857,3.143,0.273,0.74,14.457,0.286,0.0,0.0,0.143
921,0.625,1.375,0.1,44.75,9.625,3.125,0.264,0.726,14.9,0.25,0.0,0.0,0.125
953,0.667,1.333,0.5,42.667,8.778,2.889,0.29,0.719,16.033,0.222,0.0,0.0,0.111
980,0.6,1.4,0.4,45.1,8.4,2.8,0.301,0.698,15.9,0.2,0.0,0.0,0.1
1000,0.545,1.455,1.2,44.727,8.182,2.636,0.289,0.695,15.845,0.182,0.0,0.0,0.091
1009,0.5,1.667,1.7,43.25,8.167,2.833,0.317,0.653,15.767,0.167,0.0,0.0,0.083
1029,0.615,1.692,1.2,43.231,8.231,2.769,0.31,0.642,15.862,0.154,0.077,0.077,0.077
1047,0.714,1.714,1.0,42.429,8.5,2.786,0.306,0.643,16.079,0.214,0.071,0.071,0.143
1070,0.667,1.733,0.4,42.067,8.933,2.667,0.29,0.655,16.207,0.2,0.067,0.067,0.133
1093,0.625,1.625,3.1,42.188,9.0,2.812,0.303,0.677,16.594,0.188,0.062,0.062,0.125
1106,0.706,1.647,2.3,42.412,9.765,3.059,0.304,0.666,16.494,0.176,0.118,0.118,0.176
1121,0.944,1.611,2.0,41.278,9.778,3.167,0.315,0.674,16.289,0.167,0.111,0.111,0.167
1171,0.0,4.0,2.5,40.0,9.0,2.0,0.222,0.333,14.7,0.0,0.0,0.0,1.0
1193,1.0,3.0,1.9,47.0,12.5,4.0,0.299,0.524,14.75,1.0,0.0,0.0,0.5
1221,1.667,2.333,0.1,45.667,14.333,4.667,0.31,0.516,15.767,0.667,0.0,0.0,0.333
1236,1.25,2.25,0.8,40.0,12.25,3.75,0.274,0.537,20.625,0.5,0.0,0.0,0.5
1254,1.2,1.8,1.5,39.2,11.8,3.8,0.299,0.63,19.98,0.4,0.0,0.0,0.4
1274,1.5,1.833,0.7,38.167,11.167,3.833,0.333,0.58,19.067,0.333,0.0,0.0,0.5
1305,1.429,1.571,1.4,38.286,11.286,3.571,0.309,0.64,19.314,0.429,0.0,0.0,0.429
