ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
30,5.0,2.0,1.6,71.0,17.0,7.0,0.412,0.5,12.0,1.0,0.0,0.0,0.0
39,4.5,2.0,1.2,57.0,14.0,6.5,0.479,0.417,14.15,0.5,0.0,0.0,0.0
71,3.667,2.0,0.4,52.0,13.0,6.0,0.471,0.528,15.233,0.333,0.0,0.0,0.0
92,3.0,2.25,1.2,52.75,11.5,4.75,0.389,0.496,15.475,0.25,0.0,0.0,0.0
112,2.4,2.0,1.2,50.4,12.2,5.4,0.418,0.563,15.92,0.2,0.0,0.0,0.0
130,2.167,1.667,0.6,46.833,11.5,5.0,0.41,0.636,16.117,0.333,0.167,0.167,0.0
156,2.143,1.571,0.4,46.286,11.143,4.571,0.384,0.545,16.629,0.429,0.143,0.143,0.143
193,1.875,1.5,0.5,48.0,11.0,4.25,0.361,0.577,17.175,0.375,0.125,0.125,0.125
196,1.778,1.444,0.8,46.556,10.667,4.0,0.348,0.606,16.933,0.333,0.111,0.111,0.111
233,1.6,1.5,0.3,47.9,10.7,3.9,0.341,0.578,16.99,0.3,0.1,0.1,0.1
237,1.455,1.545,1.0,48.091,10.364,3.727,0.336,0.556,17.145,0.273,0.091,0.091,0.091
258,1.417,1.667,1.2,46.5,9.75,3.583,0.363,0.557,16.5,0.25,0.083,0.083,0.083
280,1.385,1.538,1.5,46.538,9.538,3.385,0.346,0.591,16.292,0.308,0.077,0.077,0.077
299,1.357,1.571,2.5,47.857,9.857,3.429,0.342,0.592,16.314,0.286,0.071,0.071,0.071
311,1.333,1.533,1.8,47.867,10.2,3.667,0.35,0.608,16.233,0.333,0.067,0.067,0.067
333,1.375,1.562,1.0,48.188,10.625,3.812,0.351,0.591,16.375,0.375,0.125,0.125,0.062
360,1.353,1.588,1.4,48.118,10.941,3.765,0.341,0.591,16.565,0.353,0.118,0.118,0.059
365,1.278,1.556,0.7,48.889,11.222,3.889,0.343,0.596,16.528,0.333,0.111,0.111,0.056
