ID,AvgGF,AvgGA,XG,AvgPoss,AvgSH,AvgSOT,AvgAcc,AvgDef,AvgDist,AvgFK,AvgPK,AvgPKAtt,AvgOppPKAtt
99,1.9,1.7,2.2,51.1,11.5,4.8,0.418,0.548,16.91,0.3,0.1,0.1,0.2
112,1.9,1.8,1.2,52.1,11.3,5.0,0.437,0.515,16.91,0.3,0.1,0.1,0.2
120,1.5,1.6,1.4,47.9,10.4,4.6,0.433,0.565,17.42,0.3,0.2,0.2,0.2
130,1.5,1.5,0.6,46.0,10.6,4.8,0.444,0.665,17.0,0.2,0.1,0.1,0.2
143,1.3,1.4,0.7,46.0,10.4,4.4,0.411,0.632,17.34,0.3,0.1,0.1,0.3
156,1.2,1.2,0.4,47.4,10.0,4.2,0.409,0.657,17.59,0.3,0.1,0.1,0.3
167,1.2,1.1,0.6,48.8,10.4,4.2,0.395,0.67,17.66,0.2,0.1,0.1,0.3
193,1.3,1.0,0.5,47.5,9.4,4.1,0.429,0.703,16.92,0.2,0.1,0.1,0.2
196,1.3,0.8,0.8,45.5,9.5,4.2,0.439,0.747,16.8,0.2,0.1,0.1,0.2
212,1.0,0.8,1.6,46.9,9.7,3.8,0.389,0.713,17.04,0.2,0.1,0.1,0.1
220,1.2,0.8,1.5,46.5,9.2,3.6,0.396,0.716,16.86,0.2,0.1,0.1,0.1
233,1.4,1.0,0.3,44.6,8.5,3.3,0.399,0.689,16.45,0.2,0.1,0.1,0.1
237,1.3,1.2,1.0,46.7,8.4,3.2,0.39,0.622,16.61,0.1,0.0,0.0,0.1
241,1.2,1.5,1.6,45.7,7.6,2.8,0.403,0.58,16.25,0.1,0.0,0.0,0.1
258,1.2,1.4,1.2,44.3,7.5,3.1,0.443,0.68,16.56,0.1,0.1,0.1,0.0
263,1.2,1.4,1.0,43.4,7.5,2.9,0.414,0.68,15.95,0.2,0.1,0.1,0.0
274,1.3,1.3,0.3,42.5,7.6,3.0,0.422,0.7,15.93,0.2,0.1,0.1,0.0
280,1.1,1.4,1.5,41.2,7.8,2.8,0.376,0.708,17.16,0.3,0.1,0.1,0.1
299,1.1,1.5,2.5,44.2,8.4,3.0,0.379,0.685,17.32,0.3,0.1,0.1,0.1
310,1.2,1.4,0.4,43.0,8.8,3.4,0.399,0.735,17.08,0.4,0.1,0.1,0.1
